year, IPSL-CM6A-LR, NorESM2-MM, ACCESS-ESM1-5, MIROC-ES2L, TaiESM1, INM-CM4-8, CMCC-CM2-SR5, MPI-ESM1-2-LR, CanESM5, GFDL-ESM4, UKESM1-0-LL, CESM2-WACCM, CNRM-ESM2-1, EC-Earth3-Veg, NorESM2-LM, INM-CM5-0
1.850000000000000000e+03, 2.931132089032070667e+02, 2.950725200856975903e+02, 2.957777914729726376e+02, 2.955397119817453699e+02, 2.941903200317526057e+02, 2.933874659968604988e+02, 2.956912673245658425e+02, 2.931026490336701045e+02, 2.948054430825397390e+02, 2.935024576672454373e+02, 2.944307882297028414e+02, 2.947131755560765782e+02, 2.936627412664558960e+02, 2.937555087436808776e+02, 2.951691598084185557e+02, 2.933521739876576362e+02
1.851000000000000000e+03, 2.930918774827982816e+02, 2.948827639168583232e+02, 2.954455197450868127e+02, 2.959107107240206460e+02, 2.942690520505150289e+02, 2.935216589914519432e+02, 2.958445129517363057e+02, 2.931438156697521435e+02, 2.941977339942991421e+02, 2.929749455989137914e+02, 2.945911828840168027e+02, 2.943319185650643703e+02, 2.940865332042024534e+02, 2.939756157319508816e+02, 2.958193303509796124e+02, 2.934092322003283471e+02
1.852000000000000000e+03, 2.932449999837658652e+02, 2.946736392421198047e+02, 2.954768871042567753e+02, 2.953883095908317955e+02, 2.939869094405702867e+02, 2.935462879507430216e+02, 2.952016355438727828e+02, 2.932558442079418342e+02, 2.944146583600537497e+02, 2.937152636232082159e+02, 2.945061427577896893e+02, 2.947174084419937117e+02, 2.941109110990156523e+02, 2.942793338219009343e+02, 2.953970159261236290e+02, 2.934610852218177115e+02
1.853000000000000000e+03, 2.932478193554487120e+02, 2.947175189940546716e+02, 2.955250006052233402e+02, 2.950343583602931972e+02, 2.945112913464506050e+02, 2.934515899543470141e+02, 2.956336786737940656e+02, 2.941948595981666585e+02, 2.953344366571248543e+02, 2.938174145539853157e+02, 2.947154675416130658e+02, 2.947576136201562349e+02, 2.933092508400236511e+02, 2.940854079733384197e+02, 2.955663341473461969e+02, 2.932978895548577611e+02
1.854000000000000000e+03, 2.934434444574804388e+02, 2.954008462513816653e+02, 2.959203685804566248e+02, 2.953313525707088729e+02, 2.946402151220237897e+02, 2.933551865485993631e+02, 2.958484584139624189e+02, 2.936097668654601875e+02, 2.945847329437739290e+02, 2.931820746873848407e+02, 2.946075462533649443e+02, 2.948470310646938515e+02, 2.936952126203868829e+02, 2.933744172109543342e+02, 2.960252830648163354e+02, 2.933752236944877154e+02
1.855000000000000000e+03, 2.932648737354725768e+02, 2.951836070858614107e+02, 2.956818368302334079e+02, 2.956229389555136322e+02, 2.937138429576074827e+02, 2.935314618912439641e+02, 2.955978671448086175e+02, 2.930033380155173290e+02, 2.945072174622444550e+02, 2.928410217546663716e+02, 2.941181615676900378e+02, 2.950477937940959237e+02, 2.930442927114439726e+02, 2.935611174249460760e+02, 2.953595193808544082e+02, 2.936555911006819315e+02
1.856000000000000000e+03, 2.932371872925781418e+02, 2.944179981642833468e+02, 2.959180935365844789e+02, 2.956663388181154914e+02, 2.940204928433905707e+02, 2.935973048006864587e+02, 2.957221008407839236e+02, 2.929506270416056850e+02, 2.945315791073109040e+02, 2.934208186226984481e+02, 2.943278920309943487e+02, 2.952374597501353719e+02, 2.935617118129056280e+02, 2.939028994331555964e+02, 2.952436756528006754e+02, 2.934307942816853938e+02
1.857000000000000000e+03, 2.932858728367839944e+02, 2.942869148393769478e+02, 2.956349169398436061e+02, 2.958172534388137365e+02, 2.944279577192037323e+02, 2.935734220960718517e+02, 2.959286516364961130e+02, 2.931423306021827102e+02, 2.944324608693612504e+02, 2.935244567159627991e+02, 2.944801545235354752e+02, 2.950960238984705484e+02, 2.937176316551567652e+02, 2.937041145934114752e+02, 2.959415895857241594e+02, 2.934062174231155495e+02
1.858000000000000000e+03, 2.931222930916259202e+02, 2.945558775215990295e+02, 2.951683829711915905e+02, 2.956006252410120965e+02, 2.945083426673843405e+02, 2.934033026162782107e+02, 2.958727837311203075e+02, 2.933449509753323241e+02, 2.943446819597581339e+02, 2.933818547969143538e+02, 2.944589003255345006e+02, 2.946091362872257946e+02, 2.932443366774848528e+02, 2.940157813083075666e+02, 2.955522080654723140e+02, 2.934396414645667619e+02
1.859000000000000000e+03, 2.933951320717821432e+02, 2.945762916450765374e+02, 2.952850516357207766e+02, 2.950704557229374814e+02, 2.941193812414180115e+02, 2.934853232448589893e+02, 2.958717359145574619e+02, 2.931798197494931628e+02, 2.945990905907535193e+02, 2.933880571283451104e+02, 2.945207950623068882e+02, 2.947427912671648755e+02, 2.939025087644810696e+02, 2.934880779491704175e+02, 2.951199297334662788e+02, 2.935521901753532461e+02
1.860000000000000000e+03, 2.933707363303975058e+02, 2.948038742043760863e+02, 2.955574080278396423e+02, 2.957628605063584928e+02, 2.944245597515847521e+02, 2.933578117097715108e+02, 2.956637750613687672e+02, 2.934195576482983938e+02, 2.947777060988067888e+02, 2.931062854742879722e+02, 2.940569135620018528e+02, 2.945576694475972204e+02, 2.941278955728645883e+02, 2.937796443887954183e+02, 2.948652003412461795e+02, 2.933191181461334054e+02
1.861000000000000000e+03, 2.933826253743374082e+02, 2.943495721446696507e+02, 2.955704259230501521e+02, 2.954526680029275667e+02, 2.948172090544342723e+02, 2.931169297584276592e+02, 2.956990935089509094e+02, 2.942179789258736378e+02, 2.943099307776238334e+02, 2.930003905412503400e+02, 2.946253068557672918e+02, 2.944384794377401136e+02, 2.934184605217295143e+02, 2.938628192817661215e+02, 2.949756108335542990e+02, 2.933016649210175046e+02
1.862000000000000000e+03, 2.927932149218225391e+02, 2.945852235204274621e+02, 2.953520263383210249e+02, 2.952397026231377026e+02, 2.940263725789407658e+02, 2.933095454601890424e+02, 2.958368736738455596e+02, 2.931743115915563749e+02, 2.937958454935144914e+02, 2.930765191289983136e+02, 2.945032647720566956e+02, 2.943247304221255831e+02, 2.937366384464842781e+02, 2.932372258466731978e+02, 2.950904518847396503e+02, 2.932540689717324085e+02
1.863000000000000000e+03, 2.931101921161992436e+02, 2.947882759531042893e+02, 2.962477312182138007e+02, 2.952046576907754343e+02, 2.943630079313656438e+02, 2.933807477180760657e+02, 2.953294237256650945e+02, 2.933052613405927787e+02, 2.944464437630231259e+02, 2.929807358965249477e+02, 2.946321608439849911e+02, 2.944742551475707160e+02, 2.939878740374028325e+02, 2.936922003293416878e+02, 2.954888898800990091e+02, 2.931051789622177921e+02
1.864000000000000000e+03, 2.933015548604527112e+02, 2.950265567073483339e+02, 2.961402036713390657e+02, 2.957119419836308793e+02, 2.942885483276741638e+02, 2.933344102760029273e+02, 2.951227521624660994e+02, 2.935881872177554328e+02, 2.941422905944681929e+02, 2.935912693651119412e+02, 2.949204356312476420e+02, 2.947062929368065056e+02, 2.941666140926949424e+02, 2.933922330629333715e+02, 2.961794608935884412e+02, 2.935062725682241194e+02
