year, CMCC-ESM2, IPSL-CM6A-LR, CNRM-ESM2-1, INM-CM4-8, TaiESM1, GFDL-ESM4, INM-CM5-0, UKESM1-0-LL, ACCESS-ESM1-5, NorESM2-LM, CanESM5, MPI-ESM1-2-LR, MIROC-ES2L, NorESM2-MM, EC-Earth3-Veg, CESM2-WACCM
1.850000000000000000e+03, 2.552256429936838433e+00, 3.135649312272560607e+00, 2.492400759557858780e+00, 2.465626666213518892e+00, 3.693624916062967500e+00, 3.804904196962094698e+00, 2.545153720612502113e+00, 4.572430671099679600e+00, 1.993270073327548353e+00, 2.533642775251604640e+00, 2.115240010434554119e+00, 3.266140619360053510e+00, 2.734546468351659598e+00, 2.437056575428110605e+00, 4.251431364621228504e+00, 2.492335677586972054e+00
1.851000000000000000e+03, 2.563846819302402658e+00, 3.114664001042348751e+00, 2.340957405004405967e+00, 2.488795816074725664e+00, 3.583840661413516759e+00, 3.976825328707633389e+00, 2.492460593348064357e+00, 4.590371834232457537e+00, 2.111198977718296010e+00, 2.481543265318309377e+00, 2.152599597541437593e+00, 3.226680009016886341e+00, 2.733809984088303668e+00, 2.419313287923022138e+00, 4.111032268498751030e+00, 2.493048298533855789e+00
1.852000000000000000e+03, 2.601116907965075331e+00, 3.067005291765326103e+00, 2.251783450445237644e+00, 2.454299177373455709e+00, 3.656885410847266371e+00, 4.177022046646329478e+00, 2.438972638396394998e+00, 4.586722627218806636e+00, 2.216661140152178078e+00, 2.461326483690203126e+00, 2.157512009365187389e+00, 3.181443049451532001e+00, 2.715570826767454093e+00, 2.392141070114226498e+00, 4.100313439429196904e+00, 2.442812281026784937e+00
1.853000000000000000e+03, 2.614819211627260831e+00, 3.028098759182572319e+00, 2.428930915874887742e+00, 2.447789013587828855e+00, 3.719310634353042211e+00, 3.778993757880648285e+00, 2.520218920032231136e+00, 4.580011578290500651e+00, 2.257476145360808317e+00, 2.442961951375523633e+00, 2.098689252294613006e+00, 2.929728576049421829e+00, 2.712958430086026773e+00, 2.404019792237806374e+00, 4.021572124606539234e+00, 2.439459517313158354e+00
1.854000000000000000e+03, 2.620347477765098354e+00, 3.073870369162725158e+00, 2.435915632005378750e+00, 2.463083821672821472e+00, 3.546963030419044927e+00, 3.853187602455535821e+00, 2.447729961551779354e+00, 4.569759247333917251e+00, 2.165138131885881556e+00, 2.430579866637323505e+00, 2.118520985874160267e+00, 3.200975226281952857e+00, 2.720074755668222544e+00, 2.437976599887009765e+00, 4.097134699695835103e+00, 2.471026358288809899e+00
1.855000000000000000e+03, 2.653806036922861100e+00, 3.124405735566851305e+00, 2.418128449397389357e+00, 2.485286459449918883e+00, 3.578516908914873618e+00, 4.176595308769726955e+00, 2.487066811809512501e+00, 4.551210581428583701e+00, 2.161744556314187715e+00, 2.412696806979341524e+00, 2.132548719275293436e+00, 3.485552155686555409e+00, 2.718726794659829693e+00, 2.478950928952625254e+00, 4.232369452205483995e+00, 2.445383133996632097e+00
1.856000000000000000e+03, 2.482296333054949677e+00, 3.135562507631084461e+00, 2.445485079145978347e+00, 2.445156168336114266e+00, 3.746712782871788772e+00, 4.066076341947010064e+00, 2.534126088076878780e+00, 4.574728135795564476e+00, 2.168405007254148753e+00, 2.456452909983759092e+00, 2.179470148709579558e+00, 3.533513554207360130e+00, 2.733789129094160497e+00, 2.531680826402344042e+00, 4.211007240557924192e+00, 2.453697227944354076e+00
1.857000000000000000e+03, 2.465855075353295067e+00, 3.098329681571438510e+00, 2.467047656028650504e+00, 2.405198150970802917e+00, 3.682244830153902804e+00, 3.856182444070987980e+00, 2.515915018940520387e+00, 4.573065211908802219e+00, 2.174141152977731029e+00, 2.497102638736043101e+00, 2.191710358129971503e+00, 3.423810120186646433e+00, 2.722499279262424743e+00, 2.564904255454053761e+00, 4.077467939477643633e+00, 2.448407992701225222e+00
1.858000000000000000e+03, 2.627733975660142995e+00, 3.120835459621320584e+00, 2.442685463168108306e+00, 2.470257735888730988e+00, 3.520282197827222515e+00, 3.941301187353066560e+00, 2.529939305202391964e+00, 4.579811779033059693e+00, 2.194232913248140626e+00, 2.469264314006280436e+00, 2.211701427374228590e+00, 3.355208226178952646e+00, 2.708134740669378093e+00, 2.558935956071344719e+00, 4.150450723597543856e+00, 2.484415995354752216e+00
1.859000000000000000e+03, 2.772108447821892252e+00, 3.079673912957911597e+00, 2.414195336598025765e+00, 2.400093195560724535e+00, 3.481150075174174408e+00, 3.810651968495969211e+00, 2.487705986189506113e+00, 4.579474194427750611e+00, 2.302596079593156375e+00, 2.438340101828449846e+00, 2.151711578732069530e+00, 3.358521761700705710e+00, 2.712147095706548328e+00, 2.504278388114689946e+00, 4.166434366600973327e+00, 2.489344355432166811e+00
