year, CESM2-WACCM, GFDL-ESM4, CanESM5, CNRM-ESM2-1, MPI-ESM1-2-LR, CMCC-ESM2, MIROC-ES2L, UKESM1-0-LL
1.850000000000000000e+03, 2.470169987785123840e-10, -1.302769091301906514e-09, -1.709655291887744834e-09, 5.865599918670150617e-11, 7.671386885304259152e-10, -4.525670097587943792e-10, -5.882945550013691561e-10, 2.806886167874587384e-11
1.851000000000000000e+03, -3.136802926431445941e-10, 2.008561813847234336e-09, -2.716770957308951050e-10, -1.210729143651695841e-09, -5.710340333356100639e-10, -2.278952747934659021e-10, -1.008128363915792418e-09, -4.719127048795351732e-11
1.852000000000000000e+03, -7.962054562331716133e-10, 9.416766114203592681e-10, -8.873270597806643846e-10, -5.206867856893910756e-10, -8.185584270383046841e-10, -1.832788863590610894e-10, -3.797810842898145520e-10, -1.466522681647685582e-10
1.853000000000000000e+03, -3.208562440465825154e-10, -3.322193087408577965e-09, -2.844511141172095328e-09, 1.072117082337241870e-09, -2.662877199095059599e-09, -5.803798014315111208e-11, 5.332719391028820092e-10, -7.430629352903171938e-10
1.854000000000000000e+03, -1.899155130787098960e-10, -1.512047206912032766e-10, -5.814194722000955583e-10, -1.509288470561598017e-10, -3.985157892972606943e-10, -5.837134121406392366e-10, 8.409568772001693171e-10, -5.049018071629563889e-10
1.855000000000000000e+03, -5.382357015134537672e-10, 3.482122575875228598e-09, -2.143306743996253903e-10, 4.706578977541845351e-10, 1.296643078702557336e-09, -7.091376211079220314e-10, -6.112955735161383638e-10, 1.027541919632703707e-09
1.856000000000000000e+03, -6.038319246984596476e-10, -1.071613049202526053e-09, -1.384539185160498833e-10, 1.175635947485387158e-10, 1.593805740581386320e-09, 7.711997907317155736e-10, -8.698594786175758411e-11, -2.004728200486033165e-11
1.857000000000000000e+03, -6.775224235115508373e-10, -6.830274958583884574e-10, 3.034047104942777413e-10, 1.160513868506067048e-10, 9.088006660552322083e-10, -1.022782326118710467e-09, -2.601388157140825213e-10, 2.698415696588267040e-10
1.858000000000000000e+03, 2.783327917179458022e-10, 8.378395983303319533e-10, 4.127848372131206184e-10, 7.432640476717622587e-10, -1.310688546723227249e-10, -1.032948466800838701e-09, -7.032548772753378387e-10, 6.225315122864693335e-11
1.859000000000000000e+03, -1.479507055905654207e-10, -1.916837501599558648e-09, 2.090824773892360591e-11, -1.011820518186430254e-09, 6.653312230113964612e-11, -6.390386690099668268e-10, 6.694161302359935712e-11, -2.514446739225909486e-10
1.860000000000000000e+03, 1.302059713106814797e-10, 2.348943437065601569e-09, -1.000685402342268163e-09, -8.158118826347979304e-10, -1.661945713191981367e-09, 2.695508703557839917e-10, -6.127456979287700963e-10, 1.289324555472120546e-09
1.861000000000000000e+03, 2.111883828732062145e-10, 8.562068280721638958e-10, -2.232118490256929004e-10, 3.799153348134623646e-10, -1.899339869014060079e-09, -8.697763312754227117e-10, -2.244629061505652021e-10, -1.411597281040537166e-10
1.862000000000000000e+03, 4.884368853541980149e-10, -2.423099380853651081e-10, 1.564524629358900116e-09, 4.056947031329304101e-10, -8.490811471921753044e-10, 2.370003713762941768e-10, 3.714860435544731216e-10, -5.320352709377303824e-10
1.863000000000000000e+03, -1.717942823538486200e-10, 1.438239059231524125e-09, 1.234149224313754301e-09, -1.175597254559991021e-09, 6.755113188658025804e-10, -5.648450627752691087e-10, -1.743718532877257980e-10, -7.204457545273664103e-10
1.864000000000000000e+03, -4.284747096729706547e-11, -2.945639802943452016e-09, 6.870870525405265804e-10, -4.386034356885964417e-10, 4.661994695878987425e-10, -7.414822085975959515e-10, -2.006929697615702057e-10, -1.741680411356681560e-09
1.865000000000000000e+03, -1.352587089864832011e-10, -1.718983821358761255e-09, 1.053174177829714649e-09, 5.503110522822231139e-10, -2.901451590133716119e-10, -7.080106663976116871e-10, -1.349124385568858706e-09, 2.139271747455523765e-10
1.866000000000000000e+03, -7.866511046674724926e-10, -1.689502441187336416e-09, -1.562240301648377677e-09, -1.487134106500842498e-09, 5.418085833963234576e-10, 4.116986188772104098e-10, -6.546416783734179438e-10, 2.981479747740103016e-10
1.867000000000000000e+03, -5.833574961994867971e-10, -2.219163597190083099e-09, -1.069027826288457993e-09, 2.308813290127243318e-10, -1.886873978837213928e-10, -1.547814800417445313e-10, 1.021185559128411511e-09, -3.500922737747903432e-10
1.868000000000000000e+03, 1.655099646738111011e-10, -8.140113827188466273e-10, 6.329626632757921978e-10, -3.947988124944655469e-10, 2.820871029598574354e-10, 1.166903926400156766e-10, 5.893844986019126390e-10, 1.287540898660861445e-10
1.869000000000000000e+03, 2.107524181186440751e-10, 2.650710533538257547e-09, 1.067691658512364279e-09, -1.077478933975530785e-10, 1.891312502285740512e-10, -1.151550609065116798e-09, 6.357405585168518559e-10, 1.573690361951452781e-09
