year, UKESM1-0-LL, CESM2-WACCM, CNRM-ESM2-1, ACCESS-ESM1-5, MIROC-ES2L, MPI-ESM1-2-LR, IPSL-CM6A-LR, CMCC-ESM2
1.868000000000000000e+03, 1.633323393427542684e-13, 3.833090021653509598e-11, 1.317052557329877412e-12, 2.626022213845653520e-11, 1.618810542645781281e-10, 2.992453586977604472e-10, 1.842092428493726194e-10, 1.013831714876556979e-11
1.869000000000000000e+03, 1.619745413617966018e-13, 3.898512548357243834e-11, 1.317682217125657357e-12, 2.667287755263263027e-11, 1.609772489171713853e-10, 2.965042008220256277e-10, 1.825842640188198942e-10, 1.032240607384490689e-11
1.870000000000000000e+03, 1.927773197194683044e-13, 3.864792958622599913e-11, 1.318080486874237920e-12, 2.685979778593158463e-11, 1.668382463069362727e-10, 2.973677146515672104e-10, 1.851476570653428867e-10, 1.131181316496286752e-11
1.871000000000000000e+03, 2.353731424285013556e-13, 4.243757187099733033e-11, 1.325200678697942264e-12, 3.230091870234460277e-11, 1.682579194054725269e-10, 2.968354581919572207e-10, 2.080706377981019420e-10, 1.288338596279319775e-11
1.872000000000000000e+03, 3.193392537879009005e-13, 4.387298751455653238e-11, 1.434209463206841280e-12, 3.453769110387707253e-11, 1.699373837555760895e-10, 2.961949916122521859e-10, 2.049969702931684596e-10, 1.416442945168893049e-11
1.873000000000000000e+03, 4.904738267260895740e-13, 4.428749868134651185e-11, 1.543150718706048713e-12, 3.636840341042270387e-11, 1.714285198435866811e-10, 2.964349876533884609e-10, 2.067135894534494518e-10, 1.522675769905667596e-11
1.874000000000000000e+03, 7.297688052672617189e-13, 4.913509434971805873e-11, 1.662957351044677313e-12, 3.713934345123600284e-11, 1.725956777855719376e-10, 2.941959708472490120e-10, 2.031490482931759030e-10, 1.611968336035507801e-11
1.875000000000000000e+03, 8.861856621124105528e-13, 5.005139249405383507e-11, 1.776084513790236987e-12, 3.777712339927595648e-11, 1.732006405014364105e-10, 2.937880681253528341e-10, 2.067597691450147984e-10, 1.687887467137676295e-11
1.876000000000000000e+03, 9.666546097124881359e-13, 5.119365516031310513e-11, 1.891825421202813880e-12, 3.862417717975160645e-11, 1.742564695069198524e-10, 2.943907657713546579e-10, 2.092031199954396015e-10, 1.753063506884586560e-11
1.877000000000000000e+03, 1.037826442098521385e-12, 5.044491436115862512e-11, 2.007894139543763168e-12, 3.924777635433342244e-11, 1.759071268190962388e-10, 2.949235920455511886e-10, 2.154040898505324664e-10, 1.809725710642671587e-11
1.878000000000000000e+03, 1.116405731078903108e-12, 5.276542258355404336e-11, 2.129303411260022512e-12, 3.966016488538489160e-11, 1.759840341048182964e-10, 2.934549453911770819e-10, 2.118081674113312228e-10, 1.859753573457280683e-11
1.879000000000000000e+03, 1.095569848377712077e-12, 5.398120597238742724e-11, 2.258770999547396747e-12, 3.969323512314475649e-11, 1.757844681888157429e-10, 2.911223199862777653e-10, 2.144972669604135802e-10, 1.903640733080859730e-11
1.880000000000000000e+03, 1.422782550867391344e-12, 5.395012469471035712e-11, 2.384349876865192480e-12, 4.027741115602050685e-11, 1.966718079939701000e-10, 2.938973696793544553e-10, 2.133344966639731334e-10, 1.979985048595721301e-11
1.881000000000000000e+03, 1.963168532726120933e-12, 5.543441722247973819e-11, 2.479351983351901141e-12, 4.597876295853097614e-11, 2.050817427333047783e-10, 2.996458472923071533e-10, 2.209763292038793572e-10, 2.081129615755763966e-11
1.882000000000000000e+03, 2.182454063019609352e-12, 5.805468512573849629e-11, 2.728477172249445221e-12, 4.814379175957351798e-11, 2.089650426715233909e-10, 3.031017032921117762e-10, 2.277877024006462230e-10, 2.167715437373431600e-11
1.883000000000000000e+03, 2.136904900733253925e-12, 6.360844416900799887e-11, 3.021266862944871219e-12, 4.991308914368234995e-11, 2.117616417946834374e-10, 3.058738129246248179e-10, 2.242818042657322703e-10, 2.242256806878857673e-11
1.884000000000000000e+03, 2.055447575543675671e-12, 6.327979859245697253e-11, 3.323484552027617280e-12, 5.113790132933413559e-11, 2.159253318795939271e-10, 3.066165914588511737e-10, 2.314639899852324325e-10, 2.306949610840373898e-11
1.885000000000000000e+03, 2.030541622816753787e-12, 6.355931415953222711e-11, 3.633990726707834698e-12, 5.142788270407407729e-11, 2.179418472248037918e-10, 3.107858044021079552e-10, 2.257472418435491463e-10, 2.364391030676889705e-11
