year, CMCC-CM2-SR5, UKESM1-0-LL, MIROC-ES2L, ACCESS-ESM1-5, MPI-ESM1-2-LR, CESM2-WACCM, CNRM-ESM2-1, EC-Earth3-Veg, IPSL-CM6A-LR
1.850000000000000000e+03, 2.279077666003264269e-03, 5.559297476958007504e-05, 1.389377725963990562e-01, 0.000000000000000000e+00, 8.263254926496554909e-02, 3.383709161611806772e-03, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.991296844288328871e-02
1.851000000000000000e+03, 6.316694586718228990e-03, 1.330589410508986365e-04, 1.714668487523709761e-01, 1.839688636087568469e-02, 1.589168706644299989e-01, 1.362517677181605824e-02, 5.225129790168522208e-04, 3.446706525236886004e-03, 2.365180975589203927e-02
1.852000000000000000e+03, 9.673069378460944293e-03, 1.781632911252592705e-04, 1.940804361659177468e-01, 3.373535224936010518e-02, 2.036108083381411027e-01, 2.269058663865235193e-02, 9.943204413265418606e-04, 7.505215348522080963e-03, 2.581112645527543561e-02
1.853000000000000000e+03, 1.246321493253154701e-02, 2.149684475315530004e-04, 2.102178590259318192e-01, 4.793271791359871026e-02, 2.366656681648964256e-01, 2.989923822957720606e-02, 1.431799885986611860e-03, 1.164847289926661603e-02, 2.755864178097821790e-02
1.854000000000000000e+03, 1.482206610937021260e-02, 2.430091414126677124e-04, 2.221788989388319702e-01, 6.054888700958129671e-02, 2.609546609272768158e-01, 3.578019061794043137e-02, 1.826213924942150140e-03, 1.571034535777128538e-02, 2.891710863664423425e-02
1.855000000000000000e+03, 1.683485426275120947e-02, 2.541427006540400565e-04, 2.307308920370639560e-01, 7.269108628905968095e-02, 2.810507474069187106e-01, 4.041883739488912747e-02, 2.175722090893405375e-03, 1.959077644768955281e-02, 3.013723631626853347e-02
1.856000000000000000e+03, 1.858601110008096038e-02, 2.409853024864016060e-04, 2.371477287064728823e-01, 8.426222272072732278e-02, 2.960356042994188863e-01, 4.449408436372295772e-02, 2.475132589767408200e-03, 2.329022375400699452e-02, 3.129053147781078736e-02
1.857000000000000000e+03, 2.013454418546305191e-02, 2.486876597989788932e-04, 2.425382861117321709e-01, 9.573794002296029393e-02, 3.073309413266861467e-01, 4.797755434913539285e-02, 2.730979125885332238e-03, 2.685596403689680459e-02, 3.223858797784823205e-02
1.858000000000000000e+03, 2.151140584372124992e-02, 2.510286720870680017e-04, 2.468112766498458399e-01, 1.057417510514764847e-01, 3.155886987018947654e-01, 5.056099323755852692e-02, 2.943214701013745303e-03, 3.015144364939507590e-02, 3.276561830132473235e-02
1.859000000000000000e+03, 2.274386182632417985e-02, 2.491623922231083052e-04, 2.497862932507143030e-01, 1.159152372848470114e-01, 3.212722609444111921e-01, 5.322806253369788410e-02, 3.112369722486960262e-03, 3.286716241647298642e-02, 3.322006016513639332e-02
1.860000000000000000e+03, 2.405958752108450921e-02, 2.434362872523231156e-04, 2.483017643046125933e-01, 1.262542988946793177e-01, 3.250240152060415166e-01, 5.548398522138101030e-02, 3.186837220160622028e-03, 3.486636507321581174e-02, 3.376502493852353431e-02
1.861000000000000000e+03, 2.542574673247239778e-02, 2.359993180566633648e-04, 2.478282019112279522e-01, 1.350767395580246000e-01, 3.267176009026533379e-01, 5.764258752626203602e-02, 3.202139937770471633e-03, 3.567627803825580007e-02, 3.403867528064145193e-02
