year, GFDL-ESM4, CanESM5, CNRM-ESM2-1, TaiESM1, CESM2-WACCM, NorESM2-LM, MIROC-ES2L, ACCESS-ESM1-5, IPSL-CM6A-LR, NorESM2-MM, UKESM1-0-LL, EC-Earth3-Veg, INM-CM4-8, INM-CM5-0, CMCC-CM2-SR5, MPI-ESM1-2-LR
2.035000000000000000e+03, -7.230936928561516874e-02, -4.687068906986516792e-01, 3.743338328666006576e-01, -5.029146534028592352e-01, 1.142366180457499825e+00, 1.993415677921408710e-02, 1.152810023239082104e+00, 3.151452160388785728e-01, -6.645871121752524591e-01, 7.386064113329628977e-01, -2.926481454856767056e-02, 6.614177542855030900e-01, -1.042836888837920806e-01, 6.779155293375562774e-01, 1.933911786388015086e-01, 3.767022865238811580e-01
2.036000000000000000e+03, 2.534967467471560543e-01, -2.114398038921394996e+00, 1.430303505323904822e+00, -8.587705307972665070e-01, 1.074560449598833234e+00, 5.938969576751081947e-01, 2.745452012331942027e-01, -2.075013274147640419e-01, -2.673128904640728054e-01, 6.562330712712642899e-01, 6.133077961145143586e-01, -2.123449434868439401e+00, 1.609774580698914104e+00, 1.478236654470798106e+00, 1.118363393066700018e-01, -2.132286509307863495e-02
2.037000000000000000e+03, -3.478700391372357287e-02, -1.990825902708517781e+00, 2.917532696206004972e-01, -2.018257940358025304e-01, 8.012750045766847684e-01, 1.027993458244416347e+00, -7.854973578301817361e-02, -2.077539188610607823e+00, 7.941835228734823726e-01, 3.263011789580919642e-01, 7.120241377692582141e-01, 9.935698561947554630e-01, 8.583174967927322818e-01, 1.259080789609036577e+00, 4.263314292047846732e-01, -5.926861294694842075e-02
2.038000000000000000e+03, -6.741089617364346420e-01, 1.249366566354277036e-01, 1.005021705134656385e+00, 7.323186220529973589e-01, 5.759620955620399219e-01, 1.152983081043683189e+00, 2.564631290601006586e-01, 1.691415229979022494e-01, 6.531482261624135255e-01, 7.958055822904224197e-01, -8.371356827379038412e-01, 1.179978675366295082e+00, 5.476615382280923816e-01, 9.177408758878539130e-01, 2.712605517801358612e-01, 6.374205993473609499e-01
2.039000000000000000e+03, 7.918524485477796970e-01, 1.023908393491341634e-01, -1.285727639583475190e-01, -3.415758023055805448e-01, 1.020078338548146002e+00, 1.109877728044060818e+00, 1.040133746464088516e+00, 1.032482234961433321e+00, 2.811417667983801549e-01, 8.781940720915881737e-01, -2.550820742806052255e-02, 7.207726254244254394e-01, 1.615839355989711512e+00, 5.690814552777110347e-01, -1.770541906452373082e-01, 1.498626183108062171e-01
2.040000000000000000e+03, 1.392238620204782729e+00, 1.882853518386093938e+00, 1.129552149218676221e-01, -3.699381960723875373e-01, 9.248704270679181105e-01, 7.522593615012516111e-01, 1.214049913211698639e+00, 6.611939286224590706e-01, 7.007838251453915035e-01, 9.248303096598986528e-01, -3.160148135615753473e-01, 1.252016389573211708e+00, 1.579663613705794667e+00, -1.032247762181481177e+00, 7.223680878048079068e-02, 1.894409135419757195e+00
2.041000000000000000e+03, -9.703635235355884125e-01, 1.197915421535454161e+00, -5.208689985660029942e-01, -5.941228388896048207e-01, 1.125273327442882998e+00, 5.308091173921555272e-01, 9.013823451101891093e-01, 1.542609068399429129e+00, 4.837499108089831079e-01, 8.739917033116443301e-01, 1.474906740957774576e-01, 1.697499071284052308e+00, 1.973839468835473510e-01, 1.193681196126379351e+00, 4.882421834175320052e-01, 1.014156390542883202e+00
2.042000000000000000e+03, -1.400937923818664332e+00, 9.687245059323864593e-01, 1.955127896667354093e-01, 6.233114759464900706e-02, 1.454506632735566241e+00, 9.178511065638045308e-01, -9.730657358959082792e-02, -1.672861867058864360e-01, 1.283154716421909258e-01, 5.365080721128296926e-01, 6.976022185923900221e-01, -1.911597133890494127e-02, 1.616552156995831657e+00, 1.341461341892459247e+00, 1.485828400618459111e-01, 6.422964549575365112e-01
2.043000000000000000e+03, 7.796438175537526716e-01, -9.340033983083674551e-02, -4.583411384382605758e-01, 1.660796633347014217e-01, 1.277440253785518287e+00, 6.616035416364575150e-01, 7.815482926787554740e-01, 5.628773600283948353e-01, 9.488626683751006929e-01, 3.514335546269646837e-01, -6.328072356844356428e-01, -1.916994608063316008e-01, 7.336013272112094086e-01, 1.691840104476507234e+00, 1.437445434380860976e-01, 2.769823860160190998e-01
2.044000000000000000e+03, 3.769425934344592388e-01, -2.105892878074663577e-01, 6.640807590635403601e-01, -7.410428044004639947e-01, 1.219771324820867919e+00, 7.217187610758739602e-01, 1.171514913867394370e+00, 5.030464097736356832e-01, -2.359565460346372667e-03, 6.937936388312896385e-01, 2.761234261764168585e-02, 8.766815098515583493e-01, 5.058774657024125432e-01, 1.300603520862556817e+00, 2.513872195840012314e-01, -6.508577194253599707e-01
2.045000000000000000e+03, -8.923474320990828490e-01, -1.190066123483469962e+00, 5.815006238933880800e-01, -8.010543118452106981e-01, 1.197146525472203793e+00, 9.308026061766671022e-01, 9.588514694539030936e-01, 6.578360840249668495e-01, 3.238486484685482725e-01, 7.467547444095140596e-01, -3.463790040947216653e-01, 2.211772845708933066e-01, 2.091877127038792139e+00, 3.919422696294643238e-01, 4.586238696013739680e-01, -3.073988570003464704e-01
2.046000000000000000e+03, -4.054881629331749671e-02, 4.226327791974884840e-01, 9.351941322320067584e-02, -3.055654366284385470e-02, 1.238752315263183634e+00, 9.681556380482290169e-01, -2.470815004210552279e-01, -3.290248349741095590e-01, 5.353445555432145841e-01, 1.154939389713014242e+00, -1.365449921550245582e+00, 8.998413352210447025e-01, 6.427452527959233164e-01, 1.055575455198819901e+00, 1.172184626104321309e-01, 2.775878765913971091e-01
2.047000000000000000e+03, -1.931895370494073061e-02, 2.117829642098553844e+00, 5.854070835455201655e-02, -1.744177823603468014e-01, 1.370252842270552662e+00, 8.843145035849140356e-01, 4.431281883542289024e-01, -4.642673838981936640e-01, -5.252877814864751471e-01, 2.277826982447027082e-01, -5.905995096314182735e-01, -1.186217555329781348e+00, -7.944154802626967049e-01, -5.796128244329376011e-01, -8.728607614400710202e-02, 1.017453558224793220e+00
2.048000000000000000e+03, -1.645200478195740557e+00, 1.361694733185959127e-01, 1.985742015768030277e-01, -9.979340216594221324e-01, 1.254754463676913456e+00, 6.237760544411321550e-01, 6.973314415792146725e-01, -2.831689211559139663e-01, 7.700679245862321887e-01, 6.574544177831092018e-01, -4.795170907740330390e-01, -1.303680509417108890e-01, 1.424696866315911858e+00, -1.565868488965404537e-01, 4.693570599217983252e-02, 2.067435306388508698e-01
2.049000000000000000e+03, -1.710709904744794618e-01, -1.133676444309183351e+00, -1.228346101769587806e+00, -1.053669951030115209e-01, 1.126503293301311270e+00, 6.904961716374033998e-01, 6.746108531925462115e-01, 2.231725358844809659e-01, 1.625288248019347570e-01, 1.238590598754687466e+00, -3.555246647197421450e-01, -1.019724404168915077e+00, 1.466519691189888119e+00, 2.085855890892967412e+00, 3.084694915410616245e-01, 7.252567132548219664e-02
2.050000000000000000e+03, 3.965439578689818750e-02, -2.508520864100525660e+00, 4.012751741337515776e-01, -1.457217723505012663e-01, 1.587443326951186284e+00, 9.324620984673004376e-01, -3.976827877682780343e-01, -6.967240431147159185e-02, 3.378994261187280579e-02, 1.177394843195988861e+00, -1.002000318284311353e+00, 4.906988673904984499e-01, 1.459268793469654879e+00, -7.191559165348079263e-01, 6.801528067757696139e-01, 9.701227164971482075e-01
2.051000000000000000e+03, -5.014491414302096217e+00, 3.757196475061972962e-01, 6.724160125149662992e-01, -7.494310084123786408e-01, 1.412499780399844251e+00, 8.622104754407799998e-01, 4.547150566779036701e-03, -1.465368622816107247e-01, 3.448506630080856450e-01, 6.253382037050458919e-01, 5.362010755497907954e-01, 7.434642496933805411e-01, 9.242075213633833553e-01, 1.266693943016313995e+00, -2.248853756994288744e-02, 1.247242479241912116e+00
2.052000000000000000e+03, 1.559559079815100724e-01, 2.124880843523192286e+00, 4.388720272098671493e-02, -1.007984935414585559e+00, 6.593210391098081047e-01, 7.994839724037140494e-01, 1.252012938860083358e+00, -8.762050517404665895e-01, -1.124007408652955287e-01, 8.097924154836289024e-01, 2.947685426131559372e-01, 8.972535049996003265e-01, 4.649263851944222536e-01, 7.091412230214635404e-01, -6.963714870953903457e-02, 1.098467642124769883e+00
2.053000000000000000e+03, -2.404708920216581947e-01, -2.121353481820764941e-01, 1.736586227360667756e-01, -8.125948001385938646e-01, 8.113450694212700487e-01, 8.336134777827333142e-01, 1.152101579277495125e+00, -6.193576325910918889e-01, 5.503147204814838878e-01, 1.111701348013204527e+00, -1.025754530803065084e-01, 6.562571865578982200e-01, 5.623193675990051377e-01, -3.564817660930668097e-01, 2.047687203813413903e-01, 8.195799820112412704e-01
2.054000000000000000e+03, 9.033257083496557538e-01, -4.091058411454751020e-02, 7.641149979819046312e-01, -1.189032827601740755e-01, 2.081589673869236101e+00, 8.753645619707861592e-01, 5.281228416965654260e-01, -2.964536771322026087e-01, 3.690387486745833612e-01, 6.417276032830854238e-01, 1.364338297276278533e+00, 1.035827309469415702e+00, 2.263727003222251621e+00, 7.818684327367829701e-01, 4.701452705713130564e-01, 2.937933084114406901e-01
2.055000000000000000e+03, 2.697363504979804816e+00, 9.294828143064725046e-01, -2.769149363549161524e-01, -1.052874983495768912e+00, 1.335073466425770849e+00, 3.821099373442208846e-01, -3.436383028609521495e-01, -3.543981539469593378e-01, 9.927921802495999481e-03, 6.436614976259813492e-01, 6.011920681869481475e-01, 7.093635010738820190e-01, 5.010456460893950581e-01, 8.654283242985179037e-01, 1.002573095195740810e-01, 3.096868451226085506e-02
2.056000000000000000e+03, 5.991489719015239412e-01, 1.046528233361980975e+00, 1.079516847569723215e+00, -7.292961633453812764e-01, 1.341103420402433022e+00, 2.723667418107881821e-01, 7.283508641219162139e-02, -1.185478334551194557e+00, -2.362270089383513780e-02, 1.055845260604864499e+00, 1.688709933539030539e+00, 1.154550001321196090e-01, 1.533244591514621780e+00, 3.846783425795541334e-01, 2.858402456334509512e-01, -6.978548373526866078e-01
2.057000000000000000e+03, 5.420161711146278538e-01, 1.143228910091988876e-01, 1.152299023282346846e-01, -1.708452390368274010e+00, 9.126272711459295639e-01, 5.906361002893201206e-01, 1.142569379630425486e+00, -1.702530247332878277e+00, 7.517569815384260723e-01, 7.920627431838384025e-01, 4.143667965750216786e-01, 6.900514294801461945e-01, 1.298028611411745192e+00, 1.209176646164498603e+00, 9.323922395945805075e-02, 1.136014031939893476e+00
2.058000000000000000e+03, -1.665552580266671523e-01, -4.349620260945689099e-01, 2.696260249532542869e-02, -1.805256274301584751e+00, 1.069143140946762438e+00, 1.045777834918049320e+00, 4.882056627487680878e-01, -1.739367908830764309e+00, -5.243353161363480952e-01, 6.619321725988862593e-01, -1.159586670146278475e+00, -5.059826251202850234e-01, 6.644480772738738938e-01, 3.016606384880369252e-01, 6.182626517023337431e-01, 1.887377178781605158e+00
2.059000000000000000e+03, -3.011383184397956603e-01, -4.915147804396113873e-01, 5.862847349844572120e-01, -2.074437433176703927e+00, 1.082063757776575930e+00, 8.550930834384210533e-01, -5.685917197726243488e-01, 1.007670908975591244e-02, -1.869453060140637835e-01, 9.885818616111986534e-01, -1.361486287518146876e-01, 1.914820135287393643e-01, 5.167501773647740215e-01, 3.826236566359965119e-01, 6.128498452836393939e-01, -1.076608517969308842e-01
2.060000000000000000e+03, -2.050510934190173273e+00, -9.722246241198727601e-01, 1.796033001199462062e-02, -3.386620764657154448e-01, 1.373369446499834945e+00, 8.770518375704499103e-01, 4.189084063303470939e-01, -1.775340657753308848e+00, 4.382732820451838984e-01, 6.937170818153046703e-01, 3.914363449641207193e-01, -1.208118155761742640e+00, 3.835406767489423774e-01, 4.236476646246700173e-01, -5.811128652301098541e-01, -1.113310218618545955e+00
2.061000000000000000e+03, -3.162084063325940164e+00, -2.316324951453554160e-01, 8.477542082655203926e-01, -1.303866185597112759e+00, 7.925952686876680531e-01, 7.741261087246259498e-01, 1.313952262600081022e+00, -5.268559624298323474e-01, 4.621257131711049571e-01, 4.987398658974712684e-01, 2.651761130921495013e-01, 8.778400649815033541e-01, 5.377019422124905690e-01, 1.889049095032776293e+00, 1.218515318702238504e-01, 5.709250735115873471e-02
2.062000000000000000e+03, -1.562971651250945948e+00, 1.715959251824226595e+00, 1.220554090613812231e-01, -2.205611848777666140e+00, 9.299898100594538031e-01, 7.520870487820524586e-01, 1.160527516157905614e+00, -1.373977672317162835e+00, -2.824458745022946915e-01, 6.474879370259432054e-01, -3.116434733511078137e-01, 2.873938178016208767e+00, 1.929975822279384190e-01, 1.903378421939538434e+00, 7.601932690785919711e-01, 2.128436097354997614e-01
2.063000000000000000e+03, 1.326069984260958901e+00, 5.402411317648823097e-01, -2.795869093664061361e-02, -1.753897615653008613e+00, 1.198219002468278394e+00, 8.211036937926243784e-01, -2.652683166912828475e-02, 1.060321001186482981e+00, -1.368596274305046694e-03, 1.592116426746601698e+00, -6.568832474509742614e-01, 1.429225822354219799e+00, -1.293357693429102007e+00, 1.165622607517435405e+00, -3.803476132372752838e-01, 1.334676338353489866e+00
