year, CMCC-CM2-SR5, GFDL-ESM4, MPI-ESM1-2-LR, CanESM5, CESM2-WACCM, UKESM1-0-LL, MIROC-ES2L, ACCESS-ESM1-5, EC-Earth3-Veg, NorESM2-LM, NorESM2-MM, IPSL-CM6A-LR, CNRM-ESM2-1, TaiESM1
2.015000000000000000e+03, 8.639968691154132685e+00, 1.144113704088197103e+01, 1.977131157682451601e+01, 1.470198078064297142e+01, 9.773151856296390605e+00, 1.775476628656256040e+01, 1.247914435340255324e+01, 1.183667010216675486e+01, 1.122270921543202427e+01, 1.025475857076730790e+01, 9.642069374333722465e+00, 1.144092813012830767e+01, 9.550909865753613559e+00, 1.160953506407943969e+01
2.016000000000000000e+03, 8.692835095817962099e+00, 1.142530919335652939e+01, 1.995412141228923630e+01, 1.402433418385152386e+01, 9.796433817341799966e+00, 1.834727057625956093e+01, 1.189261586269187099e+01, 1.187983332880374654e+01, 1.176224860510783898e+01, 1.031263493082476934e+01, 9.745766207467653430e+00, 1.168865739875113441e+01, 9.949986618447963949e+00, 1.154823282020958963e+01
2.017000000000000000e+03, 8.445046692313450620e+00, 1.123631858850449916e+01, 1.953670077071862465e+01, 1.481327457980401086e+01, 9.661364320392840099e+00, 1.803351230003338657e+01, 1.194014254052363810e+01, 1.183187515032904358e+01, 1.177411072633286793e+01, 1.049401168258327210e+01, 1.001680319435337552e+01, 1.235842123493354450e+01, 1.006564376042608977e+01, 1.136325389530096075e+01
2.018000000000000000e+03, 8.797015625084197765e+00, 1.104979401172356468e+01, 1.979723772428260631e+01, 1.436682568306306607e+01, 9.617370364902749102e+00, 1.742285725059798906e+01, 1.221720082612059777e+01, 1.215330633468802368e+01, 1.121974102234991832e+01, 1.075011529571238533e+01, 9.920928120521763205e+00, 1.194467688178959008e+01, 9.170624011944408238e+00, 1.125974571905395116e+01
2.019000000000000000e+03, 8.478318238509656268e+00, 1.083993084388663775e+01, 1.970370439128718942e+01, 1.494763337841762052e+01, 9.615649905729833691e+00, 1.871150214006789270e+01, 1.237961101066632708e+01, 1.215237002382715836e+01, 1.131804291468285051e+01, 1.059606274235005507e+01, 1.000821244123024556e+01, 1.180233442020687917e+01, 9.887287071768442459e+00, 1.141879278057140112e+01
2.020000000000000000e+03, 8.685270939802171242e+00, 1.114680755205544038e+01, 1.961290639938386704e+01, 1.511528600570308889e+01, 1.036428231538728184e+01, 1.929693069860225307e+01, 1.238536694406683658e+01, 1.204425925875671410e+01, 1.158504843251146532e+01, 1.060870046747911921e+01, 1.027933932408068429e+01, 1.199181526070688797e+01, 9.348451612158665824e+00, 1.161126964883807844e+01
2.021000000000000000e+03, 8.465884796952662938e+00, 1.140344603708308746e+01, 1.977020694822689251e+01, 1.458049261170262767e+01, 1.011899001125718911e+01, 1.907263666312228523e+01, 1.246410955036040313e+01, 1.199883837473865356e+01, 1.190024304524824750e+01, 1.080753395017933371e+01, 1.015478789254323644e+01, 1.198656410195500577e+01, 9.412029485523230932e+00, 1.115833727914342965e+01
2.022000000000000000e+03, 8.701161378727185536e+00, 1.113710705040654148e+01, 1.987293549598917153e+01, 1.473647801355543585e+01, 9.971871743728019766e+00, 1.901352680534237294e+01, 1.241170526833799848e+01, 1.195718247938074796e+01, 1.165938957526824282e+01, 1.069513651302345636e+01, 1.040620277149416673e+01, 1.185501967959694092e+01, 9.445174920033748478e+00, 1.164013972573033584e+01
2.023000000000000000e+03, 8.647015779482416065e+00, 1.106946829565531054e+01, 2.029572256395538332e+01, 1.514849797411121024e+01, 9.866225820795795798e+00, 1.794608143847323944e+01, 1.257567565473445370e+01, 1.228361300221879482e+01, 1.145963494126809046e+01, 1.095549329021584306e+01, 1.011211127298038726e+01, 1.192103112593532721e+01, 1.000317667260048182e+01, 1.154174988157217818e+01
2.024000000000000000e+03, 8.686988851832007086e+00, 1.118262919725672155e+01, 2.013251567085047355e+01, 1.455890601536357387e+01, 1.007646073132943165e+01, 1.804233974306483290e+01, 1.248222066266031405e+01, 1.212222592819094480e+01, 1.153811471431261282e+01, 1.078766681838664532e+01, 1.009285662940528105e+01, 1.182852996540623280e+01, 9.745472372691027729e+00, 1.143946079309693076e+01
2.025000000000000000e+03, 8.466729355437246696e+00, 1.127184460473610272e+01, 2.034725140684114919e+01, 1.503285636288666005e+01, 1.027044275854783528e+01, 1.876904683252196193e+01, 1.201795742147189472e+01, 1.158334615269463441e+01, 1.138862308638092102e+01, 1.110840002861721487e+01, 1.009965899704658376e+01, 1.214615152406187626e+01, 9.500883993381259884e+00, 1.150273968581666395e+01
2.026000000000000000e+03, 8.390581259326300057e+00, 1.107523149825082065e+01, 2.066517880798373596e+01, 1.513848917262705562e+01, 1.039569648985321848e+01, 1.880173150411301464e+01, 1.218934229862749596e+01, 1.190119715727028371e+01, 1.146966273719395524e+01, 1.144003944425194241e+01, 1.021480778236098530e+01, 1.176400774994612419e+01, 9.594671064473496713e+00, 1.160336177920092027e+01
2.027000000000000000e+03, 8.887826050180636983e+00, 1.109047221923224491e+01, 1.946067656102975718e+01, 1.469946704766545054e+01, 1.020809147736050804e+01, 1.884647897611438694e+01, 1.241235151834518824e+01, 1.231177708977618046e+01, 1.131991767100267410e+01, 1.109035791423952411e+01, 1.056735673155751698e+01, 1.196255723543987060e+01, 9.334011714621590627e+00, 1.129700316899482893e+01
2.028000000000000000e+03, 8.640748505653089495e+00, 1.113713198611132960e+01, 2.035590607781929862e+01, 1.553518039562862540e+01, 1.029918888399950028e+01, 1.834071084884831038e+01, 1.287565408277651180e+01, 1.230069363946565986e+01, 1.149839006679063047e+01, 1.094089874470811452e+01, 1.032428365056839681e+01, 1.229998841204491455e+01, 9.921391333889124198e+00, 1.109914118682472761e+01
