year, TaiESM1, CESM2-WACCM, IPSL-CM6A-LR, NorESM2-LM, NorESM2-MM, EC-Earth3-Veg, MPI-ESM1-2-LR, GFDL-ESM4, UKESM1-0-LL
2.015000000000000000e+03, 1.207120117646777534e-10, 4.875265282978331338e-10, 1.168527797571784240e-09, 1.745162073871971409e-10, 0.000000000000000000e+00, 1.386725913079052245e-09, 6.013339777217388088e-10, 4.327700877751450588e-10, 1.151348872351528165e-09
2.016000000000000000e+03, 1.223382140332274614e-10, 4.754433087890701642e-10, 1.296685298507859799e-09, 1.783171476690780654e-10, 1.815559593325500949e-10, 1.366855386979901247e-09, 6.292918862423572718e-10, 4.581018598118882859e-10, 1.305472638159112251e-09
2.017000000000000000e+03, 1.222008441165821098e-10, 4.965288252792451924e-10, 1.478611547958953968e-09, 1.769471955573155064e-10, 1.825558724565692498e-10, 1.370168784953835154e-09, 6.414877796879777124e-10, 4.724786745490572132e-10, 1.289513234367824594e-09
2.018000000000000000e+03, 1.264955239622623956e-10, 4.353997060375780286e-10, 1.340693340275451805e-09, 1.778748273097039209e-10, 1.814585950461483121e-10, 1.389665815493222663e-09, 6.421145635948129095e-10, 5.123370452431146685e-10, 1.222510044307991085e-09
2.019000000000000000e+03, 1.778355840109007284e-10, 4.790570317691038965e-10, 1.311104168338074743e-09, 1.780606856755069706e-10, 1.808071507527816261e-10, 1.407038803741430723e-09, 6.540121697671711442e-10, 5.206238554801985244e-10, 1.339835936531754844e-09
2.020000000000000000e+03, 1.773571809760565495e-10, 4.485020316167630724e-10, 1.299858209798321150e-09, 1.721941840928459964e-10, 1.701822173560550165e-10, 1.360506474254400078e-09, 6.686370391126735614e-10, 5.362765497308833734e-10, 1.392806177188467913e-09
2.021000000000000000e+03, 1.776029187783297073e-10, 5.138562548034639412e-10, 1.418658998771782821e-09, 1.729973629921441171e-10, 1.707768718524548969e-10, 1.397849627550018507e-09, 6.657487920337223722e-10, 4.661193672568428808e-10, 1.345359668546778053e-09
2.022000000000000000e+03, 1.781644957312636167e-10, 5.371455006589816693e-10, 1.395170630927017761e-09, 1.736598699178814771e-10, 1.712195582300261535e-10, 1.406192401056898203e-09, 6.707590151528959860e-10, 4.532081600838363082e-10, 1.488045513647640579e-09
2.023000000000000000e+03, 1.787475084767618692e-10, 4.690316176402144563e-10, 1.400876291781284895e-09, 1.744343906606984425e-10, 1.718023669208327345e-10, 1.424333690046159242e-09, 6.525800623915547128e-10, 5.955262791119131310e-10, 1.412358762143119635e-09
2.024000000000000000e+03, 1.795121668374413023e-10, 5.179255658740825618e-10, 1.398184830222786864e-09, 1.749895328192240101e-10, 1.720778854945537388e-10, 1.402340728215224325e-09, 6.538173086125985305e-10, 6.048412803443882383e-10, 1.376159241468844526e-09
2.025000000000000000e+03, 1.797219272297050140e-10, 4.607490849505330423e-10, 1.374227040021214667e-09, 1.755313400755482778e-10, 1.727708664928924063e-10, 1.380394110002098902e-09, 6.681872848548954066e-10, 5.752490836668932996e-10, 1.443595875908589027e-09
2.026000000000000000e+03, 1.799298543064799027e-10, 4.840616133175205683e-10, 1.377475292633052779e-09, 1.761030291659648995e-10, 1.735066936525821216e-10, 1.460642846260471250e-09, 6.705811513119124106e-10, 6.519476021987593585e-10, 1.426073195550821104e-09
2.027000000000000000e+03, 1.799618794269039047e-10, 5.360108284436130129e-10, 1.409348600921181900e-09, 1.768144444532853996e-10, 1.741374829387933459e-10, 1.434016831373531256e-09, 6.948118627359913993e-10, 6.060195272264554622e-10, 1.432427350748510947e-09
2.028000000000000000e+03, 1.804712636022239694e-10, 5.182518080374642027e-10, 1.447031886162292921e-09, 1.775385989042163761e-10, 1.748269390277515502e-10, 1.454677901603039981e-09, 6.769185643797321996e-10, 6.136069426160998562e-10, 1.309854839655525837e-09
2.029000000000000000e+03, 1.808556931225594720e-10, 5.193502267500443497e-10, 1.525794663374846274e-09, 1.784076973563414361e-10, 1.741711689037301103e-10, 1.431060990783478266e-09, 6.907669925377410220e-10, 5.749232423849838813e-10, 1.328509597254815924e-09
2.030000000000000000e+03, 1.805860814219179209e-10, 4.762397457571712538e-10, 1.411494340256623635e-09, 1.791885471142108937e-10, 1.745824442188423878e-10, 1.489742675000169046e-09, 6.924134132936301075e-10, 5.346019425628964495e-10, 1.445491026514431688e-09
2.031000000000000000e+03, 1.802433884658064511e-10, 5.475887061834451196e-10, 1.548110150729083184e-09, 1.797095477952522124e-10, 1.752567088935963240e-10, 1.466873674585578020e-09, 7.118894441953571830e-10, 6.007040518882357407e-10, 1.467002765643869130e-09
