year, TaiESM1, CESM2-WACCM, IPSL-CM6A-LR, NorESM2-LM, NorESM2-MM, EC-Earth3-Veg, MPI-ESM1-2-LR, GFDL-ESM4, UKESM1-0-LL
2.032000000000000000e+03, 1.803906648321080036e-10, 5.394537676826235035e-10, 1.604013752206053762e-09, 1.800227628977637991e-10, 1.755529636101345349e-10, 1.451486474718381431e-09, 6.945512681990534956e-10, 6.262153259248085974e-10, 1.562491210005371981e-09
2.033000000000000000e+03, 1.803622357957180377e-10, 5.101193755100703778e-10, 1.593807730778632886e-09, 1.802288661937606597e-10, 1.757295748402665548e-10, 1.478463646786341287e-09, 6.853267682318976505e-10, 6.205010638582455639e-10, 1.465951351452199426e-09
2.034000000000000000e+03, 1.807854816399189150e-10, 4.149576100704032396e-10, 1.563150631839632972e-09, 1.805855599073031317e-10, 1.757314498319634224e-10, 1.518906413471027294e-09, 6.935795864880595715e-10, 5.885029785697091022e-10, 1.428980776282327026e-09
2.035000000000000000e+03, 1.819834337525481245e-10, 5.528774632432033500e-10, 1.560467571284970509e-09, 1.811996882587121937e-10, 1.760934763481479633e-10, 1.489278583413076178e-09, 7.028983166315205588e-10, 6.763764059977398851e-10, 1.627044738162509900e-09
2.036000000000000000e+03, 1.826101656673497130e-10, 5.100196977739665713e-10, 1.409452937557668172e-09, 1.816292924741493385e-10, 1.766692786412901027e-10, 1.494528131911968378e-09, 7.217652752504612151e-10, 6.560522720661815756e-10, 1.604991400157719859e-09
2.037000000000000000e+03, 1.825867659538601437e-10, 5.390320883759511735e-10, 1.445882835169866801e-09, 1.821367527870401899e-10, 1.776387624942631015e-10, 1.500316004851106801e-09, 7.070978242347026281e-10, 6.727535112772928043e-10, 1.484205505390772653e-09
2.038000000000000000e+03, 1.833932878159020989e-10, 5.253378802021989591e-10, 1.704983621191772085e-09, 1.823501378750304945e-10, 1.781376237442498327e-10, 1.552237876630843191e-09, 7.195054055796800394e-10, 7.266911016687187429e-10, 1.551239889597116965e-09
2.039000000000000000e+03, 1.838656754539111203e-10, 4.730305926463875715e-10, 1.733307163630476113e-09, 1.825750220752552249e-10, 1.783144331582371398e-10, 1.559246816086149713e-09, 7.325116390405665998e-10, 6.275462927066809465e-10, 1.512662705037302309e-09
2.040000000000000000e+03, 1.841543427576542381e-10, 5.602395859363434653e-10, 1.732335470121044358e-09, 1.830463991068756120e-10, 1.785023017401822869e-10, 1.535019604716497222e-09, 7.462397587540117074e-10, 6.697189574154907803e-10, 1.518162931202034341e-09
2.041000000000000000e+03, 1.844293733643284663e-10, 4.862059312135840609e-10, 1.758110033201884806e-09, 1.836129569526480401e-10, 1.787860488432538211e-10, 1.555816905017415953e-09, 7.524614317523119888e-10, 6.843685605520683866e-10, 1.538225324406536302e-09
2.042000000000000000e+03, 1.849012103108602805e-10, 5.631370353618307276e-10, 1.753844072200937306e-09, 1.837819863709231738e-10, 1.789970992347703899e-10, 1.606627471083713684e-09, 7.540584363762094782e-10, 7.111684358306949859e-10, 1.569973752123845432e-09
2.043000000000000000e+03, 1.852091873466185604e-10, 5.647721122564603013e-10, 1.759379744083490891e-09, 1.765958220625897017e-10, 1.824349293820316137e-10, 1.511805177044130887e-09, 7.561457856898627994e-10, 7.242909002264869791e-10, 1.600781865084440730e-09
2.044000000000000000e+03, 1.934679923985513447e-10, 6.035144167371519113e-10, 1.753046911854522956e-09, 1.745708835720442719e-10, 1.833968186048284860e-10, 1.579751343014368184e-09, 7.543931544642558073e-10, 6.619783962592300832e-10, 1.642245103347802681e-09
2.045000000000000000e+03, 1.932963746548847407e-10, 5.506682738248214950e-10, 1.763165103974371142e-09, 1.754694000345375875e-10, 1.808264559602697464e-10, 1.607029549331381063e-09, 7.386667943744365822e-10, 6.949703798188792583e-10, 1.691853916767637687e-09
2.046000000000000000e+03, 1.927421891174873205e-10, 5.410354992852579837e-10, 1.778693184202976954e-09, 1.757213578354890116e-10, 1.808463149414769457e-10, 1.583437563075040982e-09, 7.397603722778460594e-10, 6.700711650304231469e-10, 1.715431134994208836e-09
2.047000000000000000e+03, 1.927488619580200756e-10, 6.219369253092555101e-10, 1.777778108110651336e-09, 1.760569370458984362e-10, 1.808711786432068680e-10, 1.620237267674153012e-09, 7.340291407616673832e-10, 7.481060418356742044e-10, 1.728390196672581124e-09
2.048000000000000000e+03, 1.919107269462027571e-10, 5.536402127794955696e-10, 1.633942515606823813e-09, 1.763839628239775256e-10, 1.811448289605238359e-10, 1.593613334986295177e-09, 7.446695308732258789e-10, 6.853797125011889443e-10, 1.693007122920308131e-09
2.049000000000000000e+03, 1.914939919443528524e-10, 6.463099496478325061e-10, 1.927407271629949579e-09, 1.767667930726412218e-10, 1.811740355962716607e-10, 1.631747471467857407e-09, 7.604661690840640042e-10, 6.896904591827162989e-10, 1.671775652533938818e-09
2.050000000000000000e+03, 1.544632665292826954e-10, 6.456032513826266303e-10, 1.924947166072707404e-09, 1.771713926734093357e-10, 1.812467950000298680e-10, 1.640963719867270097e-09, 7.771960031290890455e-10, 7.968235858082653598e-10, 1.677680573676017315e-09
2.051000000000000000e+03, 1.543671370828211753e-10, 6.428032010354575354e-10, 1.829329485229460327e-09, 1.682552580970167427e-10, 1.803376128477859261e-10, 1.647518567218049276e-09, 7.867657215962719743e-10, 8.054282391332510958e-10, 1.715210554022641651e-09
2.052000000000000000e+03, 1.532677004105337395e-10, 5.940593348082058179e-10, 1.905505985842126289e-09, 1.684134327010217207e-10, 1.785026767248008020e-10, 1.657877118071268404e-09, 7.921499060881499851e-10, 7.421426862658100391e-10, 1.760727138092702098e-09
2.053000000000000000e+03, 1.521405904934708493e-10, 5.672957307696584716e-10, 1.912097394673310519e-09, 1.686873816512782980e-10, 1.774747175251657373e-10, 1.670194834340920199e-09, 8.017984135777118784e-10, 7.456495580601334667e-10, 1.819359626674202492e-09
2.054000000000000000e+03, 1.513967227916042431e-10, 4.732149839260128251e-10, 1.905121476168217861e-09, 1.690280346290246623e-10, 1.771201056115870823e-10, 1.685976819766684302e-09, 7.880132363809495865e-10, 8.705745228830893217e-10, 1.902846128758731353e-09
2.055000000000000000e+03, 1.510996690181579165e-10, 7.352709277881213086e-10, 1.959512048488415753e-09, 1.693733833014641651e-10, 1.765759032948031307e-10, 1.693537641497555242e-09, 7.836635254600050105e-10, 8.723892398483887013e-10, 1.919617685965857402e-09
2.056000000000000000e+03, 1.507114872844727388e-10, 6.617663712549431508e-10, 1.959774309354722726e-09, 1.699251040144988921e-10, 1.759041411777223273e-10, 1.690406413398285318e-09, 7.874106554002109651e-10, 8.208905129993210663e-10, 1.844167454711981281e-09
2.057000000000000000e+03, 1.499839154271202411e-10, 6.095602818442999041e-10, 2.002667030425184770e-09, 1.704298669339795429e-10, 1.759796601224934354e-10, 1.691624519178557818e-09, 7.978949137988093607e-10, 7.212665060829080222e-10, 1.929701439489771288e-09
2.058000000000000000e+03, 1.485505534819348857e-10, 6.076168174397466706e-10, 1.899618303581888071e-09, 1.707961203910209969e-10, 1.761504482810300448e-10, 1.706292320579229402e-09, 7.939066619273327006e-10, 9.059637765400176772e-10, 1.880901929165824441e-09
2.059000000000000000e+03, 1.458933567842088366e-10, 6.606328089660979867e-10, 1.886980140212095970e-09, 1.753926926582999333e-10, 1.789326509138154913e-10, 1.700234895052662267e-09, 8.161715475925210844e-10, 8.708532127864130831e-10, 1.840253487668246680e-09
2.060000000000000000e+03, 1.437263753965659588e-10, 6.244413284025142627e-10, 1.897838926403876669e-09, 1.757212761098792620e-10, 1.787030114765276361e-10, 1.736450915987688990e-09, 8.099482466080968262e-10, 8.153512300733157899e-10, 1.952226906928973768e-09
2.061000000000000000e+03, 1.421620206627935680e-10, 6.077829873698679100e-10, 1.988038415662721973e-09, 1.741507403837166025e-10, 1.792853453236192184e-10, 1.715730474693761995e-09, 8.178193261352290488e-10, 8.726282043451101295e-10, 1.779054004781384362e-09
2.062000000000000000e+03, 1.396815799208236776e-10, 7.466815382699730333e-10, 2.046159459861412059e-09, 1.752905469101345381e-10, 1.790752569033307743e-10, 1.764208993009070172e-09, 8.469866182952368261e-10, 9.039135880393994525e-10, 1.837320781865214299e-09
2.063000000000000000e+03, 1.363980384492076246e-10, 6.912033583830140287e-10, 1.879110698149282593e-09, 1.774537578170255577e-10, 1.794972471102433696e-10, 1.776173802984613286e-09, 8.608984174355574882e-10, 9.674857580232917310e-10, 1.905722384063438903e-09
2.064000000000000000e+03, 1.340180373808324715e-10, 6.933285003630744493e-10, 2.003442457597271165e-09, 1.790071295329915799e-10, 1.809024253947739517e-10, 1.754862940646457514e-09, 8.509222966925507909e-10, 8.969991546283496778e-10, 1.872716355682699992e-09
2.065000000000000000e+03, 1.339673360513746796e-10, 7.107853492831490990e-10, 2.019664829041895972e-09, 1.796254377852725928e-10, 1.803459577361950250e-10, 1.753735446917855743e-09, 8.356648327704423140e-10, 9.523381077293990400e-10, 1.941850935349140940e-09
2.066000000000000000e+03, 1.345117134709703611e-10, 7.112912519823332889e-10, 2.084956538098963278e-09, 1.800412842884975375e-10, 1.800834500641031900e-10, 1.805289329012503504e-09, 8.482043337876074804e-10, 9.237746340288795950e-10, 1.889712905792237709e-09
2.067000000000000000e+03, 1.320062919847749363e-10, 5.903920597245439346e-10, 2.209301688035019729e-09, 1.802604420612615548e-10, 1.791180637870983844e-10, 1.757458336402192088e-09, 8.721974072327879139e-10, 9.780221895719674664e-10, 1.994284221860838373e-09
2.068000000000000000e+03, 1.326035025501168591e-10, 7.006805405274754270e-10, 1.990447412335579334e-09, 1.838522861614048886e-10, 1.814348271567945555e-10, 1.742711070840334111e-09, 8.432015463696287013e-10, 8.117620349038078534e-10, 1.941219187481404558e-09
2.069000000000000000e+03, 1.342230811124359119e-10, 6.877842972095604900e-10, 2.178107905376683278e-09, 1.846092462970000912e-10, 1.798001089821774312e-10, 1.794591112680041699e-09, 8.276466295013370751e-10, 8.730401988980764940e-10, 2.022953059237360064e-09
2.070000000000000000e+03, 1.348072872185988544e-10, 6.809735648178157818e-10, 2.084672882697596044e-09, 1.849325660493955778e-10, 1.786283076214716184e-10, 1.776216225291383604e-09, 8.543602622459843271e-10, 9.516180893698883844e-10, 1.925870184376787636e-09
2.071000000000000000e+03, 1.353114555231722363e-10, 6.997389142149877425e-10, 2.156404681484456550e-09, 1.848578806099641335e-10, 1.781430994553633185e-10, 1.866513496218820809e-09, 8.832084280987616849e-10, 9.485165706672776777e-10, 1.993569948525192138e-09
2.072000000000000000e+03, 1.352816502578476351e-10, 7.156550815882972989e-10, 2.178088825388991103e-09, 1.845781914743063908e-10, 1.767750867580768871e-10, 1.807725958579076915e-09, 8.871791229069669682e-10, 8.961983247025559335e-10, 1.952193151792005969e-09
2.073000000000000000e+03, 1.344763733865662161e-10, 7.100436329676704033e-10, 1.985358051750436243e-09, 1.841100161888866485e-10, 1.769571955726004682e-10, 1.833979090203895666e-09, 8.800526419402606422e-10, 9.618706102494920829e-10, 1.920329702727257527e-09
2.074000000000000000e+03, 1.351006041973411157e-10, 8.367469560007082279e-10, 2.099954663784851797e-09, 1.837830144332200058e-10, 1.769631798000619957e-10, 1.845856000407668148e-09, 8.857692010056084194e-10, 9.977007493981047251e-10, 2.046824882457762044e-09
2.075000000000000000e+03, 1.367885425033478283e-10, 7.835677721522492042e-10, 2.310982391972758669e-09, 1.834201280469871105e-10, 1.768739137524290075e-10, 1.853597146007382001e-09, 8.797004876995358391e-10, 1.029265192904595484e-09, 2.043711832430457078e-09
2.076000000000000000e+03, 1.393643141020317138e-10, 6.702564651583129494e-10, 2.243525693466970825e-09, 1.831255587703852026e-10, 1.769246612754415705e-10, 1.834302236982407710e-09, 8.762361480827479328e-10, 9.610982098672809473e-10, 2.168447877808640937e-09
2.077000000000000000e+03, 1.419188325702479331e-10, 7.848747581880236525e-10, 2.194863983364192722e-09, 1.828596886737196904e-10, 1.771675803488320869e-10, 1.857742941158965759e-09, 8.792790934630276859e-10, 9.678237593538828883e-10, 1.972843226453725856e-09
2.078000000000000000e+03, 1.483464848871512293e-10, 8.405033241980243748e-10, 2.268272727089119606e-09, 1.822320362789631069e-10, 1.770002185843292697e-10, 1.891316601338009093e-09, 8.796037731313192831e-10, 9.389532345326363225e-10, 2.058514954271302276e-09
2.079000000000000000e+03, 1.481963855502823063e-10, 6.851732396882492566e-10, 2.225665012645542108e-09, 1.819023325850764686e-10, 1.769369247545385094e-10, 1.873018685756323954e-09, 8.771926882830703543e-10, 9.561672894815957173e-10, 2.108849257310719428e-09
2.080000000000000000e+03, 1.472868821037215851e-10, 7.007056049481708458e-10, 2.325322082471439637e-09, 1.809063998482441668e-10, 1.766696624989508164e-10, 1.843218715586733202e-09, 8.919056529425812227e-10, 9.372555268510742337e-10, 2.171172139441026993e-09
2.081000000000000000e+03, 1.472892841227198078e-10, 7.547272975665324582e-10, 2.236229454489749909e-09, 1.812145299622718057e-10, 1.764936632605734775e-10, 1.918459882929182510e-09, 8.675314759848451213e-10, 1.044890014604154643e-09, 2.123665761765454995e-09
2.082000000000000000e+03, 1.457621354224640098e-10, 7.169165644246399900e-10, 2.459574573017101068e-09, 1.815109217896139049e-10, 1.763575690186833584e-10, 1.871488196711803997e-09, 8.718827580981885043e-10, 1.020034464992243919e-09, 2.176069787228760909e-09
2.083000000000000000e+03, 1.434706778484904587e-10, 8.127227062264199718e-10, 2.382385511807391434e-09, 1.813653231486820294e-10, 1.765423075379254905e-10, 1.918567924174165710e-09, 8.835053717365255250e-10, 9.959716815130370686e-10, 2.109816833361743696e-09
2.084000000000000000e+03, 1.425378353734228588e-10, 8.325602163180724916e-10, 2.369813500173845641e-09, 1.813194449318727682e-10, 1.767110192368175473e-10, 1.905340844151752647e-09, 8.875528996004245061e-10, 9.824539347989422822e-10, 2.209287784565186189e-09
2.085000000000000000e+03, 1.423189651898598932e-10, 8.361806868733297395e-10, 2.459905720118981244e-09, 1.808631195216096837e-10, 1.764971315044043099e-10, 1.912045903847591499e-09, 8.803320174819282138e-10, 9.722216180614893702e-10, 2.177526654924152620e-09
2.086000000000000000e+03, 1.411807393103863068e-10, 8.297026872409006322e-10, 2.339717366842353332e-09, 1.807068679597847698e-10, 1.764602365997369742e-10, 1.994182679041981108e-09, 9.138456695655551760e-10, 9.471865702393117638e-10, 2.314541985488858990e-09
2.087000000000000000e+03, 1.400410393079579985e-10, 8.784883419095697926e-10, 2.264399777838586996e-09, 1.804183299150797654e-10, 1.762404978840556641e-10, 1.921788605722519651e-09, 9.316665504440331231e-10, 1.110130374713188034e-09, 2.315251177429944591e-09
2.088000000000000000e+03, 1.398896037072109940e-10, 8.923924848533286380e-10, 2.303965099297530043e-09, 1.801552222470308686e-10, 1.759444590033211664e-10, 1.938884867297714893e-09, 9.511291644917162337e-10, 9.481011910090585942e-10, 2.314087364961459966e-09
2.089000000000000000e+03, 1.397245771339477952e-10, 9.096576020224493599e-10, 2.549989034046932159e-09, 1.801582794794590570e-10, 1.756465313806892779e-10, 1.832478874666204413e-09, 9.402300553147295112e-10, 1.049048318366517407e-09, 2.281291299607472285e-09
2.090000000000000000e+03, 1.389053495340472279e-10, 9.023283520624090250e-10, 2.611567658494331343e-09, 1.803452239648510395e-10, 1.757605618829528031e-10, 2.005333798966055371e-09, 9.525333528618576153e-10, 1.088321955308853880e-09, 2.290814199026092402e-09
2.091000000000000000e+03, 1.374236870918454221e-10, 9.163140794921489377e-10, 2.486390066633185725e-09, 1.798758571257643687e-10, 1.755702610010866404e-10, 1.938871205454333333e-09, 9.432970947113121299e-10, 1.038689355791838059e-09, 2.255191890869172320e-09
2.092000000000000000e+03, 1.361664429893027210e-10, 8.011533194476169273e-10, 2.470589424105875318e-09, 1.797057194766843957e-10, 1.753160203444141723e-10, 2.020199265317300327e-09, 9.181433873939780275e-10, 1.017864800607840974e-09, 2.377704457032503805e-09
2.093000000000000000e+03, 1.351355007789970041e-10, 9.450813778724852122e-10, 2.671413748786235222e-09, 1.795581185108388911e-10, 1.751090418148234250e-10, 1.934113520532533521e-09, 9.315352284686021925e-10, 1.057982987653990860e-09, 2.512624764375082815e-09
2.094000000000000000e+03, 1.340290467454645061e-10, 8.348683103462058489e-10, 2.558696672896588104e-09, 1.793018078697992648e-10, 1.749065294059986750e-10, 2.017155858952832208e-09, 9.082917370439726495e-10, 1.183380956162314819e-09, 2.365047598532043798e-09
2.095000000000000000e+03, 1.328149216840274387e-10, 8.917164148750133740e-10, 2.538690591543265896e-09, 1.791554402072637859e-10, 1.749569574940971106e-10, 1.967288418549543066e-09, 9.032916444831390660e-10, 1.111714519985298885e-09, 2.470001851212289561e-09
2.096000000000000000e+03, 1.313831577020308706e-10, 9.235484523128895363e-10, 2.610218715280931497e-09, 1.789592474239579101e-10, 1.748112100714107372e-10, 2.030270505539047896e-09, 9.145253631184506994e-10, 1.077429985314360382e-09, 2.471539241498829198e-09
2.097000000000000000e+03, 1.300933149194756161e-10, 9.117549327644529305e-10, 2.667439465501121771e-09, 1.789536945413258755e-10, 1.746447936916952767e-10, 1.965614307640682956e-09, 9.346729306966056682e-10, 1.044492633895621477e-09, 2.443812553792119405e-09
2.098000000000000000e+03, 1.287430427954703055e-10, 8.800197009932190616e-10, 2.480587036768522632e-09, 1.788636557877213185e-10, 1.744861430025084895e-10, 2.111358520898206952e-09, 9.443990714380336004e-10, 1.141656671875887243e-09, 2.459037547522496731e-09
2.099000000000000000e+03, 1.772697257110836569e-10, 8.294445259006704162e-10, 2.559537222270252257e-09, 1.790892408098295165e-10, 1.743693950047904946e-10, 2.010235549267555666e-09, 9.619663205663836801e-10, 1.059944293308291742e-09, 2.532619990788438414e-09
2.100000000000000000e+03, 0.000000000000000000e+00, 8.032412033072530459e-10, 2.553328716928967896e-09, 1.939794630757349173e-10, 1.835076771895701167e-10, 2.073102742179473687e-09, 9.607154845746672605e-10, 1.144202730955080106e-09, 2.647985264673192080e-09
