year, CNRM-ESM2-1, UKESM1-0-LL, GFDL-ESM4, EC-Earth3-Veg, INM-CM4-8, CMCC-ESM2, ACCESS-ESM1-5, CanESM5, CESM2-WACCM, TaiESM1, NorESM2-MM, INM-CM5-0, NorESM2-LM, MPI-ESM1-2-LR, IPSL-CM6A-LR, MIROC-ES2L
2.045000000000000000e+03, 2.604393963327316541e+00, 4.482399188400266965e+00, 2.988712293721910385e+00, 4.346365411189109018e+00, 2.532225601356584477e+00, 2.930900097312731489e+00, 2.555516548303533142e+00, 2.217899557314987558e+00, 3.472453134887950377e+00, 3.980113239461075203e+00, 3.236513798461122970e+00, 2.470427382123620230e+00, 3.480356239694468279e+00, 2.933807752160864979e+00, 3.397937086328143508e+00, 2.923704742924759792e+00
2.046000000000000000e+03, 2.585790793560696965e+00, 4.488291582535757662e+00, 3.104935191060541388e+00, 4.397020781507261944e+00, 2.490369961624451012e+00, 2.921304270492702582e+00, 2.551050381246999788e+00, 2.268383295491817719e+00, 3.426965788132437574e+00, 3.936147758234377125e+00, 3.316624890573040219e+00, 2.524145967379929800e+00, 3.538968805033658960e+00, 3.044033135049176053e+00, 3.453440063202218635e+00, 2.926195913241281144e+00
2.047000000000000000e+03, 2.585564155184254531e+00, 4.480306444642874197e+00, 3.118459383033128862e+00, 4.295737426811670367e+00, 2.433630963696466143e+00, 3.014062223628040993e+00, 2.431491483813438492e+00, 2.459402104603378714e+00, 3.425907375177084102e+00, 4.045350407970624396e+00, 3.299751114997973467e+00, 2.468763709451086363e+00, 3.536586364597700261e+00, 3.133670108527867093e+00, 3.344441123452913445e+00, 2.875493403898151001e+00
2.048000000000000000e+03, 2.611399485209250138e+00, 4.459907135895774033e+00, 2.928246206794467454e+00, 4.220501540731191881e+00, 2.511165690528119665e+00, 3.032365314567909031e+00, 2.453681007248735835e+00, 2.334342124410611508e+00, 3.452504135195204604e+00, 4.068068523983033202e+00, 3.337592078079083535e+00, 2.459474626861355429e+00, 3.522036883256283168e+00, 2.953804620910470913e+00, 3.394990187198285270e+00, 2.860077828384332221e+00
2.049000000000000000e+03, 2.383446412129631931e+00, 4.467744220949996681e+00, 3.038899035368415102e+00, 4.144419292067142102e+00, 2.499237739373026734e+00, 2.985082332285763140e+00, 2.412157392383685206e+00, 2.248605933472550777e+00, 3.483304375051573754e+00, 4.038066892623346504e+00, 3.384816060244533631e+00, 2.543531398172863778e+00, 3.488443615355241167e+00, 2.942587252483135796e+00, 3.424426080755125223e+00, 2.876315597526712065e+00
2.050000000000000000e+03, 2.401784291018203454e+00, 4.458508869827030985e+00, 3.204905251709102565e+00, 4.248411887189731395e+00, 2.505348788697926654e+00, 3.166340990459584059e+00, 2.501527346208504365e+00, 2.174281345681520872e+00, 3.550580295707447043e+00, 3.949099515291933038e+00, 3.490218131897133702e+00, 2.436330805746506734e+00, 3.368497027338451577e+00, 3.126015303846080950e+00, 3.408728703286956208e+00, 2.898237394051649041e+00
2.051000000000000000e+03, 2.607711974781864672e+00, 4.444666549018267965e+00, 2.739320034236771839e+00, 4.251507142199490552e+00, 2.486100090576550681e+00, 3.183866394607960171e+00, 2.498671241276160693e+00, 2.295748371490378137e+00, 3.614577030288786741e+00, 3.885860883418313705e+00, 3.457202994064068058e+00, 2.476514860141317609e+00, 3.495376911544326504e+00, 3.229402672850387734e+00, 3.425559947030947239e+00, 2.859818281448507360e+00
2.052000000000000000e+03, 2.500729864620001575e+00, 4.470418628639658998e+00, 3.089794534304436180e+00, 4.329696330864254428e+00, 2.501483441790115947e+00, 3.076404351712767493e+00, 2.386954345898582908e+00, 2.500526085366958640e+00, 3.554098068613228634e+00, 3.720267122653798886e+00, 3.484285596901043558e+00, 2.488139699173574471e+00, 3.555785046168959074e+00, 3.220594639785976820e+00, 3.407420323729988265e+00, 2.889381269614264891e+00
2.053000000000000000e+03, 2.583233896943593066e+00, 4.474341173143002948e+00, 3.101824195529018002e+00, 4.314292597735435386e+00, 2.486795718780107300e+00, 3.140829474649837749e+00, 2.357299888022325263e+00, 2.313297117335567421e+00, 3.481391404744209161e+00, 3.794789771502078857e+00, 3.520581758798933425e+00, 2.440064431861083794e+00, 3.633675804584388214e+00, 3.194264002104103994e+00, 3.441779198797659589e+00, 2.909341939267586330e+00
2.054000000000000000e+03, 2.605759835144922931e+00, 4.479778803360211725e+00, 3.122489670460224076e+00, 4.400142930661246510e+00, 2.530099072414247363e+00, 3.135022903888768475e+00, 2.412524744553540490e+00, 2.306939412848325599e+00, 3.551802751027348215e+00, 3.978161659066610234e+00, 3.497990221492034646e+00, 2.489624362087208720e+00, 3.613542943362046511e+00, 3.141162686520580394e+00, 3.462390473365248411e+00, 2.904717948121019244e+00
2.055000000000000000e+03, 2.598699283927778492e+00, 4.485120576465034148e+00, 3.478321800486602999e+00, 4.309499054354533065e+00, 2.475076304948816475e+00, 3.084816369199050445e+00, 2.390740459280257468e+00, 2.341314673254389689e+00, 3.688997387797411598e+00, 4.097408745194777602e+00, 3.459123950312214646e+00, 2.495229774429784442e+00, 3.472463725373336807e+00, 3.025943704267768819e+00, 3.445070447253653079e+00, 2.927668740611481191e+00
