year, EC-Earth3-Veg, CNRM-ESM2-1, NorESM2-MM, CMCC-CM2-SR5, GFDL-ESM4, CESM2-WACCM, NorESM2-LM, MPI-ESM1-2-LR, TaiESM1, ACCESS-ESM1-5, INM-CM5-0, CanESM5, UKESM1-0-LL, IPSL-CM6A-LR, INM-CM4-8, MIROC-ES2L
2.033000000000000000e+03, 2.953084621432973904e+02, 2.952431742781839148e+02, 2.958516818630388912e+02, 2.974849610329870870e+02, 2.958197275374719766e+02, 2.962771668113761621e+02, 2.966429934343296964e+02, 2.955057121790385963e+02, 2.961174723603205052e+02, 2.976080694386919845e+02, 2.946366909490985790e+02, 2.974826834247278384e+02, 2.966197813655755908e+02, 2.951310157137521628e+02, 2.946005016656919224e+02, 2.972357706549020122e+02
2.034000000000000000e+03, 2.955935457562740112e+02, 2.959984414413102627e+02, 2.958910236991201828e+02, 2.974935231151647486e+02, 2.953990360653826883e+02, 2.960588529317245161e+02, 2.976527137086579842e+02, 2.950304716960700375e+02, 2.957346587827684630e+02, 2.973964876944462503e+02, 2.947748295991104328e+02, 2.978175143255267017e+02, 2.974571942037661643e+02, 2.950921319232081146e+02, 2.950391879678193163e+02, 2.964135311429341186e+02
2.035000000000000000e+03, 2.958022374584353429e+02, 2.954498572921502841e+02, 2.959343784966449675e+02, 2.967426522490424645e+02, 2.953467360765662306e+02, 2.963815855443215810e+02, 2.971815704146359280e+02, 2.948037242667025453e+02, 2.961292445188206557e+02, 2.974248313197478524e+02, 2.948546026790444898e+02, 2.983913444871754450e+02, 2.970467891307345667e+02, 2.957222864227243804e+02, 2.950895930002460545e+02, 2.964699163973385794e+02
2.036000000000000000e+03, 2.966641422967757649e+02, 2.945595118490004438e+02, 2.967295393460476589e+02, 2.969748745664929857e+02, 2.955932787333591705e+02, 2.967068524236640883e+02, 2.965939792398027066e+02, 2.954184729040689490e+02, 2.963746929390559899e+02, 2.978867124796703365e+02, 2.947881268312016800e+02, 2.985746488769524944e+02, 2.967903480576453035e+02, 2.957421958086082441e+02, 2.949577923398330768e+02, 2.976707219099648114e+02
2.037000000000000000e+03, 2.960558433700467731e+02, 2.951434770416662445e+02, 2.968471970009889560e+02, 2.971910583819002341e+02, 2.959230485268418533e+02, 2.970556708888382218e+02, 2.965420114129626086e+02, 2.955473170589067422e+02, 2.960631519718000391e+02, 2.987559972291709300e+02, 2.947627888536887326e+02, 2.992742551872912600e+02, 2.969064620540501096e+02, 2.954596511343505085e+02, 2.949409528057378793e+02, 2.975405353351313806e+02
2.038000000000000000e+03, 2.955856140309026614e+02, 2.952898347730659339e+02, 2.963147554529236913e+02, 2.976156322365392839e+02, 2.953961080750605106e+02, 2.974002232538647377e+02, 2.965836601430737574e+02, 2.952879153117838200e+02, 2.959514843171790517e+02, 2.977896498082687913e+02, 2.950376872571851550e+02, 2.982758059168742193e+02, 2.975600736020955424e+02, 2.959149512071415984e+02, 2.951135349561849353e+02, 2.973341543715820308e+02
2.039000000000000000e+03, 2.964252938262209796e+02, 2.955909711955359285e+02, 2.960436005622862581e+02, 2.978247743721846632e+02, 2.952031795370120335e+02, 2.971679137943581281e+02, 2.964702542524635192e+02, 2.954325247214302976e+02, 2.965117915811272269e+02, 2.975796513171865172e+02, 2.949964481628411477e+02, 2.981469909402630947e+02, 2.974131626886166373e+02, 2.959432857440996827e+02, 2.949253032497773575e+02, 2.966615631026511437e+02
2.040000000000000000e+03, 2.959325688330593493e+02, 2.953983951135422217e+02, 2.961049269861626385e+02, 2.971761995868939152e+02, 2.951508558192867895e+02, 2.974512083316787425e+02, 2.968761516675806433e+02, 2.944119906162109714e+02, 2.965763211780964639e+02, 2.977468982760414633e+02, 2.953752015950806822e+02, 2.973587163140828693e+02, 2.975829191136483587e+02, 2.955928728288304228e+02, 2.949970301918046971e+02, 2.966790958031377841e+02
2.041000000000000000e+03, 2.955695221295223405e+02, 2.959371223808334435e+02, 2.963942611863778893e+02, 2.968077833589828742e+02, 2.958501787158879210e+02, 2.976822559064328857e+02, 2.967767089346514240e+02, 2.946915082690442773e+02, 2.964164636295657260e+02, 2.975020809645329223e+02, 2.949901142108979002e+02, 2.976871519409666007e+02, 2.972473073164497919e+02, 2.956516795327636942e+02, 2.952038136562853765e+02, 2.973453040837437698e+02
2.042000000000000000e+03, 2.958590141395066553e+02, 2.959091707657432266e+02, 2.967955341704882244e+02, 2.970979138784747988e+02, 2.958860420258764634e+02, 2.972105092017827133e+02, 2.975625300721744679e+02, 2.946511679989279173e+02, 2.962298273094771162e+02, 2.981377930037314172e+02, 2.950304357618262543e+02, 2.978495152139022366e+02, 2.973102963330007356e+02, 2.957326369440197595e+02, 2.949166757172977782e+02, 2.979831430736694529e+02
