year, CanESM5, CESM2-WACCM, CNRM-ESM2-1, GFDL-ESM4, IPSL-CM6A-LR, ACCESS-ESM1-5, NorESM2-MM, EC-Earth3-Veg, CMCC-CM2-SR5, MIROC-ES2L, TaiESM1, MPI-ESM1-2-LR, NorESM2-LM
2.015000000000000000e+03, 1.432292851829036273e+01, 5.091764254875841722e+00, 3.455773370947552081e+01, 2.883432342431304463e+01, 2.071484601370861611e+01, 6.951199298175827046e+00, 5.278668611777253439e+00, 6.671769651669552381e+00, 8.041655809163351876e+00, 3.486748842418412409e+01, 2.315392994138800731e+00, 5.527487020443343368e+01, 5.477837346873698721e+00
2.016000000000000000e+03, 1.435837976388622650e+01, 5.160991090875307385e+00, 3.468185574587641185e+01, 2.883523467670512019e+01, 2.076317247932617249e+01, 7.038318423835977278e+00, 5.272214955730159858e+00, 6.642037221202174102e+00, 7.575447852858359532e+00, 3.502003436546134196e+01, 2.235527085513971723e+00, 5.504531869223644946e+01, 5.528662612845644198e+00
2.017000000000000000e+03, 1.473975528619973829e+01, 5.179288075619152387e+00, 3.477915356362228749e+01, 2.830484567593806844e+01, 2.070920075981302944e+01, 7.052696738053899850e+00, 5.104113677509934277e+00, 6.343098585435056336e+00, 7.506696136947537568e+00, 3.528240086273105192e+01, 2.005197868957721674e+00, 5.506482944007810687e+01, 5.330133378983377135e+00
2.018000000000000000e+03, 1.459173956397639316e+01, 5.196512428343189605e+00, 3.502421177032653077e+01, 2.773884793671034643e+01, 2.067685832323885364e+01, 7.073371891943276424e+00, 5.124240656613465283e+00, 6.468795255949697065e+00, 7.632661682915655277e+00, 3.539766463245971551e+01, 2.245796011123337710e+00, 5.508206371407123214e+01, 5.325885055543615465e+00
2.019000000000000000e+03, 1.491710364225523833e+01, 5.137859915337879002e+00, 3.498614274613119335e+01, 2.761972660278882685e+01, 2.073612878512861712e+01, 7.089951688383845152e+00, 5.163226731619703358e+00, 6.554350298822999576e+00, 7.639153475764118184e+00, 3.528839466783833245e+01, 2.424824950643739818e+00, 5.527567650493193696e+01, 5.360562291938343549e+00
2.020000000000000000e+03, 1.469259423172626278e+01, 5.082607685906010531e+00, 3.513190717877218816e+01, 2.783019463427029905e+01, 2.069750541806405408e+01, 7.065189008816902927e+00, 5.195130793961767246e+00, 6.605904170494888206e+00, 7.908067498780947169e+00, 3.513996259391580423e+01, 2.266403682755384619e+00, 5.533714832971274689e+01, 5.524327572620454596e+00
2.021000000000000000e+03, 1.444034362135708882e+01, 5.152643556864739516e+00, 3.548165265929917922e+01, 2.792935993563479613e+01, 2.083161126169707700e+01, 7.039060573706344748e+00, 5.297751898870910914e+00, 6.450285465162794551e+00, 7.703075030208630380e+00, 3.521615787782010898e+01, 2.166304562182495008e+00, 5.544006162158313344e+01, 5.382196841115115760e+00
2.022000000000000000e+03, 1.475431555795493388e+01, 5.290006089497136799e+00, 3.548779979071740343e+01, 2.788554621075498829e+01, 2.093913641737397313e+01, 7.086337974041486021e+00, 5.273535774427928757e+00, 6.348584420247919802e+00, 7.778977583831500731e+00, 3.517846082711208311e+01, 2.350693616901596616e+00, 5.546246459742781809e+01, 5.367219553363762330e+00
2.023000000000000000e+03, 1.488898203691642763e+01, 5.394106578436923094e+00, 3.529508857065130911e+01, 2.776012749484220166e+01, 2.097483355921232118e+01, 7.048470791647486244e+00, 5.305356068271816383e+00, 6.251061512450035274e+00, 8.130419534471924337e+00, 3.499016565778488541e+01, 2.206407506249943307e+00, 5.553051901177698113e+01, 5.399855685712757314e+00
2.024000000000000000e+03, 1.491469149964346919e+01, 5.284746794219459254e+00, 3.530394085831234463e+01, 2.809885057439713663e+01, 2.110500183277339303e+01, 6.850500791901245279e+00, 5.362289271963521564e+00, 6.394090458331824323e+00, 8.039243989537146362e+00, 3.479128828370335214e+01, 2.304996399143245611e+00, 5.540552629213607361e+01, 5.543128865133065020e+00
