year, IPSL-CM6A-LR, GFDL-ESM4, NorESM2-LM, CNRM-ESM2-1, EC-Earth3-Veg, ACCESS-ESM1-5, MPI-ESM1-2-LR, UKESM1-0-LL, NorESM2-MM, TaiESM1, CMCC-CM2-SR5, INM-CM4-8, INM-CM5-0, CanESM5, MIROC-ES2L, CESM2-WACCM
2.015000000000000000e+03, 1.283447036276384701e+01, 1.411790766524838148e+01, 1.156187494914784608e+01, 1.087479486605784551e+01, 1.510858626562133189e+01, 1.183662904969515317e+01, 2.099423326846005722e+01, 1.818673814936930810e+01, 1.052042252704819347e+01, 1.095509156670563122e+01, 9.263603357635446400e+00, 2.038544277540023586e+01, 1.953655712039652670e+01, 1.540678608214178880e+01, 1.271420299380203645e+01, 1.128387359098144138e+01
2.016000000000000000e+03, 1.341183080550427142e+01, 1.262996489270536848e+01, 1.167569102025268890e+01, 1.181087428039970177e+01, 1.443553427226796160e+01, 1.239931213640641872e+01, 2.079640780964985325e+01, 1.841292960342908813e+01, 1.107231505766542234e+01, 1.124399631967377111e+01, 9.780737142588492361e+00, 1.946889501486705498e+01, 1.977495134752310335e+01, 1.413205940330349009e+01, 1.317503613052919498e+01, 1.110175544830476824e+01
2.017000000000000000e+03, 1.305803452093085149e+01, 1.282530905210253458e+01, 1.196485043604391585e+01, 1.107860154342654724e+01, 1.474904396119524819e+01, 1.241124269396949487e+01, 2.089932883366158123e+01, 1.870795494732679742e+01, 1.185851051240194920e+01, 1.277712918257581798e+01, 9.921274792419842115e+00, 2.008508991197541249e+01, 2.023805235145774972e+01, 1.517237229144870270e+01, 1.318004119922042605e+01, 1.120461308228645869e+01
2.018000000000000000e+03, 1.340814709091688073e+01, 1.330486792091779691e+01, 1.225455580518952026e+01, 9.791975789208116510e+00, 1.532999293566411048e+01, 1.279225274982706395e+01, 2.200146888700852443e+01, 1.724683212383005326e+01, 1.121801627977117732e+01, 1.178977384660098515e+01, 9.957373893412970745e+00, 1.990779978410492745e+01, 1.974379463109264776e+01, 1.318834250435584465e+01, 1.330803116329131974e+01, 1.101132243869317584e+01
2.019000000000000000e+03, 1.304594519980621925e+01, 1.444468125156428862e+01, 1.218683376405596341e+01, 1.034618704097853659e+01, 1.550828350719041104e+01, 1.230066843430386214e+01, 2.043297371073475688e+01, 1.886572870336513219e+01, 1.140909111184217473e+01, 1.091153724384232859e+01, 9.582714067441923333e+00, 1.942027804964279625e+01, 1.968918364324447978e+01, 1.366740299303104500e+01, 1.285678880211349195e+01, 1.115992903478103848e+01
2.020000000000000000e+03, 1.375197915779680180e+01, 1.402762160384079415e+01, 1.204855585249821637e+01, 1.093040188787510303e+01, 1.471872515729953612e+01, 1.208125690425458210e+01, 2.107648644698970841e+01, 2.015784171675419501e+01, 1.222619893721144990e+01, 1.180243351308192423e+01, 9.338671893365429355e+00, 2.041213066838533763e+01, 2.029226729084705028e+01, 1.540977027228782781e+01, 1.333524854156893724e+01, 1.237289332960799371e+01
2.021000000000000000e+03, 1.323058583166958790e+01, 1.318895650178137480e+01, 1.222087637900763646e+01, 9.363275022141872128e+00, 1.498085058215519183e+01, 1.217785233520072730e+01, 2.151372068406461935e+01, 2.074914572354453668e+01, 1.203141335636490084e+01, 1.229573071070642776e+01, 8.979834089599625813e+00, 2.054765523020796536e+01, 2.015338563408161221e+01, 1.622824148294818514e+01, 1.311068564456393482e+01, 1.213363614281929870e+01
2.022000000000000000e+03, 1.324419036524708559e+01, 1.353528857927044449e+01, 1.213210948732650962e+01, 1.038992169407290511e+01, 1.444560334067426588e+01, 1.231969925585347880e+01, 2.202111997413605238e+01, 2.084855612613267795e+01, 1.227775739311903358e+01, 1.196782390212161040e+01, 9.928440528523655217e+00, 2.025869901971677933e+01, 2.016393367642745460e+01, 1.429952882452502294e+01, 1.288848263890640844e+01, 1.163201081435113338e+01
2.023000000000000000e+03, 1.360980719252685667e+01, 1.440271921098646857e+01, 1.295907596512699200e+01, 1.115902222037149194e+01, 1.523973890062919878e+01, 1.166517266485448623e+01, 2.206630842136941340e+01, 1.924392880503047110e+01, 1.176799166835841959e+01, 1.222558504437662918e+01, 9.858623183910452781e+00, 1.972153360191506266e+01, 1.934855638858447691e+01, 1.441980741572709768e+01, 1.295892952088019001e+01, 1.136414823593978340e+01
2.024000000000000000e+03, 1.296435604758012872e+01, 1.389573499310813176e+01, 1.272584739825776268e+01, 1.131389974622544869e+01, 1.490865409123159147e+01, 1.059657059433037141e+01, 2.225535623238370064e+01, 1.839788046389220710e+01, 1.172149687548995445e+01, 1.184251728014067950e+01, 9.805008259013249017e+00, 2.021310898477567264e+01, 1.971038461924165119e+01, 1.480635922495086021e+01, 1.300312206817743110e+01, 1.159855564819717166e+01
2.025000000000000000e+03, 1.298364745305947210e+01, 1.259706523275183265e+01, 1.291425427012287308e+01, 1.008563609061666355e+01, 1.576717681239256486e+01, 1.292455456983317141e+01, 2.205363151997564231e+01, 1.818981955385767080e+01, 1.174550663497163505e+01, 1.210294681480865542e+01, 9.653120458265236792e+00, 2.003059659513956348e+01, 2.023507386242447836e+01, 1.588719233537395148e+01, 1.317375376383060015e+01, 1.236064833322550705e+01
