year, MPI-ESM1-2-LR, EC-Earth3-Veg, CMCC-ESM2, CESM2-WACCM, UKESM1-0-LL, CNRM-ESM2-1, IPSL-CM6A-LR, NorESM2-LM, TaiESM1, NorESM2-MM
2.015000000000000000e+03, 8.481998111889716370e-10, 5.767754250616926161e-10, 3.151417089968000336e-10, 3.378559826009340787e-10, 1.662055706646865669e-10, 4.360851816174592241e-10, 3.012502466425972428e-10, 8.449048507328767944e-10, 1.178336149718357512e-09, 8.629467747862589168e-10
2.016000000000000000e+03, 7.852332689591940744e-10, 5.075759153052714387e-10, 3.227957623763477228e-10, 2.459531964867224536e-10, 8.909468331729515599e-11, 3.399115972625805012e-10, 3.036220688440553675e-10, 8.817195238205032965e-10, 1.020517283002245818e-09, 8.829141679202678346e-10
2.017000000000000000e+03, 7.648786782391495720e-10, 5.213648025645438562e-10, 3.284932573630069008e-10, 2.382526232655097254e-10, 6.137286123312400916e-11, 3.367461415464060595e-10, 3.089687255087199293e-10, 8.298564045545812087e-10, 8.882878164561147010e-10, 8.842923337544114919e-10
2.018000000000000000e+03, 7.524770062801938997e-10, 4.971093744612867975e-10, 3.300844308243361942e-10, 2.292231120894235470e-10, 5.168246213924303061e-11, 3.721192944551297363e-10, 3.108136077109770445e-10, 9.125215989253684744e-10, 7.837851197625158411e-10, 9.534633751234587477e-10
2.019000000000000000e+03, 7.417142608601676130e-10, 5.256692600449173727e-10, 3.304171490177824802e-10, 2.226334521267728091e-10, 4.926456999403513070e-11, 3.816279083282090972e-10, 3.119029262223434339e-10, 9.271367244723311019e-10, 7.051462534500514627e-10, 8.826628896913651420e-10
2.020000000000000000e+03, 7.233432546896852919e-10, 5.263477862912823971e-10, 3.165570191190211135e-10, 2.153355066584211434e-10, 4.901258181075668070e-11, 3.331599206031010249e-10, 3.136621327855684086e-10, 9.326484557794447678e-10, 6.269356200870687602e-10, 9.034811004429174838e-10
2.021000000000000000e+03, 7.137056135070384809e-10, 4.749556413501924357e-10, 3.184510109051874385e-10, 2.267253965548463693e-10, 4.284992356732251475e-11, 2.816787717527193631e-10, 2.726262435435331450e-10, 8.986546494546361281e-10, 5.788590179062912871e-10, 9.263452458493897143e-10
2.022000000000000000e+03, 7.087734656965376217e-10, 4.847097856240125925e-10, 3.177307303866359983e-10, 2.198830686563174692e-10, 4.048503289292789583e-11, 2.973509064887651578e-10, 2.752591024807428962e-10, 9.012802325398067907e-10, 5.417217392978486296e-10, 8.984991656373747688e-10
2.023000000000000000e+03, 7.040666076539772553e-10, 4.825099624570374901e-10, 3.181765794190707425e-10, 2.150342281346010951e-10, 4.026019965379802790e-11, 2.778713900953068522e-10, 2.702596138135837879e-10, 9.175563209177465799e-10, 5.117027834449519400e-10, 9.203826357928159446e-10
2.024000000000000000e+03, 7.004142801692368140e-10, 4.847741624650498151e-10, 3.176441477081557306e-10, 2.102176477271385887e-10, 4.149999157449405431e-11, 2.639239993931989532e-10, 2.654400408357483300e-10, 9.329395495501268094e-10, 4.887384952697202565e-10, 8.737164290244709318e-10
