year, IPSL-CM6A-LR, NorESM2-LM, CanESM5, CMCC-CM2-SR5, CESM2-WACCM, TaiESM1, GFDL-ESM4, EC-Earth3-Veg, CNRM-ESM2-1, MPI-ESM1-2-LR, MIROC-ES2L, INM-CM5-0, UKESM1-0-LL, NorESM2-MM, INM-CM4-8, ACCESS-ESM1-5
2.032000000000000000e+03, 1.352512081386647651e+02, 1.576349719316286837e+02, 1.007254947602598065e+02, 1.261191418988875341e+02, 1.622618169586491774e+02, 1.598010733865579027e+02, 6.829877567255867632e+01, 1.215831453496035692e+02, 1.256520217328533704e+02, 1.518624722976721273e+02, 1.305349699144707358e+02, 1.526968353989117588e+02, 1.892843376642049407e+02, 1.574421207529577202e+02, 1.520781249005809457e+02, 1.840605386925643927e+02
2.033000000000000000e+03, 1.354594413346834187e+02, 1.579076627754103299e+02, 1.012229083028398691e+02, 1.263013879836689028e+02, 1.632441800928559132e+02, 1.592478415521529769e+02, 6.803674247398951991e+01, 1.214362489092982571e+02, 1.262240942314455197e+02, 1.513068847181966703e+02, 1.308375793557112274e+02, 1.536044552633669014e+02, 1.893490368045489447e+02, 1.577554337387392422e+02, 1.530400797510372968e+02, 1.841022973935615994e+02
2.034000000000000000e+03, 1.359729477340235633e+02, 1.579433286592987429e+02, 1.011993341178119863e+02, 1.264162100477619788e+02, 1.637928247678245555e+02, 1.599236833483233227e+02, 6.762990896094679272e+01, 1.224437857783804731e+02, 1.259297834398912812e+02, 1.512695032470730325e+02, 1.312210709093251637e+02, 1.542163368263157963e+02, 1.891960245931967677e+02, 1.583600734673816817e+02, 1.538432600733263200e+02, 1.841217636199311585e+02
2.035000000000000000e+03, 1.362943072088701797e+02, 1.576406065157156320e+02, 1.010811981885588295e+02, 1.258813949522548086e+02, 1.650874243417459297e+02, 1.601264954618627598e+02, 6.787941203438519722e+01, 1.225608580352231911e+02, 1.257849248757440108e+02, 1.512820076623990815e+02, 1.318551799412155674e+02, 1.545603314079760651e+02, 1.888571201603287477e+02, 1.590774922850524149e+02, 1.539196630687780782e+02, 1.844079126392564092e+02
2.036000000000000000e+03, 1.357107716291450288e+02, 1.573616554758560824e+02, 9.953342188538611879e+01, 1.260130522066024952e+02, 1.659888767439022388e+02, 1.595105133782392954e+02, 6.790264163052609092e+01, 1.228706096478078393e+02, 1.269714636193712209e+02, 1.513287271847912905e+02, 1.326322262128232978e+02, 1.550837200377379759e+02, 1.890865016412813304e+02, 1.595677723990634433e+02, 1.544393172232159088e+02, 1.848408272322635071e+02
2.037000000000000000e+03, 1.361748423808970472e+02, 1.581673637762478961e+02, 9.804480313348368270e+01, 1.264635219323791659e+02, 1.664146841399477239e+02, 1.582696673136227332e+02, 6.802168857798235990e+01, 1.219988650409643469e+02, 1.273573308976541938e+02, 1.508757460314992898e+02, 1.326519070812178427e+02, 1.558377944772167609e+02, 1.894651831286447248e+02, 1.595320993334178752e+02, 1.549777874849657735e+02, 1.837287086415898330e+02
2.038000000000000000e+03, 1.367819533209032841e+02, 1.595010939480578145e+02, 9.819881117174648466e+01, 1.268022843273081719e+02, 1.667161673078094282e+02, 1.592353308220815507e+02, 6.759846714901395615e+01, 1.227188564453705197e+02, 1.278653180200048638e+02, 1.510808602021421621e+02, 1.328307194633408983e+02, 1.563037183302864435e+02, 1.894097192920714576e+02, 1.597101584704503807e+02, 1.551226272528871277e+02, 1.830954408017143749e+02
2.039000000000000000e+03, 1.371200136492387287e+02, 1.604436065636819535e+02, 9.787292379320462032e+01, 1.269666154133933276e+02, 1.669119215107008927e+02, 1.595440213248337216e+02, 6.805216267469111813e+01, 1.234985377136969049e+02, 1.281258550224537771e+02, 1.517488020950076475e+02, 1.332755779519337977e+02, 1.569216288115557347e+02, 1.894353559724850413e+02, 1.604376830972759933e+02, 1.558146044219645603e+02, 1.839527272533621272e+02
2.040000000000000000e+03, 1.377035075305494161e+02, 1.611633016521867603e+02, 9.951626162432745559e+01, 1.261529462111799091e+02, 1.676768297809071555e+02, 1.594347123221537572e+02, 6.852325507490390066e+01, 1.243751245050112999e+02, 1.280355327463653907e+02, 1.528745593336501258e+02, 1.340022592449462024e+02, 1.565432669639839105e+02, 1.892988871352031595e+02, 1.611823099398893646e+02, 1.564110674899622495e+02, 1.844182756275416466e+02
2.041000000000000000e+03, 1.382695116509456739e+02, 1.617506720020811315e+02, 1.013212656046549824e+02, 1.267683979777303449e+02, 1.682970476311818402e+02, 1.588340096175649307e+02, 6.845998079373670464e+01, 1.252421046171272963e+02, 1.274930607724877092e+02, 1.535313629783796898e+02, 1.346395134644731399e+02, 1.566393652237340461e+02, 1.891600828666609573e+02, 1.619372190448940216e+02, 1.571740106754306225e+02, 1.855393695770392526e+02
