year, NorESM2-LM, ACCESS-ESM1-5, TaiESM1, EC-Earth3-Veg, IPSL-CM6A-LR, MPI-ESM1-2-LR, CESM2-WACCM, MIROC-ES2L, CanESM5, CMCC-CM2-SR5, NorESM2-MM, UKESM1-0-LL, CNRM-ESM2-1
2.028000000000000000e+03, 1.409683601453898234e+02, 1.079077449818297794e+02, 1.065779139099472133e+02, 1.999268396204913927e+02, 1.139116947329085718e+02, 1.211153635119701875e+02, 1.413807436972925018e+02, 1.131970148560185692e+02, 2.059594812930981220e+02, 2.918694775352547595e+02, 1.380366229292676508e+02, 3.198739441752478001e+02, 1.888613210454268767e+02
2.029000000000000000e+03, 1.411216537219923168e+02, 1.077408294179330568e+02, 1.064397817407757998e+02, 1.999060028252977759e+02, 1.138682411581344667e+02, 1.208232981404274966e+02, 1.414923309947445489e+02, 1.131493298962033833e+02, 2.057551863951159703e+02, 2.920475655246557949e+02, 1.381521459967495673e+02, 3.199482136739547968e+02, 1.889202235934359351e+02
2.030000000000000000e+03, 1.412355257411254854e+02, 1.076354960543230277e+02, 1.065886535312274930e+02, 1.998625080226165664e+02, 1.138348305805814391e+02, 1.206174420742632094e+02, 1.416062200203027430e+02, 1.131610741657754886e+02, 2.055620699023210705e+02, 2.921869006063772645e+02, 1.383166723975788841e+02, 3.203980591623052874e+02, 1.890042655913622411e+02
2.031000000000000000e+03, 1.414021022506866530e+02, 1.076593846954266382e+02, 1.066217531249345853e+02, 1.998385673732149996e+02, 1.138812373213164335e+02, 1.211201354374728396e+02, 1.417170171151293516e+02, 1.132856084659552351e+02, 2.053525225198880264e+02, 2.921990559610716218e+02, 1.385019296906119735e+02, 3.199339114314883545e+02, 1.890657467986461029e+02
2.032000000000000000e+03, 1.415819445671243670e+02, 1.076784348372221984e+02, 1.065147539541925568e+02, 1.997153045478497688e+02, 1.139386917557407628e+02, 1.213186398526364940e+02, 1.418774351314770286e+02, 1.133464525886102336e+02, 2.050881624947294597e+02, 2.923314518498779080e+02, 1.385843743502075540e+02, 3.191704522713652068e+02, 1.891709137579379956e+02
2.033000000000000000e+03, 1.417362993133179430e+02, 1.076575967410881134e+02, 1.065321051918661084e+02, 1.996035487709484926e+02, 1.140090793541751424e+02, 1.215880133349893129e+02, 1.420187666727758540e+02, 1.131348731438369697e+02, 2.049915919896833429e+02, 2.924465036468743051e+02, 1.387039104466484218e+02, 3.192922269451864281e+02, 1.891665606121142105e+02
2.034000000000000000e+03, 1.418275563191137394e+02, 1.076308365174217272e+02, 1.063973653545934326e+02, 1.996177117125003804e+02, 1.140654395720736289e+02, 1.217326280061706996e+02, 1.421890923143525924e+02, 1.131231975512389454e+02, 2.048615599654532389e+02, 2.924766774353673782e+02, 1.388501436404509946e+02, 3.193021745737468677e+02, 1.892044993282669623e+02
2.035000000000000000e+03, 1.419073177185570103e+02, 1.076316623047243013e+02, 1.063475369798444632e+02, 1.995946325882860037e+02, 1.141138389214488598e+02, 1.218358809436265773e+02, 1.423055526671588495e+02, 1.133671691811099294e+02, 2.046338182448765508e+02, 2.925776798703494137e+02, 1.390059043724487537e+02, 3.187509734692326333e+02, 1.891586335632309783e+02
2.036000000000000000e+03, 1.420964543584505861e+02, 1.076365598087564734e+02, 1.063995888875636808e+02, 1.995135330952095387e+02, 1.141213432102162386e+02, 1.220581340262742742e+02, 1.424331897980132169e+02, 1.135391387909857457e+02, 2.043082516272961016e+02, 2.927258847575462255e+02, 1.391392900220324975e+02, 3.189347823559043036e+02, 1.891206415631954769e+02
2.037000000000000000e+03, 1.422299078967736250e+02, 1.074863123341531264e+02, 1.065789351020583950e+02, 1.994056600223179316e+02, 1.141226292540100786e+02, 1.222411723778876791e+02, 1.425814731257360108e+02, 1.134602651195169045e+02, 2.039799962000551261e+02, 2.928026317661158942e+02, 1.392227227453914224e+02, 3.195248140017768037e+02, 1.892641813010789917e+02
2.038000000000000000e+03, 1.423197972930949220e+02, 1.072665168895040892e+02, 1.064463743546971557e+02, 1.993387855264495272e+02, 1.141162603764445436e+02, 1.222295953777205852e+02, 1.427439440704185074e+02, 1.134134334169026204e+02, 2.037089167954277400e+02, 2.928615025547635469e+02, 1.393768054846710811e+02, 3.192225864486730416e+02, 1.893416962585330907e+02
2.039000000000000000e+03, 1.424567821499803983e+02, 1.072615684920719872e+02, 1.063428041856114561e+02, 1.993527336374667982e+02, 1.140967668774829633e+02, 1.221399890947604092e+02, 1.428795761036836325e+02, 1.134603736302315866e+02, 2.033802909956813494e+02, 2.928858333039332251e+02, 1.394996460240640772e+02, 3.189183846522362842e+02, 1.894117683745631950e+02
2.040000000000000000e+03, 1.426314409623038841e+02, 1.073108706901830089e+02, 1.062716832575295314e+02, 1.992735493973624443e+02, 1.140978142113890357e+02, 1.221432908203454417e+02, 1.430172915352983125e+02, 1.135566621299720964e+02, 2.031948716943612112e+02, 2.930835911658369923e+02, 1.396387651349294003e+02, 3.187090471751095038e+02, 1.894809618028902207e+02
2.041000000000000000e+03, 1.428143134475187139e+02, 1.073930425552773897e+02, 1.063385757235151488e+02, 1.992655598049866796e+02, 1.141493080132896694e+02, 1.225903686267143087e+02, 1.431474053748145820e+02, 1.136830565726831423e+02, 2.030527960683567414e+02, 2.931535872087396228e+02, 1.398002173856027071e+02, 3.189439146164244789e+02, 1.896016652317837838e+02
2.042000000000000000e+03, 1.429653489959125920e+02, 1.074996173817225156e+02, 1.064345037278237669e+02, 1.993620129610334288e+02, 1.141991131086420381e+02, 1.228114016528994910e+02, 1.432387003249185966e+02, 1.136831788206320510e+02, 2.029147725104579081e+02, 2.932320395644219388e+02, 1.399317470866646147e+02, 3.193285719512002174e+02, 1.896882922101637234e+02
2.043000000000000000e+03, 1.429902631145411647e+02, 1.075614433714932971e+02, 1.063631772975674465e+02, 1.993872066659554037e+02, 1.142539128185483577e+02, 1.232272105484174887e+02, 1.433559327626585684e+02, 1.137629436201967650e+02, 2.027732262108031875e+02, 2.933362960855771462e+02, 1.400990931463551590e+02, 3.192586814674559719e+02, 1.897952276278517729e+02
2.044000000000000000e+03, 1.431247406050368340e+02, 1.076405324430260038e+02, 1.063192277623275004e+02, 1.993696009633893595e+02, 1.143082537318599066e+02, 1.238238522538954811e+02, 1.435259055457886745e+02, 1.138630337434341158e+02, 2.026544765651665898e+02, 2.933489443565343890e+02, 1.402773038022035621e+02, 3.193449752793213747e+02, 1.897973829940642077e+02
2.045000000000000000e+03, 1.432980904695594973e+02, 1.077364602640659825e+02, 1.063388725846316589e+02, 1.994507893559637637e+02, 1.143495951694601445e+02, 1.237647981268780484e+02, 1.437152084123976863e+02, 1.140495921749100887e+02, 2.024933427020047532e+02, 2.933606091726730938e+02, 1.404261291787176162e+02, 3.189284653607958830e+02, 1.897715481669939095e+02
2.046000000000000000e+03, 1.434223601628056031e+02, 1.078488401192049082e+02, 1.063590718542050979e+02, 1.994261204094931657e+02, 1.143749759966579091e+02, 1.231903045400394632e+02, 1.439033273651021432e+02, 1.139408062729890503e+02, 2.022793637726861959e+02, 2.934574992805099214e+02, 1.405558267222406243e+02, 3.186177638960114109e+02, 1.897297965342989414e+02
2.047000000000000000e+03, 1.435864236129416440e+02, 1.078594820296233507e+02, 1.062356227475643351e+02, 1.993541212772113624e+02, 1.143685680725987766e+02, 1.232521719119720558e+02, 1.440951848296469677e+02, 1.138908656807855238e+02, 2.022428317487280651e+02, 2.936157370838474776e+02, 1.406015699648833106e+02, 3.183534975864934040e+02, 1.896820179943428286e+02
2.048000000000000000e+03, 1.437663060498548759e+02, 1.078189662550374379e+02, 1.062329657633068507e+02, 1.992755650484838270e+02, 1.143541931654134061e+02, 1.237501773989733778e+02, 1.443152610398966544e+02, 1.138497995132816953e+02, 2.021310386463502766e+02, 2.937511759569294441e+02, 1.407644013652242734e+02, 3.181317794611569525e+02, 1.895692164283912575e+02
2.049000000000000000e+03, 1.439599292016118000e+02, 1.077149138826178074e+02, 1.062249817717584932e+02, 1.991576080483056899e+02, 1.143378453116176559e+02, 1.238091634926215221e+02, 1.444555086595085527e+02, 1.138676988614736558e+02, 2.019785678141312815e+02, 2.938158831184644555e+02, 1.409027975540496982e+02, 3.180244230551174383e+02, 1.896675268588211623e+02
2.050000000000000000e+03, 1.440462000533239575e+02, 1.076746182373134957e+02, 1.062665037604335225e+02, 1.990199217850642412e+02, 1.143266250340843584e+02, 1.238601635274837491e+02, 1.445886562646423954e+02, 1.136920349351119341e+02, 2.017335863206053261e+02, 2.937811616702279593e+02, 1.410681833891824226e+02, 3.178189079763438940e+02, 1.897380149501018991e+02
2.051000000000000000e+03, 1.442012863703834569e+02, 1.076637849263002948e+02, 1.063134199744883972e+02, 1.989347015921036075e+02, 1.143171935777403121e+02, 1.237801466137547379e+02, 1.447680207342790482e+02, 1.136379864407190468e+02, 2.014809771213242584e+02, 2.938522548878586917e+02, 1.412011875149567572e+02, 3.179178970445962022e+02, 1.895061847089222340e+02
2.052000000000000000e+03, 1.444135942015385865e+02, 1.075659733563830400e+02, 1.063509817583513666e+02, 1.988592373171660199e+02, 1.142514338580854059e+02, 1.240481035493905040e+02, 1.449378574866103975e+02, 1.139326364844507680e+02, 2.013972232437171215e+02, 2.939984979509229106e+02, 1.413456615884192331e+02, 3.181415643262570825e+02, 1.895172926279837213e+02
2.053000000000000000e+03, 1.445734795372062536e+02, 1.074294830993138419e+02, 1.062823350264843612e+02, 1.988210766814583792e+02, 1.142058168128335041e+02, 1.243389688563516842e+02, 1.451582947033392372e+02, 1.141741028691960906e+02, 2.012576247839557197e+02, 2.941222769663282293e+02, 1.414872332439085767e+02, 3.178969117786601828e+02, 1.893688443398251025e+02
2.054000000000000000e+03, 1.446990952277732276e+02, 1.073207294390103357e+02, 1.061368745122402828e+02, 1.987880809791194565e+02, 1.142142499181478428e+02, 1.245906205602938712e+02, 1.453639253675598582e+02, 1.142408728667829365e+02, 2.011542709382373459e+02, 2.941344398139436862e+02, 1.416637163044071315e+02, 3.179290968481688537e+02, 1.893569072351720308e+02
2.055000000000000000e+03, 1.449034456734244429e+02, 1.071973890301463683e+02, 1.060804194906671825e+02, 1.988446863294128661e+02, 1.142168911221701109e+02, 1.248218100650429250e+02, 1.454487672140740244e+02, 1.143594083010195845e+02, 2.010638608743704197e+02, 2.942565157894588879e+02, 1.419013575769535294e+02, 3.181914891104331105e+02, 1.893151654264161152e+02
2.056000000000000000e+03, 1.451365835906481152e+02, 1.070658444185273765e+02, 1.061103708248159165e+02, 1.988343369847544295e+02, 1.141918081876255542e+02, 1.248328988668942117e+02, 1.456005044066620542e+02, 1.144142437808856840e+02, 2.010744723733360502e+02, 2.944045571086246014e+02, 1.420823904450899988e+02, 3.187622215847039797e+02, 1.891764423195569691e+02
2.057000000000000000e+03, 1.453423063522971290e+02, 1.068438497581578730e+02, 1.061831710326653138e+02, 1.987968484813798682e+02, 1.141924450919345020e+02, 1.247237774689078122e+02, 1.457908909877648966e+02, 1.144342868108796409e+02, 2.009758976766428020e+02, 2.945431373606627403e+02, 1.421196604185383308e+02, 3.193074741368746459e+02, 1.891823794564793388e+02
