year, GFDL-ESM4, NorESM2-LM, TaiESM1, CNRM-ESM2-1, NorESM2-MM
2.035000000000000000e+03, 2.901525138645240563e-09, 1.894770301231486804e-09, 1.281003625790935150e-09, 7.468153828776905315e-10, 1.578497512707284546e-09
2.036000000000000000e+03, 2.222639888723361925e-09, 1.257132411276274300e-09, 1.558735791041938204e-09, 8.566115141281674844e-10, 1.111365575522124359e-09
2.037000000000000000e+03, 2.173198724844126818e-09, 1.001590124692616262e-09, 1.435885347358580133e-09, 8.979605416825728356e-10, 1.427080781723090999e-09
2.038000000000000000e+03, 3.829649925629249405e-09, 8.238559616421271008e-10, 1.244986375495929872e-09, 7.077444460819108085e-10, 1.280372599295399899e-09
2.039000000000000000e+03, 2.621796088222473172e-09, 8.042117522518264369e-10, 1.511117095546750083e-09, 8.510346658761642890e-10, 1.460178004480817527e-09
2.040000000000000000e+03, 2.075596089525420326e-09, 1.086117966831880493e-09, 1.542160380350649528e-09, 7.785330813832491278e-10, 1.250847217440438591e-09
2.041000000000000000e+03, 3.312207542594781501e-09, 1.478453360101644236e-09, 1.349269306536257350e-09, 7.544803607878281310e-10, 1.431076675463698591e-09
2.042000000000000000e+03, 3.641692331083077106e-09, 8.685901783282878050e-10, 1.255323728424380820e-09, 8.589324175378403239e-10, 1.463789185731343009e-09
2.043000000000000000e+03, 2.482395636267780975e-09, 1.241409818949478121e-09, 1.489860668547198649e-09, 7.709100149475548290e-10, 1.853865555767329214e-09
2.044000000000000000e+03, 2.853932483576606724e-09, 1.364884851471428207e-09, 1.689149044205843632e-09, 7.196715534285958468e-10, 1.558975784023316902e-09
2.045000000000000000e+03, 2.870261263546109845e-09, 1.114277423928169150e-09, 1.799874502474280120e-09, 7.456344097777677317e-10, 1.644352516548546574e-09
2.046000000000000000e+03, 2.998990196370665098e-09, 1.339667284962003862e-09, 1.663802012752745660e-09, 5.731370309556433666e-10, 1.231788615675102295e-09
2.047000000000000000e+03, 2.814943422476264565e-09, 1.249005674435243345e-09, 1.543359707686859814e-09, 6.811578168095996990e-10, 2.039795670068875062e-09
2.048000000000000000e+03, 3.971879122005952636e-09, 1.500425851722150412e-09, 1.944034874446337678e-09, 8.120945226682354765e-10, 1.764395979261211606e-09
2.049000000000000000e+03, 3.859342083944561498e-09, 1.070063447281124522e-09, 1.397688664879188521e-09, 9.398889099294748415e-10, 1.350216403814641629e-09
2.050000000000000000e+03, 3.323085380260536296e-09, 1.024557018809964811e-09, 1.408130605982338274e-09, 5.199291073505656734e-10, 1.051544174615214353e-09
2.051000000000000000e+03, 8.916305676350570523e-09, 1.500110672958474729e-09, 1.885868229574875071e-09, 6.622315325677571038e-10, 1.624468203555310699e-09
2.052000000000000000e+03, 3.418976119198376993e-09, 1.169229221895311228e-09, 2.190418605707767434e-09, 7.230322177575405516e-10, 1.511707122699795858e-09
2.053000000000000000e+03, 4.085561343558146642e-09, 1.406474802264427900e-09, 2.334747901206990290e-09, 6.587664252767218885e-10, 1.243349159964564651e-09
2.054000000000000000e+03, 2.601751704804399580e-09, 1.209500985156135256e-09, 1.736287210274191336e-09, 6.523615582467872074e-10, 1.668554957096703957e-09
2.055000000000000000e+03, 2.362307063005851114e-09, 1.665487234099770439e-09, 2.089699002688447029e-09, 5.344772426999013977e-10, 1.609408058893869652e-09
2.056000000000000000e+03, 3.015709794683421579e-09, 2.145977756016119102e-09, 1.931990393452756045e-09, 6.580372108813901154e-10, 1.152946055315143962e-09
2.057000000000000000e+03, 2.540047690970827122e-09, 1.732989342154230797e-09, 2.447778219071874329e-09, 6.789898730343833361e-10, 1.486822273482000266e-09
2.058000000000000000e+03, 3.836640568998915370e-09, 1.163025533577843395e-09, 2.871577730085198925e-09, 5.295416927917186384e-10, 1.889449600839004540e-09
2.059000000000000000e+03, 4.312224916530702169e-09, 1.586601901338786721e-09, 3.235031043380255195e-09, 7.973576836829923432e-10, 1.725027572333039879e-09
2.060000000000000000e+03, 5.039658184317927161e-09, 1.437636028718142303e-09, 2.235418935216177896e-09, 5.853644108556991455e-10, 1.711664864353240426e-09
2.061000000000000000e+03, 7.085922582126286155e-09, 1.364870130867407256e-09, 2.730022588062815598e-09, 7.435295676114850273e-10, 1.990706965711616521e-09
2.062000000000000000e+03, 5.596972299874916092e-09, 1.289588609610877801e-09, 3.413406579629479508e-09, 4.549272091826042925e-10, 2.037165239829960410e-09
2.063000000000000000e+03, 3.124015759695623452e-09, 1.674850659644236965e-09, 3.261799565435728216e-09, 5.769743174478772559e-10, 1.080165095469214450e-09
2.064000000000000000e+03, 4.831050664300527539e-09, 1.342932764460104846e-09, 2.415535595623137114e-09, 6.506026895377135674e-10, 9.997677172940040774e-10
2.065000000000000000e+03, 3.974560996281269641e-09, 1.025459835559656426e-09, 1.750042306955900940e-09, 5.501490968508293474e-10, 9.678561523968238797e-10
2.066000000000000000e+03, 2.897555724036956164e-09, 2.068607943077524517e-09, 1.715784139014301266e-09, 7.028394535882903223e-10, 2.140832604955395384e-09
2.067000000000000000e+03, 3.698694903470777973e-09, 1.968616003236587894e-09, 2.125553952265394977e-09, 5.083111156053138969e-10, 2.293666514688308715e-09
2.068000000000000000e+03, 4.712698548985956416e-09, 2.114669538941100162e-09, 1.734407784079135359e-09, 5.106723630262027616e-10, 2.044193743022558348e-09
2.069000000000000000e+03, 6.423197379593478180e-09, 2.498575178297624563e-09, 1.959592849515664173e-09, 5.264358633126690917e-10, 1.506296512602055666e-09
2.070000000000000000e+03, 3.723508162955051629e-09, 1.796487390151303765e-09, 2.341227197976186130e-09, 5.177068197211474517e-10, 1.829017854459045403e-09
2.071000000000000000e+03, 3.757754341350877833e-09, 2.362503284523604054e-09, 2.312325986508774768e-09, 7.648871990965171140e-10, 1.669407698775303908e-09
2.072000000000000000e+03, 5.020919900347479588e-09, 1.958323737848753892e-09, 2.387340644704232502e-09, 4.654453443183837628e-10, 1.742257745249653370e-09
2.073000000000000000e+03, 5.000845783106986719e-09, 1.892638996534204516e-09, 2.787712588201948239e-09, 5.581422833433097883e-10, 1.892980250238230383e-09
2.074000000000000000e+03, 2.826863698062142304e-09, 1.908830008923212837e-09, 1.958242042111364494e-09, 4.415687292897071266e-10, 1.065591788721001084e-09
2.075000000000000000e+03, 4.459179063770631945e-09, 1.657212269981784333e-09, 2.253132349275829821e-09, 4.906759022534433109e-10, 1.329985532072715489e-09
2.076000000000000000e+03, 2.971812931170364532e-09, 1.859219750374732504e-09, 1.808436209526997946e-09, 6.507824317900940877e-10, 1.251402595140586914e-09
2.077000000000000000e+03, 3.500418982922868131e-09, 1.316029876820509152e-09, 1.630742803231679839e-09, 5.238884596390016329e-10, 1.573742079461725604e-09
2.078000000000000000e+03, 4.654383953686318641e-09, 1.784054437790065176e-09, 1.798042376621365465e-09, 5.136205295843631600e-10, 1.124716626351874902e-09
2.079000000000000000e+03, 4.202734787908091312e-09, 1.724371604367870361e-09, 1.923352744829924746e-09, 4.852810720375483148e-10, 8.604677473723356045e-10
2.080000000000000000e+03, 3.054285110495219941e-09, 1.587725918213394183e-09, 1.692133498557962086e-09, 5.415191385986695010e-10, 8.103932537518437583e-10
2.081000000000000000e+03, 5.288313415010234214e-09, 1.553332509834329853e-09, 1.848478065877986432e-09, 4.869166135140787275e-10, 9.922993846502666167e-10
2.082000000000000000e+03, 4.789850638970662976e-09, 1.645271295644047504e-09, 2.329949453572646454e-09, 5.785251250064009964e-10, 1.359063148334757038e-09
2.083000000000000000e+03, 4.664795133418360566e-09, 1.282942718370538810e-09, 2.108914189405220497e-09, 4.385645609860932570e-10, 1.531490215592121399e-09
2.084000000000000000e+03, 5.631194791743353769e-09, 9.305940472275356779e-10, 1.727433566948732842e-09, 5.311172419042297730e-10, 1.540926120241711332e-09
2.085000000000000000e+03, 7.183567852089555397e-09, 1.427817272411476926e-09, 1.842264260508692459e-09, 4.965686274167310462e-10, 2.093906775959268189e-09
2.086000000000000000e+03, 1.215325401911139389e-08, 1.935915379025591336e-09, 2.168646028545271628e-09, 4.271467752379744071e-10, 2.773087832714430855e-09
2.087000000000000000e+03, 8.430070875374708574e-09, 2.101900450687102631e-09, 2.178969169883089392e-09, 4.853781320612929099e-10, 2.018933507768925038e-09
2.088000000000000000e+03, 6.874467421014517817e-09, 1.395582725711799353e-09, 1.903911781330586152e-09, 5.406928201219909120e-10, 1.446459754314561781e-09
2.089000000000000000e+03, 4.848474577888504068e-09, 2.304397319270561197e-09, 2.178438071569885469e-09, 4.351073326681962355e-10, 1.160053467444098648e-09
2.090000000000000000e+03, 5.639866727106194237e-09, 1.579390673898208111e-09, 2.280207285955329636e-09, 5.809820672806002181e-10, 2.042936379423488183e-09
2.091000000000000000e+03, 4.056142265086915666e-09, 2.769252808941445010e-09, 2.461400569501386751e-09, 5.295171389304259229e-10, 2.733427872202018859e-09
2.092000000000000000e+03, 4.627887121328156164e-09, 1.452970125144758300e-09, 2.061556216066445351e-09, 4.290597621957505028e-10, 3.019586319521265558e-09
2.093000000000000000e+03, 8.051901168825868736e-09, 1.410935965457417236e-09, 2.365598090207744085e-09, 4.938240904718422031e-10, 2.376395945770015622e-09
2.094000000000000000e+03, 6.598507966379960733e-09, 2.014436166754725222e-09, 2.378648012991103993e-09, 4.849288828272365121e-10, 1.921476697111147035e-09
2.095000000000000000e+03, 6.341713035734222457e-09, 1.828184606964683748e-09, 2.475065057778344385e-09, 4.190952990576655388e-10, 2.306668203853100870e-09
2.096000000000000000e+03, 6.030613260181452166e-09, 1.792068962775311015e-09, 2.878684439046337018e-09, 5.037942396525415860e-10, 2.125534803361703865e-09
2.097000000000000000e+03, 4.293032701001807170e-09, 1.390617358598676765e-09, 2.808933825711059878e-09, 4.496228709991700830e-10, 1.745440453290061112e-09
2.098000000000000000e+03, 6.078417712147243948e-09, 1.527620387957080427e-09, 2.932789978088273186e-09, 4.679788292413602248e-10, 1.085751245913411464e-09
2.099000000000000000e+03, 5.148264794659595452e-09, 1.861790520243070621e-09, 3.395611323883172615e-09, 4.635507972103207836e-10, 1.747771769604276257e-09
2.100000000000000000e+03, 6.031684105646074365e-09, 1.477833107381677078e-09, 2.317897311397513207e-09, 3.720321266865050622e-10, 1.021540355244248443e-09
