year, IPSL-CM6A-LR, UKESM1-0-LL, CESM2-WACCM, CNRM-ESM2-1
2.015000000000000000e+03, -1.684128759486992213e-09, 1.151348872351528165e-09, 3.398022908080923561e-10, 4.360851816174592241e-10
2.016000000000000000e+03, -1.814150032425278372e-09, 1.305472638159112251e-09, 2.462703465356366689e-10, 3.399115972625805012e-10
2.017000000000000000e+03, -2.002367502842686425e-09, 1.289513234367824594e-09, 2.385933033473164927e-10, 3.367461415464060595e-10
2.018000000000000000e+03, -1.867182749139169893e-09, 1.222510044307991085e-09, 2.295348928518268349e-10, 3.721192944551297363e-10
2.019000000000000000e+03, -1.838490335475742042e-09, 1.339835936531754844e-09, 2.229416541280555136e-10, 3.816279083282090972e-10
2.020000000000000000e+03, -1.830360398520065729e-09, 1.392806177188467913e-09, 2.156530703296388166e-10, 3.331599206031010249e-10
2.021000000000000000e+03, -1.908633914094636366e-09, 1.345359668546778053e-09, 2.273679729243201588e-10, 2.816787717527193631e-10
2.022000000000000000e+03, -1.888999516618954588e-09, 1.488045513647640579e-09, 2.204869563089008092e-10, 2.973509064887651578e-10
2.023000000000000000e+03, -1.890987331820520095e-09, 1.412358762143119635e-09, 2.156225210563658986e-10, 2.778713900953068522e-10
2.024000000000000000e+03, -1.884327353223841135e-09, 1.376159241468844526e-09, 2.107788954799934287e-10, 2.639239993931989532e-10
2.025000000000000000e+03, -1.855427659515047572e-09, 1.443595875908589027e-09, 2.069832082090130919e-10, 2.623664277600851302e-10
2.026000000000000000e+03, -1.825891872730002952e-09, 1.426073195550821104e-09, 2.097503727948799408e-10, 2.105981078315112143e-10
2.027000000000000000e+03, -1.858167725238066203e-09, 1.432427350748510947e-09, 2.077099283602199505e-10, 2.162752231127847747e-10
2.028000000000000000e+03, -1.895838153235670997e-09, 1.309854839655525837e-09, 2.047590511720252371e-10, 2.153034156168605417e-10
2.029000000000000000e+03, -1.974619931759060215e-09, 1.328509597254815924e-09, 2.033100358632542380e-10, 2.120348463363492497e-10
2.030000000000000000e+03, -1.859221991934557791e-09, 1.445491026514431688e-09, 2.024750444042399764e-10, 2.095447845113517358e-10
2.031000000000000000e+03, -1.998556794113659911e-09, 1.467002765643869130e-09, 2.113066706759976605e-10, 2.101301011944148984e-10
2.032000000000000000e+03, -2.057039670385647463e-09, 1.562491210005371981e-09, 2.114355635321653287e-10, 2.073827182562593041e-10
2.033000000000000000e+03, -2.048427046541385411e-09, 1.465951351452199426e-09, 2.144144752269902162e-10, 2.076606658447108698e-10
2.034000000000000000e+03, -2.018604381346373871e-09, 1.428980776282327026e-09, 2.138767329704895143e-10, 2.045522059325345040e-10
2.035000000000000000e+03, -2.014396638918584926e-09, 1.627044738162509900e-09, 2.155565652185194861e-10, 1.964933003235904481e-10
2.036000000000000000e+03, -1.848458616431169054e-09, 1.604991400157719859e-09, 2.308904010397348186e-10, 1.925192614202805216e-10
2.037000000000000000e+03, -1.884631796679370378e-09, 1.484205505390772653e-09, 2.335293365079146404e-10, 1.931141727642465374e-10
2.038000000000000000e+03, -2.145140524425949538e-09, 1.551239889597116965e-09, 2.351981008740573915e-10, 1.918076414137545111e-10
2.039000000000000000e+03, -2.173986031661825861e-09, 1.512662705037302309e-09, 2.379876810217262309e-10, 1.941124154189729197e-10
2.040000000000000000e+03, -2.173797181625736982e-09, 1.518162931202034341e-09, 2.380504060271861792e-10, 1.964658528262115229e-10
2.041000000000000000e+03, -2.216037398348450909e-09, 1.538225324406536302e-09, 1.968665140387323235e-10, 1.734475647361617377e-10
2.042000000000000000e+03, -2.207256990270306203e-09, 1.569973752123845432e-09, 1.955424085975131900e-10, 1.780386724417551557e-10
2.043000000000000000e+03, -2.211494497975495271e-09, 1.600781865084440730e-09, 1.928027089216091555e-10, 1.795312980039599065e-10
2.044000000000000000e+03, -2.209396476578700208e-09, 1.642245103347802681e-09, 1.912227268708240284e-10, 1.781664190372034540e-10
2.045000000000000000e+03, -2.219320312928469259e-09, 1.691853916767637687e-09, 1.889394661596129368e-10, 1.778926974498752997e-10
2.046000000000000000e+03, -2.242593574805534914e-09, 1.715431134994208836e-09, 2.049891995855254229e-10, 1.912895569452784503e-10
2.047000000000000000e+03, -2.241880614242812171e-09, 1.728390196672581124e-09, 2.058297605387934935e-10, 1.916886792400055299e-10
2.048000000000000000e+03, -2.098970560520989218e-09, 1.693007122920308131e-09, 2.026133064129579211e-10, 1.932766877796316189e-10
2.049000000000000000e+03, -2.393068692717420707e-09, 1.671775652533938818e-09, 2.023262814297588497e-10, 1.939255821774148789e-10
2.050000000000000000e+03, -2.378909065899593533e-09, 1.677680573676017315e-09, 2.036896101335584858e-10, 1.895500316040124589e-10
2.051000000000000000e+03, -2.282057608257071078e-09, 1.715210554022641651e-09, 2.106301894688773005e-10, 2.084744771934184256e-10
2.052000000000000000e+03, -2.359264749730722356e-09, 1.760727138092702098e-09, 2.116030144374362364e-10, 2.181740891907973084e-10
2.053000000000000000e+03, -2.366728743634093041e-09, 1.819359626674202492e-09, 2.106659376743104056e-10, 2.178973684316204891e-10
2.054000000000000000e+03, -2.361655671042486457e-09, 1.902846128758731353e-09, 2.080790039603667659e-10, 2.186063913931486822e-10
2.055000000000000000e+03, -2.415777650899812221e-09, 1.919617685965857402e-09, 2.091212024439307805e-10, 2.246435271841996416e-10
2.056000000000000000e+03, -2.445447420608772828e-09, 1.844167454711981281e-09, 2.314264325203862294e-10, 1.871993654609825069e-10
2.057000000000000000e+03, -2.489389817162025465e-09, 1.929701439489771288e-09, 2.329125392448100207e-10, 1.874385799150090617e-10
2.058000000000000000e+03, -2.388158371616339175e-09, 1.880901929165824441e-09, 2.314934302904637187e-10, 1.886220442708368019e-10
2.059000000000000000e+03, -2.376528942618013089e-09, 1.840253487668246680e-09, 2.333152183998733196e-10, 1.882693071839731176e-10
2.060000000000000000e+03, -2.392439106606083765e-09, 1.952226906928973768e-09, 2.320886633563759880e-10, 1.873938108526285147e-10
2.061000000000000000e+03, -2.464044546279836161e-09, 1.779054004781384362e-09, 2.729808314082239643e-10, 1.757147148183715014e-10
2.062000000000000000e+03, -2.521958415884550051e-09, 1.837320781865214299e-09, 2.713291099464058291e-10, 1.739630899424301419e-10
2.063000000000000000e+03, -2.354988384519430082e-09, 1.905722384063438903e-09, 2.727601193045088819e-10, 1.716150916627190002e-10
2.064000000000000000e+03, -2.480113780927183352e-09, 1.872716355682699992e-09, 2.760897989113235696e-10, 1.727497862903422211e-10
2.065000000000000000e+03, -2.497694978722171122e-09, 1.941850935349140940e-09, 2.769438832356382444e-10, 1.706222843701425426e-10
2.066000000000000000e+03, -2.550759296010643329e-09, 1.889712905792237709e-09, 2.303307921659503310e-10, 1.999520577028064691e-10
2.067000000000000000e+03, -2.676057459086358972e-09, 1.994284221860838373e-09, 2.265689831622125353e-10, 2.018200992976941015e-10
2.068000000000000000e+03, -2.457073213900582694e-09, 1.941219187481404558e-09, 2.252589797272556611e-10, 2.049505265703902048e-10
2.069000000000000000e+03, -2.644569668671124086e-09, 2.022953059237360064e-09, 2.213964216738853572e-10, 2.067163790754869727e-10
2.070000000000000000e+03, -2.550554366883892215e-09, 1.925870184376787636e-09, 2.191195499673412038e-10, 2.086204869445590491e-10
2.071000000000000000e+03, -2.617938537482436792e-09, 1.993569948525192138e-09, 2.642058003903899226e-10, 2.199243446995396148e-10
2.072000000000000000e+03, -2.638848589287052996e-09, 1.952193151792005969e-09, 2.649919130920644719e-10, 2.264628752528088304e-10
2.073000000000000000e+03, -2.446709915173726391e-09, 1.920329702727257527e-09, 2.657275501219203903e-10, 2.314675373848427780e-10
2.074000000000000000e+03, -2.562115833474827424e-09, 2.046824882457762044e-09, 2.688075081274599597e-10, 2.349600266655715810e-10
2.075000000000000000e+03, -2.772657877999596331e-09, 2.043711832430457078e-09, 2.681642338739365205e-10, 2.385918625023508725e-10
2.076000000000000000e+03, -2.719171741193031147e-09, 2.168447877808640937e-09, 2.684302299691587915e-10, 2.570492347714030136e-10
2.077000000000000000e+03, -2.670281743120335273e-09, 1.972843226453725856e-09, 2.656546009526665750e-10, 2.571148793153125481e-10
