year, UKESM1-0-LL, ACCESS-ESM1-5, CMCC-ESM2, CESM2-WACCM, MIROC-ES2L, CNRM-ESM2-1, MPI-ESM1-2-LR, IPSL-CM6A-LR
2.015000000000000000e+03, 1.662055693940177994e-10, 2.143187360135193981e-10, 1.637586062224692903e-10, 7.276492551729622823e-10, 1.312342525270453544e-09, 1.946194366526503435e-10, 1.449529164248018543e-09, 1.469778054693858166e-09
2.016000000000000000e+03, 8.909468313667283754e-11, 4.409510361971642021e-10, 1.752089390014256166e-10, 7.048592447612809807e-10, 1.288814728284702030e-09, 1.988393022350889495e-10, 1.414530446835338719e-09, 1.600307372008942842e-09
2.017000000000000000e+03, 6.137286067208100388e-11, 3.230567316728237216e-10, 1.837983121078696859e-10, 7.170172059605062347e-10, 1.280408782031533117e-09, 1.966278465757689732e-10, 1.406369607892955389e-09, 1.787580278312401366e-09
2.018000000000000000e+03, 5.168246215223825129e-11, 2.820764481446325703e-10, 1.901298551384978168e-10, 6.483657750342912924e-10, 1.271705216062884312e-09, 1.980669982752062530e-10, 1.394590635878782492e-09, 1.651506954889147043e-09
2.019000000000000000e+03, 4.926456971504270374e-11, 2.672688996170950021e-10, 1.947126536603663737e-10, 6.856199055762480810e-10, 1.268811571884403307e-09, 2.043816107365829919e-10, 1.395729411493121758e-09, 1.623007088943898006e-09
2.020000000000000000e+03, 4.901258148719470251e-11, 2.607150273291848070e-10, 1.983436490028408128e-10, 6.472787691172254708e-10, 1.236973231646764022e-09, 1.570511577146603249e-10, 1.391980162574271343e-09, 1.613520340211865245e-09
2.021000000000000000e+03, 4.284992368467727781e-11, 2.423136702352085747e-10, 2.015219447280727464e-10, 7.070759530310778858e-10, 1.239880640982877532e-09, 1.546140714089721318e-10, 1.379454438213209389e-09, 1.691285230168291662e-09
2.022000000000000000e+03, 4.048503297142674788e-11, 2.355735697828453143e-10, 2.037868706517252043e-10, 7.255401887810281621e-10, 1.239992856724427120e-09, 1.492847645796006060e-10, 1.379530887267749362e-09, 1.670429750442982218e-09
2.023000000000000000e+03, 4.026019981508949086e-11, 2.326929226174552948e-10, 2.053592732209297725e-10, 6.533906060994881201e-10, 1.233810476958044921e-09, 1.286356258588747187e-10, 1.356649022745231551e-09, 1.671135893463358669e-09
2.024000000000000000e+03, 4.149999139396414744e-11, 2.311001010677638076e-10, 2.064845202232150687e-10, 6.988782080026563555e-10, 1.242117876427639283e-09, 1.115123297631277961e-10, 1.354233958668022748e-09, 1.663624867249745926e-09
2.025000000000000000e+03, 4.149727095107620266e-11, 2.288913720045820776e-10, 2.060076069724322056e-10, 6.387214590694447992e-10, 1.217008839900558540e-09, 1.067230464448033154e-10, 1.364634855560959448e-09, 1.633923489707728050e-09
2.026000000000000000e+03, 3.327394778779985775e-11, 2.106127044072567335e-10, 2.044079585104475651e-10, 6.597365077079068238e-10, 1.212580354508167707e-09, 1.070735647234706080e-10, 1.363914106245645787e-09, 1.603784560857127305e-09
2.027000000000000000e+03, 3.415197021764685111e-11, 2.023067838970067099e-10, 2.031480096003108961e-10, 7.097429426927449722e-10, 1.205360229403801564e-09, 1.046180366393300669e-10, 1.386289484852530094e-09, 1.635303660227887325e-09
