year, IPSL-CM6A-LR, CNRM-ESM2-1, INM-CM5-0, MPI-ESM1-2-LR, CanESM5, UKESM1-0-LL, TaiESM1, MIROC-ES2L, GFDL-ESM4, NorESM2-LM, NorESM2-MM, CESM2-WACCM, INM-CM4-8, ACCESS-ESM1-5, EC-Earth3-Veg, CMCC-CM2-SR5
2.025000000000000000e+03, 3.412473809256908197e+01, 3.012816311475134512e+01, 4.433882034987385623e+01, 4.408098403711181845e+01, 3.486663638959203126e+01, 3.995022325430643662e+01, 3.769225257906190052e+01, 2.623749612372797912e+01, 2.641530662097504489e+01, 3.292249308483564363e+01, 3.013704556782414556e+01, 3.127329996096282727e+01, 4.367412683265907702e+01, 3.618920115066330112e+01, 3.710698542892809115e+01, 2.479485770431448444e+01
2.026000000000000000e+03, 3.393534444922605786e+01, 2.949141167732168967e+01, 4.317261380635546431e+01, 4.538694321249469965e+01, 3.534239112609802191e+01, 4.137464786749251999e+01, 3.604079058480937192e+01, 2.623843876439602951e+01, 2.816118789764174579e+01, 3.357281631021761825e+01, 3.120857506813714011e+01, 3.193119203403268358e+01, 4.326940451691555722e+01, 3.731446480689277223e+01, 3.596779865336528559e+01, 2.415747335646851823e+01
2.027000000000000000e+03, 3.430479890382370911e+01, 2.781603519301457794e+01, 4.486022241239389530e+01, 4.373551298955446498e+01, 3.367973312489642979e+01, 4.116628585930410367e+01, 3.625778279893788891e+01, 2.727207748329343673e+01, 2.862230941831735365e+01, 3.330561836163680312e+01, 3.134105973743529105e+01, 3.130102750062887651e+01, 4.465876584566576923e+01, 3.620092195490801146e+01, 3.621659629462104135e+01, 2.484843934285245837e+01
2.028000000000000000e+03, 3.539964932129672803e+01, 3.055589118834039652e+01, 4.543432133724262201e+01, 4.175745081897344591e+01, 3.236260759317358549e+01, 4.037930858275262835e+01, 3.729522145987385784e+01, 2.671586502866238177e+01, 2.821049269300288032e+01, 3.296176197442022016e+01, 3.105413928197094364e+01, 3.135754875076498749e+01, 4.461444091290469061e+01, 3.407680164027613046e+01, 3.602093197974331673e+01, 2.524955475473308297e+01
2.029000000000000000e+03, 3.462950048981144135e+01, 3.139691277364942934e+01, 4.429274250930505730e+01, 4.500650667217296075e+01, 3.493004941364765870e+01, 4.166841669433370043e+01, 3.752917346363082629e+01, 2.664914347771037484e+01, 2.736299036908231486e+01, 3.297652160544567579e+01, 3.211414655496313486e+01, 3.115050773221420144e+01, 4.412920658891004422e+01, 3.350532451628683361e+01, 3.577991040681494894e+01, 2.485815039821983419e+01
2.030000000000000000e+03, 3.421681328824833201e+01, 3.027236264147398970e+01, 4.495088256976957553e+01, 4.751446722966628045e+01, 3.525180892185900206e+01, 4.353090487357300731e+01, 3.737917364284722765e+01, 2.728554269298998847e+01, 2.880417082583294786e+01, 3.320546115425017319e+01, 3.108796294006176453e+01, 3.234150144689201767e+01, 4.348697537300510163e+01, 3.645628910877046280e+01, 3.572183693988075248e+01, 2.473150622580344304e+01
2.031000000000000000e+03, 3.530603147954495569e+01, 2.851800555118202141e+01, 4.577997035150352900e+01, 4.533045562080560131e+01, 3.453097271735751406e+01, 3.955761934949042313e+01, 3.767644702940624057e+01, 2.715574706787364079e+01, 3.051288452187155897e+01, 3.221435216243237676e+01, 3.213140835051478206e+01, 3.144847555517868543e+01, 4.505390419310241867e+01, 3.709788651915333446e+01, 3.558745379896154049e+01, 2.487205413773589768e+01
2.032000000000000000e+03, 3.600048025257948581e+01, 2.894945162849084141e+01, 4.560754637548920698e+01, 4.493109333858561882e+01, 3.342913512683940525e+01, 4.064915310569886486e+01, 3.775513443390872936e+01, 2.775305592363875462e+01, 2.929346274758620083e+01, 3.243457748540308216e+01, 3.184318977421404639e+01, 3.096172991028192811e+01, 4.527337957704590821e+01, 3.642890062964282549e+01, 3.616045965635137094e+01, 2.323252050999444052e+01
2.033000000000000000e+03, 3.534285466062679859e+01, 3.002350252373731720e+01, 4.594382353086597703e+01, 4.476009055032074713e+01, 3.522875743424222605e+01, 4.333065877813982070e+01, 3.731280433103414396e+01, 2.728930102681212588e+01, 2.754157654782289910e+01, 3.296848572423024137e+01, 3.237535158603878926e+01, 3.130112309831946860e+01, 4.678534779835982249e+01, 3.572330234646064895e+01, 3.671688692613636107e+01, 2.536371750439353079e+01
2.034000000000000000e+03, 3.718762136351076464e+01, 2.824109899274105118e+01, 4.561081277024331371e+01, 4.435702840797304702e+01, 3.485071737477762355e+01, 4.001900639064311349e+01, 3.936764157147720056e+01, 2.741001398959908997e+01, 2.865507298286145144e+01, 3.224135727925378347e+01, 3.230565991351197397e+01, 3.188062853480157344e+01, 4.533451602510942990e+01, 3.664841601225952417e+01, 3.560367026503342203e+01, 2.444329556951716143e+01
