year, CMCC-ESM2, CESM2-WACCM, CanESM5, MPI-ESM1-2-LR, MIROC-ES2L, UKESM1-0-LL, CNRM-ESM2-1
2.033000000000000000e+03, -1.128219935985682354e-09, 1.634065210169049544e-09, 1.039700636835704520e-09, -2.481207417701597440e-10, 4.039457993404558528e-10, 9.605264636543918601e-10, 7.618633671982472544e-10
2.034000000000000000e+03, -4.973833867232031004e-10, 2.299284894149902694e-09, -5.271865403128011503e-10, 7.802918544453180063e-10, 1.807135560405362442e-09, -1.833127242288268778e-09, -1.449329884107162757e-09
2.035000000000000000e+03, -3.918916043603551837e-10, 2.030177526302114375e-09, -8.298886884400163310e-10, 6.671793629059671847e-10, 2.043913576168080902e-09, -5.214016402899670463e-11, 6.627925037187450378e-10
2.036000000000000000e+03, -5.026692116367010003e-10, 1.909675297420807131e-09, -3.743736331132345043e-09, -5.031734536192967756e-11, 4.867642133225507597e-10, 1.092710464185680957e-09, 2.532483997269784467e-09
2.037000000000000000e+03, -6.650261911560746689e-10, 1.424000932895027765e-09, -3.524940490737138219e-09, -9.428739318203124523e-11, -1.392674145218029215e-10, 1.268590145147907943e-09, 5.165760160099629402e-10
2.038000000000000000e+03, 2.191439235098224066e-10, 1.023581862291857855e-09, 2.212118493899369528e-10, 1.137019976013786625e-09, 4.547049910267604655e-10, -1.491497297549653042e-09, 1.779483428299314922e-09
2.039000000000000000e+03, -4.959855670865930321e-10, 1.812851389874537990e-09, 1.812924048312264498e-10, 2.631180395479279829e-10, 1.844140354934802692e-09, -4.544713984698198354e-11, -2.276499120622119029e-10
2.040000000000000000e+03, -5.196162633566995436e-10, 1.643650860727298668e-09, 3.333765446821072067e-09, 3.334271669440849998e-09, 2.152490913278994405e-09, -5.630332694351483003e-10, 1.999976040980328392e-10
2.041000000000000000e+03, -7.353208512296540894e-10, 1.999800641337992784e-09, 2.121019506579631195e-09, 1.807947278959094351e-09, 1.598136358419614305e-09, 2.627793156638170895e-10, -9.222465012722042121e-10
2.042000000000000000e+03, 4.610164703940971417e-10, 2.584903797182193536e-09, 1.715215896420026140e-09, 1.151463004643550833e-09, -1.725229854016596477e-10, 1.242895082900139608e-09, 3.461733885497633858e-10
2.043000000000000000e+03, 6.380888718054714558e-10, 2.270226954189418119e-09, -1.653738979739047083e-10, 4.713729019928779536e-10, 1.385672516403687830e-09, -1.127451978640245147e-09, -8.115351700284407055e-10
2.044000000000000000e+03, -1.730420934729060490e-10, 2.167739533296882577e-09, -3.728677161062230969e-10, -1.137114521148157801e-09, 2.077077045538798977e-09, 4.919600877426911748e-11, 1.175816104038935964e-09
2.045000000000000000e+03, -2.700780789460649245e-10, 2.127531445942302770e-09, -2.107121601951376298e-09, -5.659720858731972321e-10, 1.700028188893617779e-09, -6.171321557403562223e-10, 1.029600374277841502e-09
2.046000000000000000e+03, -5.774272343365100845e-10, 2.201471957174759958e-09, 7.483102334961505804e-10, 4.967869259565762171e-10, -4.380715147771048051e-10, -2.432777517344459546e-09, 1.655847283742636849e-10
2.047000000000000000e+03, -8.564311038621128435e-10, 2.435170590059994914e-09, 3.749812300392566072e-09, 1.809780398841266428e-09, 7.856591302139795330e-10, -1.052251852015728446e-09, 1.036517120631451375e-10
2.048000000000000000e+03, -1.559026740440549981e-11, 2.229910475959598944e-09, 2.411005851641993791e-10, 3.704988702044533989e-10, 1.236357397837288578e-09, -8.543399352889144273e-10, 3.515939001002413398e-10
2.049000000000000000e+03, 3.691813298952634156e-10, 2.001986498278278306e-09, -2.007278485026539566e-09, 1.294996367845877017e-10, 1.196074161114937835e-09, -6.334266804963809009e-10, -2.174899826688002611e-09
2.050000000000000000e+03, -5.421490233777740528e-10, 2.821154741611731174e-09, -4.441567067063369832e-09, 1.717962120123740082e-09, -7.050851680176445839e-10, -1.785231232740134985e-09, 7.104946280371727243e-10
2.051000000000000000e+03, 1.061286130404192696e-10, 2.510250530111104185e-09, 6.652462160846150869e-10, 2.211739312877949206e-09, 8.062024608535668504e-12, 9.553319391548613031e-10, 1.190574437427865015e-09
2.052000000000000000e+03, -6.362477469764953770e-10, 1.171724775398048032e-09, 3.762297101487546638e-09, 1.928661167613785638e-09, 2.219798745403089889e-09, 5.251794825807459184e-10, 7.770633167165758156e-11
2.053000000000000000e+03, -8.079030893777250372e-10, 1.441897137882201358e-09, -3.756051582944993741e-10, 1.451444392452396147e-09, 2.042657516451516531e-09, -1.827553337158462233e-10, 3.074785746032315155e-10
2.054000000000000000e+03, 1.283509176585253818e-11, 3.699336208622199622e-09, -7.243595446938981784e-11, 5.248525318660258893e-10, 9.363532796107644852e-10, 2.430796972691184423e-09, 1.352935930912638450e-09
2.055000000000000000e+03, -4.336328058120963569e-11, 2.372650901144826600e-09, 1.645734869701911863e-09, 5.005932191017237544e-11, -6.092651680243018514e-10, 1.071124267545835065e-09, -4.903033812847954506e-10
2.056000000000000000e+03, -9.242889067487976465e-10, 2.383367147176508865e-09, 1.852974556669389015e-09, -1.240626762819297184e-09, 1.291354333656585241e-10, 3.008719320123990029e-09, 1.911383934303050624e-09
2.057000000000000000e+03, -3.703322937237251991e-11, 1.621892706092609248e-09, 2.024192004876960353e-10, 2.012890060891220856e-09, 2.025757080233371703e-09, 7.382637845094076566e-10, 2.040251475068082771e-10
2.058000000000000000e+03, -1.162935356234831561e-09, 1.900047825541280935e-09, -7.701402998764839252e-10, 3.333600906165717043e-09, 8.655807652076578188e-10, -2.065997687664289223e-09, 4.773976927973399810e-11
2.059000000000000000e+03, -1.119009083449268379e-09, 1.923009942559961560e-09, -8.702721564001215965e-10, -1.936705513879121675e-10, -1.008103947669271883e-09, -2.425715640077424302e-10, 1.038071083280648320e-09
2.060000000000000000e+03, 1.005653180147302707e-10, 2.440709321836992170e-09, -1.721413177811960305e-09, -1.969117083805651347e-09, 7.427178473551149439e-10, 6.974093479891575076e-10, 3.180041730427019185e-11
2.061000000000000000e+03, -5.188400235322258378e-11, 1.408575577139955686e-09, -4.101266514553088718e-10, 9.565702075490385292e-11, 2.329616167301576953e-09, 4.724556176582082276e-10, 1.501026850636401501e-09
2.062000000000000000e+03, 6.538745178664490246e-10, 1.652748868420231893e-09, 3.038263787396492386e-09, 4.090941521505150755e-10, 2.057596566628593628e-09, -5.552449953894656432e-10, 2.161103353782008929e-10
2.063000000000000000e+03, -1.090575927470388667e-09, 2.129437418591138251e-09, 9.565466460572307244e-10, 2.356550521588999414e-09, -4.703164466675725989e-11, -1.170347422265491444e-09, -4.950343554224857247e-11
2.064000000000000000e+03, -1.140642091875168928e-09, 2.381036341568425547e-09, -5.763458068100670223e-11, 2.418365162463015207e-09, 1.980277505536231476e-09, -1.410407672311061417e-09, 3.211052390654354032e-10
