year, UKESM1-0-LL, ACCESS-ESM1-5, CESM2-WACCM, EC-Earth3-Veg, MIROC-ES2L, CMCC-CM2-SR5, IPSL-CM6A-LR, MPI-ESM1-2-LR, CNRM-ESM2-1
2.015000000000000000e+03, 5.585277076752623859e-01, 3.354001143111678296e+00, 8.767344566599802880e-01, 5.562184413512761827e-01, 2.166547019273472596e+00, 4.898956842867294159e-01, 4.856836449521432231e-01, 1.901546681896033153e+00, 2.143067851502427068e-01
2.016000000000000000e+03, 4.933919607041943878e-01, 3.770337040916604376e+00, 8.461447327305537947e-01, 5.434176467194342663e-01, 2.151226827722795054e+00, 5.181816734784677747e-01, 4.756170750808455527e-01, 1.873968161670334087e+00, 2.121384997538671158e-01
2.017000000000000000e+03, 4.580548645999109603e-01, 3.745696623285978077e+00, 8.281497326497653244e-01, 5.311074884196256285e-01, 2.143300894124250622e+00, 5.373708296180619293e-01, 4.671573297770839073e-01, 1.854173451879216783e+00, 2.102318411720584812e-01
2.018000000000000000e+03, 4.353520484614554764e-01, 3.751076751984411484e+00, 7.932212585942508554e-01, 5.190424090314899042e-01, 2.138158958361032536e+00, 5.510343200568623701e-01, 4.577147425912253542e-01, 1.835277144940039351e+00, 2.179007201943955752e-01
2.019000000000000000e+03, 4.192993323850879306e-01, 3.766103514107172145e+00, 7.870001064801620538e-01, 5.081501744543328591e-01, 2.137041109385843018e+00, 5.614091080072198814e-01, 4.477878181047342809e-01, 1.828484087103452005e+00, 2.180611500780201550e-01
2.020000000000000000e+03, 4.065789341465335660e-01, 3.782727328430441016e+00, 7.595917732143345757e-01, 4.976345691673130234e-01, 2.122482859360270258e+00, 5.718819979128351161e-01, 4.383171656135418370e-01, 1.822783196966014430e+00, 2.240181093437317028e-01
2.021000000000000000e+03, 3.895602877316202695e-01, 3.773246895460161454e+00, 7.614688600114125627e-01, 4.854804133778408692e-01, 2.121470951341666300e+00, 5.818991067646822613e-01, 4.247686337891135033e-01, 1.810887739603059376e+00, 2.179619805240427532e-01
2.022000000000000000e+03, 3.763064698339625425e-01, 3.770901799293076007e+00, 7.546968971906748980e-01, 4.740262951303113037e-01, 2.123361903065136058e+00, 5.891768840943846230e-01, 4.150211012266667998e-01, 1.806873405600994298e+00, 2.158076075104740921e-01
2.023000000000000000e+03, 3.660129995111620071e-01, 3.771926822978460159e+00, 7.272044898368091870e-01, 4.629501628034438654e-01, 2.124052969246487343e+00, 5.945352303128057514e-01, 4.076162235189408345e-01, 1.791833593639236222e+00, 2.145314480924106204e-01
2.024000000000000000e+03, 3.584133633596138235e-01, 3.774874240581774121e+00, 7.302582608574998968e-01, 4.522451702364927439e-01, 2.131771117534659421e+00, 5.983593091366593564e-01, 4.033268544632686581e-01, 1.788875634940826131e+00, 2.146260989083060289e-01
2.025000000000000000e+03, 3.510718005069908831e-01, 3.777247370648429303e+00, 7.081015808535368050e-01, 4.426465587870754836e-01, 2.124267999940323115e+00, 5.989552178538675165e-01, 4.013543141785395063e-01, 1.794864666541456044e+00, 2.143432581957386562e-01
2.026000000000000000e+03, 3.363291173400693168e-01, 3.751366587319937551e+00, 7.076530107816096926e-01, 4.315176012375230852e-01, 2.122463913510191258e+00, 5.974821769132553362e-01, 3.951647970854948455e-01, 1.796101180292840827e+00, 2.072812672937667799e-01
2.027000000000000000e+03, 3.295607766239769809e-01, 3.731170300734178102e+00, 7.151732822648214638e-01, 4.212641654382023315e-01, 2.119981953370277949e+00, 5.963369408563865548e-01, 3.906624821664878011e-01, 1.809970773139258915e+00, 2.004890831941852081e-01
2.028000000000000000e+03, 3.298930309672535865e-01, 3.714383513480055132e+00, 7.064147427772505816e-01, 4.111064793003899043e-01, 2.123263214728005277e+00, 5.952511121887109624e-01, 3.874166568953698597e-01, 1.800077621682871554e+00, 1.946578971743638808e-01
2.029000000000000000e+03, 3.311994942678050946e-01, 3.699730681846918667e+00, 7.030658462155534583e-01, 4.013474207352843992e-01, 2.130360816562309356e+00, 5.941520309876675565e-01, 3.850244121338824432e-01, 1.807881025496361094e+00, 1.901849832048641553e-01
2.030000000000000000e+03, 3.319017086148605689e-01, 3.686577971757904582e+00, 6.894996588827333461e-01, 3.920914194864688063e-01, 2.137635347339600589e+00, 5.949865651218915197e-01, 3.826476184900162725e-01, 1.811314414350896795e+00, 1.876741363855531086e-01
2.031000000000000000e+03, 3.303862239110954002e-01, 3.675224335758187522e+00, 7.097096334960794062e-01, 3.817496681656276092e-01, 2.148416243114219526e+00, 5.969294889369853863e-01, 3.810036922065327958e-01, 1.824781754546597190e+00, 1.871117445049267636e-01
2.032000000000000000e+03, 3.339402042890353695e-01, 3.664140631625844691e+00, 7.093764869057466171e-01, 3.720920705743835932e-01, 2.158917249347951373e+00, 5.983304520048252639e-01, 3.800591700666108852e-01, 1.817077726456236109e+00, 1.865157338907874052e-01
2.033000000000000000e+03, 3.366356627543085622e-01, 3.653945585226151760e+00, 7.037657059086662725e-01, 3.628023703119986343e-01, 2.172432215677906786e+00, 5.999409556553524370e-01, 3.793392013468590562e-01, 1.813856475319762573e+00, 1.867546554017290861e-01
2.034000000000000000e+03, 3.389320732823041804e-01, 3.644557486572253868e+00, 6.815691179024533364e-01, 3.540931302836520245e-01, 2.187524283720994944e+00, 6.016204615524993748e-01, 3.790426118142569134e-01, 1.820705668928943588e+00, 1.870828383903253844e-01
2.035000000000000000e+03, 3.399864533674949452e-01, 3.635709520652388616e+00, 7.169072197025283533e-01, 3.458255265224390307e-01, 2.192979900535893645e+00, 6.040372716863952052e-01, 3.785731735562819500e-01, 1.823380211948434360e+00, 1.881047836887906333e-01
2.036000000000000000e+03, 3.337672940132691002e-01, 3.618802567833579786e+00, 7.104672808078901225e-01, 3.365602235564802425e-01, 2.202064841873983880e+00, 6.062556851969940208e-01, 3.753642233388326255e-01, 1.829902566939439978e+00, 1.899722654903015506e-01
2.037000000000000000e+03, 3.302593116423200859e-01, 3.604224324121683143e+00, 7.211999407279295893e-01, 3.280106651429940956e-01, 2.208093583190045894e+00, 6.069408608931191607e-01, 3.726123554994746900e-01, 1.819878577133967390e+00, 1.908501722082996122e-01
2.038000000000000000e+03, 3.292930715471224512e-01, 3.590847713916064166e+00, 7.207959780933610450e-01, 3.201033794689783774e-01, 2.209094913816201267e+00, 6.066912633329376581e-01, 3.704373752378929407e-01, 1.824463766941543330e+00, 1.906375950882510661e-01
2.039000000000000000e+03, 3.291489200042975183e-01, 3.579004640936912729e+00, 7.107256425330230609e-01, 3.127607402565659167e-01, 2.216606163814740960e+00, 6.058166536910444266e-01, 3.678184482309383441e-01, 1.829839049755297431e+00, 1.897022164915264375e-01
2.040000000000000000e+03, 3.266553224930289212e-01, 3.568346524582557855e+00, 7.350600376878667630e-01, 3.059462239890545221e-01, 2.217898685614926535e+00, 6.074471539153659672e-01, 3.653560724340935706e-01, 1.836862544772306594e+00, 1.880767213891465783e-01
2.041000000000000000e+03, 3.175977819840632432e-01, 3.568545216915985474e+00, 7.076614530782222579e-01, 2.984335965366068932e-01, 2.222802639407865044e+00, 6.111167918305114855e-01, 3.629352803702124985e-01, 1.841303518089652203e+00, 1.862611673136597978e-01
2.042000000000000000e+03, 3.116293552797743671e-01, 3.569396704517689312e+00, 7.193740745983715490e-01, 2.914276232240671782e-01, 2.229516636873768221e+00, 6.134143476157947195e-01, 3.593746409901070749e-01, 1.843687982482184573e+00, 1.861470477541172786e-01
2.043000000000000000e+03, 3.069844387457494328e-01, 3.568617186869679436e+00, 7.136489094469513628e-01, 2.847395157043722813e-01, 2.236161233599236464e+00, 6.153649178148730137e-01, 3.566044367606234222e-01, 1.845804088813713051e+00, 1.867536062264767982e-01
2.044000000000000000e+03, 3.053289744077435919e-01, 3.567860770537033321e+00, 7.181168614448786292e-01, 2.783815852998103857e-01, 2.241810959181071095e+00, 6.169035835687910474e-01, 3.553197737210669338e-01, 1.843901734963470318e+00, 1.870190420929465080e-01
2.045000000000000000e+03, 3.041078722955404823e-01, 3.567048410023140992e+00, 7.008076803440330682e-01, 2.723833528909064272e-01, 2.258658603038713242e+00, 6.191744144006845474e-01, 3.541729078391323560e-01, 1.832611257463019783e+00, 1.871115010357596586e-01
2.046000000000000000e+03, 2.976057690176512893e-01, 3.571943659849794894e+00, 6.969963891474715290e-01, 2.655998132373158516e-01, 2.274667970029950581e+00, 6.218128780844081049e-01, 3.550472493739170732e-01, 1.831237619957555074e+00, 1.927748565669725744e-01
2.047000000000000000e+03, 2.958045419661171627e-01, 3.570938440102916278e+00, 7.157307137370167993e-01, 2.592487368766535627e-01, 2.286276803911902800e+00, 6.233491613008709242e-01, 3.554981211491938797e-01, 1.827046708097589622e+00, 1.978101797863670019e-01
2.048000000000000000e+03, 2.948438974198177021e-01, 3.570852776382896554e+00, 6.969716660640822292e-01, 2.532305910211596345e-01, 2.288570838184536882e+00, 6.239676563219436201e-01, 3.560894382662146418e-01, 1.831860076039456775e+00, 2.020087739083803735e-01
2.049000000000000000e+03, 2.939988777765298877e-01, 3.569154188365826208e+00, 7.177467305036890899e-01, 2.476809114263813505e-01, 2.289075652629397606e+00, 6.237036977925067838e-01, 3.564692746247629107e-01, 1.839201639205511496e+00, 2.048480036009743821e-01
2.050000000000000000e+03, 2.921234194995124267e-01, 3.568174760805371992e+00, 7.154118690061667118e-01, 2.425363535489339639e-01, 2.310535364490119647e+00, 6.243823897674822820e-01, 3.563231472588043736e-01, 1.857144714561377086e+00, 2.073683559025142342e-01
2.051000000000000000e+03, 2.848963496872376489e-01, 3.582619427550729263e+00, 7.157904712686721238e-01, 2.366904277793497324e-01, 2.325788758293910075e+00, 6.226804809529626894e-01, 3.572171051988972668e-01, 1.874403401481224751e+00, 2.141812014771358186e-01
2.052000000000000000e+03, 2.901829358402607251e-01, 3.594045487319020626e+00, 7.039704082028140908e-01, 2.312381346713653918e-01, 2.338973033684759173e+00, 6.172940574666748725e-01, 3.577305517571781057e-01, 1.885418866726872089e+00, 2.212679227769942247e-01
