year, CNRM-ESM2-1, TaiESM1, MPI-ESM1-2-LR, CESM2-WACCM, GFDL-ESM4, CNRM-ESM2-1, EC-Earth3-Veg, GFDL-ESM4, NorESM2-LM, NorESM2-MM, TaiESM1, NorESM2-MM
2.015000000000000000e+03, 1.128744291461572985e-09, 3.837956929657953293e-10, 1.773652721817441320e-10, 4.927065271712250062e-10, 5.960058323120966053e-10, 1.128744291461572985e-09, 5.768123077706090230e-10, 5.905801304392090222e-10, 2.303937509080511387e-10, 6.343890578694795639e-10, 3.837956929657953293e-10, 6.343890578694795639e-10
2.016000000000000000e+03, 5.985646659152445841e-10, 5.681639522323904342e-10, 1.910393759177436044e-10, 4.733945224183686372e-10, 6.130110522931610271e-10, 5.985646659152445841e-10, 9.140322501868372392e-10, 6.081069064099599059e-10, 2.325452449757202611e-10, 4.564665217534787455e-10, 5.681639522323904342e-10, 4.564665217534787455e-10
2.017000000000000000e+03, 1.280211358321747655e-09, 1.186993110475701594e-10, 1.900706286872936143e-10, 4.966102727160339628e-10, 5.098100022089945323e-10, 1.280211358321747655e-09, 4.405298248350117687e-10, 5.045276350805082740e-10, 4.428417653500536299e-10, 5.388459115113341848e-10, 1.186993110475701594e-10, 5.388459115113341848e-10
2.018000000000000000e+03, 1.123676376334275698e-09, 1.207880794653863786e-10, 1.718121155463668424e-10, 6.009896430189100641e-10, 2.550852820496898235e-10, 1.123676376334275698e-09, 3.693162047009076439e-10, 2.497934074994293005e-10, 4.735627154318317723e-10, 4.345760045358459533e-10, 1.207880794653863786e-10, 4.345760045358459533e-10
2.019000000000000000e+03, 5.836531672620659866e-10, 4.658094815659580828e-10, 1.717502039624052257e-10, 4.089740869797492984e-10, 2.881862910672085541e-10, 5.836531672620659866e-10, 5.814995592879351275e-10, 2.823733207783040937e-10, 3.676534316278305387e-10, 4.452261317703577953e-10, 4.658094815659580828e-10, 4.452261317703577953e-10
2.020000000000000000e+03, 9.534991818868795578e-10, 3.229133126867753617e-10, 1.537061029471791518e-10, 3.694185415926638003e-10, 3.926351108327407998e-10, 9.534991818868795578e-10, 2.966573512336330949e-10, 3.865766044705617526e-10, 2.849947353760244829e-10, 3.965605445884662939e-10, 3.229133126867753617e-10, 3.965605445884662939e-10
2.021000000000000000e+03, 6.423230373422238256e-10, 8.564406507577134854e-11, 1.564376460150914479e-10, 5.337352634299761039e-10, 3.562950320974858475e-10, 6.423230373422238256e-10, 1.551402225099803399e-09, 3.496677844403012152e-10, 3.701749295616610336e-10, 2.816205245701258858e-10, 8.564406507577134854e-11, 2.816205245701258858e-10
2.022000000000000000e+03, 7.046358452835412368e-10, 2.549191828225240411e-10, 1.665027630280143510e-10, 6.125158462170535510e-10, 3.411016637626730623e-10, 7.046358452835412368e-10, 6.748726621668976636e-10, 3.345413386013256663e-10, 2.215808682048546221e-10, 4.121073857329034989e-10, 2.549191828225240411e-10, 4.121073857329034989e-10
2.023000000000000000e+03, 1.064641684529645578e-09, 2.444993178321179201e-10, 1.643370726803463225e-10, 5.369021437977925703e-10, 2.745032822655776609e-10, 1.064641684529645578e-09, 3.556024478056006747e-10, 2.668895549954377665e-10, 1.171772673492118040e-10, 4.422251766967389230e-10, 2.444993178321179201e-10, 4.422251766967389230e-10
2.024000000000000000e+03, 1.230121462049042160e-09, 2.703722811207645285e-10, 1.689187933026108095e-10, 5.290349770116340932e-10, 7.273513986699972905e-10, 1.230121462049042160e-09, 3.166200257475142752e-10, 7.198168279247999311e-10, 6.033229147932807921e-11, 4.263459500674396036e-10, 2.703722811207645285e-10, 4.263459500674396036e-10
2.025000000000000000e+03, 1.141650119639439828e-09, 3.075475024511581673e-10, 1.505318652903749104e-10, 5.885029630667388654e-10, 4.098718339915293743e-10, 1.141650119639439828e-09, 3.350427394173808340e-10, 4.045941295429719986e-10, 1.914297088301622540e-10, 3.186988070161455686e-10, 3.075475024511581673e-10, 3.186988070161455686e-10
2.026000000000000000e+03, 9.305997981386354931e-10, 2.585341273686369132e-10, 1.890466941831132311e-10, 4.204300893145706434e-10, 3.165351775468804592e-10, 9.305997981386354931e-10, 5.605635302383138200e-10, 3.081216276741023167e-10, 4.873166670758840490e-10, 4.750781597100762456e-10, 2.585341273686369132e-10, 4.750781597100762456e-10
2.027000000000000000e+03, 8.131249045093788224e-10, 2.281477689082969026e-10, 1.820877089983044385e-10, 4.757962153944849612e-10, 3.494249752594271074e-10, 8.131249045093788224e-10, 4.113682174654836324e-10, 3.386695201961517291e-10, 4.835159770152429213e-10, 7.830206384146213038e-10, 2.281477689082969026e-10, 7.830206384146213038e-10
2.028000000000000000e+03, 7.475324429704972051e-10, 2.556253093807677538e-10, 1.965482277932601069e-10, 5.454042315988147262e-10, 6.487427227298145088e-10, 7.475324429704972051e-10, 4.465369454840261611e-10, 6.379417185811173274e-10, 3.405598693152217875e-10, 4.961114074583352952e-10, 2.556253093807677538e-10, 4.961114074583352952e-10
2.029000000000000000e+03, 1.358777832145425874e-09, 3.935393783555938383e-10, 1.912043694975842206e-10, 4.005996810167844849e-10, 7.159071495739581268e-10, 1.358777832145425874e-09, 1.139097547043592147e-09, 7.040035962704348948e-10, 1.738030541265511396e-10, 4.398589933732205842e-10, 3.935393783555938383e-10, 4.398589933732205842e-10
