year, UKESM1-0-LL, EC-Earth3-Veg, TaiESM1, NorESM2-LM, MPI-ESM1-2-LR, CNRM-ESM2-1, IPSL-CM6A-LR, CESM2-WACCM, CMCC-CM2-SR5, ACCESS-ESM1-5, NorESM2-MM, GFDL-ESM4, MIROC-ES2L, CanESM5
2.015000000000000000e+03, 1.367104580742216191e+00, 2.343440229904308225e+00, 1.907833957686746240e+00, 1.623341266601908250e+00, 1.485364561952344342e+00, 1.382250282051614931e+00, 2.573225381606726536e+00, 1.719224016531319288e+00, 1.664764721781343493e+00, 1.479228422151075195e+00, 1.550408622354674248e+00, 1.407144012319171189e+00, 1.493751611199717999e+00, 3.771858263117193300e+00
2.016000000000000000e+03, 1.282237826693868765e+00, 2.383499887790071714e+00, 1.966537290483389766e+00, 1.713470992283356420e+00, 1.269928470457383218e+00, 1.281696601067868757e+00, 2.617863737198617535e+00, 1.681692424313787848e+00, 1.986240046545655336e+00, 1.531452864869322417e+00, 1.711218167089373354e+00, 1.407824031964802103e+00, 1.467912352599751502e+00, 3.764730596490128534e+00
2.017000000000000000e+03, 1.337761966346143305e+00, 2.347439603147656317e+00, 1.565100647422688507e+00, 1.392226257691326463e+00, 8.813980446833817872e-01, 1.542160583172822008e+00, 2.341864183881510186e+00, 1.724373021560970720e+00, 1.929653857899215286e+00, 1.552456912186806148e+00, 1.565055588003607001e+00, 1.224110578575341224e+00, 1.454798301561347484e+00, 3.906082099613534808e+00
2.018000000000000000e+03, 1.312560329856271135e+00, 2.089479455148393061e+00, 1.550868085555906939e+00, 1.355937515384898928e+00, 1.233797422832132673e+00, 1.428133006148452733e+00, 2.467096044158097357e+00, 1.651201576635030976e+00, 1.627352552463160018e+00, 1.560732089522916644e+00, 1.619903682481552476e+00, 1.083785462696473800e+00, 1.403253759596679417e+00, 3.437106124515688421e+00
2.019000000000000000e+03, 1.299811534616016617e+00, 2.109600026173657827e+00, 2.127662976886228741e+00, 1.642159657055518585e+00, 1.167629779600626083e+00, 1.368820833283205474e+00, 2.678520354791412483e+00, 1.606454393725152086e+00, 1.867311462280443868e+00, 1.570585207576232323e+00, 1.666301412603830023e+00, 1.093408515741454146e+00, 1.428632154016910238e+00, 3.513217606831871453e+00
2.020000000000000000e+03, 1.452315953685871852e+00, 2.467258875190429190e+00, 1.841793895791101754e+00, 1.663654769904236996e+00, 1.364933758020940413e+00, 1.204507665909743785e+00, 2.701946984065997537e+00, 1.857550938056975909e+00, 1.952130056899240129e+00, 1.525759138401301618e+00, 1.775377982377187580e+00, 1.113785506168539330e+00, 1.469714199511471309e+00, 4.198075473139498470e+00
2.021000000000000000e+03, 1.466460340097836879e+00, 2.426703972291130107e+00, 1.562459381694782046e+00, 1.459272334294079876e+00, 1.651931285664458127e+00, 1.375512240053833102e+00, 2.506356868506171676e+00, 1.628136283131728979e+00, 1.993196071014634807e+00, 1.496983244584980888e+00, 1.902011705422709031e+00, 1.064460183630517198e+00, 1.412715079999117718e+00, 3.951727261797805202e+00
2.022000000000000000e+03, 1.426237252337710704e+00, 2.531436337091177879e+00, 1.808831832559222308e+00, 1.783640652707169538e+00, 1.506888981389838289e+00, 1.297053309666642118e+00, 2.687785462145952486e+00, 1.408716087778782988e+00, 1.738333428074203990e+00, 1.528056214698169324e+00, 1.909864121724836883e+00, 1.044641533445045178e+00, 1.460167313433801795e+00, 3.464822052761604709e+00
2.023000000000000000e+03, 1.580806034405400018e+00, 2.263993690689324101e+00, 1.944805744140264414e+00, 1.927698463478718427e+00, 1.563197200786600627e+00, 1.458083517197222179e+00, 2.808669941603498366e+00, 1.524432688922863433e+00, 1.847375929636430270e+00, 1.518598389061514453e+00, 1.790471129227811264e+00, 1.136914207351504391e+00, 1.426953010241346131e+00, 3.921217844485473947e+00
2.024000000000000000e+03, 1.393948039567030728e+00, 2.047472332836560049e+00, 1.872520931759213303e+00, 2.239620449383069811e+00, 1.120575403120575242e+00, 1.681181106702337669e+00, 2.790013285540135168e+00, 1.576695786374753050e+00, 1.722219769919317578e+00, 1.515219072736568862e+00, 1.770061826943963856e+00, 1.321388440396801256e+00, 1.398600480829586434e+00, 3.950993195058254859e+00
