year, EC-Earth3-Veg, GFDL-ESM4, MPI-ESM1-2-LR
2.015000000000000000e+03, 7.145293177226542964e-10, 1.550144230041736441e-09, 1.745162001358792910e-10
2.016000000000000000e+03, 7.055745501740809636e-10, 1.542223526079388563e-09, 1.584321755771754162e-10
2.017000000000000000e+03, 6.635354163965198386e-10, 1.021467252922750817e-09, 8.452012251353395332e-11
2.018000000000000000e+03, 8.250780583565973157e-10, 4.412667580710435647e-10, 1.506316510933438207e-10
2.019000000000000000e+03, 8.124387183984633808e-10, 3.997223406934427464e-10, 1.049227974493089897e-10
2.020000000000000000e+03, 7.824099750073198063e-10, 9.106417082315437242e-10, 1.493516052222008451e-10
2.021000000000000000e+03, 8.269578583764738827e-10, 8.173816177974384761e-10, 2.423658151170489842e-10
2.022000000000000000e+03, 5.605640716530729023e-10, 7.025418061794573059e-10, 1.812358289594835581e-10
2.023000000000000000e+03, 6.042348246472197509e-10, 5.355695294193704098e-10, 2.423767163584827957e-10
2.024000000000000000e+03, 6.395571120356704575e-10, 1.570826203668151732e-09, 1.106190342073810682e-10
2.025000000000000000e+03, 7.997601831220504429e-10, 1.590345644618541453e-09, 1.421953461167603167e-10
2.026000000000000000e+03, 8.363429594136944660e-10, 4.487988995611876147e-10, 2.831848111388524665e-10
2.027000000000000000e+03, 9.541736516812203478e-10, 1.067827710823109185e-09, 1.719224906922015278e-10
2.028000000000000000e+03, 7.760075189273859111e-10, 1.338201210402627272e-09, 1.529102352420894555e-10
2.029000000000000000e+03, 7.893845421108959336e-10, 1.303441239716309249e-09, 1.558448385329284960e-10
2.030000000000000000e+03, 7.506009335743356042e-10, 7.258540199249654645e-10, 3.115311996874207286e-10
2.031000000000000000e+03, 7.857739197654431717e-10, 7.921343787084292354e-10, 3.265855969131177222e-10
2.032000000000000000e+03, 5.559954780005661855e-10, 1.197427574626109320e-09, 1.357864683925962106e-10
2.033000000000000000e+03, 7.838966863372668829e-10, 7.535406697007754287e-10, 1.370640182951404683e-10
2.034000000000000000e+03, 9.554716027630722455e-10, 4.216072144359772382e-10, 3.250945062768488874e-10
2.035000000000000000e+03, 7.806755942194137048e-10, 6.332741380126105481e-10, 3.112884469471371169e-10
2.036000000000000000e+03, 5.853993043924992958e-10, 6.330176444060363497e-10, 1.281694161482435684e-10
2.037000000000000000e+03, 8.104251210734880514e-10, 6.431960176741433400e-10, 1.415271600406825166e-10
2.038000000000000000e+03, 9.224289437068788293e-10, 5.450542419814653128e-10, 1.830765559690394618e-10
2.039000000000000000e+03, 8.322183205657195832e-10, 9.578845997630957032e-10, 1.138458157505285325e-10
2.040000000000000000e+03, 6.593448052864335396e-10, 1.283825451503678178e-09, 2.151920581190260115e-10
2.041000000000000000e+03, 8.419613143326820926e-10, 1.468207053721711944e-09, 3.836015555637583272e-10
2.042000000000000000e+03, 8.653820805888344387e-10, 9.378395061676112472e-10, 4.044858255866551836e-10
2.043000000000000000e+03, 7.507842641716489697e-10, 8.156346351532445907e-10, 2.980639504320874300e-10
2.044000000000000000e+03, 5.480569581331128839e-10, 1.709794482089062678e-09, 1.582644623119415530e-10
2.045000000000000000e+03, 8.440501209005437916e-10, 1.046504263029217096e-09, 2.431622430957055200e-10
2.046000000000000000e+03, 7.677747929645390737e-10, 8.632485214620906559e-10, 1.555093181329114019e-10
2.047000000000000000e+03, 8.512386853143928258e-10, 1.021081789355585425e-09, 2.323077100475578509e-10
2.048000000000000000e+03, 7.544854381483038810e-10, 4.966635838135905272e-10, 3.245200190267947830e-10
2.049000000000000000e+03, 8.578216305746624964e-10, 4.098705276003507341e-10, 1.538878648251234459e-10
2.050000000000000000e+03, 7.423063040156965073e-10, 6.613525802423617602e-10, 1.894901803997173083e-10
2.051000000000000000e+03, 8.699547160349874005e-10, 1.222408805352621379e-09, 3.940125824783940354e-10
2.052000000000000000e+03, 7.468118600128120374e-10, 8.125468600873531918e-10, 2.865186997934794794e-10
2.053000000000000000e+03, 7.981321354895832978e-10, 1.169881401039640018e-09, 1.755377800663672662e-10
2.054000000000000000e+03, 7.012029077856222545e-10, 1.076252213210035256e-09, 2.210094401534241750e-10
2.055000000000000000e+03, 1.127449110140582277e-09, 1.230868751813266265e-09, 1.927100682684901993e-10
2.056000000000000000e+03, 6.638053645910044102e-10, 2.740183747638540694e-09, 1.966163396017336240e-10
2.057000000000000000e+03, 7.377101152086841490e-10, 1.750922757341174000e-09, 2.620548989973562854e-10
2.058000000000000000e+03, 6.717203136218231005e-10, 8.710070482591293981e-10, 2.489575466626430191e-10
2.059000000000000000e+03, 7.858568730487199676e-10, 1.263523201983233950e-09, 2.600774293084181985e-10
2.060000000000000000e+03, 7.506324362007924659e-10, 1.856924656125905299e-09, 2.847249854066124712e-10
2.061000000000000000e+03, 9.638470725278214686e-10, 6.815157069446045668e-10, 2.774130358971391049e-10
2.062000000000000000e+03, 8.227316894051694505e-10, 8.613770020133442233e-10, 2.291494885260985213e-10
2.063000000000000000e+03, 9.583599940038425863e-10, 9.637729630718721287e-10, 2.902616344733499576e-10
2.064000000000000000e+03, 6.966184213739524903e-10, 1.566655212437051938e-09, 2.669776723893165802e-10
2.065000000000000000e+03, 8.551769967825532215e-10, 1.220239334092670292e-09, 2.289813633972810565e-10
2.066000000000000000e+03, 7.543858755970163103e-10, 9.792163313610943108e-10, 2.735093936805239450e-10
2.067000000000000000e+03, 9.400764527303741336e-10, 1.749817472628461483e-09, 2.798267209677037334e-10
2.068000000000000000e+03, 7.942575561269674842e-10, 2.745914712535759158e-09, 2.439012639921663526e-10
2.069000000000000000e+03, 9.326518286386302469e-10, 2.193142944590717987e-09, 1.618585259961812814e-10
2.070000000000000000e+03, 9.666039048515060623e-10, 1.010311302081497234e-09, 2.409005217976884702e-10
2.071000000000000000e+03, 8.285431021000966702e-10, 1.194043729938558486e-09, 3.187956668052362793e-10
