year, CNRM-ESM2-1, GFDL-ESM4, NorESM2-LM, NorESM2-MM, TaiESM1
2.086000000000000000e+03, 6.306446615969717263e-10, 7.315035571645409183e-10, 1.716690110510157612e-10, 4.312259989169813013e-10, 4.945641036156092082e-10
2.087000000000000000e+03, 8.276694301535497863e-10, 6.192205909167587927e-10, 3.860487867040968461e-10, 6.955695128960597204e-10, 3.028796886030797742e-10
2.088000000000000000e+03, 7.437936866924552177e-10, 6.648639292394957791e-10, 7.530582523084882538e-10, 8.504772018796908905e-10, 3.287698264317796288e-10
2.089000000000000000e+03, 6.380070427822989177e-10, 6.719015921203602228e-10, 3.730728495146441383e-10, 8.419149461169735647e-10, 2.971406913160249079e-10
2.090000000000000000e+03, 3.198544490757957118e-10, 5.247647920805748164e-10, 3.325616646749752091e-10, 9.328218478136918073e-10, 3.498119279180511972e-10
2.091000000000000000e+03, 9.976329735534334872e-10, 5.527431887817069279e-10, 4.972524491641120393e-10, 4.639076212747277169e-10, 7.410257164283650521e-10
2.092000000000000000e+03, 9.120250833959084306e-10, 9.064031670034561852e-10, 5.448393188458650035e-10, 3.038471731357217587e-10, 3.973042173678751473e-10
2.093000000000000000e+03, 8.658654026259265352e-10, 1.004650678066022124e-09, 5.219936958011822151e-10, 8.364818485461367682e-10, 1.430538502237937397e-10
2.094000000000000000e+03, 6.559234519591716033e-10, 7.072640207431802303e-10, 1.539269338609180903e-10, 7.102276092859906615e-10, 3.944615247435102353e-10
2.095000000000000000e+03, 6.436786398631735061e-10, 8.226864016062826647e-10, 3.750994666210142373e-10, 5.691561674095482814e-10, 4.006803883241971533e-10
2.096000000000000000e+03, 6.193543281592317538e-10, 1.287113700673589980e-09, 8.180091110672049723e-10, 3.041658698916118379e-10, 2.995829754066376781e-10
2.097000000000000000e+03, 4.842610268293386244e-10, 7.857036251595849607e-10, 3.577669668599381174e-10, 5.801751707698114466e-10, 2.279018761921378035e-10
2.098000000000000000e+03, 8.215891885368012105e-10, 8.722476922138161571e-10, 4.107907500829777094e-10, 9.449373447635980960e-10, 4.162554424890085096e-10
2.099000000000000000e+03, 5.892240724854680431e-10, 5.483434992980558450e-10, 6.657365472187968428e-10, 8.311112673911804076e-10, 5.945573052990557265e-10
2.100000000000000000e+03, 8.350571667183315429e-10, 7.270622531845776985e-10, 4.240602924321794532e-10, 8.791194294401136044e-10, 3.532692238814385773e-10
