year, CNRM-ESM2-1, GFDL-ESM4, NorESM2-LM, NorESM2-MM, TaiESM1
2.015000000000000000e+03, 1.128744291461572985e-09, 5.905801304392090222e-10, 2.303937509080511387e-10, 6.343890578694795639e-10, 3.837956929657953293e-10
2.016000000000000000e+03, 5.985646659152445841e-10, 6.081069064099599059e-10, 2.325452449757202611e-10, 4.564665217534787455e-10, 5.681639522323904342e-10
2.017000000000000000e+03, 1.280211358321747655e-09, 5.045276350805082740e-10, 4.428417653500536299e-10, 5.388459115113341848e-10, 1.186993110475701594e-10
2.018000000000000000e+03, 1.123676376334275698e-09, 2.497934074994293005e-10, 4.735627154318317723e-10, 4.345760045358459533e-10, 1.207880794653863786e-10
2.019000000000000000e+03, 5.836531672620659866e-10, 2.823733207783040937e-10, 3.676534316278305387e-10, 4.452261317703577953e-10, 4.658094815659580828e-10
2.020000000000000000e+03, 9.534991818868795578e-10, 3.865766044705617526e-10, 2.849947353760244829e-10, 3.965605445884662939e-10, 3.229133126867753617e-10
2.021000000000000000e+03, 6.423230373422238256e-10, 3.496677844403012152e-10, 3.701749295616610336e-10, 2.816205245701258858e-10, 8.564406507577134854e-11
2.022000000000000000e+03, 7.046358452835412368e-10, 3.345413386013256663e-10, 2.215808682048546221e-10, 4.121073857329034989e-10, 2.549191828225240411e-10
2.023000000000000000e+03, 1.064641684529645578e-09, 2.668895549954377665e-10, 1.171772673492118040e-10, 4.422251766967389230e-10, 2.444993178321179201e-10
2.024000000000000000e+03, 1.230121462049042160e-09, 7.198168279247999311e-10, 6.033229147932807921e-11, 4.263459500674396036e-10, 2.703722811207645285e-10
2.025000000000000000e+03, 1.141650119639439828e-09, 4.045941295429719986e-10, 1.914297088301622540e-10, 3.186988070161455686e-10, 3.075475024511581673e-10
2.026000000000000000e+03, 9.305997981386354931e-10, 3.081216276741023167e-10, 4.873166670758840490e-10, 4.750781597100762456e-10, 2.585341273686369132e-10
2.027000000000000000e+03, 8.131249045093788224e-10, 3.386695201961517291e-10, 4.835159770152429213e-10, 7.830206384146213038e-10, 2.281477689082969026e-10
2.028000000000000000e+03, 7.475324429704972051e-10, 6.379417185811173274e-10, 3.405598693152217875e-10, 4.961114074583352952e-10, 2.556253093807677538e-10
2.029000000000000000e+03, 1.358777832145425874e-09, 7.040035962704348948e-10, 1.738030541265511396e-10, 4.398589933732205842e-10, 3.935393783555938383e-10
2.030000000000000000e+03, 8.716262856701409033e-10, 3.446565786210831903e-10, 1.276812829315881465e-10, 3.798293415812630438e-10, 6.155490714186851669e-10
2.031000000000000000e+03, 8.049568363188683945e-10, 4.960413142026567649e-10, 2.019048434110814735e-10, 5.673356862843330798e-10, 8.186183708877563046e-11
2.032000000000000000e+03, 9.526291146877043028e-10, 4.559045371141872937e-10, 2.045330537856500341e-10, 3.882121291126247544e-10, 2.343466767996757628e-10
2.033000000000000000e+03, 1.081659018055539444e-09, 3.433522140305876469e-10, 4.999699961872670774e-10, 2.941551749860365275e-10, 4.391464483814107008e-10
2.034000000000000000e+03, 8.196658311331626392e-10, 3.506806528104181716e-10, 4.508355665525371622e-10, 4.535022438400717767e-10, 1.793227103666530359e-10
2.035000000000000000e+03, 6.799961327910772233e-10, 3.623678378933705939e-10, 3.236429008001778962e-10, 3.151300870236314452e-10, 2.777990388272188052e-10
2.036000000000000000e+03, 1.762566880098134022e-09, 3.228466422916900327e-10, 2.031809707112467720e-10, 5.427834536730387705e-10, 4.850973996729945227e-10
2.037000000000000000e+03, 2.036163538257041299e-09, 3.482649927811166633e-10, 3.346578716450907883e-10, 6.438107599611586457e-10, 2.972259333915783214e-10
2.038000000000000000e+03, 6.573649427071239950e-10, 3.539398641323811518e-10, 3.343730172866339873e-10, 3.026599251993509351e-10, 1.281287463005843946e-10
2.039000000000000000e+03, 1.254978169770035785e-09, 2.968716264534257993e-10, 4.510271497111579021e-10, 4.287978858537840809e-10, 3.449661187191059439e-10
2.040000000000000000e+03, 9.485740616641652331e-10, 5.463949269496436423e-10, 4.601636212540214084e-10, 3.135021689693740077e-10, 5.371669457190640276e-10
2.041000000000000000e+03, 8.772031725122032389e-10, 6.596904405834510380e-10, 4.176586262707806791e-10, 7.299827956038969971e-10, 2.083349485450217893e-10
2.042000000000000000e+03, 1.153532040181335604e-09, 3.486518670266629306e-10, 3.445334012727254710e-10, 5.976439621138592043e-10, 1.414177989588459717e-10
2.043000000000000000e+03, 8.617982084539810820e-10, 5.430671034205983936e-10, 3.973605769880608129e-10, 3.319373202950178916e-10, 3.497145677477872291e-10
2.044000000000000000e+03, 9.242060384653741979e-10, 6.576704474491589386e-10, 4.298509878651142383e-10, 2.991751356242557702e-10, 7.742314455895755135e-10
2.045000000000000000e+03, 9.469781194415280496e-10, 4.241568461495708635e-10, 2.344718040855002316e-10, 4.860550873167896895e-10, 3.535199564059582062e-10
2.046000000000000000e+03, 6.216422383471000788e-10, 5.958923246168493340e-10, 3.832848294270743415e-10, 5.975844732393632280e-10, 3.266101484135732765e-10
2.047000000000000000e+03, 1.016548219299795645e-09, 6.285923476216028513e-10, 3.609207280768951099e-10, 3.582760916021943374e-10, 5.889037632689185216e-10
2.048000000000000000e+03, 1.264106679864742515e-09, 3.619207766632088691e-10, 4.577511677090946389e-10, 2.095570209158901336e-10, 7.723916196565799802e-10
2.049000000000000000e+03, 9.310842096602492040e-10, 4.108926591487973126e-10, 4.666186391678278987e-10, 4.920501095234924189e-10, 3.294681799396544442e-10
2.050000000000000000e+03, 8.946539201651520848e-10, 4.216432343013858896e-10, 4.603308942129143905e-10, 7.106895112645074273e-10, 1.601527442955981536e-10
2.051000000000000000e+03, 6.616095646023011560e-10, 5.338103855008242555e-10, 2.187719530546227368e-10, 6.371961298194232243e-10, 1.772383369788929257e-10
2.052000000000000000e+03, 8.741108222070607971e-10, 4.501123068931809759e-10, 2.054873079215506847e-10, 7.120199411163270029e-10, 4.164561688232913000e-10
2.053000000000000000e+03, 6.970708115539711146e-10, 5.667262620257688907e-10, 5.059792540789417648e-10, 7.757040297129105094e-10, 4.589044150737162770e-10
2.054000000000000000e+03, 1.598464511682842408e-09, 2.771554450274104164e-10, 4.771398807972542018e-10, 5.207486019441672141e-10, 5.802530024553126249e-10
2.055000000000000000e+03, 5.731661393517916659e-10, 1.154602313345117028e-09, 4.248800341217613393e-10, 5.129697534070692214e-10, 4.156521422130672658e-10
2.056000000000000000e+03, 1.158696426773042657e-09, 1.122979156455081466e-09, 4.419166767871957143e-10, 5.904674921435484104e-10, 3.287015791423862436e-10
2.057000000000000000e+03, 1.196426737800961774e-09, 9.701240859583258133e-10, 6.068381007110104983e-10, 4.580967921969614326e-10, 7.711226805817648794e-10
2.058000000000000000e+03, 7.312574120151790185e-10, 3.912143830083140851e-10, 6.102935790834343461e-10, 2.000265495171911346e-10, 7.533872518746747563e-10
2.059000000000000000e+03, 1.211155855177048937e-09, 9.696010249702284853e-10, 2.721387133080238397e-10, 4.404284465843247201e-10, 5.713336994082056989e-10
2.060000000000000000e+03, 7.354914145478106617e-10, 6.567850102365914035e-10, 3.773862295243187090e-10, 8.560825796243044095e-10, 2.507415949967607879e-10
2.061000000000000000e+03, 1.028904234544838263e-09, 5.998710341383643957e-10, 3.731817363830602247e-10, 3.874883271620602383e-10, 1.546478370329979817e-10
2.062000000000000000e+03, 1.117308656155985782e-09, 6.631932665313247561e-10, 3.286681479614801162e-10, 1.819713765947828613e-10, 2.674483341692698194e-10
2.063000000000000000e+03, 7.189676341344866598e-10, 7.798750161130222023e-10, 1.970260724918350502e-10, 2.578270018716953345e-10, 3.304775775544112101e-10
2.064000000000000000e+03, 8.265530259776136817e-10, 8.057332623409699507e-10, 3.118329512842320295e-10, 8.285472563680739857e-10, 9.524160471850311052e-11
2.065000000000000000e+03, 6.550201999452603304e-10, 5.483059599574944311e-10, 3.954129932660376706e-10, 8.494264383797663802e-10, 1.351578634856939236e-10
2.066000000000000000e+03, 9.986684137393549265e-10, 4.234054259977550037e-10, 5.481147097596179789e-10, 7.706978805892765433e-10, 3.694444620953346044e-10
2.067000000000000000e+03, 8.556758706571913705e-10, 1.132778826743910690e-09, 3.687363556345425075e-10, 6.878045891653767451e-10, 4.516740404062528607e-10
2.068000000000000000e+03, 8.725370745258438045e-10, 1.409847395587679693e-09, 5.878356695758369336e-10, 9.446958194650011343e-10, 1.405459511964867935e-10
2.069000000000000000e+03, 8.849661728362139245e-10, 1.087990946697817422e-09, 4.714356367907323631e-10, 6.773704301383393000e-10, 2.245388611329271903e-10
2.070000000000000000e+03, 6.227689021916126258e-10, 5.545917347381531023e-10, 3.562397674785598927e-10, 3.169367710442534100e-10, 4.546113904649784709e-10
2.071000000000000000e+03, 5.853163892021546739e-10, 8.905351781950009568e-10, 4.856334277310157499e-10, 5.727231440457829668e-10, 2.983811138565683468e-10
2.072000000000000000e+03, 8.322319809095717927e-10, 9.821889690705313281e-10, 3.860117913501834485e-10, 7.056236031203573973e-10, 2.049050417615539317e-10
2.073000000000000000e+03, 8.022560985470607450e-10, 6.676385043574063348e-10, 3.731430545186295089e-10, 4.884309528577843506e-10, 4.560822169518031556e-10
2.074000000000000000e+03, 9.980560176097119186e-10, 4.464262720535078806e-10, 6.111921982583609984e-10, 6.381416525680517356e-10, 1.860183947476032378e-10
2.075000000000000000e+03, 8.050388523295321891e-10, 4.237733264343224976e-10, 5.471046134167686413e-10, 5.745780767076077733e-10, 4.310126910735565471e-10
2.076000000000000000e+03, 9.770669848749211183e-10, 6.148636113227738178e-10, 1.869618452893371722e-10, 3.432099981470155942e-10, 3.964035927541766001e-10
2.077000000000000000e+03, 9.914289773800511625e-10, 1.172743192866220081e-09, 1.348840099169438336e-10, 3.077041987045791474e-10, 3.407693645829467198e-10
2.078000000000000000e+03, 9.798883661843674067e-10, 7.162906466132711250e-10, 3.486608396262640131e-10, 1.755155344855075848e-10, 5.370603068792191267e-10
2.079000000000000000e+03, 8.011497297900440927e-10, 1.072406349872680666e-09, 4.206279378446941108e-10, 7.065033476022746401e-10, 4.673823156428412073e-10
2.080000000000000000e+03, 1.176837417966779432e-09, 1.147744356860240556e-09, 5.975696540017880590e-10, 7.602762678879546909e-10, 5.787818373035425443e-10
2.081000000000000000e+03, 5.728949805568419917e-10, 1.149745760192476675e-09, 4.684679318885945984e-10, 6.970096676671912681e-10, 4.967421123644615290e-10
2.082000000000000000e+03, 9.960490153320815260e-10, 5.904207236525613884e-10, 5.350505324899633753e-10, 8.691767676134732719e-10, 4.044535562218027887e-10
2.083000000000000000e+03, 7.947702957139923273e-10, 6.126523485134804145e-10, 5.145676019868919389e-10, 5.760319286889610603e-10, 2.357174978586433940e-10
2.084000000000000000e+03, 7.865688500181514957e-10, 1.010590422301726970e-09, 4.104171702849616250e-10, 6.991971751550631266e-10, 1.724287597598418102e-10
2.085000000000000000e+03, 7.311969340178906435e-10, 9.477860362000993882e-10, 3.660425210591805446e-10, 5.049986521519182189e-10, 3.496346432500368311e-10
