year, IPSL-CM6A-LR, TaiESM1, UKESM1-0-LL, CNRM-ESM2-1, ACCESS-ESM1-5, CMCC-CM2-SR5, INM-CM5-0, NorESM2-MM, EC-Earth3-Veg, INM-CM4-8, CanESM5, CESM2-WACCM, MPI-ESM1-2-LR, NorESM2-LM, MIROC-ES2L, GFDL-ESM4
2.032000000000000000e+03, 2.041038991017657622e+00, 2.218108894920054031e+00, 1.859850630178499831e+00, 1.364606724305540197e+00, 1.433529783828956461e+00, 1.863517142501608381e+00, 2.388206563548414429e+00, 2.034357556137134981e+00, 1.295155439206267856e+00, 2.291907291630282728e+00, 1.794695971866603124e+00, 1.711690789251854250e+00, 8.015082019935699797e-01, 2.563075794908295624e+00, 2.029925893119623570e+00, 1.042873430844100335e+00
2.033000000000000000e+03, 1.696966827395565369e+00, 2.080424741006619893e+00, 1.751064036521099210e+00, 1.231144876169715241e+00, 1.380771429691671548e+00, 1.730129115795401296e+00, 1.990327818551535399e+00, 2.128168619074205292e+00, 2.042860297523971358e+00, 2.666785778761355807e+00, 2.105802884839906408e+00, 2.669635718197651553e+00, 8.932041555371824648e-01, 1.722804083039041867e+00, 2.277081640651150707e+00, 1.069890269989040466e+00
2.034000000000000000e+03, 2.490471919459898320e+00, 2.852006940175131344e+00, 1.166887826883070689e+00, 8.537384545568719174e-01, 1.422501984063113900e+00, 2.519954337592502647e+00, 2.078175337122734057e+00, 2.241156973751477377e+00, 1.844124338880116731e+00, 2.309198296265183359e+00, 1.574403544722728476e+00, 3.469471940161606316e+00, 1.481196574665867738e+00, 1.748641662395034935e+00, 2.657769693435349634e+00, 1.154328384666133411e+00
2.035000000000000000e+03, 2.332637313640048227e+00, 2.231896145575276158e+00, 1.345723745935483162e+00, 1.887971380584052783e+00, 1.868130902259798498e+00, 2.972631128911082943e+00, 2.305561272841927689e+00, 2.090313754226477361e+00, 1.245359988591819400e+00, 2.698320766925791592e+00, 1.582993213859614556e+00, 3.358536171913824919e+00, 1.206617708793958021e+00, 1.900963970052471419e+00, 2.185560618602799821e+00, 1.139094970627196890e+00
2.036000000000000000e+03, 2.459804117599550644e+00, 1.751462247612126433e+00, 1.421731516821694408e+00, 2.148216564353340186e+00, 1.445872246745593115e+00, 2.778514398822475862e+00, 2.110904071010891947e+00, 1.656765505212773437e+00, 1.503372741048052408e+00, 2.547028066725403939e+00, 1.545055841262306773e+00, 1.809939682155131235e+00, 7.756965735716554455e-01, 2.591276156139026288e+00, 1.978048086089889690e+00, 1.137934301063951992e+00
2.037000000000000000e+03, 2.577345010907147849e+00, 2.431878848011035377e+00, 1.325961803390584226e+00, 1.208385144734012151e+00, 1.352736065273124177e+00, 1.635980551489556456e+00, 2.078141619200777779e+00, 1.777763838299961652e+00, 1.658223612923175772e+00, 2.790358341849322077e+00, 1.826200022761280684e+00, 1.497023652515303560e+00, 1.017712859470935927e+00, 1.924247085101508103e+00, 2.075306641679315334e+00, 1.217943920213997444e+00
2.038000000000000000e+03, 1.597019102978820770e+00, 2.758446278383409833e+00, 1.460731670589269893e+00, 1.090244230984447338e+00, 1.220578147680416503e+00, 1.680864948054997976e+00, 2.537251907207449531e+00, 2.319550074671552942e+00, 1.867033683655911158e+00, 2.633026161332778781e+00, 1.755017355946939528e+00, 2.026470312334778701e+00, 9.886534935143284075e-01, 2.165040604703526217e+00, 1.919602331811794738e+00, 1.557355504731429363e+00
2.039000000000000000e+03, 2.120929314244105246e+00, 2.194181080538069928e+00, 1.433682145720833967e+00, 1.119391888912243394e+00, 1.962444678728209713e+00, 2.088265566739971657e+00, 1.751921456635655794e+00, 2.224969691630595658e+00, 1.103892682979361606e+00, 2.550134251083255865e+00, 2.387077685349577649e+00, 1.677480645892337696e+00, 6.947520662403358083e-01, 2.087886864566143696e+00, 2.078211683391026465e+00, 1.551242455384405750e+00
2.040000000000000000e+03, 2.340152345550626123e+00, 1.726982525324706641e+00, 1.190175447193756009e+00, 9.822651971165468066e-01, 1.537534222123634109e+00, 2.250795951663135952e+00, 2.414941446821461390e+00, 1.984397697084587575e+00, 1.527734479925369149e+00, 2.458383632375410244e+00, 2.302752185012953756e+00, 1.557629568217682614e+00, 1.227474954563709808e+00, 1.915273622098111472e+00, 2.277579822451683444e+00, 1.566537060310854379e+00
2.041000000000000000e+03, 2.416842479614586647e+00, 2.425500977313624684e+00, 1.773320786262864601e+00, 1.091841916597284134e+00, 2.081162524147618154e+00, 2.625435189949139492e+00, 2.174393581836105760e+00, 1.438651310742538270e+00, 1.777566091898726164e+00, 2.712426377459114413e+00, 2.941403771237519393e+00, 1.478231394635841633e+00, 1.396264398665101991e+00, 2.016290558776350661e+00, 1.833118167197518522e+00, 1.122670422895972964e+00
