year, IPSL-CM6A-LR, CNRM-ESM2-1, NorESM2-LM, MIROC-ES2L, NorESM2-MM, EC-Earth3-Veg, ACCESS-ESM1-5, CESM2-WACCM, GFDL-ESM4, TaiESM1, MPI-ESM1-2-LR, CMCC-CM2-SR5, CanESM5
2.015000000000000000e+03, 5.379781063519802231e+00, 9.553681054064274036e+00, 9.952904343994116720e-01, 7.572896743175679291e+00, 1.256370570043835233e+00, 1.754598155097880419e+00, 1.064863215455399859e+00, 1.056365776563103598e+00, 2.179622989996000015e+00, 8.744233609371934168e-01, 9.355045525908508353e+00, 2.032921868830096734e+00, 5.022443891652212500e+00
2.016000000000000000e+03, 5.374829420704903882e+00, 9.614439420924215440e+00, 9.612852440179248115e-01, 7.474641324398584530e+00, 1.084213771599217280e+00, 1.698651579114307753e+00, 1.131388255103805474e+00, 1.245975114224693092e+00, 2.364649541996604487e+00, 7.455034562827183020e-01, 9.371927982611998331e+00, 2.333387481146781628e+00, 5.037659010903371204e+00
2.017000000000000000e+03, 5.308858614759097705e+00, 9.504933124372616504e+00, 1.092548594363743630e+00, 7.434281776263024888e+00, 1.096552226109414940e+00, 1.514684632962492117e+00, 1.162232426695150700e+00, 1.090208489279540061e+00, 2.258900525909913082e+00, 2.678268726719043591e-01, 9.419489786947455201e+00, 1.445690241572031631e+00, 5.123826254004111291e+00
2.018000000000000000e+03, 5.292038104535695453e+00, 9.658718173674140317e+00, 1.185943018083521316e+00, 7.452693728587387767e+00, 1.111139544760832987e+00, 1.480916911251535018e+00, 1.216637286154647501e+00, 1.153672584936857870e+00, 2.139602146142726369e+00, 3.487320193363281917e-01, 9.376128508468035250e+00, 1.427946390364884355e+00, 5.355612756641025207e+00
2.019000000000000000e+03, 5.325340721921220322e+00, 9.666579030083676471e+00, 1.094333720088042528e+00, 7.524489426987417851e+00, 1.094662479089962170e+00, 1.674228074225948992e+00, 1.236080663916470979e+00, 1.166963285589573518e+00, 2.040045552285318475e+00, 1.084740293592079574e+00, 9.387459754693301406e+00, 2.260713805654555486e+00, 5.763073746161112787e+00
2.020000000000000000e+03, 5.427335655192521813e+00, 9.670948945923846907e+00, 9.526838653147402525e-01, 7.522470503663185148e+00, 1.069539844875237566e+00, 1.883622531822816804e+00, 1.202400472491883088e+00, 1.006071002901344213e+00, 2.100928527540841806e+00, 5.592837125683051136e-01, 9.373237764087100743e+00, 2.709624812702670305e+00, 5.428595683152646068e+00
2.021000000000000000e+03, 5.417089757816259343e+00, 9.594445970571548798e+00, 1.014857702750970647e+00, 7.531835753516347154e+00, 1.104682118674298996e+00, 1.843652609473686921e+00, 1.172587167717504819e+00, 1.129694329648364581e+00, 2.030583829380298688e+00, 2.790321513246602492e-01, 9.374912126319992822e+00, 2.175902407906274316e+00, 5.152106413474786706e+00
2.022000000000000000e+03, 5.332730852147976819e+00, 9.674745293702313731e+00, 1.031286275536744013e+00, 7.464451338265642555e+00, 1.090220740351640627e+00, 1.805445580167194475e+00, 1.158226106056342353e+00, 1.221629022986118640e+00, 2.029341687480034739e+00, 6.683554371906479386e-01, 9.447286996894259659e+00, 1.841247414743854005e+00, 5.465323339555300031e+00
2.023000000000000000e+03, 5.434680500064183128e+00, 9.609879505820511980e+00, 8.999960955105390514e-01, 7.460630436038764302e+00, 1.199388521956183506e+00, 1.559801080312299026e+00, 1.188282926861923938e+00, 1.114893354503507350e+00, 1.897170383110138969e+00, 6.172533294279008986e-01, 9.416002951837148416e+00, 1.400869400112877416e+00, 5.469271179934731997e+00
2.024000000000000000e+03, 5.526974513871218520e+00, 9.615121900849933567e+00, 8.232206128033294767e-01, 7.479523772947326066e+00, 1.201005885119840411e+00, 1.394431156800783445e+00, 1.153137305698626713e+00, 1.084013460403870699e+00, 2.204352252592919115e+00, 5.927817539185635809e-01, 9.507506112914875018e+00, 1.488914866863198405e+00, 5.295627392396881739e+00
2.025000000000000000e+03, 5.562169934953257844e+00, 9.742435617274050941e+00, 9.499312384350004912e-01, 7.531394653500124825e+00, 1.143890499972516794e+00, 1.454243659557132862e+00, 1.132150214057739523e+00, 1.125307996848416536e+00, 2.296397410973609610e+00, 5.617033828512049132e-01, 9.450810248241319655e+00, 2.249946857748811979e+00, 5.424782414368387151e+00
2.026000000000000000e+03, 5.373809382156266246e+00, 9.723672773642370259e+00, 1.143512321049549474e+00, 7.588941281060597177e+00, 1.130343471570103731e+00, 1.715799814870422102e+00, 1.183872421976290612e+00, 1.143008144334404452e+00, 2.155458199735190039e+00, 4.645955882745372301e-01, 9.475492995216466596e+00, 2.497527948696505185e+00, 5.344669290758594649e+00
2.027000000000000000e+03, 5.520812859077671497e+00, 9.683038897934597600e+00, 1.227900269032930591e+00, 7.638381332786150502e+00, 1.247448673353746873e+00, 1.984974307259072424e+00, 1.234171708375604082e+00, 1.143950623831860636e+00, 2.236087118557001929e+00, 4.442428424742050908e-01, 9.597971132689112395e+00, 2.013954393238948537e+00, 5.197270522993829189e+00
2.028000000000000000e+03, 5.560403211862297468e+00, 9.623192896378593986e+00, 1.156173522775496121e+00, 7.613696531727300432e+00, 1.344322646925675713e+00, 2.148133785779196003e+00, 1.208773732352937502e+00, 1.087864932990783906e+00, 2.263352644995025198e+00, 4.666151417900979426e-01, 9.661891760888082104e+00, 1.363771211152358775e+00, 5.460254158774616506e+00
2.029000000000000000e+03, 5.511924220434470278e+00, 9.723734941595916226e+00, 9.912478717562682728e-01, 7.545233673271154018e+00, 1.202012930008425684e+00, 2.083880612673592481e+00, 1.148829563880463311e+00, 1.245569614620677612e+00, 2.343667699466968291e+00, 6.699144474268596827e-01, 9.688619403890671222e+00, 1.671907843628013701e+00, 5.441633067309066263e+00
2.030000000000000000e+03, 5.379515910483634755e+00, 9.748683575291590131e+00, 8.794448380128094822e-01, 7.536587578320286696e+00, 1.099454797034790765e+00, 1.969796941648512600e+00, 1.158510526681363562e+00, 1.202942203550736888e+00, 2.226871295125870898e+00, 5.795932589457297723e-01, 9.641855477682668152e+00, 1.982047705079240218e+00, 5.387205665707788249e+00
2.031000000000000000e+03, 5.445046350745182728e+00, 9.756867952826503654e+00, 9.778738419675928606e-01, 7.564796720624859638e+00, 1.067100001235324225e+00, 1.791415726380614304e+00, 1.234423030683470701e+00, 1.210501693880046581e+00, 2.199991772562031489e+00, 2.061389174900947197e-01, 9.749444899699257761e+00, 2.725868856297444243e+00, 5.486302904706941597e+00
