year, TaiESM1, IPSL-CM6A-LR, GFDL-ESM4, MPI-ESM1-2-LR, CESM2-WACCM, UKESM1-0-LL, EC-Earth3-Veg, NorESM2-MM, NorESM2-LM
2.041000000000000000e+03, 2.630689949107694851e-11, 7.070941234406547963e-10, 2.229168426408268665e-10, 2.073480937961214453e-10, 8.769853614610359302e-11, 2.514913619633283175e-10, 1.246427853563090563e-09, 4.000333361065591777e-11, 3.282830530957010367e-11
2.042000000000000000e+03, 2.653020438014833688e-11, 6.891622366628825869e-10, 1.528057625012885471e-10, 2.310186675440123972e-10, 1.378534254557273267e-10, 1.665889360191361220e-10, 1.255552852452788988e-09, 4.005081033710773510e-11, 3.287396560374693451e-11
2.043000000000000000e+03, 2.677673061825859666e-11, 6.676660905725009929e-10, 1.827583074870113576e-10, 2.435692413012208574e-10, 1.291588477367346518e-10, 1.073317845085460022e-10, 1.105811665772703948e-09, 4.015042606397324901e-11, 3.293301159513422289e-11
2.044000000000000000e+03, 2.470248988064131969e-11, 6.536009726744660779e-10, 2.568789343104451371e-10, 1.921450229118575529e-10, 1.086089631956700806e-10, 1.452294501679578906e-10, 9.168037742531604852e-10, 4.017544635934865346e-11, 3.298883330142094361e-11
2.045000000000000000e+03, 2.490043424303742003e-11, 5.783739823159354053e-10, 1.864084729213100981e-10, 1.531155638340525072e-10, 1.668949059390051297e-10, 1.743195717498186135e-10, 1.260467340771048789e-09, 3.970461406175787673e-11, 3.071303826989590139e-11
2.046000000000000000e+03, 2.523811441924645267e-11, 7.154763940086398175e-10, 2.051800650463582402e-10, 1.339720592888538060e-10, 1.022956425520337576e-10, 1.262417141917143476e-10, 1.137832937977887773e-09, 3.975075126977161103e-11, 3.072566563577392547e-11
2.047000000000000000e+03, 2.530577613243995467e-11, 5.601053699843925442e-10, 1.750456803976943956e-10, 1.030715265420005851e-10, 1.423316510447686088e-10, 1.537985982033547085e-10, 1.241202451869544786e-09, 3.988142609514808953e-11, 3.076097113319916588e-11
2.048000000000000000e+03, 2.518582793513155083e-11, 7.223795426415008454e-10, 2.040156022363021246e-10, 1.305223698673416752e-10, 2.041446842292294497e-10, 1.352170913871265305e-10, 1.152373162509066104e-09, 4.001908085199595980e-11, 3.086213475037013445e-11
2.049000000000000000e+03, 2.521291223080770892e-11, 7.524965554610337619e-10, 1.326360798231952679e-10, 1.100216779924804995e-10, 1.582749476904069761e-10, 1.570556354889376638e-10, 1.225168603812705593e-09, 4.007235511815148608e-11, 3.093252086880130766e-11
2.050000000000000000e+03, 2.907210980245096129e-11, 6.948846030722031836e-10, 1.997324633919925929e-10, 1.000627031003923949e-10, 1.529003244095004309e-10, 1.388015353803156371e-10, 1.124670469736665015e-09, 4.009480874660177338e-11, 3.102170716233717091e-11
