year, CNRM-ESM2-1, CMCC-ESM2, CESM2-WACCM, MPI-ESM1-2-LR, UKESM1-0-LL, CanESM5, MIROC-ES2L
2.015000000000000000e+03, -5.595156935722282245e-13, -1.940260212769909803e-09, 1.363768755022629927e-10, 1.422851802317169064e-10, 1.018147748171224177e-09, 6.683492201905354835e-10, -2.091871837496013197e-10
2.016000000000000000e+03, 3.263615377038463934e-11, 4.812229240473722990e-10, -7.109353491148723809e-10, -9.518332098623678630e-11, -5.489130243724154351e-10, 2.571335212114587041e-09, 4.356167592151601080e-10
2.017000000000000000e+03, 6.953738789659753943e-10, 2.496143060143114249e-09, 5.186411329659062840e-10, -1.050692514640270891e-09, 3.532989903800793675e-10, 1.632391458436291644e-09, 3.739089238518286139e-10
2.018000000000000000e+03, 2.137349388628210226e-10, -1.467897906001144493e-09, -1.331931365618004266e-10, 3.982168897877829336e-10, -4.629869042103531074e-10, 9.101531412911899898e-10, 3.715149956307962638e-10
2.019000000000000000e+03, 1.498968212777872450e-10, -3.907255256859157978e-09, 1.931498415501012720e-10, -1.093819849044572692e-09, 1.421504980063522703e-11, -1.155650079625423233e-09, -1.038102258191079147e-09
2.020000000000000000e+03, -4.619986073142522070e-10, 7.446336842751119729e-10, 9.681380093477262680e-10, 6.093586605167448776e-10, 7.785739495094153589e-10, -3.356740005263175218e-10, -5.208644162380689536e-10
2.021000000000000000e+03, 4.792574886795119728e-10, 2.038354493016317042e-09, -2.469789442256093447e-10, 1.965685056131977703e-09, 1.365077008795188197e-09, 2.009747650657591308e-09, -5.128032251994632146e-11
2.022000000000000000e+03, -8.404037792496515402e-11, 2.776519842803257145e-09, -5.544887812811618990e-10, -2.445099438859600057e-10, 6.062434357347642374e-10, 1.570806484107980301e-10, 2.164226459345033510e-10
2.023000000000000000e+03, 9.258836830971851392e-10, -2.124770354941071161e-09, 3.582232169379033130e-10, 1.356633526916682929e-09, 1.910890501373969289e-09, -1.033844187428393777e-09, -2.972837090788966632e-10
2.024000000000000000e+03, 8.587959726595006572e-10, -2.073501184265310722e-09, 4.873856900735695889e-10, -1.005047732515809220e-09, -9.845290840362523531e-10, 1.447779028190188335e-09, 5.769138231903305541e-10
2.025000000000000000e+03, -2.641873215624750542e-10, -1.836838616572588601e-09, 1.924733337859773119e-10, -2.836093157758510204e-10, -4.261759586462766536e-10, 3.654353676326261310e-10, 8.424036096065916181e-10
2.026000000000000000e+03, -5.893565388513666751e-10, 9.769881444236888559e-10, 4.043249492364415001e-10, 3.021066586416030409e-09, -8.163477786610596109e-10, -9.122175815097071400e-10, 6.487331932654127580e-10
2.027000000000000000e+03, 2.274061120280585328e-10, 1.371372035494575898e-09, 2.232911204447128595e-10, 2.372947627838246173e-11, -3.826972967115643606e-10, 1.301306484180137334e-09, 3.089298290631055035e-11
2.028000000000000000e+03, 1.175161419047443644e-09, 8.549825847789050815e-10, 9.823788165373778974e-10, -1.434485850258848695e-10, -3.861727786806954664e-10, -1.207940761190042043e-10, 1.648237989085664099e-11
2.029000000000000000e+03, 4.166804393132648824e-10, -2.728956842796029330e-09, -1.660518869637741694e-11, -2.353134640840451909e-10, 1.381951134206656409e-09, -4.993279112965976145e-10, 5.977381666796771291e-10
2.030000000000000000e+03, 1.077035337324820592e-11, 1.003104577907187361e-10, 1.002060163515802170e-10, 2.705873073946434976e-09, 1.239720257715522420e-09, 1.439243185543443918e-09, 6.781252852857059094e-10
