year, ACCESS-ESM1-5, EC-Earth3-Veg, INM-CM5-0, UKESM1-0-LL, TaiESM1, IPSL-CM6A-LR, NorESM2-MM, CESM2-WACCM, NorESM2-LM, MIROC-ES2L, INM-CM4-8, CMCC-ESM2, GFDL-ESM4, MPI-ESM1-2-LR, CNRM-ESM2-1, CanESM5
2.015000000000000000e+03, 5.691218231898951263e-01, 1.673359620874382614e+00, 1.102610838851056929e+00, 1.285285487677806149e+00, 1.235082565609877392e+00, 1.013326216781558209e+00, 8.562817487031540997e-01, 1.038722474479535141e+00, 7.921735338975053331e-01, 5.122834362693987620e-01, 1.212363995957554952e+00, 1.093395042966391006e+00, 1.058106228472424970e+00, 9.076058871405329187e-01, 6.858012836770255305e-01, 7.535975758995496765e-01
2.016000000000000000e+03, 6.491681098156172336e-01, 1.530443988354088569e+00, 1.158650181204136986e+00, 1.197269343944592501e+00, 7.445518413117784284e-01, 9.777071121823949218e-01, 8.372122401434868300e-01, 9.946393676224717373e-01, 8.590552278855591029e-01, 5.350787889600937541e-01, 1.230123756359141174e+00, 1.244143461918542748e+00, 7.181087745988806725e-01, 8.104140039544985852e-01, 5.918424440774733286e-01, 8.419274948097171807e-01
2.017000000000000000e+03, 6.539588162012213157e-01, 1.571476857259500814e+00, 1.218064277607368906e+00, 1.219274999451363417e+00, 9.217770254048454071e-01, 8.267413844786617450e-01, 8.986127126892240469e-01, 9.770664201035692553e-01, 8.201206518574826188e-01, 5.439071477062652482e-01, 1.272837443619328379e+00, 6.847945183137141845e-01, 5.593999610381951149e-01, 6.860357170322975984e-01, 7.722406641966514940e-01, 8.252552520614490073e-01
2.018000000000000000e+03, 6.827878075676306890e-01, 2.125994847670927612e+00, 1.097819522586444219e+00, 1.177044810565190502e+00, 1.443315676886973931e+00, 9.052549378368904831e-01, 9.761400745173265392e-01, 9.756714137051938351e-01, 7.839873573184414912e-01, 5.535878667597693426e-01, 1.211623444101321834e+00, 6.682819871573060233e-01, 5.398148859962288437e-01, 8.087773775158615397e-01, 6.485206925363323771e-01, 6.813009538268904874e-01
2.019000000000000000e+03, 6.087255540878719895e-01, 1.971279891850337362e+00, 1.142639233982109204e+00, 1.169926377342964452e+00, 1.132624814914440226e+00, 1.045247670367039916e+00, 9.301403904609719664e-01, 9.298270290636337920e-01, 7.705221262738741750e-01, 5.082494444921039634e-01, 1.233958757097268544e+00, 1.160206646539233777e+00, 7.578354140248610982e-01, 7.366263625610565136e-01, 6.217411935422139102e-01, 6.005131673546133531e-01
2.020000000000000000e+03, 5.359529711593118417e-01, 1.960695478629994160e+00, 1.180089649023420950e+00, 1.256416592831781420e+00, 8.026228751986714816e-01, 1.043881944820633345e+00, 1.020140716313626905e+00, 9.919506750957306496e-01, 7.450633650753946124e-01, 4.971608630484276037e-01, 1.269214518648227985e+00, 1.655243916339485200e+00, 6.512015262958056327e-01, 8.288765736243707272e-01, 6.083584826850314542e-01, 7.765412470182961879e-01
2.021000000000000000e+03, 5.375796084886725890e-01, 1.648947125876197184e+00, 1.161419206575177832e+00, 1.270024558411074089e+00, 1.076421546604753976e+00, 9.008226182520907566e-01, 1.029709518755569375e+00, 9.531584515934272694e-01, 8.379536936223414001e-01, 5.153507952288169935e-01, 1.214412275355454041e+00, 1.191728990150881407e+00, 6.286098680338612077e-01, 9.636340363453331781e-01, 6.854078592990010543e-01, 8.648590382837129109e-01
2.022000000000000000e+03, 5.939362076147624014e-01, 1.168273379088964781e+00, 1.077702251658431143e+00, 1.324773203578749170e+00, 1.377611659926127219e+00, 1.088844354315824381e+00, 1.043231497506699412e+00, 8.870306387108952695e-01, 8.803224979842930731e-01, 5.228960773874458123e-01, 1.156706963007802402e+00, 5.543237648653257521e-01, 5.454824744975940165e-01, 8.247853221081964392e-01, 5.917690290021578869e-01, 6.499906810429060267e-01
2.023000000000000000e+03, 6.269869196043662551e-01, 1.502195896908899320e+00, 1.137964779708650287e+00, 1.408297435618069526e+00, 1.243032882452507426e+00, 1.084918548204623523e+00, 1.065084762494842296e+00, 9.042072697807735926e-01, 8.524685830149901777e-01, 5.179081288475111400e-01, 1.213170802650112678e+00, 6.511462076881044947e-01, 9.919194605704204637e-01, 9.607014727923063324e-01, 7.081027526473138156e-01, 7.093397169638220312e-01
2.024000000000000000e+03, 5.224439851514939281e-01, 1.721352591276881006e+00, 1.173244977781764842e+00, 1.248440836745713156e+00, 1.108291280255942812e+00, 1.021381181907931923e+00, 1.028893310598641087e+00, 9.799883820515414845e-01, 9.478468951903430417e-01, 5.372700435995118040e-01, 1.252014369198200860e+00, 1.058611871299275586e+00, 9.573707433605445072e-01, 7.076018372810507495e-01, 7.924563452334342228e-01, 8.269896353969669045e-01
