year, CESM2-WACCM, EC-Earth3-Veg, CNRM-ESM2-1, ACCESS-ESM1-5, TaiESM1, NorESM2-LM, INM-CM5-0, IPSL-CM6A-LR, MPI-ESM1-2-LR, INM-CM4-8, CanESM5, UKESM1-0-LL, NorESM2-MM, MIROC-ES2L, CMCC-CM2-SR5, GFDL-ESM4
2.034000000000000000e+03, 2.827598675389292104e+00, 3.139621292620791149e+00, 1.211954068467469003e+00, 1.493941050534691950e+00, 2.300629263147128345e+00, 1.676999696625904201e+00, 3.623052096235401809e+00, 3.397182702099321272e+00, 2.935196976988634354e+00, 3.817075198302177785e+00, 4.000727507794293203e+00, 1.176887777331797169e+00, 2.322923742030837513e+00, 1.994191795350117369e+00, 2.496422488037282061e+00, 1.280520310344321899e+00
2.035000000000000000e+03, 2.815858578736007534e+00, 2.100106277897252127e+00, 2.874297616181119785e+00, 1.534441494770019787e+00, 2.010302235041492747e+00, 1.845217743449134140e+00, 3.737698649987393207e+00, 2.945469850208872753e+00, 2.324641345141589266e+00, 4.165624621798546201e+00, 3.902335111379509947e+00, 1.301716433607054357e+00, 2.278884676312439073e+00, 1.891675352625162176e+00, 2.360313724092330201e+00, 1.351808349503172080e+00
2.036000000000000000e+03, 2.079929018071303037e+00, 3.096524528954583300e+00, 3.446841128075064820e+00, 1.618220351032541471e+00, 1.588021011657728909e+00, 2.266101738640527330e+00, 3.616000185221230900e+00, 2.946125379438646164e+00, 1.132599647921098240e+00, 4.345123927921255458e+00, 3.614145513834124746e+00, 1.338360212892252266e+00, 2.137141315925199070e+00, 1.593778833059833699e+00, 1.996763674468295946e+00, 1.293320073787435076e+00
2.037000000000000000e+03, 1.702843833194834344e+00, 3.714961341372774672e+00, 1.812565926088974821e+00, 1.304318030647808602e+00, 2.295919447340292852e+00, 2.045978514140754267e+00, 3.538472048503278344e+00, 3.610498586206053240e+00, 1.518956627912573243e+00, 4.276109963575386530e+00, 3.864894588966777178e+00, 1.460010064687763620e+00, 1.963317472294025645e+00, 1.514797788324663497e+00, 1.529810271273041256e+00, 1.300172965294863703e+00
2.038000000000000000e+03, 2.292667364393583984e+00, 3.373216367379569203e+00, 1.618081686081505488e+00, 1.083747218905899867e+00, 2.366969805737982657e+00, 1.975511890161884887e+00, 3.890346342870710572e+00, 2.245001962432143561e+00, 1.742087407742246574e+00, 4.297052901487127485e+00, 3.672123102046967347e+00, 1.466700309305083438e+00, 2.355822640251221678e+00, 1.530042068110170961e+00, 1.551409794965879829e+00, 1.665932503688747568e+00
2.039000000000000000e+03, 1.895137414902408945e+00, 2.608795006484468715e+00, 1.703440958545222594e+00, 1.420409962608922161e+00, 1.544311345907669386e+00, 1.959036803691446282e+00, 3.352643907133576739e+00, 2.913727048945002007e+00, 1.014101315599032382e+00, 4.261293514628090584e+00, 4.908785783670571057e+00, 1.660414196507553175e+00, 2.247561010062684606e+00, 1.579950919015806310e+00, 2.429990417488128607e+00, 1.967822964960856735e+00
2.040000000000000000e+03, 1.760218815420191873e+00, 3.242504840253357390e+00, 1.482803440556514030e+00, 1.701200443074731838e+00, 1.612790359535786200e+00, 1.828805613995755142e+00, 3.775275104512140878e+00, 3.388614796174963750e+00, 2.336117731807908715e+00, 4.102279232558553979e+00, 4.837195805603538012e+00, 9.977238232794209960e-01, 2.193034980743276297e+00, 1.671761002045349942e+00, 2.310463176427150156e+00, 2.164149932485213590e+00
2.041000000000000000e+03, 1.782149117049830256e+00, 3.524057427248280305e+00, 1.687171510274062536e+00, 1.733266492389061497e+00, 2.459449595987843740e+00, 1.990976692439269558e+00, 3.786866820865439909e+00, 3.225315526499052510e+00, 2.614651683171881125e+00, 4.266908957430215921e+00, 5.916452189650830640e+00, 2.019413662212317107e+00, 1.898131826724302140e+00, 1.581142874449447344e+00, 2.207543235890369715e+00, 1.270828256170255521e+00
2.042000000000000000e+03, 1.791750436852512340e+00, 2.803325893564210247e+00, 1.913736484314392694e+00, 1.792945539859227999e+00, 2.195059300072994990e+00, 1.873779831584513555e+00, 3.578966537200759301e+00, 3.017328315080983536e+00, 2.897185408869514589e+00, 4.141445666238074530e+00, 4.598599392295600552e+00, 1.458319800946705991e+00, 1.898091061741839169e+00, 1.557751889854954053e+00, 2.132514421217979184e+00, 1.644607077234153447e+00
2.043000000000000000e+03, 1.674388314278568934e+00, 2.041388948549436311e+00, 2.321478620190123188e+00, 1.697160285533910073e+00, 1.672101419782559217e+00, 1.815856695786657982e+00, 4.031096916396382568e+00, 3.529835508600852378e+00, 2.073879375288329552e+00, 4.248103685436875665e+00, 4.514080525961206902e+00, 1.188601863334338260e+00, 2.407400551559538471e+00, 1.792908363063509425e+00, 1.817953170508508576e+00, 2.438307340466966178e+00
2.044000000000000000e+03, 2.122208809687470943e+00, 3.219273708767134146e+00, 1.568782430281646212e+00, 1.512531668307218746e+00, 1.452995781827219224e+00, 1.868879272773581901e+00, 3.795480195555234637e+00, 2.752329496189598323e+00, 1.236939213395377823e+00, 4.258141295070798193e+00, 4.412220694627836615e+00, 1.672122683750686623e+00, 2.485429610644352749e+00, 1.842525446493393337e+00, 1.499665067044070099e+00, 1.688011650878337599e+00
2.045000000000000000e+03, 2.080895420711354138e+00, 3.154846131549865706e+00, 1.499596888047712628e+00, 1.552381229968341714e+00, 2.468462834136193162e+00, 2.011780552593548155e+00, 3.768142899249764088e+00, 2.757798235650065877e+00, 2.553851829128719775e+00, 4.263587898594392911e+00, 3.686793755940558803e+00, 1.653397865085519669e+00, 2.269709177540622402e+00, 1.570311947805493435e+00, 2.971325321533966335e+00, 1.616938321760402308e+00
2.046000000000000000e+03, 1.725924279379150050e+00, 3.177427986247382652e+00, 1.518158236439049125e+00, 1.796535193623566729e+00, 2.057549319745988647e+00, 2.134727101953984629e+00, 3.548950395532595170e+00, 3.154909247425701668e+00, 1.334269253241839204e+00, 4.519641942250339994e+00, 3.720368873347400296e+00, 1.186658391570911020e+00, 2.120877666279954887e+00, 1.438333882111035189e+00, 2.585499072476746374e+00, 1.559666135758850602e+00
2.047000000000000000e+03, 2.398566066717735978e+00, 3.022628937948068639e+00, 1.631045405599732323e+00, 1.488737920160356554e+00, 1.510546373967894151e+00, 1.950495800889742837e+00, 3.257211556582185530e+00, 3.181442294887816491e+00, 2.628502024540143811e+00, 3.950749280272931152e+00, 5.178966346867201587e+00, 1.389589536080831689e+00, 2.323164182448376192e+00, 1.806789922647507707e+00, 1.911385688771359392e+00, 1.295289423500532333e+00
2.048000000000000000e+03, 2.293423276940498301e+00, 3.317405436639374372e+00, 2.104059369219085873e+00, 1.688014565179555948e+00, 1.583879448184345451e+00, 1.881978698502434266e+00, 3.835859727118755558e+00, 4.043115822943479820e+00, 2.149447238924679038e+00, 4.452645160516814471e+00, 4.972881304031750993e+00, 8.510452783354643946e-01, 2.792288998568527081e+00, 2.031280368633213929e+00, 1.683900527961329718e+00, 9.955023990610134543e-01
2.049000000000000000e+03, 1.655842717107597784e+00, 3.112632086460465075e+00, 1.507362737477353720e+00, 1.370341867477874898e+00, 2.542571859875801366e+00, 1.875863021232772265e+00, 4.370285894317093245e+00, 3.014255211766269316e+00, 1.453393041873054736e+00, 4.535434876088793033e+00, 4.515149663697930471e+00, 9.955740101259481500e-01, 2.595545143340642458e+00, 1.548147154845003204e+00, 1.611495301872616803e+00, 1.531223689741113114e+00
2.050000000000000000e+03, 2.038291062348595695e+00, 3.414031865105628505e+00, 1.691192031724476852e+00, 1.403586234186051884e+00, 2.189616904684131615e+00, 1.896782598196625758e+00, 3.728535401929427895e+00, 2.749005168916323516e+00, 1.956322205312397422e+00, 4.439848148323201293e+00, 4.286526668577352872e+00, 1.012796031238275773e+00, 1.987044997168115890e+00, 1.459522342168596110e+00, 2.999612622134427475e+00, 1.910709160120550587e+00
2.051000000000000000e+03, 1.826589613793053735e+00, 3.085490232228602636e+00, 1.345297990806563426e+00, 1.678545982896868072e+00, 1.793214475315552336e+00, 2.307194364072197246e+00, 3.997909435077408702e+00, 2.276680665171527895e+00, 2.744335106012015135e+00, 4.406369933084603119e+00, 3.854578025123265750e+00, 1.761965827872248314e+00, 2.073456547896172619e+00, 1.797764151254351406e+00, 2.149490693931479068e+00, 1.759071277960503110e+00
2.052000000000000000e+03, 2.015253522324597313e+00, 3.283858941109283780e+00, 1.489640858374299492e+00, 1.205112393783426050e+00, 1.524130638543925498e+00, 2.283761407563108303e+00, 3.480760597237672727e+00, 2.812313627453716602e+00, 2.273831192409396351e+00, 4.139469273379153158e+00, 4.670902171988375429e+00, 1.508896046587240747e+00, 2.234554911191397597e+00, 1.799210498743215592e+00, 1.756420340192781149e+00, 1.934269422632345137e+00
2.053000000000000000e+03, 2.982482292575208138e+00, 2.715194858939847133e+00, 2.585042462817383591e+00, 1.105438796247806277e+00, 1.953714182393402110e+00, 1.724888246243893031e+00, 3.579730150220744811e+00, 3.604402642452296135e+00, 1.333533408584024693e+00, 4.344681587281566948e+00, 4.455979376589922936e+00, 1.322966586898430608e+00, 1.848191405153689182e+00, 1.716194119665352291e+00, 1.627661240517691565e+00, 1.446174528116901170e+00
2.054000000000000000e+03, 2.722974386167532401e+00, 4.533136955130054879e+00, 1.552724154337436824e+00, 1.108538544157464223e+00, 1.920562452875423265e+00, 1.807704453730981875e+00, 3.930453024550970120e+00, 3.855507242191678507e+00, 2.247608364350279775e+00, 4.633892850338722447e+00, 4.249945129248654752e+00, 1.824289019333531270e+00, 2.098507627388632724e+00, 1.509947007282365750e+00, 2.311208196546486349e+00, 2.325133302397038637e+00
2.055000000000000000e+03, 1.973713016581353230e+00, 2.918582846143500387e+00, 2.603736417683862658e+00, 1.441550279480616759e+00, 2.291246801340613537e+00, 2.008959167044425342e+00, 3.810667999126540639e+00, 3.306931255952820337e+00, 1.266381069706143947e+00, 4.268388614930905156e+00, 5.090061038758589618e+00, 1.929351078923929430e+00, 2.333743725849986461e+00, 1.451327041302719945e+00, 2.982944484265859675e+00, 3.800047902711503500e+00
2.056000000000000000e+03, 2.180531188250249386e+00, 3.080493145354826101e+00, 2.921791958918817489e+00, 1.257707390696293226e+00, 1.975818587520872693e+00, 1.850262359935481049e+00, 4.013519443561635036e+00, 3.007130339517706918e+00, 1.706513172455446758e+00, 4.742989434535983762e+00, 4.848291260051901475e+00, 1.343279437873732718e+00, 2.131667051452241335e+00, 1.755478664807176070e+00, 2.024252677399888789e+00, 2.441872039177766851e+00
2.057000000000000000e+03, 2.382702992887665960e+00, 2.745068430619799660e+00, 1.335174142374722983e+00, 1.288297532082203656e+00, 1.391417825762216953e+00, 1.739716233937737666e+00, 3.796312219937130639e+00, 3.750508948766432482e+00, 2.512652831392395036e+00, 4.480560533379351895e+00, 4.881655528317949688e+00, 1.224088641571467573e+00, 2.428242211421866248e+00, 1.821190418795903376e+00, 1.860346449010546799e+00, 1.504827094982131852e+00
2.058000000000000000e+03, 1.999968979446874906e+00, 3.113989452202470698e+00, 1.925558073673948822e+00, 1.378488114518086061e+00, 1.868302349620818870e+00, 1.428260489506455677e+00, 3.468554707888711786e+00, 2.787964205580572230e+00, 2.451652986449156302e+00, 4.699405105509015357e+00, 5.003991680021653288e+00, 7.764824850188642991e-01, 2.901040539815637587e+00, 1.697062742673940861e+00, 2.382241378236747753e+00, 2.178701233978972418e+00
2.059000000000000000e+03, 1.889281206408441660e+00, 2.889895435705394977e+00, 1.485574279761927796e+00, 1.391792749432342546e+00, 1.833558821514546633e+00, 2.273856585240260575e+00, 4.015226212015832630e+00, 3.593880029759352279e+00, 2.113538623995042887e+00, 3.978307643332422927e+00, 4.817086992930824429e+00, 1.616662120881344977e+00, 2.663342242687686046e+00, 1.598866056168042338e+00, 2.162185390345659819e+00, 2.352459132211327297e+00
2.060000000000000000e+03, 2.238757392962931192e+00, 3.919289429498018063e+00, 1.543440170420398827e+00, 1.246766252820680432e+00, 2.481725034080293657e+00, 2.284343881291739375e+00, 3.883717140931628453e+00, 3.137353275853720813e+00, 2.746102471612052565e+00, 4.506817107601650996e+00, 4.708501324025998080e+00, 2.271655999196040554e+00, 2.151279063946145875e+00, 1.839322285363616860e+00, 1.606777827154180605e+00, 1.348835083296648918e+00
2.061000000000000000e+03, 1.696400744377542180e+00, 3.356490161476746614e+00, 1.996984646102698324e+00, 1.420754458795560948e+00, 2.060811686752280991e+00, 1.987844721234650835e+00, 4.116224864651162108e+00, 3.493279991959798103e+00, 2.227474423473598364e+00, 4.583140872354034556e+00, 4.223188084246185525e+00, 1.691152768977573162e+00, 2.445696726511628061e+00, 1.922717841691093721e+00, 1.998967107711758340e+00, 1.548468610249741806e+00
2.062000000000000000e+03, 1.780820212413453341e+00, 4.027419759896932128e+00, 1.711646482482231280e+00, 1.060259538514282118e+00, 1.626189548936134210e+00, 2.102058070843261017e+00, 4.233123033946752933e+00, 3.505809762663451679e+00, 1.846773230730747839e+00, 4.013416437624958810e+00, 4.459374171727351843e+00, 1.764308924714478088e+00, 3.005432553602971790e+00, 1.730976969254746534e+00, 1.984758618678187148e+00, 1.903544554304907876e+00
2.063000000000000000e+03, 2.448278897571388502e+00, 2.810819445846875819e+00, 1.424722032016680906e+00, 1.301962154231169011e+00, 1.773427330797548329e+00, 2.413475083709595737e+00, 3.937513804288375496e+00, 3.281811599521819556e+00, 2.085968382341922833e+00, 4.384320160030616975e+00, 4.302626136434886561e+00, 1.685291388562057069e+00, 3.017409607444116126e+00, 1.496636640508381300e+00, 2.861283855569312529e+00, 2.225936175354340740e+00
2.064000000000000000e+03, 2.651602941941705982e+00, 3.562047506369545591e+00, 1.493817562690050060e+00, 1.781941090922714244e+00, 2.802971917234734711e+00, 2.365699559029526000e+00, 4.333423283684899374e+00, 3.601495341121818239e+00, 2.292726199604029347e+00, 4.065193577754978804e+00, 3.918977517270595179e+00, 1.135170711214671169e+00, 2.417409072434310247e+00, 1.878256159922360391e+00, 2.401871554135288633e+00, 1.846826913409560733e+00
2.065000000000000000e+03, 2.346885375487103076e+00, 3.231058017616784017e+00, 1.544157430750208393e+00, 1.573712741576563712e+00, 2.166171604968678555e+00, 2.131477522702323046e+00, 4.061661274255327747e+00, 3.329109582804273160e+00, 1.932704395500019157e+00, 4.531400555464139224e+00, 4.315368645444688234e+00, 1.193267059314212730e+00, 2.268800021640974940e+00, 2.082206780195140272e+00, 2.145748459133248520e+00, 1.593136173078253393e+00
2.066000000000000000e+03, 2.131246235414676615e+00, 3.836807020157604775e+00, 1.690120816172217655e+00, 1.336894785857412726e+00, 1.560282816439273690e+00, 1.833673873030033485e+00, 3.928084725310506897e+00, 3.055202055763194480e+00, 2.380879787383856971e+00, 4.866744598831962421e+00, 4.493798392426417543e+00, 1.722403100348790295e+00, 2.221929956726113264e+00, 1.801383049527393254e+00, 1.732152163138622969e+00, 2.893112708816235390e+00
2.067000000000000000e+03, 2.113058072968024614e+00, 3.315191850620402114e+00, 1.451853382134380643e+00, 1.105943890087548009e+00, 1.787026354628981517e+00, 2.072097610161047321e+00, 4.422240331176656269e+00, 3.833793853987177425e+00, 2.517368666094877305e+00, 4.739381967411836705e+00, 5.050094308061360948e+00, 1.732151426238381253e+00, 2.427123890258155559e+00, 1.892228093520037513e+00, 1.969924686182611628e+00, 3.745188053463752276e+00
2.068000000000000000e+03, 2.238023625431336594e+00, 3.917766636170365580e+00, 2.205965942186116191e+00, 1.500690094298223309e+00, 2.740191941668046471e+00, 1.817361377196315297e+00, 3.785168989771706460e+00, 3.397544029375569874e+00, 2.216429391369431290e+00, 4.263838225629454470e+00, 4.291892904781975382e+00, 1.001811609854213581e+00, 1.921456860782162490e+00, 1.922404565385640529e+00, 1.994071352725603319e+00, 2.555456082685533481e+00
2.069000000000000000e+03, 2.064764441153247088e+00, 4.290127663857592921e+00, 1.338869806606260759e+00, 1.597877793012190573e+00, 2.061334130458225111e+00, 1.787794013999284726e+00, 3.991718213582038821e+00, 2.918314916203055720e+00, 1.246254973175938474e+00, 4.614556776563432550e+00, 4.517487259172618508e+00, 1.349454477621098158e+00, 1.972679184267844388e+00, 2.000826121993726670e+00, 2.065417345885609102e+00, 1.589170839535409385e+00
2.070000000000000000e+03, 2.348185028962935572e+00, 3.821120040408279461e+00, 1.867701899000521637e+00, 1.203217458043524868e+00, 1.591185709652520819e+00, 1.905582588642765751e+00, 3.359280277192479236e+00, 3.378172698221537207e+00, 2.259289050033031376e+00, 4.326764870500488414e+00, 5.502029136982391044e+00, 1.507530446616113906e+00, 2.712880952054101513e+00, 1.871323899335097796e+00, 3.072431506759734088e+00, 1.978763812681018086e+00
2.071000000000000000e+03, 1.676766307382631549e+00, 3.394684741970334763e+00, 1.547042936988500372e+00, 1.191358501003094261e+00, 2.204851178358157249e+00, 1.975286276098298321e+00, 3.844744979804876284e+00, 3.012185573799839311e+00, 2.883498814780975916e+00, 4.240457218627342151e+00, 5.846631270437882222e+00, 2.427333000333900870e+00, 2.264609378461855282e+00, 1.766499492538894822e+00, 2.492297608461183867e+00, 2.575777292084584502e+00
2.072000000000000000e+03, 2.043157537114408839e+00, 3.266177173726397598e+00, 1.228057626047298401e+00, 1.415218589200088362e+00, 2.398289956235979847e+00, 2.034347101592581808e+00, 3.760960121255996214e+00, 2.928430200924708959e+00, 2.967107697373497111e+00, 4.366762554755876380e+00, 5.387786260064817867e+00, 1.665676335136401676e+00, 2.244588775358058008e+00, 1.526099043414951950e+00, 1.939373357950041399e+00, 1.587936732797827544e+00
2.073000000000000000e+03, 2.027065380880539003e+00, 2.958503557942198547e+00, 2.085279772739945692e+00, 1.383883215821263057e+00, 1.681513775365289787e+00, 2.109434285316043045e+00, 4.060178771629454175e+00, 3.267570327951803577e+00, 2.539173952159627934e+00, 4.536288595184605477e+00, 5.543712000402963191e+00, 1.767074449185643825e+00, 2.504620145424619082e+00, 1.864545731970142839e+00, 2.388988545967672295e+00, 1.818814263851021185e+00
2.074000000000000000e+03, 1.712702732944162864e+00, 3.679094393493296700e+00, 1.493844422011814999e+00, 1.404566566474781508e+00, 2.469682565771233129e+00, 1.774466872847632937e+00, 3.426482727517958793e+00, 3.679986097943561241e+00, 2.032227881370957778e+00, 4.390203078582709750e+00, 5.182953844767070883e+00, 1.985547463333425355e+00, 2.453773094245009556e+00, 1.742198543360936380e+00, 1.770494394212732470e+00, 1.301212901311536330e+00
2.075000000000000000e+03, 2.078518839139939622e+00, 3.395475501237628535e+00, 2.424078505587641708e+00, 1.960867851031298237e+00, 1.782578205388265280e+00, 1.772370751828034496e+00, 4.486523243157990670e+00, 3.047498809555377441e+00, 1.937888161370481477e+00, 4.625243829882004221e+00, 4.661869028427974904e+00, 1.737082859603560347e+00, 2.425552229900242551e+00, 1.626482668786502606e+00, 1.549194782436192019e+00, 1.746110274499228066e+00
2.076000000000000000e+03, 2.182097797237660064e+00, 4.945813774466882862e+00, 1.356888061047066385e+00, 2.253331332107531448e+00, 1.845881948751635360e+00, 2.446215157440038812e+00, 4.526953278117056279e+00, 2.079704973154441472e+00, 2.721779550198258679e+00, 4.802193036131406245e+00, 4.944218632543829983e+00, 1.456876321847295985e+00, 2.753317925821462619e+00, 1.528941584918279029e+00, 2.518810408350768082e+00, 3.212576146716515701e+00
