year, CESM2-WACCM, EC-Earth3-Veg, CNRM-ESM2-1, ACCESS-ESM1-5, TaiESM1, NorESM2-LM, INM-CM5-0, IPSL-CM6A-LR, MPI-ESM1-2-LR, INM-CM4-8, CanESM5, UKESM1-0-LL, NorESM2-MM, MIROC-ES2L, CMCC-CM2-SR5, GFDL-ESM4
2.015000000000000000e+03, 1.949804848944190816e+00, 2.626093596831718724e+00, 1.710259119958469798e+00, 1.688578047771468915e+00, 1.245171689236455492e+00, 1.817962517581543480e+00, 3.089604483824311743e+00, 3.064157190167881684e+00, 1.597390178273500272e+00, 3.800467875560630482e+00, 3.943065985134760254e+00, 1.659699732604842159e+00, 1.587699252182973364e+00, 1.494410330500492989e+00, 1.595206887727697698e+00, 2.329139364295235382e+00
2.016000000000000000e+03, 1.661392153415221173e+00, 2.385614761504478487e+00, 1.466051344348207719e+00, 1.901710816019382966e+00, 1.410119616527286679e+00, 1.931233725270732338e+00, 3.491912127851198644e+00, 2.648261896459383369e+00, 1.330690800891146885e+00, 3.723133767619049017e+00, 4.424634410269725926e+00, 1.169903135416620277e+00, 1.941093246282383111e+00, 1.630471098784641137e+00, 1.773368873716486993e+00, 1.483701078993040712e+00
2.017000000000000000e+03, 2.027998743887537536e+00, 3.150163063609627390e+00, 2.071761976867103172e+00, 1.911863215240816594e+00, 2.458117975225322827e+00, 1.449944709126155251e+00, 3.659901819259795186e+00, 2.241077593824844172e+00, 6.962330476463898243e-01, 4.174791046210371448e+00, 4.325389857563441964e+00, 1.449823815141371153e+00, 1.762308695229847677e+00, 1.601216812269508960e+00, 2.911673531062997533e+00, 1.124821838607178437e+00
2.018000000000000000e+03, 1.810160892435684232e+00, 3.343700098633036966e+00, 1.795017312169141510e+00, 1.936599738151146610e+00, 1.996577395153039669e+00, 1.454562126068450256e+00, 2.982429100366783992e+00, 2.777915665157014935e+00, 1.406049457529467972e+00, 3.689302162821281872e+00, 3.671495872516776338e+00, 1.217840607620797044e+00, 1.898612361721816466e+00, 1.549113108567282238e+00, 2.103809260897862465e+00, 1.094149889507698870e+00
2.019000000000000000e+03, 1.795968286657565915e+00, 2.871209671173997169e+00, 1.580481886851306639e+00, 1.530298010710396506e+00, 1.185534819509842963e+00, 1.716204809918014051e+00, 3.221909537647323241e+00, 3.131692015819357522e+00, 9.594903474384655073e-01, 3.854687177752277538e+00, 3.218658962226053522e+00, 1.344546192066847334e+00, 1.980175667372606085e+00, 1.213538639711240430e+00, 1.554656080521476413e+00, 1.583920981896385527e+00
2.020000000000000000e+03, 2.246371402520195737e+00, 3.247223431508957869e+00, 1.359066317183949657e+00, 1.299204542696741127e+00, 1.866609204138886202e+00, 1.900589572021529339e+00, 3.609889969912344565e+00, 3.146098557602192702e+00, 1.580632593761391425e+00, 4.375735285748925563e+00, 4.113472107309385173e+00, 1.696811844296951310e+00, 2.096006320348186680e+00, 1.382280539420650545e+00, 1.493983426535728798e+00, 1.357021571184146014e+00
2.021000000000000000e+03, 1.747194258002210177e+00, 1.943268615915677788e+00, 1.674508302286729089e+00, 1.376259882871756046e+00, 2.491662031943546296e+00, 1.700507040348564036e+00, 3.462390408692897381e+00, 2.458827094707261463e+00, 2.226195328418231867e+00, 3.753102415015158844e+00, 4.467217453138317751e+00, 1.858174215074362090e+00, 2.191331551368997488e+00, 1.444456712224498229e+00, 2.021907163874876012e+00, 1.339925588279816004e+00
2.022000000000000000e+03, 1.475249310786558521e+00, 2.256262715850903877e+00, 1.467593788955558587e+00, 1.679317962027730982e+00, 1.699766700342137726e+00, 1.910568074604768851e+00, 2.943709426780654947e+00, 3.332898439486171593e+00, 1.510217942797584811e+00, 3.349637422594563319e+00, 3.505935954881357564e+00, 1.629455834938948300e+00, 2.177812659201848966e+00, 1.560496790819054125e+00, 2.029982933597863415e+00, 1.151390363710271592e+00
2.023000000000000000e+03, 1.793530041146036869e+00, 2.337634211206331525e+00, 1.979236688384281129e+00, 1.722696525653728772e+00, 1.681932296015109740e+00, 2.309511345132383209e+00, 3.211595851039195981e+00, 3.272841838409493054e+00, 1.981430414640366733e+00, 3.906706287787445664e+00, 3.657411105928853878e+00, 2.129015896744351544e+00, 1.963792719510088380e+00, 1.397053603271299238e+00, 2.720512600324162200e+00, 2.342920290698449648e+00
2.024000000000000000e+03, 1.881350676758816176e+00, 3.138713053673728659e+00, 2.228331532303112095e+00, 1.232242360407765469e+00, 1.786535142693796541e+00, 2.593162404263958720e+00, 3.492820836416000052e+00, 2.912810800057723526e+00, 9.269075411832294886e-01, 4.264927334492987221e+00, 4.322608590861046096e+00, 1.185549935030381530e+00, 2.007253962654744317e+00, 1.592986047777239289e+00, 2.080749987230052778e+00, 2.073445912712288397e+00
2.025000000000000000e+03, 1.815276660493821304e+00, 3.507358433550611831e+00, 1.766574075728240656e+00, 1.763425663835353152e+00, 1.708586396730071177e+00, 2.280702487224648412e+00, 3.420606043545382224e+00, 1.806461134398768209e+00, 1.417599192100300831e+00, 4.544323332666371229e+00, 3.777156189547437926e+00, 1.356622446648960034e+00, 2.181483227080080134e+00, 1.668709622386338021e+00, 1.673213541923452397e+00, 1.167643807441962389e+00
2.026000000000000000e+03, 1.866269230586298677e+00, 3.661530820522884699e+00, 1.530575629748600397e+00, 2.085957598801494228e+00, 1.872195192578284262e+00, 1.753286950713212722e+00, 3.806401646005680650e+00, 2.892380075380402538e+00, 2.494497757229257928e+00, 4.434596788154169467e+00, 3.890394905282668958e+00, 1.167109618246742864e+00, 2.195243622163363550e+00, 1.644108927993495506e+00, 1.643903274410269733e+00, 1.816797880126561182e+00
2.027000000000000000e+03, 1.801230934675524864e+00, 3.178269124596374340e+00, 1.573088880168580950e+00, 1.515760548039706057e+00, 2.051026590496979107e+00, 1.666195062155013229e+00, 3.618661261019280762e+00, 3.196477498880304857e+00, 1.536540787632383109e+00, 3.845806659898283186e+00, 4.183364904414735186e+00, 1.231454306388956255e+00, 1.773223177338122625e+00, 1.509324116733330889e+00, 2.481026932390776096e+00, 2.006460084224458651e+00
2.028000000000000000e+03, 2.100256190549726121e+00, 3.108279485950598886e+00, 2.074425139627554149e+00, 1.405125440425026850e+00, 1.873713944991940439e+00, 1.795875396425616888e+00, 3.927049222643684168e+00, 2.513752292691699086e+00, 1.355494717685830741e+00, 3.723487179970441652e+00, 3.741248393792218963e+00, 1.214842861148641262e+00, 1.765236361860333725e+00, 1.559677901110209763e+00, 2.792416247287346831e+00, 2.011946295197968304e+00
2.029000000000000000e+03, 1.697616272596159215e+00, 2.605754833000093917e+00, 1.920672140241465042e+00, 1.378905249130631283e+00, 1.521953929052696441e+00, 2.289161088294718649e+00, 3.794072300357354877e+00, 2.227772794204883500e+00, 1.427858435976901097e+00, 4.033340260979120018e+00, 3.796560243027628623e+00, 1.949078446566287814e+00, 2.024109730298329524e+00, 1.714579571361522392e+00, 1.971995019958270090e+00, 1.426341851001782457e+00
2.030000000000000000e+03, 1.784850229549481249e+00, 3.047994488806755164e+00, 1.785149999632700046e+00, 2.093972506774856246e+00, 1.618089175726141749e+00, 2.416761722824948944e+00, 3.917348015662254213e+00, 3.120940624273265129e+00, 2.886009709994833194e+00, 4.392160782517684048e+00, 4.295681856207744787e+00, 1.883529021698351347e+00, 2.192396427337803377e+00, 1.725012664503642101e+00, 2.062373640216537574e+00, 1.506488481773631039e+00
2.031000000000000000e+03, 1.576618478714067351e+00, 2.112601336975351352e+00, 1.489257302257818383e+00, 1.957696329476581010e+00, 2.856212962332785654e+00, 2.245946060623631446e+00, 3.556568293757133237e+00, 3.366719604078225014e+00, 1.994607372954064983e+00, 3.964725685846558267e+00, 4.050058521731426886e+00, 1.037873357182878875e+00, 2.120438802085585550e+00, 1.598603071398242426e+00, 1.503054997284568151e+00, 1.718464094368718165e+00
2.032000000000000000e+03, 1.876516585229971001e+00, 3.148234135943888123e+00, 2.141738423606576180e+00, 1.518734860295483102e+00, 1.825680001684002240e+00, 2.216036798486988868e+00, 3.618618275735945744e+00, 2.946838976048212100e+00, 1.180866703190629918e+00, 3.865128741534778367e+00, 3.634948151012369788e+00, 1.799970571476491088e+00, 2.096153975751392284e+00, 1.412540784695603291e+00, 1.887687171093306082e+00, 1.330810622189500858e+00
2.033000000000000000e+03, 2.520179823641722994e+00, 3.995237668458785141e+00, 1.792036318743118084e+00, 1.638302252618883958e+00, 1.429070247775775959e+00, 1.839791750632508993e+00, 3.363873192983927396e+00, 2.285421688538028739e+00, 1.276258997838198850e+00, 4.137029475493251951e+00, 4.375438417475935537e+00, 1.978471824980300164e+00, 2.334503052193826367e+00, 1.629638068432705200e+00, 1.938498098794785518e+00, 1.132686908516544522e+00
