year, UKESM1-0-LL, IPSL-CM6A-LR, TaiESM1, MPI-ESM1-2-LR, CNRM-ESM2-1, CMCC-CM2-SR5, INM-CM4-8, MIROC-ES2L, CanESM5, ACCESS-ESM1-5, INM-CM5-0, EC-Earth3-Veg, GFDL-ESM4, NorESM2-LM, CESM2-WACCM, NorESM2-MM
2.015000000000000000e+03, 2.580713729677427404e-01, 3.245386144626831171e-01, -8.528931263658696693e-01, 3.591060216988695847e-02, -1.430715052674217736e-04, -2.805876078388509498e-01, 2.317655067148360615e-01, -5.341881084022839787e-02, 1.711274516296544812e-01, 2.056465920344267839e-01, -3.566887873328850045e-01, -2.563885068598856232e-01, 3.216453812025097947e-01, 7.965835444865844439e-02, 3.479469064480764096e-02, -1.754446749180655907e-01
2.016000000000000000e+03, -1.391337731622053209e-01, -1.227965851725070223e-01, -7.791937849414576345e-01, -2.198272284282547576e-02, 8.345259480135045274e-03, -3.315014537839134356e-01, 1.365366319085765112e-01, 1.112407024285124585e-01, 6.583774303040589304e-01, 3.448702996775473428e-01, 8.527714914343326180e-02, -4.974703526874311721e-01, -5.530417083400410716e-01, 1.122226446428522262e-01, -1.813854104649862686e-01, 6.435339658861355394e-02
2.017000000000000000e+03, 8.955120283797070313e-02, -2.546331035961247324e-01, 7.975576417010143970e-01, -2.655618255889558021e-01, 1.778112548588685338e-01, 9.443615018969542252e-01, 7.276609961096908163e-01, 9.548276197753564898e-02, 4.179656112482338925e-01, 3.443042077828942782e-01, 2.796399840563790207e-01, 3.687866188718728067e-01, -5.455657169025357467e-01, -1.042742434925154754e-01, 1.323241767400794022e-01, -3.210518155322066285e-03
2.018000000000000000e+03, -1.173539559953500760e-01, 1.611661194835141142e-01, 3.593024522067952975e-01, 1.001318204664136263e-01, 5.465330067171146611e-02, 4.295303547737095440e-01, 1.083171382665054638e-01, 9.487143963688265957e-02, 2.330401277605796961e-01, 3.645714141655650442e-01, -5.125186923968336750e-01, 8.083114973967792105e-01, -2.154305699910757932e-01, -5.791825505347308889e-02, -3.398240328949728162e-02, 9.972013312996631795e-02
2.019000000000000000e+03, 3.603109102233982303e-03, 3.025303619906907771e-01, -1.108761532862138965e+00, -2.810471047308777393e-01, 3.832951265065140389e-02, -5.115517185283458002e-01, 1.665395241362796763e-01, -2.650936217464559541e-01, -2.958983823539538816e-01, -5.022517007705262770e-02, -2.747970042034297844e-01, 1.759942002599061139e-01, 2.469284380247057931e-01, -6.084557796220437659e-02, 4.927953481906737626e-02, 1.443422810336190409e-01
2.020000000000000000e+03, 1.973462579156265717e-01, 2.884129131121685452e-01, -1.004397330856049431e-01, 1.501679971755548737e-01, -1.181358037661008331e-01, -6.182543301560708970e-01, 9.618235309551179668e-01, -1.330098585663492816e-01, -8.594763718288464527e-02, -2.359474698989622032e-01, 3.097626344795033626e-01, 2.698909666111589667e-01, -1.485579048345997966e-01, 1.188521951278379840e-01, 2.470071440826860643e-01, 1.546236064673482125e-01
2.021000000000000000e+03, 3.460080312501252475e-01, -2.072136309399207899e-01, 8.694472710221629042e-01, 5.075773975678986583e-01, 1.225490028318761138e-01, -1.097399792061469204e-01, 8.740850647227464687e-02, -1.309513230886037716e-02, 5.145857636785629019e-01, -1.286918082547023334e-01, 7.150540795917890990e-02, -1.222703771120039473e+00, -8.299849992321338410e-02, 1.026484880520381893e-01, -6.301329260156482426e-02, 1.646316073756659559e-01
2.022000000000000000e+03, 1.536653949230567806e-01, 4.755136360336022494e-01, -2.080218741395815363e-01, -6.629721211306072171e-02, -2.148962667374335403e-02, 2.032105283480054314e-01, -3.761546428566189815e-01, 5.526648515214781926e-02, 4.021970887496557207e-02, 1.443300801453233639e-01, -5.967550860539067026e-01, -7.555482665125005104e-01, -2.109707179621855000e-01, 2.384862514248157692e-02, -1.414702128908524870e-01, 1.055020892778668617e-01
2.023000000000000000e+03, 4.843561616340824050e-01, 2.879581476065088963e-01, -3.556407920133890510e-01, 3.521388503139932236e-01, 2.367539887889819616e-01, 8.316805742080116692e-01, 1.914453554984492656e-01, -7.591546449698467758e-02, -2.647105971430850913e-01, 1.976588002483636586e-01, -2.733118763487318303e-01, 2.661251022990384144e-02, 9.514167544159463086e-01, 3.055775957344866733e-01, 9.139574410425126139e-02, 3.967715157325574899e-04
2.024000000000000000e+03, -2.495500018541324527e-01, -6.713145926228777927e-02, -1.830481718778244338e-01, -2.579931970706325073e-01, 2.195992604631617495e-01, 3.061789366168012894e-01, 7.063629036671406070e-01, 1.473228418668644513e-01, 3.706965283005997924e-01, -2.892173556765336162e-01, 1.328212250004909556e-01, 6.979944298197803265e-01, 9.412678571283671081e-02, 2.901247529272671377e-01, 1.243497788636061252e-01, 6.770859285614892753e-02
