year, INM-CM5-0, NorESM2-LM, INM-CM4-8, CNRM-ESM2-1, EC-Earth3-Veg, CMCC-CM2-SR5, UKESM1-0-LL, CESM2-WACCM, CanESM5, TaiESM1, IPSL-CM6A-LR, MIROC-ES2L, MPI-ESM1-2-LR, GFDL-ESM4, ACCESS-ESM1-5, NorESM2-MM
2.015000000000000000e+03, 2.941697916916762097e+02, 2.961009221027447893e+02, 2.951331759438990616e+02, 2.956352381097111106e+02, 2.960700144076537867e+02, 2.959298627093994583e+02, 2.940390874983511935e+02, 2.954317060781813211e+02, 2.955141017955336338e+02, 2.961521037087723016e+02, 2.936282169859126725e+02, 2.972760949742309435e+02, 2.955724183473828930e+02, 2.948708335325765120e+02, 2.961487170665473627e+02, 2.955435317839967979e+02
2.016000000000000000e+03, 2.941989918873426291e+02, 2.958583344554331234e+02, 2.948705103400720304e+02, 2.960115636094644742e+02, 2.965871295869209234e+02, 2.963927178653026999e+02, 2.943727580642817543e+02, 2.959263814893604376e+02, 2.949544787782401158e+02, 2.975766949117272588e+02, 2.944726028671681206e+02, 2.970507176545945072e+02, 2.958899000902469538e+02, 2.955520494064546142e+02, 2.961980355843689949e+02, 2.955456426081502741e+02
2.017000000000000000e+03, 2.944502006699158869e+02, 2.964941283197803159e+02, 2.944682922893944124e+02, 2.957575612033950847e+02, 2.963917934256911053e+02, 2.952851819736109746e+02, 2.946100356729844520e+02, 2.961885081934892696e+02, 2.952567166111958272e+02, 2.961228790230175036e+02, 2.949113123565076080e+02, 2.972501761072075510e+02, 2.966299729329278989e+02, 2.958348738329827938e+02, 2.958075644662586683e+02, 2.950051474512313234e+02
2.018000000000000000e+03, 2.947094762934740402e+02, 2.964246445246756707e+02, 2.946858368649446902e+02, 2.957187177134661624e+02, 2.954572740073607520e+02, 2.948504401272192581e+02, 2.947874096864103990e+02, 2.961845936191145938e+02, 2.965513467757479589e+02, 2.954139328313889337e+02, 2.949546354448684724e+02, 2.966767630948764918e+02, 2.958607281603211163e+02, 2.965308121463808675e+02, 2.957595405096502077e+02, 2.957738580501994079e+02
2.019000000000000000e+03, 2.945498458812330682e+02, 2.964226988513472634e+02, 2.954374452890099292e+02, 2.967197232946918461e+02, 2.957024719386228071e+02, 2.954847402238360701e+02, 2.945519950133322595e+02, 2.961889136895310912e+02, 2.968638890359306970e+02, 2.966394217562858557e+02, 2.945613018053554129e+02, 2.978996365251737757e+02, 2.968110054793978065e+02, 2.954754524810639396e+02, 2.965322444695178206e+02, 2.957514067138255314e+02
2.020000000000000000e+03, 2.940948716469644069e+02, 2.963118948345024251e+02, 2.943342249699791182e+02, 2.960450245357283734e+02, 2.958446014848989876e+02, 2.964192132726603290e+02, 2.947308023790173479e+02, 2.953046150203865636e+02, 2.961559336898919810e+02, 2.971713530622181452e+02, 2.944558953612408345e+02, 2.975641080966839240e+02, 2.961449982479509799e+02, 2.957888159807788497e+02, 2.967211234705349625e+02, 2.953262310608254211e+02
2.021000000000000000e+03, 2.940605907563110577e+02, 2.961957986730424182e+02, 2.946160656497237369e+02, 2.962537873654381428e+02, 2.967753235073259361e+02, 2.967819352108676867e+02, 2.943052984006633892e+02, 2.958598471107242744e+02, 2.955873632564114359e+02, 2.958234289225574116e+02, 2.946689963812767132e+02, 2.970984211566198496e+02, 2.953212814487271203e+02, 2.955400633823796852e+02, 2.966784934709950790e+02, 2.954045797849842643e+02
2.022000000000000000e+03, 2.943896043716055146e+02, 2.964415395827816724e+02, 2.948054187955582393e+02, 2.962889945356545809e+02, 2.967289325778339162e+02, 2.967925323169852163e+02, 2.947176281055717482e+02, 2.962896224032160717e+02, 2.959388431521848588e+02, 2.962082037423546126e+02, 2.943447524464500020e+02, 2.973510708461257650e+02, 2.959967664278671009e+02, 2.964096365719423147e+02, 2.960477633616458206e+02, 2.954904489472526166e+02
2.023000000000000000e+03, 2.946670276561072228e+02, 2.957645278406577631e+02, 2.950883179522314776e+02, 2.954436319315734636e+02, 2.965956410525537308e+02, 2.953521599451334509e+02, 2.939718569901635874e+02, 2.960207546926470741e+02, 2.967286272496957054e+02, 2.960666716008847175e+02, 2.941276163178263232e+02, 2.976232334227193519e+02, 2.957832013375029305e+02, 2.948294572706221857e+02, 2.960882069244808008e+02, 2.955780556946228330e+02
2.024000000000000000e+03, 2.943300182849617954e+02, 2.959859111429122436e+02, 2.945019924594266740e+02, 2.954787309376371240e+02, 2.963003127658219000e+02, 2.950684461509069365e+02, 2.952157284416272205e+02, 2.965138260209763530e+02, 2.958407896255470746e+02, 2.964488245154617516e+02, 2.946942525677707749e+02, 2.973574050503029866e+02, 2.966844710057497991e+02, 2.954349042521026263e+02, 2.971211341984082992e+02, 2.953622583313093628e+02
2.025000000000000000e+03, 2.949820992656607928e+02, 2.957714786473823665e+02, 2.946304447231214567e+02, 2.958866142856447254e+02, 2.963420585853611442e+02, 2.956360549200338141e+02, 2.956600821703595443e+02, 2.960638499305928804e+02, 2.968710801729570221e+02, 2.969517734196247716e+02, 2.950279476990559715e+02, 2.970644996723178792e+02, 2.963729368744947692e+02, 2.963264676230317605e+02, 2.956350754195341324e+02, 2.952591931027181431e+02
2.026000000000000000e+03, 2.947036945937172163e+02, 2.958271862820296292e+02, 2.949526524662987299e+02, 2.964060212299103227e+02, 2.954554475593258189e+02, 2.967465922646631498e+02, 2.956744620907226135e+02, 2.955946639431431890e+02, 2.965503643772055966e+02, 2.972764451023011816e+02, 2.949453500039073788e+02, 2.971701337508756069e+02, 2.958555582655368994e+02, 2.954294970848520734e+02, 2.958636869115969148e+02, 2.951079873891516172e+02
2.027000000000000000e+03, 2.950631222728272860e+02, 2.967060001357257306e+02, 2.953509235874190608e+02, 2.966933436270236939e+02, 2.953588198595911081e+02, 2.965172752802745322e+02, 2.949585941618171319e+02, 2.963891499912414815e+02, 2.969674365356181625e+02, 2.967838124502066535e+02, 2.946119078805755862e+02, 2.968599501356113706e+02, 2.963461931051898546e+02, 2.952662853295325363e+02, 2.969781884057809407e+02, 2.956967487232790859e+02
2.028000000000000000e+03, 2.946342939358703461e+02, 2.970525419491281127e+02, 2.951927248794832508e+02, 2.960147155365405638e+02, 2.961897627775252317e+02, 2.956264677891205110e+02, 2.953236480100686094e+02, 2.963323138374662449e+02, 2.971357465803793048e+02, 2.962809333784071555e+02, 2.952445637751530967e+02, 2.981677632746637983e+02, 2.965832122978607686e+02, 2.956419072133586496e+02, 2.968606879056188177e+02, 2.957340332062073003e+02
2.029000000000000000e+03, 2.952545574930673524e+02, 2.964914631875268469e+02, 2.951912525595580519e+02, 2.955407459899044511e+02, 2.969598499566972123e+02, 2.953610699031489730e+02, 2.957485877398513594e+02, 2.963505790008722443e+02, 2.971053837362724153e+02, 2.971485134079510431e+02, 2.954020903739457253e+02, 2.976099693155275077e+02, 2.963967359698429505e+02, 2.961042072598754658e+02, 2.972620696556795110e+02, 2.956325332192081987e+02
2.030000000000000000e+03, 2.947780956471433456e+02, 2.961941355075277329e+02, 2.947637523393246965e+02, 2.965737663002460636e+02, 2.958102406987819677e+02, 2.954458386615511927e+02, 2.947355855574164138e+02, 2.960368326292890515e+02, 2.964292437949317787e+02, 2.977861734754237091e+02, 2.945784336142900202e+02, 2.974363368439381361e+02, 2.957793743737398700e+02, 2.958045668263646917e+02, 2.965387320275189609e+02, 2.958602987492373586e+02
2.031000000000000000e+03, 2.948524783582606688e+02, 2.964126274248379218e+02, 2.950208628675567866e+02, 2.968635837519802294e+02, 2.967115936081928567e+02, 2.964908555009826614e+02, 2.961396016611655000e+02, 2.961573553691328584e+02, 2.966937018589704280e+02, 2.961009300365614081e+02, 2.945053016832148955e+02, 2.980981233702049167e+02, 2.961219684657775701e+02, 2.959491696134305698e+02, 2.964896714614559983e+02, 2.956856479893461369e+02
2.032000000000000000e+03, 2.950743326800208024e+02, 2.968053186199413744e+02, 2.956053179656881298e+02, 2.962985990224007082e+02, 2.970660922973879110e+02, 2.966351387686636940e+02, 2.960874102696452610e+02, 2.968545910804970731e+02, 2.972795826432487161e+02, 2.961900560201227108e+02, 2.946669999405614817e+02, 2.981937749960825954e+02, 2.964637949767367786e+02, 2.962032426859788075e+02, 2.969291263291435143e+02, 2.952257608549602423e+02
2.033000000000000000e+03, 2.951957368269312951e+02, 2.966462976181005047e+02, 2.953237239186454417e+02, 2.962468817007991220e+02, 2.960320101419266621e+02, 2.970607081101915128e+02, 2.952083538526380835e+02, 2.959296527714077456e+02, 2.965930252463173815e+02, 2.971618096778896643e+02, 2.950866810418883119e+02, 2.979373272381712923e+02, 2.967263003146917981e+02, 2.964647066178004025e+02, 2.971934925351567358e+02, 2.959622848826592190e+02
