year, IPSL-CM6A-LR, MIROC-ES2L, CNRM-ESM2-1, MPI-ESM1-2-LR, CMCC-ESM2, CESM2-WACCM, ACCESS-ESM1-5, UKESM1-0-LL
2.015000000000000000e+03, 6.384470892610417831e-10, 2.117423575324513466e-10, 4.292221083121608580e-11, 1.422482608429501166e-10, 2.860645912654537934e-11, 1.850892364614826703e-10, 1.450344497728019029e-11, 3.999321638412136164e-13
2.016000000000000000e+03, 5.866688625050660170e-10, 2.009742065360522923e-10, 4.759334853309120339e-11, 1.564088405391756927e-10, 2.993228510232149317e-11, 1.438747618615257123e-10, 9.943395746514395265e-11, 2.224298834480196742e-13
2.017000000000000000e+03, 5.891145565848783326e-10, 1.994468621134898050e-10, 4.818079964399231307e-11, 1.475175769519954151e-10, 3.100253266516774865e-11, 1.628928718384063087e-10, 5.914930646046997650e-11, 1.705202204552751808e-13
2.018000000000000000e+03, 5.723894461020254686e-10, 1.996595177588324728e-10, 4.947855012907966358e-11, 1.310238919694385729e-10, 3.193777338781396459e-11, 1.440562195912173517e-10, 4.424308524700611301e-11, 1.712789621459941982e-13
2.019000000000000000e+03, 5.760923448469905353e-10, 1.957768852044822525e-10, 4.500318224638187301e-11, 1.343934011042655793e-10, 3.272476444262766892e-11, 1.301443275016949929e-10, 3.892326827432869792e-11, 1.812787807293596172e-13
2.020000000000000000e+03, 5.959857308427866467e-10, 1.784741035351626455e-10, 4.655905205296621069e-11, 1.214635691267441276e-10, 3.271344912314397070e-11, 1.740532890767820206e-10, 3.678829628953656445e-11, 2.007430029431525695e-13
2.021000000000000000e+03, 6.114493302727588844e-10, 1.755759689232688092e-10, 2.667123621898332289e-11, 1.235840809190494153e-10, 3.213245793869526690e-11, 1.691976635920354946e-10, 3.120945970330734881e-11, 1.625947988529374627e-13
2.022000000000000000e+03, 6.504148105596831759e-10, 1.764643062771323319e-10, 2.683054341401051666e-11, 1.258603253678105307e-10, 3.173317503384081899e-11, 1.932108768023265098e-10, 2.714887133285573263e-11, 1.405897813948028631e-13
2.023000000000000000e+03, 6.763598102876398680e-10, 1.801840147073386035e-10, 2.650370433820566779e-11, 1.131925541131319154e-10, 3.142275879387070415e-11, 1.509178693221411065e-10, 2.522037279368901572e-11, 1.456982031971256640e-13
2.024000000000000000e+03, 7.302997242882642977e-10, 1.842957844150452867e-10, 2.599893813721730014e-11, 1.011845948878371422e-10, 3.118010651095507917e-11, 1.692844710644090502e-10, 2.444233075760432443e-11, 1.368219646896977739e-13
2.025000000000000000e+03, 5.541096643704589117e-10, 1.795288553916674004e-10, 2.155491205349602338e-11, 1.041332852788265801e-10, 3.111514512361246871e-11, 1.728038509019151400e-10, 2.429994041158014789e-11, 7.583907860460070344e-13
2.026000000000000000e+03, 4.639312050100833948e-10, 1.798495211496176692e-10, 2.071809516480444357e-11, 1.306628442932343943e-10, 3.119071011069740719e-11, 1.278927466932304278e-10, 2.211165056493781205e-11, 1.404036272325071386e-12
2.027000000000000000e+03, 6.535016641424878539e-10, 1.799922113182456499e-10, 1.887907095358890928e-11, 1.506707538882311656e-10, 3.128996377717224601e-11, 1.682015942142598643e-10, 2.050797380529345719e-11, 1.439246352664540467e-12
2.028000000000000000e+03, 5.374436243350456094e-10, 1.780186386328358186e-10, 1.688886422668284605e-11, 1.665065629818235221e-10, 3.140777787626036039e-11, 1.626458111343735718e-10, 1.961960496651172920e-11, 1.468604506254877456e-12
2.029000000000000000e+03, 5.398882390108013834e-10, 1.817410506678738557e-10, 1.480461112864926409e-11, 1.719283230345340304e-10, 3.154690083023929786e-11, 1.380314734525962450e-10, 1.902323126659059537e-11, 1.515516656052082172e-12
2.030000000000000000e+03, 4.556158252116851732e-10, 1.781326869262135667e-10, 1.189887557438371667e-11, 1.514059999166341158e-10, 3.171523206229658944e-11, 1.595276559174734906e-10, 1.847201231632121404e-11, 1.557203273174146363e-12
2.031000000000000000e+03, 6.599739431902025868e-10, 1.793603559399427974e-10, 1.136312668517242117e-11, 1.761349894805524069e-10, 3.191219358514902790e-11, 1.287264125053342273e-10, 1.828105345399935638e-11, 8.382989780908024514e-13
2.032000000000000000e+03, 6.635247127298886429e-10, 1.768434185809837471e-10, 1.066621473859180081e-11, 1.425390395740512224e-10, 3.211551086759407955e-11, 1.574403556693992770e-10, 1.799002231579044232e-11, 5.175659616201323412e-13
2.033000000000000000e+03, 5.559051699646247808e-10, 1.769260352734968219e-10, 9.959037545770808636e-12, 1.293629688200261082e-10, 3.230825150091391648e-11, 1.591153532316441901e-10, 1.769857246144529988e-11, 3.820600501771162806e-13
2.034000000000000000e+03, 6.094201763565635949e-10, 1.858098392788893913e-10, 9.127579981326991166e-12, 1.408385287186179184e-10, 3.248880373696157691e-11, 2.295900154546047850e-10, 1.741117551544677516e-11, 3.167489014276966317e-13
2.035000000000000000e+03, 7.186804239980515042e-10, 2.006928103892007185e-10, 8.148659610212274005e-12, 1.599524650074226233e-10, 3.255870501234996553e-11, 2.513921040979071881e-10, 1.716498333205033716e-11, 4.108964202840741478e-13
2.036000000000000000e+03, 5.526829943807817974e-10, 2.058304791574042507e-10, 7.995941457555189415e-12, 1.511457580266488222e-10, 3.254842216900659623e-11, 2.113520144637563403e-10, 1.630701594572665672e-11, 8.690703573369404223e-13
2.037000000000000000e+03, 6.797908785555125681e-10, 2.034161787702938098e-10, 7.893425968130512925e-12, 1.180874467851635744e-10, 3.256883971759083848e-11, 1.505376531500896346e-10, 1.567500463055415471e-11, 9.887392250546630297e-13
2.038000000000000000e+03, 6.248047290923764157e-10, 2.007089854725878000e-10, 7.797742045206873086e-12, 1.017016902887508009e-10, 3.260459458420610938e-11, 2.123007861290691603e-10, 1.526342090332902848e-11, 9.720895526025328487e-13
2.039000000000000000e+03, 6.180520943647111000e-10, 1.967878059360710231e-10, 7.675400074024461064e-12, 9.605105617463131684e-11, 3.265672982085707421e-11, 2.102186995948171555e-10, 1.494346130175984631e-11, 9.242399756093036358e-13
2.040000000000000000e+03, 7.190993057600303325e-10, 1.911743868914350810e-10, 7.568353945191309117e-12, 1.100104209419829548e-10, 3.294231320026924309e-11, 1.694946975452192387e-10, 1.467382302244929357e-11, 1.167326096898157931e-12
2.041000000000000000e+03, 7.242641931352136559e-10, 1.880511539858614606e-10, 7.096272425677905410e-12, 2.245207523106046253e-10, 3.339776091274667772e-11, 1.486560556199030428e-10, 1.523920838463781728e-11, 2.579171433697665826e-12
2.042000000000000000e+03, 7.063257594150896420e-10, 1.841709063390395826e-10, 7.268489509978714297e-12, 2.487083267433429006e-10, 3.377819227490013368e-11, 1.986123426083268925e-10, 1.548279634412503506e-11, 3.143712849007313159e-12
