year, IPSL-CM6A-LR, NorESM2-LM, CMCC-CM2-SR5, CNRM-ESM2-1, CanESM5, EC-Earth3-Veg, MPI-ESM1-2-LR, ACCESS-ESM1-5, MIROC-ES2L, INM-CM5-0, GFDL-ESM4, NorESM2-MM, INM-CM4-8, UKESM1-0-LL, CESM2-WACCM, TaiESM1
2.027000000000000000e+03, 6.468902976694059781e+00, 5.412703601075759430e+00, 4.599815177015702972e+00, 3.207152141321916172e+00, 6.948603678571686260e+00, 7.921530205457868234e+00, 3.726416100748332294e+00, 3.385692701574456898e+00, 2.882590890570355224e+00, 7.403798285476585583e+00, 3.662296833892302317e+00, 5.377389202017539560e+00, 7.875481193416333348e+00, 2.205774455770304510e+00, 5.184174552755507648e+00, 4.971380123075294755e+00
2.028000000000000000e+03, 5.291835431795777644e+00, 5.666082952558263663e+00, 5.733744838867536053e+00, 4.124618442276620556e+00, 6.341993971242472661e+00, 7.893834344662157498e+00, 3.327162783724224138e+00, 3.106370218661307359e+00, 2.988949829206773767e+00, 7.838155857976690122e+00, 3.731764666853018664e+00, 5.635562437243014422e+00, 7.579209153610570127e+00, 2.148863215576842123e+00, 5.896178706709195971e+00, 5.001273051526522018e+00
2.029000000000000000e+03, 4.768168217569461298e+00, 5.961164788481247534e+00, 5.227249485172694499e+00, 4.089167838690895174e+00, 6.386230941417792017e+00, 7.161468537168278914e+00, 3.423937568647650309e+00, 3.025497219592968801e+00, 3.203843907741302566e+00, 7.732503020925801884e+00, 2.707345543547203359e+00, 5.627443420661561113e+00, 8.068218252409879554e+00, 3.789610442487773234e+00, 5.334195925062550359e+00, 4.302337322431545097e+00
2.030000000000000000e+03, 6.196316862111082457e+00, 6.514405619106774736e+00, 5.307596344313616932e+00, 3.687151316206229268e+00, 7.062368145083069315e+00, 7.452748321361667649e+00, 6.108149548192445266e+00, 4.149033729710177809e+00, 3.224983436930844327e+00, 7.867074754057873598e+00, 2.814884745028349400e+00, 5.955533980234274161e+00, 8.738285808620656070e+00, 4.519307133952641387e+00, 5.191190172747487175e+00, 3.881247619862817633e+00
2.031000000000000000e+03, 6.710446615769234846e+00, 6.636327952350341342e+00, 3.649458646059236422e+00, 3.154835655833843511e+00, 6.732964111818720454e+00, 6.033042156615750606e+00, 4.767483190610336763e+00, 4.121829721177605599e+00, 3.061002905471218671e+00, 7.164082718176340236e+00, 3.224968355925426966e+00, 6.048776266924752676e+00, 7.999642869096050823e+00, 2.003864958408760888e+00, 4.558044559152492958e+00, 5.785911957971065611e+00
2.032000000000000000e+03, 6.136024787474560149e+00, 6.455348303845153346e+00, 3.586930279204636918e+00, 4.528972352112766941e+00, 6.149382836119618112e+00, 7.952699720104813075e+00, 2.922770476096447911e+00, 3.407297774052404638e+00, 2.799025750233063548e+00, 7.327327974074677286e+00, 2.510922159417713129e+00, 6.070635131770935722e+00, 7.862622873386362343e+00, 3.527070065742715865e+00, 5.234667360764558630e+00, 5.564341467121457718e+00
2.033000000000000000e+03, 4.879914616652062165e+00, 6.033686894519116883e+00, 3.691687529944948754e+00, 3.880964317449551171e+00, 7.140802619883072744e+00, 9.281718476113287153e+00, 3.086579954725645614e+00, 3.528214278891940392e+00, 3.092026127544927228e+00, 6.852416208464351399e+00, 2.165376550071175021e+00, 6.340394328707167126e+00, 8.283902852465223177e+00, 4.835260573466984901e+00, 6.575874684673629567e+00, 4.724281901129217864e+00
2.034000000000000000e+03, 6.710559704446269258e+00, 5.488338536054136796e+00, 4.764957843667068538e+00, 2.852985099296648119e+00, 6.653370817186332609e+00, 7.864315427205095688e+00, 6.148035785390956853e+00, 3.321576076177212844e+00, 3.597638918238527772e+00, 7.205028610828417612e+00, 2.430559173663167094e+00, 6.528130985088067106e+00, 7.729358412090562069e+00, 2.395910136311662608e+00, 7.203624046356853050e+00, 5.257854423940879762e+00
2.035000000000000000e+03, 6.137595191925247384e+00, 5.482912754823477286e+00, 5.039701266336564345e+00, 5.711724251000129371e+00, 6.531968819730682441e+00, 6.210991009907263383e+00, 5.298913311759275047e+00, 3.263861508760142804e+00, 3.497400787627070073e+00, 7.462750543712395768e+00, 2.530005025611423708e+00, 6.584326678633844132e+00, 8.266300509056444312e+00, 2.601162757960767458e+00, 7.584112275943307502e+00, 5.477407051766884472e+00
2.036000000000000000e+03, 6.008259179808888462e+00, 6.061032228576844538e+00, 4.888182449736508950e+00, 7.926665898412410982e+00, 6.150589698940767569e+00, 7.325823430166311212e+00, 2.767488978027496493e+00, 3.458147399484861495e+00, 3.092094095884315053e+00, 7.228412337154382250e+00, 2.445890332759959040e+00, 6.234313810704869674e+00, 8.627173982190072365e+00, 2.505856077958057870e+00, 6.533377709070067318e+00, 4.543085864793675377e+00
