year, UKESM1-0-LL, IPSL-CM6A-LR, CMCC-CM2-SR5, ACCESS-ESM1-5, MPI-ESM1-2-LR, CNRM-ESM2-1, EC-Earth3-Veg, MIROC-ES2L, CESM2-WACCM
2.027000000000000000e+03, 1.027792507697030712e-03, 5.511726351784160954e-02, 9.438087384785991130e-02, 2.328021684418235815e-01, 1.391486865375759219e-01, 1.506593760352381919e-02, 1.400102778647966534e-02, 1.586032315209949528e-01, 1.387008590958969112e-01
2.028000000000000000e+03, 1.156461014198673391e-03, 5.419488731313319707e-02, 9.509704560853737831e-02, 2.299110203392457918e-01, 1.441468392947702071e-01, 1.361849869433553323e-02, 1.346852171175721286e-02, 1.579817851810220719e-01, 1.380929222003799139e-01
2.029000000000000000e+03, 1.278368744531835919e-03, 5.325930218601761246e-02, 9.584124653298688179e-02, 2.272683192999155888e-01, 1.465639607562948810e-01, 1.220407450514513631e-02, 1.297678757265116438e-02, 1.583931230779094812e-01, 1.352804019699371807e-01
2.030000000000000000e+03, 1.384124872144012423e-03, 5.250037285957745437e-02, 9.663151911603025390e-02, 2.247566178843554141e-01, 1.433083533085670880e-01, 1.149341448370767328e-02, 1.252335810257081648e-02, 1.575156229399922170e-01, 1.377150607444389829e-01
2.031000000000000000e+03, 1.143266229474622451e-03, 5.080516304948468759e-02, 9.745772941995199667e-02, 2.226160937123013439e-01, 1.496450089365548297e-01, 1.070819017616610885e-02, 1.204469523659502071e-02, 1.575092411033142958e-01, 1.380542796164848929e-01
2.032000000000000000e+03, 9.992348841219148882e-04, 4.941900033880643889e-02, 9.829144908093853661e-02, 2.205763833939623497e-01, 1.415301518885191956e-01, 9.985375542658622358e-03, 1.158763500716471391e-02, 1.568681352244835070e-01, 1.444075878682435365e-01
2.033000000000000000e+03, 9.024724164943548213e-04, 4.792546148111333226e-02, 9.911340550481455292e-02, 2.186518074573284010e-01, 1.382977833313704386e-01, 9.316570898281579041e-03, 1.115085067030407127e-02, 1.564450355345718968e-01, 1.471135013910188361e-01
2.034000000000000000e+03, 8.302048386833203513e-04, 4.677556124133630533e-02, 9.991944741104305527e-02, 2.168228838737809305e-01, 1.411250422968782225e-01, 8.711996948505147317e-03, 1.073506148728560310e-02, 1.581559907913362706e-01, 1.571985802550041056e-01
2.035000000000000000e+03, 8.310603033525053350e-04, 4.588442138111047119e-02, 1.005464643929860069e-01, 2.151013958072149068e-01, 1.458143675295155706e-01, 8.275669633355114269e-03, 1.034051638685938058e-02, 1.624962755215137722e-01, 1.616589641413680167e-01
2.036000000000000000e+03, 1.012503611037224825e-03, 4.503705653476680615e-02, 1.010276524498750078e-01, 2.129663175708101097e-01, 1.439490847711030197e-01, 7.959110512032074869e-03, 9.943652722043999984e-03, 1.658557783645713268e-01, 1.617410285286123017e-01
2.037000000000000000e+03, 1.088972711698349893e-03, 4.435852633911484960e-02, 1.015409080618631110e-01, 2.108686541986813101e-01, 1.364428728737674956e-01, 7.628372133186540373e-03, 9.563625859452515310e-03, 1.671716049634115464e-01, 1.577126630965051124e-01
2.038000000000000000e+03, 1.113703018671316622e-03, 4.378831356257367746e-02, 1.020822312612378324e-01, 2.088889446899461766e-01, 1.329279368111366544e-01, 7.281019478610112165e-03, 9.200646681250488138e-03, 1.674026097523098333e-01, 1.670562886467236996e-01
2.039000000000000000e+03, 1.117032613752618397e-03, 4.340282313148527416e-02, 1.026393854287095536e-01, 2.069976693062469397e-01, 1.320593196910942180e-01, 6.935169461141355712e-03, 8.852945351169358434e-03, 1.667513293137568298e-01, 1.688160458717318513e-01
2.040000000000000000e+03, 1.244713925057267705e-03, 4.306061481142389735e-02, 1.035068687253555136e-01, 2.051843171648604636e-01, 1.356576993449602753e-01, 6.573945035825804438e-03, 8.520290218428625689e-03, 1.650731460762769331e-01, 1.658839833362983907e-01
2.041000000000000000e+03, 1.918001496797260138e-03, 4.264640652550501926e-02, 1.046198744747107168e-01, 2.040787901997762888e-01, 1.637738230644767978e-01, 6.409854180619853695e-03, 8.205335579927119580e-03, 1.636151484935920442e-01, 1.641627780638279799e-01
2.042000000000000000e+03, 2.346967744049478864e-03, 4.232021777425071934e-02, 1.056457184374152841e-01, 2.030247301061067489e-01, 1.705483466633763712e-01, 6.235161861972688888e-03, 7.909261779065942730e-03, 1.619500383797654042e-01, 1.700781174674586838e-01
2.043000000000000000e+03, 2.602618538626142505e-03, 4.196875688501072732e-02, 1.065850217361391933e-01, 2.019609258964374932e-01, 1.745867832889578253e-01, 6.011667894066532666e-03, 7.625648111408992770e-03, 1.613933598806137071e-01, 1.694998322670259738e-01
2.044000000000000000e+03, 2.729410222200356027e-03, 4.149962879062631810e-02, 1.074575425274179041e-01, 2.009203249780048550e-01, 1.630584784143170873e-01, 5.765458674659669491e-03, 7.353734906268442027e-03, 1.616738684285703165e-01, 1.676127189709796239e-01
2.045000000000000000e+03, 2.659754265295896647e-03, 4.133496375770602527e-02, 1.075827732767188766e-01, 1.998901786578586304e-01, 1.545433530909845476e-01, 5.552671326371093688e-03, 7.094928252357766973e-03, 1.606460339836954521e-01, 1.748031007434057982e-01
2.046000000000000000e+03, 2.238985806791606373e-03, 4.114174366391278731e-02, 1.071046308161195393e-01, 1.985069678873561672e-01, 1.508151643552642918e-01, 5.209082308778193414e-03, 6.849337185834052620e-03, 1.596994639513760472e-01, 1.647787708432260356e-01
2.047000000000000000e+03, 1.948948723005167498e-03, 4.098649965790426841e-02, 1.067772402968303475e-01, 1.971451530526984186e-01, 1.440212796222801461e-01, 4.875175717913832370e-03, 6.615942839222226958e-03, 1.592256752288502553e-01, 1.669977237426569783e-01
2.048000000000000000e+03, 1.749309288711490586e-03, 4.083207613734850944e-02, 1.065722829617015144e-01, 1.957910288886454131e-01, 1.513332370047873743e-01, 4.512818286088911279e-03, 6.395985597916842638e-03, 1.604045366509438963e-01, 1.721067254729190532e-01
2.049000000000000000e+03, 1.590168599942502672e-03, 4.063067930596007959e-02, 1.064584556796185494e-01, 1.944736554817236840e-01, 1.470145047488351231e-01, 4.195726652119540975e-03, 6.186598146500930928e-03, 1.617140935953307601e-01, 1.654643759757447874e-01
2.050000000000000000e+03, 1.511173307823128736e-03, 4.066981155870609543e-02, 1.068835090489171635e-01, 1.944742942836343580e-01, 1.457160678605112780e-01, 3.961645952597530121e-03, 5.991512082252367297e-03, 1.663912644266285490e-01, 1.636417199324809446e-01
2.051000000000000000e+03, 1.510786729296236973e-03, 4.084310972754439523e-02, 1.077134455368794069e-01, 2.149908857254348160e-01, 1.597080251248806648e-01, 4.837111225237425774e-03, 5.879498884198280061e-03, 1.690809401258551170e-01, 1.594367240863952262e-01
2.052000000000000000e+03, 1.648512200841012855e-03, 4.102245479122609839e-02, 1.084457563941013253e-01, 2.137235044844414678e-01, 1.676097092565290159e-01, 6.905834298405359034e-03, 5.783722951013505614e-03, 1.717812331510590873e-01, 1.538471545653466444e-01
2.053000000000000000e+03, 1.722627602306785839e-03, 4.138006124884734821e-02, 1.091149802485861520e-01, 2.136976740376421990e-01, 1.639802365136389384e-01, 8.685044610978623000e-03, 5.686953355018228157e-03, 1.750564130995756473e-01, 1.634340446380179168e-01
2.054000000000000000e+03, 1.898135838034935947e-03, 4.156367191906605585e-02, 1.097344142900619907e-01, 2.144610510366815048e-01, 1.569397290270254375e-01, 1.027212472590887694e-02, 5.615172058273351294e-03, 1.767013345609755870e-01, 1.637976029442152204e-01
2.055000000000000000e+03, 2.197339348218098863e-03, 4.177783162660976546e-02, 1.106415480142552976e-01, 2.156830667586892014e-01, 1.633071803912680142e-01, 1.164129092866042492e-02, 5.563748448469817143e-03, 1.794247096436363542e-01, 1.629318107109396230e-01
2.056000000000000000e+03, 3.317767573943837880e-03, 4.169954253011420170e-02, 1.117721576281816565e-01, 2.216830696916887444e-01, 1.585779104251554550e-01, 1.533015862477047492e-02, 5.583401516880000595e-03, 1.809860712728471599e-01, 1.555412265046206832e-01
2.057000000000000000e+03, 4.643536035519839865e-03, 4.156617884913666600e-02, 1.128016215675858303e-01, 2.253224521141704850e-01, 1.551427353365744388e-01, 1.811315370653714465e-02, 5.623210063890217783e-03, 1.823444801064731391e-01, 1.571743055603571915e-01
2.058000000000000000e+03, 5.435591397840715266e-03, 4.155929400250327893e-02, 1.137512753505064839e-01, 2.289380886335332099e-01, 1.616966476125955565e-01, 2.004895438601801347e-02, 5.658462604838573710e-03, 1.829311523411683016e-01, 1.547934427901221377e-01
