year, EC-Earth3-Veg, CMCC-CM2-SR5, CanESM5, TaiESM1, IPSL-CM6A-LR, UKESM1-0-LL, CESM2-WACCM, MPI-ESM1-2-LR, MIROC-ES2L, NorESM2-MM, CNRM-ESM2-1, ACCESS-ESM1-5, NorESM2-LM
2.015000000000000000e+03, 3.645819761530273695e+01, 5.132168690734953032e+01, 6.228034018149243423e+01, 1.997900414507440914e+01, 2.471904586458350650e+01, 4.296968049609664320e+01, 2.493361588657460715e+01, 1.981004930728531122e+01, 1.644921282474130564e+01, 2.542159357842703571e+01, 4.856926747706692282e+01, 2.876665343455240631e+01, 2.530463527062113016e+01
2.016000000000000000e+03, 3.650285430169320477e+01, 5.147836257454530795e+01, 6.232592716167512492e+01, 2.028990112054769668e+01, 2.475359231157966278e+01, 4.307416681595774577e+01, 2.502736901073551223e+01, 1.982333434050437404e+01, 1.647353133005749726e+01, 2.542680598709777939e+01, 4.864818987409336870e+01, 2.879455245693139531e+01, 2.529754647064940798e+01
2.017000000000000000e+03, 3.646767869508531845e+01, 5.147718692158414200e+01, 6.240219463681832934e+01, 2.013045067654253018e+01, 2.472550202255043672e+01, 4.301516326259273626e+01, 2.506534732842805369e+01, 1.985195636055190604e+01, 1.648021644006743358e+01, 2.541552942182281072e+01, 4.863981393896489180e+01, 2.884034228446775572e+01, 2.533503813541006267e+01
2.018000000000000000e+03, 3.642339361072659898e+01, 5.125414151138338781e+01, 6.245023575878062161e+01, 1.980852714937645942e+01, 2.471150207364246043e+01, 4.304709090500485758e+01, 2.510734391411309474e+01, 1.980558701882446826e+01, 1.647851848615873749e+01, 2.543768056654861454e+01, 4.867052991208621648e+01, 2.889531348335828298e+01, 2.538160413763020173e+01
2.019000000000000000e+03, 3.640111414587251204e+01, 5.126575245447789086e+01, 6.243118658126766007e+01, 1.998352635459063364e+01, 2.473374247402153614e+01, 4.295798847216288152e+01, 2.515349266586556354e+01, 1.981358645212773339e+01, 1.639153840848148036e+01, 2.544036104680549926e+01, 4.877410106021930147e+01, 2.895144812993913774e+01, 2.544995258116143688e+01
2.020000000000000000e+03, 3.644380111318529458e+01, 5.144946669429823061e+01, 6.250836249790081212e+01, 2.021261666278834568e+01, 2.477693054262301686e+01, 4.302944713664125231e+01, 2.515231579878457069e+01, 1.980338331655028128e+01, 1.632679674651064161e+01, 2.544813098125095152e+01, 4.880153680176615438e+01, 2.897161919211953318e+01, 2.543119168327383761e+01
2.021000000000000000e+03, 3.650832607781083539e+01, 5.161455760591590547e+01, 6.260292393864919092e+01, 2.002039085379868055e+01, 2.478808152642932683e+01, 4.310985455185826254e+01, 2.516287085608992058e+01, 1.983671567017147552e+01, 1.628079655379037760e+01, 2.546380685254570153e+01, 4.881755949857289067e+01, 2.896759976681899929e+01, 2.540494315775265832e+01
2.022000000000000000e+03, 3.652719194480118148e+01, 5.162727652514894316e+01, 6.261096149350062490e+01, 1.985873129427701400e+01, 2.479951943912037393e+01, 4.326642512322042222e+01, 2.521937738832331988e+01, 1.992735662391569207e+01, 1.629602041229788156e+01, 2.547383810842640983e+01, 4.886795291203517877e+01, 2.896048918007586437e+01, 2.545061255313012794e+01
2.023000000000000000e+03, 3.652790934571432757e+01, 5.157014935603384487e+01, 6.262488059704523380e+01, 2.003280896540957912e+01, 2.486841979745543085e+01, 4.344648465765938994e+01, 2.524220024083231451e+01, 1.991393132913653119e+01, 1.626777071091639115e+01, 2.551571706041931975e+01, 4.887319805835636544e+01, 2.898040830344325869e+01, 2.542866850492196917e+01
2.024000000000000000e+03, 3.643022078190116986e+01, 5.137645005217932237e+01, 6.268196114197682789e+01, 2.011737881622004309e+01, 2.491755998413836792e+01, 4.361213799737088692e+01, 2.525364909095076626e+01, 1.998801453272824347e+01, 1.621936228298337213e+01, 2.556377784456621782e+01, 4.888998565834229737e+01, 2.899165753944481949e+01, 2.535519158085713087e+01
2.025000000000000000e+03, 3.633333907292983866e+01, 5.137838798000802853e+01, 6.270542950904551560e+01, 2.019625485956992250e+01, 2.491407998895408227e+01, 4.343732871456543165e+01, 2.527351225253911693e+01, 1.992205785043782384e+01, 1.619768790488892662e+01, 2.560004014708312425e+01, 4.892653609463198450e+01, 2.897227886966238586e+01, 2.532209095230360063e+01
2.026000000000000000e+03, 3.631874575892474866e+01, 5.153459487434130182e+01, 6.272564089103754270e+01, 2.019283440141859387e+01, 2.485965166266201010e+01, 4.333485646943684344e+01, 2.530978440769117199e+01, 1.997511014700238263e+01, 1.619733647813369970e+01, 2.561175227693402334e+01, 4.899125341733281402e+01, 2.899232765839778025e+01, 2.538042946587880522e+01
2.027000000000000000e+03, 3.639752028773401804e+01, 5.166063930005383753e+01, 6.276168185343584582e+01, 2.016847830524420360e+01, 2.491626889115630306e+01, 4.323735068303590623e+01, 2.533944778141334453e+01, 2.010432642270705017e+01, 1.622112963004009245e+01, 2.565356341800533713e+01, 4.903495936865032689e+01, 2.905256669126028868e+01, 2.546873960224532141e+01
2.028000000000000000e+03, 3.650584101800689041e+01, 5.156608298365173226e+01, 6.273631240793532982e+01, 2.005096882657723256e+01, 2.494400635008639355e+01, 4.314869134979424814e+01, 2.534635413776564405e+01, 2.016185248455149548e+01, 1.623604796160607577e+01, 2.573506617658521023e+01, 4.904476258886713680e+01, 2.908512257890351194e+01, 2.554037200832162924e+01
2.029000000000000000e+03, 3.661615263368798168e+01, 5.139318671609012057e+01, 6.273345416327110513e+01, 2.017925817084439544e+01, 2.490637507559384289e+01, 4.309956246054007778e+01, 2.539164377650428861e+01, 2.019095905481342967e+01, 1.624979500412396760e+01, 2.578101534146795260e+01, 4.908030580032604462e+01, 2.907087546094598807e+01, 2.556700889315905556e+01
2.030000000000000000e+03, 3.667707075240057435e+01, 5.140321818586595271e+01, 6.274272199400340355e+01, 2.033996233443799895e+01, 2.488458937888860234e+01, 4.335541340568619262e+01, 2.544565052256492521e+01, 2.017293536390546294e+01, 1.627231540999593662e+01, 2.578370222956667135e+01, 4.916071866221552256e+01, 2.905814177806212939e+01, 2.550546712491803802e+01
2.031000000000000000e+03, 3.669912327278009911e+01, 5.151255583547970218e+01, 6.276851821108967044e+01, 2.011857778947304709e+01, 2.493069762089310615e+01, 4.334962738902628132e+01, 2.549173719602684329e+01, 2.032153868423581855e+01, 1.627747643401281863e+01, 2.575559652510214548e+01, 4.919533367727816398e+01, 2.911025744601463927e+01, 2.550696155752499195e+01
2.032000000000000000e+03, 3.664475591214466021e+01, 5.172077525552209920e+01, 6.277677136617585774e+01, 1.978253780682326379e+01, 2.496966823044733275e+01, 4.328066018928524983e+01, 2.551772639592089931e+01, 2.044237401753142080e+01, 1.621673114834171159e+01, 2.579534850781124078e+01, 4.919218827266173122e+01, 2.917034574320871343e+01, 2.553729977243564164e+01
2.033000000000000000e+03, 3.662112420442421268e+01, 5.182544411626232517e+01, 6.282878080663653719e+01, 2.004213343956602600e+01, 2.495710276193587163e+01, 4.343959891477212665e+01, 2.549672131516792817e+01, 2.042666770822489042e+01, 1.619128144017960835e+01, 2.583370684168011167e+01, 4.920671804673098393e+01, 2.919127699328670289e+01, 2.558448953445138230e+01
2.034000000000000000e+03, 3.655303600302225675e+01, 5.183517383646987042e+01, 6.282836300669442409e+01, 2.014095205025127200e+01, 2.494540259171366259e+01, 4.352970155163067290e+01, 2.542084784508064743e+01, 2.042371286312195267e+01, 1.627616009192914959e+01, 2.581998573424762355e+01, 4.925234325721395123e+01, 2.920269212058165564e+01, 2.568126360639586281e+01
2.035000000000000000e+03, 3.656068085130981160e+01, 5.173856829904498511e+01, 6.282607269608048028e+01, 1.994719942190235074e+01, 2.500340871559743050e+01, 4.341087742372005209e+01, 2.536189986647424277e+01, 2.057610580555187951e+01, 1.638299100302607059e+01, 2.586306614821171124e+01, 4.923497302820200616e+01, 2.920472520209152378e+01, 2.576442357153987928e+01
2.036000000000000000e+03, 3.666805443947899334e+01, 5.167854733312554316e+01, 6.281168360605674650e+01, 2.011521313415287082e+01, 2.501517835019879854e+01, 4.328917339100205908e+01, 2.540448571144192513e+01, 2.073475382750564933e+01, 1.635714928316568262e+01, 2.590596047440432770e+01, 4.914380994510826639e+01, 2.920862311800425815e+01, 2.577548343201010184e+01
2.037000000000000000e+03, 3.666920994955065538e+01, 5.174762628420770483e+01, 6.283990453337116833e+01, 2.020317059437984497e+01, 2.505493211884385829e+01, 4.325892190598768394e+01, 2.554239940887211802e+01, 2.069074161901081155e+01, 1.629748379807619330e+01, 2.596520175213650106e+01, 4.925847804360324034e+01, 2.921037106713183462e+01, 2.577277985121500592e+01
2.038000000000000000e+03, 3.658236920841098794e+01, 5.193469547476743742e+01, 6.285339929742942644e+01, 1.987571164678722724e+01, 2.510253953895772838e+01, 4.325800491900407252e+01, 2.562140760953458596e+01, 2.066510880536021943e+01, 1.627843984938366617e+01, 2.600399548043416331e+01, 4.941190436826610721e+01, 2.916813144122046353e+01, 2.582555671534371911e+01
2.039000000000000000e+03, 3.657460422831228897e+01, 5.198281379897857590e+01, 6.289922586268239257e+01, 1.985376826247778581e+01, 2.507918284756113181e+01, 4.329939750104298213e+01, 2.565947236189333580e+01, 2.067266797532099787e+01, 1.627455752310508430e+01, 2.600851742727220639e+01, 4.945740261477607902e+01, 2.909880751118674169e+01, 2.586111924947547891e+01
2.040000000000000000e+03, 3.665505801725149126e+01, 5.194005433348539214e+01, 6.296229930468778235e+01, 2.020232754220048221e+01, 2.510978964744598230e+01, 4.316446951424833856e+01, 2.573519902884868671e+01, 2.058663753422764131e+01, 1.628852304472800228e+01, 2.604501896271114347e+01, 4.949748762813251801e+01, 2.905971547093131946e+01, 2.590131248623453430e+01
2.041000000000000000e+03, 3.670789765687112549e+01, 5.189391147021285633e+01, 6.308783707034047694e+01, 2.011215185604248035e+01, 2.515156982733425650e+01, 4.315043861317308682e+01, 2.580088037409794310e+01, 2.065848208832665733e+01, 1.627708315406752604e+01, 2.609097666088435119e+01, 4.952507497032351580e+01, 2.906250504601558049e+01, 2.594076202875676174e+01
2.042000000000000000e+03, 3.666417024789462431e+01, 5.185413451595852763e+01, 6.316755871566984837e+01, 1.987430932313950294e+01, 2.517227709781293754e+01, 4.326617361742979284e+01, 2.582188998471509933e+01, 2.088628701443548152e+01, 1.624174851140788789e+01, 2.616997764052440090e+01, 4.950155158946367351e+01, 2.907678558733900687e+01, 2.597109999639200240e+01
2.043000000000000000e+03, 3.668586080127797544e+01, 5.186929213263169913e+01, 6.327130323389290822e+01, 1.984980688501943291e+01, 2.519766287695038187e+01, 4.320138096616365431e+01, 2.583030897858716912e+01, 2.107737989701591985e+01, 1.625607411823208182e+01, 2.619326136627136492e+01, 4.952637664709617837e+01, 2.910932431368152606e+01, 2.600898183629541194e+01
2.044000000000000000e+03, 3.668693952409965675e+01, 5.201566205095799944e+01, 6.339471215186410546e+01, 2.024496245773051228e+01, 2.524727101064300072e+01, 4.313675622600437976e+01, 2.585324579410645640e+01, 2.113687750781128827e+01, 1.629187409717009061e+01, 2.617868604458963944e+01, 4.954297246199146088e+01, 2.914466922403682858e+01, 2.603812282336462403e+01
2.045000000000000000e+03, 3.666336734754570159e+01, 5.205236176278429383e+01, 6.343823597657834057e+01, 2.016927625128588275e+01, 2.523882236147718316e+01, 4.320650035412462842e+01, 2.582056158177345395e+01, 2.117038434576951289e+01, 1.626986030440732023e+01, 2.617560871971110004e+01, 4.962701681813994270e+01, 2.914872559241334571e+01, 2.606970511531203982e+01
2.046000000000000000e+03, 3.656057191958284136e+01, 5.180348208465051130e+01, 6.350096063158285631e+01, 1.993450513228161824e+01, 2.524683858398121572e+01, 4.312251185687303234e+01, 2.587496357378260115e+01, 2.124182936738388250e+01, 1.623576723291436252e+01, 2.623524062237393650e+01, 4.969471494562416325e+01, 2.915558752520726671e+01, 2.606597663433148071e+01
2.047000000000000000e+03, 3.655601633150955365e+01, 5.169268302610277743e+01, 6.367206423588165620e+01, 2.013058702431316505e+01, 2.525248907616482086e+01, 4.298842086824284792e+01, 2.589512284917494966e+01, 2.121460906352969644e+01, 1.625710752247380952e+01, 2.628884660732467182e+01, 4.972587388373856498e+01, 2.918286246196067424e+01, 2.609024652196962890e+01
2.048000000000000000e+03, 3.657504100479903997e+01, 5.175366072159621211e+01, 6.380845636506926155e+01, 2.032261894538994440e+01, 2.529131041079363129e+01, 4.283498870210807752e+01, 2.587241898224597492e+01, 2.130061875649007064e+01, 1.637713203867888367e+01, 2.627569156865845201e+01, 4.972166295619953758e+01, 2.919018526401189462e+01, 2.614274043261504232e+01
2.049000000000000000e+03, 3.659773504890240048e+01, 5.195846986730411032e+01, 6.390693686806044127e+01, 2.015103178332019951e+01, 2.537074895341618586e+01, 4.253781631309462341e+01, 2.594958941689573706e+01, 2.140963589950181856e+01, 1.639009022840782848e+01, 2.624156526049514682e+01, 4.977924719974433998e+01, 2.918963241620929239e+01, 2.617815937004217375e+01
2.050000000000000000e+03, 3.659786716083448965e+01, 5.207165591852910325e+01, 6.395435374550122276e+01, 1.981106011240042974e+01, 2.536530986429868051e+01, 4.225318160061704020e+01, 2.602360097151922602e+01, 2.131842158076928229e+01, 1.634122432693671456e+01, 2.630920152150627445e+01, 4.982248545049609589e+01, 2.915938717326183749e+01, 2.623135740623329681e+01
2.051000000000000000e+03, 3.664828542012917012e+01, 5.192857972291920277e+01, 6.396896090595376450e+01, 1.971938630249284330e+01, 2.535918934806831970e+01, 4.229668561657903325e+01, 2.604929975863792180e+01, 2.138745202295219272e+01, 1.637689891870689962e+01, 2.643038706539827132e+01, 4.985625381160130587e+01, 2.914188005465259579e+01, 2.621698408451035434e+01
2.052000000000000000e+03, 3.664080213870481373e+01, 5.200928057516834002e+01, 6.407845546649441815e+01, 1.993827541421428151e+01, 2.530931160806929014e+01, 4.237063628395674897e+01, 2.610332315454723329e+01, 2.163273256300353964e+01, 1.637738086355633627e+01, 2.645832706075419338e+01, 4.988315444583970049e+01, 2.913772452768512267e+01, 2.619659901811551350e+01
