year, UKESM1-0-LL, CMCC-CM2-SR5, ACCESS-ESM1-5, CESM2-WACCM, MIROC-ES2L, CNRM-ESM2-1, IPSL-CM6A-LR, MPI-ESM1-2-LR, EC-Earth3-Veg
1.864000000000000000e+03, 2.778088588244956918e-05, 1.284209447468289550e-02, 1.234415312842232666e-02, 1.768325016930332588e-02, 1.019768079804548588e-01, 1.455247174436517105e-03, 3.084429361406894072e-03, 7.845188416595354208e-02, 2.618034704068660130e-03
1.865000000000000000e+03, 2.796847062321984552e-05, 1.311268196834785606e-02, 1.297906936213579637e-02, 1.809533395659897528e-02, 1.024261075463577253e-01, 1.441008215614054087e-03, 3.075348507617912865e-03, 7.868358816646556231e-02, 2.765196020458877794e-03
1.866000000000000000e+03, 2.534228465338678461e-05, 1.335873524429528891e-02, 1.360181533001145020e-02, 1.824663941248146418e-02, 1.033134888163244058e-01, 1.431862244824808105e-03, 3.005361588304411493e-03, 7.847983659857868388e-02, 2.896153867381126394e-03
1.867000000000000000e+03, 2.339525956033569029e-05, 1.359138264149810892e-02, 1.421200554972622786e-02, 1.823995163669938496e-02, 1.039683810108772283e-01, 1.429935360196971225e-03, 2.991365643645716322e-03, 7.833875528618659823e-02, 3.025020243823348456e-03
1.868000000000000000e+03, 2.225974252535211549e-05, 1.380670459245143811e-02, 1.485262886329335313e-02, 1.821314335165967468e-02, 1.043025492259195552e-01, 1.453008588419469390e-03, 2.952948082418012463e-03, 7.810651103797983108e-02, 3.137533635404622656e-03
1.869000000000000000e+03, 2.259113799760616482e-05, 1.400362959506661585e-02, 1.543687196102031499e-02, 1.812676088109360303e-02, 1.043814869121162114e-01, 1.534609277891507695e-03, 2.909780565933062831e-03, 7.606976662629473529e-02, 3.250653911200787616e-03
1.870000000000000000e+03, 2.231451916441013508e-05, 1.421149419030153828e-02, 1.601324095204235964e-02, 1.922830242513436788e-02, 1.051682409133272711e-01, 1.619438771350060601e-03, 2.885934696612380349e-03, 7.610619277430584473e-02, 3.366613079303989228e-03
1.871000000000000000e+03, 2.238108985099300058e-05, 1.433944116607254599e-02, 1.670201362235078021e-02, 1.854310465134533653e-02, 1.062148221132106635e-01, 1.819195495599472065e-03, 2.979396660667502951e-03, 7.692955553455629869e-02, 3.689217596086475162e-03
1.872000000000000000e+03, 2.414466082998461009e-05, 1.440010709980162930e-02, 1.737590484021188375e-02, 1.819747282347855197e-02, 1.075927275881671669e-01, 2.002366512685839310e-03, 3.235884105257400955e-03, 7.764405935493221000e-02, 4.006063676056690476e-03
1.873000000000000000e+03, 2.876788047482792515e-05, 1.447601229030645760e-02, 1.803031192284721210e-02, 1.923387324392249881e-02, 1.087871436960024946e-01, 2.168327131826792813e-03, 3.390224662718650198e-03, 7.981543126361208274e-02, 4.328291361293864353e-03
1.874000000000000000e+03, 2.793301058819884429e-05, 1.455452373245365999e-02, 1.866991378659968795e-02, 1.869459200622083581e-02, 1.097455673994801456e-01, 2.323706403539161323e-03, 3.552742369650346149e-03, 8.005612374350218330e-02, 4.650299090310037325e-03
1.875000000000000000e+03, 2.512327228174051285e-05, 1.464098544085790966e-02, 1.929566696140218654e-02, 1.826860203806360272e-02, 1.104763796700566070e-01, 2.461438511166566361e-03, 3.756420376681698318e-03, 7.930098821774216045e-02, 4.968283550203225415e-03
1.876000000000000000e+03, 2.338954854093663776e-05, 1.474637866264764258e-02, 1.990696359993071249e-02, 1.835743270355401704e-02, 1.112768950504947341e-01, 2.569386011233943789e-03, 3.956522927286195389e-03, 7.993282968300012559e-02, 5.284075851246899415e-03
1.877000000000000000e+03, 2.446937017999406877e-05, 1.486435801772285729e-02, 2.050816297787672743e-02, 1.830660057902735310e-02, 1.122297000210313728e-01, 2.654933298488569744e-03, 4.078506769226166243e-03, 7.797416307266891167e-02, 5.584503239235382582e-03
1.878000000000000000e+03, 2.992815398147476944e-05, 1.499046603480419168e-02, 2.110006102087675847e-02, 1.848478651300110992e-02, 1.132013929407384017e-01, 2.717498770195749241e-03, 4.139702326375093930e-03, 7.759053527915160675e-02, 5.870831153914349981e-03
1.879000000000000000e+03, 3.329274024596474421e-05, 1.512001370536625137e-02, 2.168261542434261543e-02, 2.016695418286548747e-02, 1.140777043512221506e-01, 2.764740776302688705e-03, 4.144942464854669065e-03, 7.918799015253959184e-02, 6.173230419893109902e-03
1.880000000000000000e+03, 3.201576552904834605e-05, 1.525466682736740034e-02, 2.225555666417546388e-02, 1.911891694659472243e-02, 1.149859784867426904e-01, 2.782181905360853885e-03, 4.154993101948876479e-03, 8.227078211616904724e-02, 6.486409722836667530e-03
1.881000000000000000e+03, 2.948425343568158760e-05, 1.538960603202521940e-02, 2.272046579481748832e-02, 1.907050260507799078e-02, 1.157551320309683218e-01, 2.800384527588998477e-03, 4.216360709711848044e-03, 8.439404221683588503e-02, 6.772233098617543717e-03
1.882000000000000000e+03, 2.812180772500616705e-05, 1.550993351866992651e-02, 2.321112224704767468e-02, 1.899916885097925612e-02, 1.163347320294005199e-01, 2.811052076423150876e-03, 4.110543103752138314e-03, 8.358506941535000234e-02, 7.060764268788579691e-03
1.883000000000000000e+03, 3.372895669100784674e-05, 1.562508712574271069e-02, 2.370031135454183507e-02, 1.940230357459636276e-02, 1.166690808647235095e-01, 2.811568791033810469e-03, 4.092462106774445024e-03, 8.224962091887157156e-02, 7.360941601395333024e-03
1.884000000000000000e+03, 3.698237286391239308e-05, 1.573910539154699945e-02, 2.418800915000550444e-02, 1.936983034395874104e-02, 1.168307082809913605e-01, 2.800856749894463371e-03, 4.032934016268517954e-03, 8.089402022484759591e-02, 7.660508303955724206e-03
1.885000000000000000e+03, 3.514824776562673701e-05, 1.585054145622213570e-02, 2.467267484851400072e-02, 1.913293628849144917e-02, 1.166642844486817654e-01, 2.780667913981575007e-03, 4.002660625615322466e-03, 8.179410747239668211e-02, 7.918077974862493609e-03
1.886000000000000000e+03, 3.633992582699281437e-05, 1.596616988959944153e-02, 2.515423489681186883e-02, 1.909131916211213864e-02, 1.167185820013651731e-01, 2.754073112044516138e-03, 4.074935783663706859e-03, 8.479368314714776089e-02, 8.166462994767248809e-03
1.887000000000000000e+03, 3.745465741130185339e-05, 1.607996319216775660e-02, 2.563226716596625140e-02, 1.907274117548816289e-02, 1.169760001696937973e-01, 2.722915811064537377e-03, 4.020288376692289674e-03, 8.688111453928887284e-02, 8.418705098377396792e-03
1.888000000000000000e+03, 3.683140119831887716e-05, 1.619121341476861820e-02, 2.610733721475858721e-02, 1.908771961303065354e-02, 1.175022274313514137e-01, 2.690528417421708934e-03, 4.023317945370754982e-03, 8.785447920350594742e-02, 8.672460012790168121e-03
1.889000000000000000e+03, 3.836578868789408952e-05, 1.628835791227473823e-02, 2.658009010698886981e-02, 1.910054495347269718e-02, 1.180088221854975472e-01, 2.663735550203948782e-03, 4.039553100913797698e-03, 8.866179184807229663e-02, 8.918164941120179309e-03
1.890000000000000000e+03, 3.604967802540234997e-05, 1.635902685130018533e-02, 2.704973763993530345e-02, 1.884516530924807559e-02, 1.178785631236093506e-01, 2.638018444852870906e-03, 3.982616702452311183e-03, 8.721132246984719671e-02, 9.154150220348659245e-03
1.891000000000000000e+03, 3.480921944832717727e-05, 1.642426785194638431e-02, 2.732368756591282630e-02, 1.989723235689361269e-02, 1.177501405070948276e-01, 2.628827658896164873e-03, 3.911616120327871503e-03, 8.808028666018412334e-02, 9.428196642532899949e-03
1.892000000000000000e+03, 3.744223339755256482e-05, 1.649693835477120812e-02, 2.764289796055518361e-02, 1.979715351356894568e-02, 1.181252197570637624e-01, 2.685253894874054924e-03, 3.734559228368158294e-03, 8.500075455416897241e-02, 9.712773443728275544e-03
1.893000000000000000e+03, 3.339685165029107112e-05, 1.656493716884871112e-02, 2.805576404924756823e-02, 1.972960530039410965e-02, 1.188802427785679572e-01, 2.772843538644838464e-03, 3.690730457023818235e-03, 8.307088222237446473e-02, 9.989141109046154043e-03
1.894000000000000000e+03, 2.986686756921439406e-05, 1.662911782238039524e-02, 2.848113550665794941e-02, 2.008256626234425357e-02, 1.196839162299877940e-01, 2.923042938529648790e-03, 3.548160991162883394e-03, 8.520294806439296376e-02, 1.029345883289547667e-02
1.895000000000000000e+03, 2.931539305916265749e-05, 1.668272619576427473e-02, 2.890287101226643451e-02, 2.021373674106731813e-02, 1.201962955367528035e-01, 3.039073754035474893e-03, 3.557977303778613303e-03, 8.710284938702209101e-02, 1.059310434301219753e-02
1.896000000000000000e+03, 2.815127476523986277e-05, 1.673625807242460836e-02, 2.932286100280871027e-02, 2.004290701878971154e-02, 1.203296088293174665e-01, 3.191808212812366225e-03, 3.565801746463929250e-03, 8.773945003925107122e-02, 1.091125473841970429e-02
1.897000000000000000e+03, 2.821715186516305808e-05, 1.679181793262779845e-02, 2.974146890732286275e-02, 2.020087990643958109e-02, 1.202592065763618684e-01, 3.378138186324168048e-03, 3.472363000069982660e-03, 8.831307057304073338e-02, 1.126134187103462053e-02
1.898000000000000000e+03, 3.070325448739766100e-05, 1.684348830363727872e-02, 3.015991445188573664e-02, 2.016788640152264792e-02, 1.207105042202272077e-01, 3.586745495502106484e-03, 3.463410490588935027e-03, 8.995887485618353496e-02, 1.161986926342158284e-02
1.899000000000000000e+03, 3.285475763382599099e-05, 1.689048795501501415e-02, 3.057855936359548873e-02, 2.027172392971406112e-02, 1.216427011034737077e-01, 3.798115037192175900e-03, 3.410438740975170989e-03, 8.913210661061191087e-02, 1.194502273998302756e-02
