year, CNRM-ESM2-1, UKESM1-0-LL, TaiESM1, NorESM2-MM, CanESM5, ACCESS-ESM1-5, INM-CM4-8, EC-Earth3-Veg, CESM2-WACCM, CMCC-CM2-SR5, IPSL-CM6A-LR, MPI-ESM1-2-LR, INM-CM5-0, NorESM2-LM, GFDL-ESM4, MIROC-ES2L
1.868000000000000000e+03, 1.131832429274770790e+00, 1.386576727958615862e+00, 1.075514280101834697e+00, 9.245010927485584062e-01, 1.873300897383502583e+00, 1.525395272343595066e+00, 1.817530778442301820e+00, 4.806979550648081911e+00, 1.273479690017583321e+00, 8.451039412213564583e-01, 1.048455779808098676e+00, 2.122858795789399178e+00, 2.149588225130234065e+00, 1.030677957259911626e+00, 1.155269467321905497e+00, 1.177426121928159430e+00
1.869000000000000000e+03, 1.046477669029223900e+00, 1.508447020231345137e+00, 9.964173119374590826e-01, 7.166677185811011208e-01, 2.046137081890433862e+00, 1.387813556070250920e+00, 1.993683722820321025e+00, 4.518899207718499511e+00, 1.230983108523499681e+00, 8.930962856272175454e-01, 1.047755475850418394e+00, 2.480741521784611159e+00, 2.249042297536879342e+00, 9.852710445033600051e-01, 1.177593455411724888e+00, 1.126620015722730406e+00
1.870000000000000000e+03, 1.111490450707990574e+00, 1.167410697485995019e+00, 9.216831851976037271e-01, 8.113935407734914618e-01, 1.938068697708491994e+00, 1.401732312246868561e+00, 1.891418387802288992e+00, 4.299223808909191646e+00, 1.211195858700645056e+00, 9.367104500659327870e-01, 9.892424841651887846e-01, 2.748327843984572194e+00, 2.251020075370249174e+00, 9.106070474636699386e-01, 1.174040432659542166e+00, 1.183181790438805780e+00
1.871000000000000000e+03, 1.071509163089121586e+00, 1.341807285603419775e+00, 1.041749503827312795e+00, 8.771608178850818227e-01, 1.851388550453153536e+00, 1.330226086670707186e+00, 2.148179280449766360e+00, 4.224222223859661618e+00, 1.251403476855095898e+00, 9.351716038941264575e-01, 9.506295539229197011e-01, 2.603402039013891223e+00, 2.608400557943828080e+00, 1.012632297550482452e+00, 1.146700463028526240e+00, 1.368557530626866692e+00
1.872000000000000000e+03, 1.003431779093062026e+00, 1.571577240405076736e+00, 1.060991177738110469e+00, 1.084960194350710783e+00, 1.902367908849926792e+00, 1.367807279065605508e+00, 1.954388600510844398e+00, 4.694066375699773808e+00, 1.138016177685339470e+00, 8.840009001870700045e-01, 1.117519505303679495e+00, 2.634310907900554000e+00, 2.436984194379121060e+00, 1.071282236331468685e+00, 1.206579617672506322e+00, 1.453029672795089322e+00
1.873000000000000000e+03, 1.064050607010914806e+00, 1.713002539984713746e+00, 1.042902054355908215e+00, 8.322703009457514955e-01, 1.970345122901468793e+00, 1.480728111717080742e+00, 2.051052071186894032e+00, 4.977884915288840695e+00, 1.312562348716717953e+00, 9.699416557304494368e-01, 1.126816904470119063e+00, 2.742843946350900453e+00, 2.363436451407848082e+00, 1.029834974537011894e+00, 1.205431748850598783e+00, 1.161107425890901323e+00
1.874000000000000000e+03, 9.612041567364515426e-01, 1.317601565557112497e+00, 9.689499720078688094e-01, 1.038200860276603077e+00, 2.053607761457956205e+00, 1.358791725873154332e+00, 1.750277515690330743e+00, 4.252340132748285484e+00, 1.061639040052213101e+00, 9.479581645498095233e-01, 1.019258683173905888e+00, 2.319373440832764643e+00, 2.240523861371529257e+00, 8.961565353133809086e-01, 1.190067623392814689e+00, 1.247740100568093258e+00
1.875000000000000000e+03, 9.403287658027481566e-01, 1.240418487835651007e+00, 1.033832437549576433e+00, 1.004883050384097531e+00, 1.980232279164999776e+00, 1.289430703257174793e+00, 2.154140478815432580e+00, 4.188684483521597279e+00, 1.129582632603093995e+00, 9.200711020726191069e-01, 1.069971759239328968e+00, 2.355695985210077836e+00, 2.693894740118782494e+00, 8.469039555340559522e-01, 1.282910428047861595e+00, 1.262820313612175394e+00
1.876000000000000000e+03, 9.905076823677240183e-01, 1.202220916199472800e+00, 1.101510210780159538e+00, 8.661155513808079798e-01, 2.000410236808993325e+00, 1.335214290320177355e+00, 2.177677560721646088e+00, 3.754392428564238049e+00, 1.035689027824137520e+00, 8.890983047624880786e-01, 1.088649537433982184e+00, 2.019457620048771052e+00, 2.573465568590616037e+00, 1.034484745264786287e+00, 1.186188655146394488e+00, 1.323180257225271328e+00
1.877000000000000000e+03, 1.046481127613319018e+00, 1.421561879093916847e+00, 1.103845540411859671e+00, 1.077078960206016678e+00, 2.003175826226987866e+00, 1.347579522147118514e+00, 1.939243467606633908e+00, 3.925721639160206777e+00, 1.166181601793263578e+00, 9.353546286304227353e-01, 1.049573070535138930e+00, 2.091604901941938710e+00, 2.553087872065525676e+00, 1.100357473188253277e+00, 1.101829316502132228e+00, 1.296069167569508851e+00
