year, CNRM-ESM2-1, MPI-ESM1-2-LR, NorESM2-LM, ACCESS-ESM1-5, NorESM2-MM, EC-Earth3-Veg, INM-CM5-0, UKESM1-0-LL, CMCC-CM2-SR5, CESM2-WACCM, TaiESM1, GFDL-ESM4, INM-CM4-8, MIROC-ES2L, IPSL-CM6A-LR, CanESM5
1.876000000000000000e+03, 6.155963754915054764e-01, 8.361324294049407024e-01, 4.398538885186987768e-01, 7.900239142983861429e-01, 3.751595955317668651e-01, 1.306002951126213674e+00, 1.350624243117829248e+00, 6.985430695853229732e-01, 4.767798556113669317e-01, 4.477745235297914128e-01, 4.453088720323555849e-01, 4.436771614944164943e-01, 1.128012333454743610e+00, 7.120747406434858595e-01, 4.877732328325158351e-01, 1.279768002518922199e+00
1.877000000000000000e+03, 6.579542707915786437e-01, 8.636267830312708282e-01, 4.721423333307543380e-01, 8.041605993519138629e-01, 4.720154534119002654e-01, 1.289338331390292192e+00, 1.307802223071356185e+00, 8.223218583444917851e-01, 5.145424451100418795e-01, 5.266560960735829910e-01, 4.246231233380153292e-01, 4.058785551602540065e-01, 1.004763766764888544e+00, 6.899977711982387962e-01, 4.541386667525013077e-01, 1.278553775347110344e+00
1.878000000000000000e+03, 7.042408773069410710e-01, 1.066375642179865801e+00, 5.297570548667702717e-01, 7.558271117280386253e-01, 4.452137522678770720e-01, 1.907764890517084089e+00, 1.202862901413660035e+00, 9.448424333112526163e-01, 5.589089561341168411e-01, 6.118349384425845194e-01, 3.912105660081025005e-01, 4.885770653860183610e-01, 9.860691061732596019e-01, 6.578987188616089998e-01, 4.599186863195729447e-01, 1.240648276717940979e+00
1.879000000000000000e+03, 6.684558740630573981e-01, 1.189219552607335917e+00, 3.586650415697896221e-01, 7.118804874105705283e-01, 3.902560846841572895e-01, 1.701699656889330114e+00, 1.284627210043875367e+00, 8.406602635478417351e-01, 4.959026590941434942e-01, 6.166806146218576368e-01, 4.108362184382812199e-01, 4.633878749550833787e-01, 1.070574688368782779e+00, 6.794212271776682854e-01, 4.159814722263160958e-01, 1.305785577554490651e+00
1.880000000000000000e+03, 7.259613910340206866e-01, 1.282364261663762717e+00, 4.675045899314558273e-01, 6.482316279565366601e-01, 4.595041449105068398e-01, 1.597657848409750780e+00, 1.189050818467322301e+00, 8.328707461468621842e-01, 5.251904694877405078e-01, 5.884778660949495643e-01, 4.083563452656030490e-01, 4.734228795297814596e-01, 9.970975517089546436e-01, 6.888596959572415024e-01, 4.472550469588061905e-01, 1.256747283749043431e+00
1.881000000000000000e+03, 7.166302855816220063e-01, 1.109242762755408895e+00, 3.835114916808969321e-01, 7.610788358667536224e-01, 4.849585862775661615e-01, 1.905949947688970525e+00, 1.246442000838749120e+00, 7.071554677222530172e-01, 4.694357306856140055e-01, 5.403553251667104762e-01, 3.845845894583411195e-01, 4.550582042886121559e-01, 9.396113096126932351e-01, 6.659816955327680921e-01, 5.340480208723216160e-01, 1.355155829102049347e+00
1.882000000000000000e+03, 7.325179077716358345e-01, 1.000197813993224161e+00, 3.552401489670283241e-01, 8.542110382866298091e-01, 4.885244566001599176e-01, 1.666791815150081124e+00, 1.226454192421188916e+00, 8.117782585545648688e-01, 5.079970000275405573e-01, 5.306062081773108563e-01, 4.598934189598862243e-01, 4.192071879165553683e-01, 1.114329023071537472e+00, 6.655657037935472919e-01, 4.499063361427284025e-01, 1.264022868446918579e+00
1.883000000000000000e+03, 6.552428227332179889e-01, 1.044302763947745794e+00, 3.465178963374453414e-01, 9.224157156153189874e-01, 2.899996769882813852e-01, 1.506367854639498960e+00, 1.282838936737023872e+00, 1.003411165864882770e+00, 4.701850367628890859e-01, 5.747605487556102233e-01, 4.159458329272429644e-01, 4.966948460894508033e-01, 9.752087236523908631e-01, 6.048768489492329925e-01, 4.183234457460702216e-01, 1.280511841256965155e+00
1.884000000000000000e+03, 6.104795394334913139e-01, 1.024759444063396918e+00, 3.660968533011115800e-01, 8.877308469325730922e-01, 3.637213708938532020e-01, 1.072704330929623806e+00, 1.363373976219994121e+00, 8.465513833524631604e-01, 5.062325913474293726e-01, 5.068950863127736906e-01, 4.095918306733816738e-01, 4.598554952497719839e-01, 1.266053306259116384e+00, 5.784977228965503260e-01, 4.595398955806890284e-01, 1.313020288477821484e+00
1.885000000000000000e+03, 7.091553639036161094e-01, 1.221494136243936435e+00, 4.339776321142975180e-01, 8.537718108272647211e-01, 4.842826396660372956e-01, 1.403623547495602919e+00, 1.325572462139589236e+00, 8.469144747706186527e-01, 5.446871411355357351e-01, 5.966743143078254707e-01, 4.076839271779274521e-01, 4.504324598331011509e-01, 1.204107905550853674e+00, 5.823850782377838486e-01, 4.497401208707559883e-01, 1.350448302177674531e+00
1.886000000000000000e+03, 6.200720730236115585e-01, 1.109383275392227253e+00, 4.195161692124795838e-01, 8.884977905079580740e-01, 4.644197272842566782e-01, 1.647267451691437623e+00, 1.325351299546249750e+00, 9.438769637351723807e-01, 5.481995355294853045e-01, 4.678040303888255647e-01, 3.864607912545695578e-01, 5.094316160716620967e-01, 1.158252051891986323e+00, 5.942740996576706403e-01, 5.294532484761700353e-01, 1.296338766141082566e+00
1.887000000000000000e+03, 6.588847894752840606e-01, 1.155797102924218889e+00, 4.618427449559435183e-01, 9.540004118051138571e-01, 4.569523427171096053e-01, 1.695941879984958822e+00, 1.236251417994469692e+00, 9.865726845510209841e-01, 4.997123938147606248e-01, 5.691692728007403668e-01, 4.094101153307716512e-01, 4.878879073422083268e-01, 1.175713141950794904e+00, 5.844222827647037599e-01, 4.938365239880636581e-01, 1.312981632489677919e+00
1.888000000000000000e+03, 6.730705986962676191e-01, 1.161092039684086696e+00, 3.973554155017869349e-01, 8.914264179669306731e-01, 4.107758631822628348e-01, 1.533439573493498687e+00, 1.248878720911436702e+00, 9.441386220807875818e-01, 4.955420518038319844e-01, 4.918106481479745939e-01, 4.597210122101039187e-01, 5.505940640986837220e-01, 1.110559809557349675e+00, 6.564427863273016861e-01, 4.644297537168200485e-01, 1.314694932071630573e+00
1.889000000000000000e+03, 6.396199597618593691e-01, 9.659368408721542565e-01, 4.180241093346024339e-01, 8.826561226118303516e-01, 4.456287673932718407e-01, 1.378642477399380617e+00, 1.208835499034751848e+00, 9.988861552614280992e-01, 4.911540365493158311e-01, 4.476407653555689037e-01, 3.876017796674499083e-01, 5.517184500877080344e-01, 1.038213456546619229e+00, 5.655745043625542978e-01, 5.323100352590691697e-01, 1.278339081940739641e+00
1.890000000000000000e+03, 7.241277034462118012e-01, 1.189078312365808854e+00, 3.967698189600443737e-01, 8.381848692564805026e-01, 3.359184907925012453e-01, 1.591523022012612865e+00, 1.432733785394845860e+00, 8.089875764078544584e-01, 5.868081798752304845e-01, 4.836759558665658654e-01, 4.428718284360030344e-01, 5.480699661002668144e-01, 1.069981513725565936e+00, 4.947819911791329073e-01, 4.414244285520866895e-01, 1.317275658560536078e+00
1.891000000000000000e+03, 7.329374902055117991e-01, 9.122572428504395203e-01, 4.513968750004990205e-01, 9.347801786723726192e-01, 3.874642383140368684e-01, 1.624846239235105294e+00, 1.321883560465784369e+00, 1.031246826626661450e+00, 4.647524462658635946e-01, 5.454910954440673754e-01, 4.386853466298185067e-01, 4.864529457326714490e-01, 1.143584532545248500e+00, 6.239246289668124446e-01, 5.132479079650258402e-01, 1.304358221573020504e+00
1.892000000000000000e+03, 6.638305323555032667e-01, 1.087148746848358050e+00, 4.527577971034421056e-01, 8.598353600621971848e-01, 4.885485981587628923e-01, 1.458748335349438818e+00, 1.166419034990862302e+00, 1.003876600144285147e+00, 4.774696543703141338e-01, 4.582149641376616622e-01, 3.709944502220057783e-01, 4.855682041856575482e-01, 9.823964303299749234e-01, 7.357492848731580493e-01, 5.100419998080484296e-01, 1.296799728746549363e+00
1.893000000000000000e+03, 7.355351991583344295e-01, 1.059236878263163151e+00, 4.550539038092816790e-01, 8.115530575106637556e-01, 4.229026285169246169e-01, 1.701655811178506728e+00, 1.155290269636922718e+00, 7.154377224103751765e-01, 4.594094235881920341e-01, 4.535032199989383339e-01, 3.687638602498437002e-01, 5.085396596964858462e-01, 1.016167326581353114e+00, 6.395615435219127454e-01, 5.172034007477058770e-01, 1.357523836209839629e+00
1.894000000000000000e+03, 7.239347714167350123e-01, 1.182614540483823529e+00, 4.047873870376659799e-01, 7.662853093717527653e-01, 3.694910760224272006e-01, 1.395968032009521576e+00, 1.069904154585356482e+00, 8.326369979354731887e-01, 5.978240607196021461e-01, 4.804273839799952928e-01, 4.414215183136552811e-01, 5.579490939660461946e-01, 1.106808775164883851e+00, 6.727643774147018529e-01, 4.386525772486422614e-01, 1.315120985151412958e+00
1.895000000000000000e+03, 6.303793555521174374e-01, 1.047192242627174030e+00, 4.102802916161345514e-01, 7.685107215818725024e-01, 3.747972243386955560e-01, 1.722143385731510046e+00, 1.267917127654069720e+00, 8.832172049449115159e-01, 5.700384365284788535e-01, 5.273952855009764740e-01, 4.695280259579246440e-01, 4.975238816757150961e-01, 9.423271801004081683e-01, 5.319738947901886394e-01, 5.185364444689937180e-01, 1.354056930312729445e+00
1.896000000000000000e+03, 7.220591510864948770e-01, 1.080779860019009053e+00, 4.735712722876675995e-01, 7.752397138289984779e-01, 3.766357806927091989e-01, 2.099153247916344167e+00, 1.285169164888359417e+00, 6.892701199712503168e-01, 5.017398122242442415e-01, 5.534931658306275759e-01, 3.884201757029277502e-01, 4.402446040673136385e-01, 1.000556607193611169e+00, 5.449005287378448914e-01, 3.587469569386926294e-01, 1.326291598061100974e+00
1.897000000000000000e+03, 7.392441012780380794e-01, 1.460857218352025644e+00, 3.743962129121442550e-01, 8.860623681242679739e-01, 4.288391424958509224e-01, 1.700487265314928331e+00, 1.369201204861947518e+00, 9.424231803887554992e-01, 4.207121933695677773e-01, 5.738362636974966291e-01, 3.801562835859676470e-01, 4.802917534969871061e-01, 1.003164299201001697e+00, 6.047744826702412535e-01, 3.974843707212856736e-01, 1.352047983677711729e+00
1.898000000000000000e+03, 8.046787473704163363e-01, 1.099423068108269286e+00, 4.980124724953413629e-01, 8.808530994238304990e-01, 4.485259379602966612e-01, 1.304163551083205475e+00, 1.299982057726032814e+00, 8.747278389289747658e-01, 5.614808912568486354e-01, 6.520846153377247711e-01, 4.335191448023100746e-01, 4.853137990123888024e-01, 1.095617645407398921e+00, 6.922752562022373990e-01, 4.948253378222215448e-01, 1.312468286109221616e+00
1.899000000000000000e+03, 6.857467088043133208e-01, 1.195839920153849212e+00, 4.637621900581951895e-01, 9.510945642408070722e-01, 4.224534089285211236e-01, 1.310695698290549105e+00, 1.134604619962091610e+00, 9.331470846943650255e-01, 5.611247729553421326e-01, 6.227117091761662504e-01, 4.434896950149912476e-01, 4.808297230773110331e-01, 1.056746496705839311e+00, 5.759423613413532372e-01, 4.485509145430502387e-01, 1.317022850926697242e+00
1.900000000000000000e+03, 7.538777284835560533e-01, 1.026389851592772740e+00, 4.133862211378800389e-01, 9.649486353275893435e-01, 4.275448290699060405e-01, 1.777881315651653304e+00, 1.177438547221170584e+00, 9.317387414948363755e-01, 4.840038975237723196e-01, 4.993039950268479688e-01, 3.810671054846077044e-01, 4.374671693126513383e-01, 9.381388896817530743e-01, 5.311375403475241397e-01, 5.082274931077679359e-01, 1.309809554074771620e+00
1.901000000000000000e+03, 7.596506317533106012e-01, 1.161555542287668663e+00, 4.119578785672365351e-01, 9.466764590568113036e-01, 4.911767755597402085e-01, 1.579533002123830299e+00, 1.313861760247674981e+00, 9.020397112638842696e-01, 4.814508144858284933e-01, 5.242018833657087207e-01, 4.202664459961812371e-01, 4.679631405813217682e-01, 1.093094350156040839e+00, 6.794001620874566827e-01, 4.806071359274959875e-01, 1.392698212311688888e+00
1.902000000000000000e+03, 7.091523597385295252e-01, 1.047200365484162621e+00, 4.487824186156272321e-01, 9.252050536971336836e-01, 3.724566665536612753e-01, 1.664646654371046530e+00, 1.434189031104988965e+00, 7.819856903144482008e-01, 4.898342361960572044e-01, 4.873192180920533079e-01, 4.209315940626968677e-01, 3.705665273000188775e-01, 1.148761010547860062e+00, 6.755742282161804058e-01, 4.219444740390074777e-01, 1.390516619753200844e+00
1.903000000000000000e+03, 7.089968684229669416e-01, 1.178085439875071083e+00, 4.111533671783946242e-01, 9.755645008142210806e-01, 4.440450867835279425e-01, 1.571706190766298139e+00, 1.474936823978089118e+00, 9.722875162869611954e-01, 5.472596554971951299e-01, 5.058256437222435897e-01, 3.992898953330786815e-01, 4.772252754014253417e-01, 1.093252715013445231e+00, 6.996526371495924712e-01, 4.158847575314411071e-01, 1.330127029764129221e+00
1.904000000000000000e+03, 6.930375311929065640e-01, 1.058970028859411050e+00, 4.597006948966024242e-01, 9.300910059948205300e-01, 4.982444862829220056e-01, 1.544713292163427454e+00, 1.321970841250247108e+00, 7.328106946833047308e-01, 5.251527065558551088e-01, 6.121369859182709261e-01, 4.611098693794496994e-01, 4.660039282719619091e-01, 1.121946784853585344e+00, 6.269268507127074841e-01, 4.436993364795434602e-01, 1.367001361567307338e+00
1.905000000000000000e+03, 7.017376412997972102e-01, 1.174371944044446892e+00, 4.429640223907373997e-01, 8.383945640650558584e-01, 3.151926639156988341e-01, 1.269081581621488652e+00, 1.308920016266881037e+00, 8.882731755892657732e-01, 4.362136977990040965e-01, 4.208487072997116885e-01, 4.333319164909416044e-01, 4.502750216035803499e-01, 1.204565160482641950e+00, 5.421644145636828060e-01, 4.776886385639390609e-01, 1.382937345010861740e+00
1.906000000000000000e+03, 7.464733562354324281e-01, 1.086070237710846431e+00, 3.854970016308059133e-01, 8.629145066813516118e-01, 3.999229927017380337e-01, 1.822908966355021754e+00, 1.465405929592349166e+00, 6.599299251383382581e-01, 4.690181259433021110e-01, 5.929416318975739841e-01, 3.701773556795832643e-01, 3.601995721374564030e-01, 1.008141654074202753e+00, 5.849742661227882445e-01, 4.916780524922808038e-01, 1.351264012559694194e+00
1.907000000000000000e+03, 7.107406929535239337e-01, 1.210598001555801995e+00, 4.416488125890150607e-01, 8.916600726471225480e-01, 4.189154918511459047e-01, 1.837477004942242642e+00, 1.359369176853886918e+00, 8.563878131604916177e-01, 5.502338814957029589e-01, 6.028776794133891004e-01, 4.318517625923281589e-01, 4.276493084697521874e-01, 1.150133631629536968e+00, 6.860689149636305384e-01, 4.788080856431163879e-01, 1.325812237788620118e+00
1.908000000000000000e+03, 7.127109623616407763e-01, 1.004866396503757198e+00, 4.367513902937586456e-01, 8.450708729869299551e-01, 4.230065124148559841e-01, 1.368186603117118372e+00, 1.268753934067463840e+00, 9.452877531334900052e-01, 4.468615112549716439e-01, 4.016487280097266743e-01, 4.093706749721472971e-01, 4.503267127796956037e-01, 1.016906142496027066e+00, 7.120117465781377053e-01, 4.678752148478494410e-01, 1.371544821288984917e+00
1.909000000000000000e+03, 7.568136866519717953e-01, 1.228216960531659963e+00, 5.076999904516246165e-01, 9.257182931153459249e-01, 4.449662189081479702e-01, 1.621061228103098273e+00, 1.127140186446925707e+00, 9.146101934644137454e-01, 5.367405348074013594e-01, 5.101394623211875645e-01, 4.549052651209111731e-01, 4.727795633163410227e-01, 1.209001343975975917e+00, 5.988052689242636673e-01, 4.291118008452649568e-01, 1.378559597000328818e+00
1.910000000000000000e+03, 6.803798174602088134e-01, 1.025669493468526650e+00, 4.415846801600555871e-01, 9.382382590820951274e-01, 4.893896122489327372e-01, 1.654104984699515501e+00, 1.368437068773918908e+00, 8.099680512010283273e-01, 5.767720398772453461e-01, 5.659866184817362589e-01, 4.437829659950813799e-01, 4.748213907877703033e-01, 1.004621566204503047e+00, 6.349111327425696061e-01, 4.855533299975050010e-01, 1.388459642026845353e+00
1.911000000000000000e+03, 7.949890536633300586e-01, 1.057604700167867451e+00, 4.242969363152407358e-01, 9.466795278140209824e-01, 4.740192684700181847e-01, 1.650875578923773679e+00, 1.283156060215513650e+00, 8.317173732171436740e-01, 5.641319167617604435e-01, 5.763580797041906179e-01, 4.317529930255353254e-01, 5.177620538801328554e-01, 1.052678454814395925e+00, 5.733600429109571017e-01, 5.463102469796046190e-01, 1.387160219460244148e+00
