year, MIROC-ES2L, UKESM1-0-LL, CanESM5, MPI-ESM1-2-LR, CNRM-ESM2-1, CESM2-WACCM, GFDL-ESM4, CMCC-ESM2
1.850000000000000000e+03, -3.479418618989255519e-10, -6.562264730647161730e-11, -9.439487746493707836e-11, -2.172559784405334135e-10, 4.367511243133524370e-11, 7.808996106553065891e-12, -1.480621668591602942e-10, -2.547006009780238673e-10
1.851000000000000000e+03, 2.267367886874395287e-10, -4.198905395411535941e-12, 4.361189639403382527e-11, 1.748625664313407741e-10, 2.471827082971941024e-11, -9.072709202803620890e-11, -3.892716821605961517e-10, 8.127998062778962171e-11
1.852000000000000000e+03, 1.174200989921300024e-10, 1.265592479250770877e-10, -1.753078443364841835e-10, 6.960093605122166643e-12, 5.853661679430670730e-11, -1.011112796276501686e-10, -6.626848214030719977e-11, 1.799621723510117195e-10
1.853000000000000000e+03, -1.893811015388286356e-10, 1.047258291097532569e-10, -7.156011028895329886e-11, 3.247678909580721381e-10, -1.820707134216271825e-10, 5.940225112107058462e-11, 2.240781928294689625e-10, 2.533350585602715297e-12
1.854000000000000000e+03, -6.071871404763576008e-11, -1.102226711481828982e-10, 2.963721578373932472e-11, -2.419613148159358997e-10, 1.611492465704625228e-10, -2.419214358766374743e-11, -1.510702256310452800e-10, 1.808081032242866537e-10
1.855000000000000000e+03, 1.610465621062967363e-10, 1.487046351384141040e-10, 2.223164408908197475e-11, -1.102577845420207878e-10, -3.734660037056006145e-11, 1.190096791427095291e-10, -1.188388745752033644e-10, 2.018020959110895470e-10
1.856000000000000000e+03, -7.754856539939644127e-11, 9.189392327580361500e-11, 1.302237788485299765e-10, -5.123706161656444595e-11, 5.810642737331559867e-11, 1.991680736137690110e-11, -5.824498082506155321e-12, 1.729871857485087171e-10
1.857000000000000000e+03, 2.009781849512645534e-10, 2.254535298171219371e-10, -1.608042983495225209e-10, -1.029848613953290899e-10, -2.811532876292169733e-11, 1.614517846977705237e-10, 6.500008579575590385e-11, 1.018827601231836899e-10
1.858000000000000000e+03, -8.317296274460890995e-11, -1.442056897041069407e-10, -1.006886975794052848e-10, 2.364559565335923399e-10, -1.232119376997119061e-10, -2.871224559021519415e-11, -3.198409970015119354e-11, 3.973062832724641712e-11
1.859000000000000000e+03, 1.161056912027038282e-10, -1.311915295618995883e-10, -5.548917661287086904e-11, -3.241731095960141676e-10, 8.672533464421552663e-11, -3.650678280778919009e-10, 2.826895079864717539e-10, 2.742149273646514867e-11
1.860000000000000000e+03, 1.958154662255334908e-10, -3.621792040200319518e-10, -1.382737691195616961e-10, -1.706132933342152959e-10, -5.325977650618432767e-12, -7.091969407400546175e-11, 7.555580182145142533e-11, 1.375448231910170671e-10
1.861000000000000000e+03, 1.932199671013164610e-10, -8.084959475247579453e-11, 1.280862466739577713e-10, 3.193215300497757291e-10, 1.021785706475562597e-11, -5.426503550180082773e-11, -4.411653598390088975e-11, -2.668310243692980100e-10
1.862000000000000000e+03, -4.560631069214571104e-11, 1.428675283842781673e-10, -1.336917383385588088e-10, 1.122183343961821958e-10, 8.631316316362261369e-11, -3.018601662424356748e-11, -1.849567245080281947e-10, 1.066350967397012019e-10
1.863000000000000000e+03, -2.884833964307646156e-11, 1.888317073729765577e-10, -1.913936096052671894e-10, 1.347128894921532323e-10, -1.911043347170219190e-10, -2.187929326335546020e-10, -9.416516370004273502e-11, -4.541143933769754333e-11
1.864000000000000000e+03, 1.642049316101268064e-11, 1.800568655548133169e-10, 1.484479243587421366e-10, 9.120462935082585353e-11, -3.732680805995939619e-11, -8.057320644086763575e-11, -1.937465116936282140e-12, 1.947145491069839744e-10
1.865000000000000000e+03, 2.097376219565910622e-10, 1.693194404698349461e-11, 2.001140933758069174e-10, -4.183240233696267540e-11, -5.925272824726555890e-13, -3.651770793902574022e-11, -4.971560038109101688e-11, 1.580529583616503443e-10
1.866000000000000000e+03, 1.795413774402194421e-10, -3.641587949907015028e-11, -1.444221980675704645e-10, -1.551283650750774372e-10, 1.530601206278984864e-10, 1.440102607246569753e-10, -1.349343389408321038e-10, -5.774529256856615212e-12
1.867000000000000000e+03, -2.139316007222521292e-10, -1.097230553550716815e-10, -1.165535838114917957e-10, -5.644939422754348150e-11, 1.218421122447562749e-10, 1.241041591647735185e-10, -1.520979368926821705e-10, -5.969390145756946956e-11
1.868000000000000000e+03, -5.434693576883526629e-11, -1.095259303548029792e-10, -1.392484769803847853e-10, -3.250967110151218069e-10, 3.292030546143231593e-11, 1.193869715760809714e-10, -1.062804988568625899e-10, -9.604414987989407628e-11
1.869000000000000000e+03, -1.657092968637178746e-10, 4.432547937143792351e-11, 1.658430342882554341e-10, -2.375809617706876995e-11, -5.186096229008813433e-12, -3.486128356799981434e-11, -1.842687261484564522e-11, 2.062237688608622604e-10
1.870000000000000000e+03, -6.039847649148689194e-11, -2.136435135458227823e-10, -3.913936068475856648e-11, 2.172254103012021640e-10, 8.827725793352426164e-11, -3.405014856489244165e-11, -9.452066983796290416e-11, 1.625012456099968941e-10
1.871000000000000000e+03, 2.923409438228416143e-10, -8.431866148851442166e-11, -1.786517749896690977e-11, 1.638437056049120310e-11, 5.966675613743891576e-11, 1.302303218304479729e-10, 1.859639420484076524e-12, -3.391444014999815976e-10
1.872000000000000000e+03, 4.305638743437757563e-10, 4.065294474725545366e-12, -6.323495520013460935e-12, 1.639999320014983232e-10, -1.084918974485234955e-10, -1.704759282220764529e-10, -2.345598079882067192e-11, -1.998283642216085706e-10
1.873000000000000000e+03, -2.187484977027187773e-10, 1.507643104323948857e-10, -1.866836085134039004e-10, -4.048090872174508215e-11, -3.649695577248355623e-12, 3.044806460705100673e-11, -6.520982663668779660e-11, 1.380110189047046288e-10
1.874000000000000000e+03, 3.102230597926687287e-11, -1.992653520618377536e-10, 2.072937240958831771e-10, -1.959709118317718386e-10, -5.475535575870083763e-11, -2.216361091369837390e-10, -6.321018078057765222e-11, 1.523813780266167354e-10
1.875000000000000000e+03, 1.328441830189263072e-11, -2.456557228623170805e-10, 1.435950493138995122e-10, -9.967185081531651455e-11, -1.309113122198305355e-10, -9.749101080850649870e-11, 1.526868037008566018e-10, 2.481330021313608967e-10
1.876000000000000000e+03, 1.526036110815605436e-10, -2.254384664245836453e-10, -6.807960789685997933e-11, -1.797119136372885898e-10, 4.619883963428495784e-11, -1.418684891176749697e-10, -1.549824573091406665e-10, 2.706537486331967382e-10
1.877000000000000000e+03, 1.025766852969173746e-10, -7.370625932156304014e-11, 2.151627843584138322e-10, -2.221187737109348148e-10, 2.687321422840900514e-11, 3.352342609861765320e-11, -2.716261707562490696e-10, -7.869370409933155179e-11
1.878000000000000000e+03, 4.889439634156553501e-11, 7.586688563189321912e-11, -1.884146151040108344e-10, -9.129266059179489502e-12, 1.288158013094681197e-10, 1.379929060228457887e-10, 2.999908751105820898e-11, -1.608118005236090406e-10
1.879000000000000000e+03, 1.111982991770140483e-10, -3.113717837627813529e-11, 1.184125909053598470e-10, -4.940369669090943060e-11, 6.584996067055373117e-11, 1.981842950105304086e-10, -8.136588804514532428e-11, -7.298316264535358888e-11
1.880000000000000000e+03, 1.144674440138193877e-10, 1.688420137716867801e-12, -1.140001742905734701e-10, 4.462394756405753767e-10, 1.362144234477189912e-10, 1.411086824800818171e-10, -4.366081469211840615e-11, 3.594806683765475365e-10
1.881000000000000000e+03, 5.502513034692897365e-11, -1.987673992677523737e-10, 1.348664341021618123e-10, 8.501261057278416845e-11, 1.422577459765706127e-10, -5.847036588110083651e-11, -7.449604676452550033e-11, 1.596285864015883488e-10
1.882000000000000000e+03, -6.451716448252634946e-12, -1.214793396416095858e-10, -6.631572890876393655e-11, -4.603579025225277096e-10, 1.014430331318150308e-10, -8.646502043450174948e-11, -2.309000631480897473e-10, 1.384052667919114513e-10
1.883000000000000000e+03, -1.193630434823887992e-10, 3.612304899395031777e-10, -1.762158760170609207e-10, -9.179544085820977300e-11, -1.123252272742590853e-11, -9.800208983783299109e-12, 6.087973163451813150e-11, -2.585893893473176280e-11
1.884000000000000000e+03, -1.417330482810573992e-10, -2.350158182141503553e-11, -1.394401489961717184e-10, 2.374980029893839750e-11, -1.098042160477834602e-10, -9.834343156665206825e-11, -2.707449749553300979e-11, 2.564478665297301991e-11
1.885000000000000000e+03, -1.607946762277168055e-10, 3.436982288187697474e-11, 1.718175225431627066e-10, 1.547219882061452416e-10, 1.245365165028533007e-10, 1.323347863696025024e-10, -6.029165909859845623e-11, 2.500804165432429171e-10
1.886000000000000000e+03, -1.550858875096380098e-10, 9.875929388741267586e-11, -1.173487362492864530e-11, -4.771062844027195064e-11, -5.384490893462236024e-11, -2.883061487501317211e-10, 6.612044538251759472e-11, 5.540350667671102932e-12
