year, UKESM1-0-LL, EC-Earth3-Veg, MPI-ESM1-2-LR, CMCC-ESM2, CNRM-ESM2-1, NorESM2-MM, NorESM2-LM, IPSL-CM6A-LR, TaiESM1, CESM2-WACCM
1.850000000000000000e+03, 1.125603516342870964e-14, 0.000000000000000000e+00, 1.677514303993541206e-12, 2.263205871049528826e-12, 0.000000000000000000e+00, 4.708040610082010666e-12, 3.273899280540284894e-12, 4.243216454360776170e-13, 2.495155555173138173e-12, 1.729927687378745095e-12
1.851000000000000000e+03, 2.525139726088727029e-14, 1.643662664617906503e-11, 2.782391043814177804e-12, 3.251230459108061419e-12, 1.130362652756597523e-11, 1.228967555999142137e-11, 1.364284915831060535e-11, 2.358763302849885834e-12, 2.908261670238948855e-12, 4.546688623650342850e-12
1.852000000000000000e+03, 3.210522588543136690e-14, 1.637402598248428732e-11, 3.010999472151854071e-12, 3.869608828647717702e-12, 1.247178089496197460e-11, 1.342163298034239338e-11, 1.315971484970368824e-11, 2.484230554169148738e-12, 3.255832126819620326e-12, 5.490268002070264090e-12
1.853000000000000000e+03, 3.452466797170152067e-14, 1.658716676056121470e-11, 3.205933315582667222e-12, 4.451422298261197028e-12, 1.382194879435278889e-11, 1.267350228221840592e-11, 1.160532198374945688e-11, 2.595222393103422936e-12, 3.419997671717310554e-12, 5.973311885759074808e-12
1.854000000000000000e+03, 3.380742465355045918e-14, 1.660651409012197597e-11, 3.353753362171787259e-12, 4.890018457483977694e-12, 1.448338684595197351e-11, 1.248733827687792072e-11, 1.323906876356446608e-11, 2.707342948297587720e-12, 3.641084492495743816e-12, 6.459358194027435914e-12
1.855000000000000000e+03, 2.895145310082258564e-14, 1.601967153251587958e-11, 3.387602302870252849e-12, 5.175001107576396728e-12, 1.516681519603400283e-11, 1.291129199284055465e-11, 1.418943852089938108e-11, 2.832443643325759621e-12, 3.785759614421345072e-12, 6.765912582184862192e-12
1.856000000000000000e+03, 3.480668070712441748e-14, 1.595720776761459257e-11, 3.398656692671072834e-12, 5.432750644604563216e-12, 1.586149844072099296e-11, 1.334175913334289134e-11, 1.250105830260837580e-11, 2.946380934060731595e-12, 3.882686321186539238e-12, 6.989537938920100428e-12
1.857000000000000000e+03, 3.638518262518713559e-14, 1.629895620801418428e-11, 3.429497474849828383e-12, 5.582684369115699957e-12, 1.530170690080452166e-11, 1.264791211094161029e-11, 1.864955067122130146e-11, 3.039933224330855511e-12, 3.997078901882061611e-12, 7.133542690594325002e-12
1.858000000000000000e+03, 3.144872382140327042e-14, 1.627188298649110061e-11, 3.594861224521739954e-12, 5.715913559765609954e-12, 1.458354288570806661e-11, 1.384657277782899730e-11, 1.537053062539650981e-11, 3.145058612919270243e-12, 4.044723682422245044e-12, 7.253659887541794379e-12
1.859000000000000000e+03, 2.740377800299954589e-14, 1.637836402978808085e-11, 3.656186124773032403e-12, 5.757564993493683679e-12, 1.446056345863877857e-11, 1.485321059421586628e-11, 1.284022121726677114e-11, 3.248579070361952007e-12, 4.004589178567016394e-12, 7.182358805556267713e-12
1.860000000000000000e+03, 2.247037395707743127e-14, 1.655083292566245105e-11, 3.517374333453912743e-12, 5.831829879005703430e-12, 1.490096375698612885e-11, 1.395487920901125223e-11, 1.240772822849051343e-11, 3.344753877676259342e-12, 4.015819852415670374e-12, 7.044272801656897933e-12
1.861000000000000000e+03, 1.849480421361576913e-14, 1.645679102054988017e-11, 3.498685226693883312e-12, 5.997264369513620720e-12, 1.360499423227073683e-11, 1.297125481470247990e-11, 1.209798000288536684e-11, 3.248352215579109605e-12, 4.163133915899991097e-12, 6.961394376525723924e-12
1.862000000000000000e+03, 2.269662767644683342e-14, 1.655040975719955974e-11, 3.586661640864543533e-12, 6.034188779893797867e-12, 1.345596693891956625e-11, 1.358023641086865468e-11, 1.241363003878821537e-11, 3.250175274945850254e-12, 4.182438365470122410e-12, 6.939419308026856388e-12
1.863000000000000000e+03, 3.404165000167415106e-14, 1.663731821564127433e-11, 3.576292162132556050e-12, 5.959463430055341063e-12, 1.321926565624097916e-11, 1.475413041110631224e-11, 1.425931778955426125e-11, 3.232116420925022870e-12, 4.136576389485561904e-12, 6.899651065421690171e-12
1.864000000000000000e+03, 4.558734792375638750e-14, 1.676092629566731886e-11, 3.653871166285769712e-12, 5.934952560624446857e-12, 1.279608179262445413e-11, 1.772338045451941701e-11, 1.647737869727126997e-11, 3.230002157748090331e-12, 4.173892081723970744e-12, 6.763829782388634251e-12
1.865000000000000000e+03, 4.497459342977868149e-14, 1.666702522965527554e-11, 3.665747043289559601e-12, 5.779781056765467857e-12, 1.258156950598352061e-11, 1.603955194446571758e-11, 1.567822307680043329e-11, 3.225923222303242463e-12, 4.212890677798738764e-12, 6.668287963812588299e-12
1.866000000000000000e+03, 3.604245572072081369e-14, 1.526352687600101002e-11, 3.635955816484078862e-12, 5.797702194816025458e-12, 1.219705030402205484e-11, 1.533038027387570737e-11, 1.363966726836341546e-11, 3.211032252926255609e-12, 4.259521434459015508e-12, 6.613161680005967641e-12
1.867000000000000000e+03, 2.928516616620829119e-14, 1.533462338153273106e-11, 3.663088102181469155e-12, 5.810744091881130483e-12, 1.211891911999768313e-11, 1.601425929199402063e-11, 1.436418021248954878e-11, 3.211556185114807255e-12, 4.317854010307048188e-12, 6.488527769148322346e-12
