year, EC-Earth3-Veg, MPI-ESM1-2-LR
1.850000000000000000e+03, 6.884332833542551251e-11, 1.035989068747374213e-10
1.851000000000000000e+03, 6.446543311840143574e-11, 1.252573359764925117e-10
1.852000000000000000e+03, 7.117992340351150553e-11, 1.101104982182458514e-10
1.853000000000000000e+03, 7.967911652406970886e-11, 1.505697314968091832e-10
1.854000000000000000e+03, 6.757093543927922334e-11, 9.910613246226277416e-11
1.855000000000000000e+03, 5.591320744776349664e-11, 1.007736246365420444e-10
1.856000000000000000e+03, 7.425380799748109598e-11, 1.081611791882352041e-10
1.857000000000000000e+03, 7.650131097618581415e-11, 1.107500251520531806e-10
1.858000000000000000e+03, 7.547041528443459622e-11, 1.128718357482158185e-10
1.859000000000000000e+03, 7.166950976254883344e-11, 7.722334069347097174e-11
1.860000000000000000e+03, 7.254563494114729313e-11, 9.387352654352273938e-11
1.861000000000000000e+03, 6.818347432854596066e-11, 1.287067044358500188e-10
1.862000000000000000e+03, 6.798480310318906989e-11, 1.168048515767049355e-10
1.863000000000000000e+03, 7.879826541860500026e-11, 1.256417707813875248e-10
1.864000000000000000e+03, 7.067292222456846638e-11, 1.386766439508893122e-10
1.865000000000000000e+03, 6.560780616248021221e-11, 1.190460121382237321e-10
1.866000000000000000e+03, 7.320413896735425220e-11, 1.016641003666072514e-10
1.867000000000000000e+03, 7.244025449670042723e-11, 1.260307397948906577e-10
1.868000000000000000e+03, 6.548565078049596793e-11, 7.306633974681337201e-11
1.869000000000000000e+03, 7.625257615032478229e-11, 1.037954905920983127e-10
1.870000000000000000e+03, 7.998963427709972323e-11, 1.242606738235937377e-10
1.871000000000000000e+03, 6.966397632549372554e-11, 1.097857702773859879e-10
1.872000000000000000e+03, 6.907352597655198239e-11, 1.202975329723675195e-10
1.873000000000000000e+03, 7.992093876489554639e-11, 1.121587885255122394e-10
1.874000000000000000e+03, 8.163629230246760640e-11, 8.397736802208359918e-11
