year, TaiESM1, GFDL-ESM4, ACCESS-ESM1-5, UKESM1-0-LL, IPSL-CM6A-LR, NorESM2-MM, CMCC-CM2-SR5, CNRM-ESM2-1, MPI-ESM1-2-LR, MIROC-ES2L, NorESM2-LM, INM-CM4-8, INM-CM5-0, EC-Earth3-Veg, CanESM5, CESM2-WACCM
1.850000000000000000e+03, 1.693918652766750910e+00, 4.469465371957642930e+00, 4.388070226498153481e+00, 5.570898471194598578e+00, 1.746873156216020906e+00, 1.282874592082167364e+00, 1.375814000740190002e+00, 5.584563222658490922e+00, 2.368744121907887301e+00, 4.059548028313752610e+00, 1.387554805726182172e+00, 6.493275897178969025e+00, 7.624913431779114958e+00, 5.484794923388319532e+00, 5.446485315001041272e+00, 1.532556268106484820e+00
1.851000000000000000e+03, 1.695602885994074160e+00, 4.384605977053703363e+00, 4.342059303195074271e+00, 5.569101547523769291e+00, 1.760770832656386453e+00, 1.267815719710374545e+00, 1.394460509849728025e+00, 5.608575501463011648e+00, 2.388704759917400722e+00, 4.056197353587686294e+00, 1.382618975376038062e+00, 6.531359750570906009e+00, 7.552244469968874441e+00, 5.582383934282561633e+00, 5.440074781170388007e+00, 1.488995507622364656e+00
1.852000000000000000e+03, 1.775193709012709897e+00, 4.326721489689415279e+00, 4.294521338583927594e+00, 5.606312533106939888e+00, 1.751163468977484872e+00, 1.264551609754019923e+00, 1.291368838276395481e+00, 5.616361715318621606e+00, 2.359861939528941743e+00, 4.122824017333946323e+00, 1.368585012977206805e+00, 6.501692568814418038e+00, 7.493314013599670531e+00, 5.687321417787368993e+00, 5.411345515621174052e+00, 1.426290686911326544e+00
1.853000000000000000e+03, 1.685767128084960875e+00, 4.385542192017958918e+00, 4.303773920032061717e+00, 5.621696236778127798e+00, 1.738569815594515733e+00, 1.230133441417780915e+00, 1.247885163827893829e+00, 5.560726049273002403e+00, 2.443084672983754757e+00, 4.111377778218810342e+00, 1.362990528779861599e+00, 6.426438967254196832e+00, 7.506591335384489305e+00, 5.638303999715816417e+00, 5.411298276179866917e+00, 1.450279430647726464e+00
1.854000000000000000e+03, 1.710272712194079725e+00, 4.395664851447533827e+00, 4.374696425153945967e+00, 5.606400110066263487e+00, 1.762138957012794105e+00, 1.246994215371641346e+00, 1.308115717634658726e+00, 5.585715550145840425e+00, 2.381441561879868107e+00, 4.067900981365812463e+00, 1.336441670135455340e+00, 6.430466092694410385e+00, 7.461432079955897301e+00, 5.411490194700792067e+00, 5.420544681163701028e+00, 1.465632352322806753e+00
1.855000000000000000e+03, 1.725844915363598187e+00, 4.339687333999835417e+00, 4.435053395740526483e+00, 5.596790138296980466e+00, 1.771629620758447432e+00, 1.281896710406603246e+00, 1.289323057345793444e+00, 5.563764741306814088e+00, 2.341177361420440306e+00, 4.083009639592307671e+00, 1.363291366756008927e+00, 6.484189094613658000e+00, 7.448500692175777260e+00, 5.137093712734981388e+00, 5.408133281138200132e+00, 1.521130820452008203e+00
1.856000000000000000e+03, 1.734223647080621156e+00, 4.336764635087270392e+00, 4.452974005450359485e+00, 5.635338161917883504e+00, 1.750197670597380961e+00, 1.246057781058770297e+00, 1.190846230529326588e+00, 5.569376889885347737e+00, 2.326800910776221976e+00, 4.094235261973570239e+00, 1.312855171540618704e+00, 6.458704029807742941e+00, 7.390858293421305625e+00, 5.147928717559446810e+00, 5.366707530422032413e+00, 1.534968526390657839e+00
1.857000000000000000e+03, 1.767745644186376364e+00, 4.367741147593575235e+00, 4.398659234050849243e+00, 5.656256709255662152e+00, 1.750058885367268280e+00, 1.183007831239546892e+00, 1.294477190556271973e+00, 5.561871104352285045e+00, 2.331193550960104943e+00, 4.159796406198786656e+00, 1.351911462322642032e+00, 6.373212086734025839e+00, 7.312381564039283077e+00, 5.386280360154215074e+00, 5.323693525143300853e+00, 1.555079375281014586e+00
1.858000000000000000e+03, 1.762529287150417012e+00, 4.385697655097683167e+00, 4.323201025374910245e+00, 5.644864825591067614e+00, 1.754899535621975648e+00, 1.199117947610324642e+00, 1.361836095961928228e+00, 5.535927274303254819e+00, 2.338911506236220017e+00, 4.167541805528466980e+00, 1.293840551635612846e+00, 6.329129328978691404e+00, 7.342120924241882562e+00, 5.363867119705775011e+00, 5.302931343352390137e+00, 1.528860066378209703e+00
1.859000000000000000e+03, 1.665026179895777059e+00, 4.436247307226405034e+00, 4.263498667754756610e+00, 5.613946694578538121e+00, 1.737126536944127109e+00, 1.182957511890260216e+00, 1.213287491467183177e+00, 5.553566922409806317e+00, 2.247753718576488424e+00, 4.189597970393056592e+00, 1.282294995293562057e+00, 6.374598123129661786e+00, 7.408886271394244716e+00, 5.398598537061030100e+00, 5.292145112469254009e+00, 1.430320250423854800e+00
1.860000000000000000e+03, 1.663336816187097611e+00, 4.493411613670144078e+00, 4.216492959149621633e+00, 5.541446263475215517e+00, 1.720645796997377852e+00, 1.165276452386039718e+00, 1.247741576996625357e+00, 5.566231547925491796e+00, 2.239080373447393857e+00, 4.229314350712889414e+00, 1.222818719480834870e+00, 6.341428225349863723e+00, 7.458523587937607502e+00, 5.387575851778892755e+00, 5.278783078372597970e+00, 1.421239321988783555e+00
1.861000000000000000e+03, 1.810970446443098458e+00, 4.493062823710545217e+00, 4.177337580103671399e+00, 5.501769139378251516e+00, 1.732665119491459293e+00, 1.149736469436247965e+00, 1.361474441863126827e+00, 5.524985920858807908e+00, 2.298433896027141099e+00, 4.266399026094729763e+00, 1.219084816210940447e+00, 6.364388288883750633e+00, 7.427773121547682322e+00, 5.415414221321239729e+00, 5.291889816071728703e+00, 1.392580167797155877e+00
