year, CMCC-CM2-SR5, CanESM5, NorESM2-LM, TaiESM1, MPI-ESM1-2-LR, CNRM-ESM2-1, GFDL-ESM4, ACCESS-ESM1-5, MIROC-ES2L, CESM2-WACCM, IPSL-CM6A-LR, UKESM1-0-LL, NorESM2-MM, EC-Earth3-Veg
1.850000000000000000e+03, 4.649334424208784178e-01, 1.267674315390127093e+00, 3.835099184301901110e-01, 4.212378280139774112e-01, 9.975044477774339668e-01, 6.096624466561628708e-01, 4.597248839734478509e-01, 8.483188328878531470e-01, 5.885549041919992952e-01, 4.881012853997406808e-01, 3.682271513763669679e-01, 8.552028064694262577e-01, 4.014314034370892736e-01, 1.310075360796567612e+00
1.851000000000000000e+03, 4.651193595797643576e-01, 1.192873543230063005e+00, 4.383762998030384384e-01, 4.027360852498391708e-01, 1.027013450705893893e+00, 6.266776066879788942e-01, 4.467245692019715109e-01, 8.358522960752980957e-01, 6.044112271332071629e-01, 4.177079307554211751e-01, 3.993106219194226258e-01, 8.331924426345568291e-01, 4.056829912189037768e-01, 1.379689493241041287e+00
1.852000000000000000e+03, 4.749203025473824336e-01, 1.230571405936179641e+00, 4.078370255410183054e-01, 3.816882135496638684e-01, 1.003486730005276328e+00, 6.109487815735259453e-01, 4.515074745896228703e-01, 8.107628375926168030e-01, 5.913403074710592566e-01, 3.875079996552379114e-01, 3.880612493888647707e-01, 9.291730909748647793e-01, 3.585859832764768940e-01, 1.357553419545358686e+00
1.853000000000000000e+03, 5.289116870442200913e-01, 1.283873879688219422e+00, 3.951648923986821882e-01, 4.158677607709925783e-01, 1.163830380614172322e+00, 5.729848538202491071e-01, 4.576908761084508837e-01, 8.038698919300460988e-01, 5.917141794537380539e-01, 4.868202220183646678e-01, 3.769275635480518472e-01, 8.514280883139837552e-01, 3.582906143955341127e-01, 1.513437069911471644e+00
1.854000000000000000e+03, 4.945632273987809469e-01, 1.248386730907927511e+00, 3.571587140477369138e-01, 3.839486440250096111e-01, 9.590948487887035467e-01, 6.060993999600285953e-01, 4.420560290968685857e-01, 8.116988921990455630e-01, 5.877975583717636177e-01, 5.204006746497020774e-01, 3.972504372491484359e-01, 8.239288990668748314e-01, 4.578553756201182434e-01, 1.562530559119923224e+00
1.855000000000000000e+03, 4.784938105184797785e-01, 1.181500000205778500e+00, 3.764993907083678537e-01, 3.988488127157562291e-01, 9.231046446126822680e-01, 5.766140054876344179e-01, 4.568675176594720888e-01, 8.425878243728264216e-01, 6.033835044671215231e-01, 5.388308201381629692e-01, 4.117864857718441796e-01, 8.419176173295486176e-01, 4.073052438584151003e-01, 1.464101471776912966e+00
1.856000000000000000e+03, 5.191601327784116648e-01, 1.143748465646487578e+00, 3.607384621303112993e-01, 4.029407522163642175e-01, 9.995086456689772358e-01, 5.776687965095431698e-01, 4.681227731623758825e-01, 8.508771549074435336e-01, 6.000494805429891221e-01, 5.259117896436504846e-01, 3.918896004013675549e-01, 9.124641958175269130e-01, 3.476619779063989668e-01, 1.237546552319464421e+00
1.857000000000000000e+03, 5.158820205478578114e-01, 1.203034562864591317e+00, 4.094841180802214486e-01, 4.075517348231158521e-01, 1.107522014718195669e+00, 6.040322985221360241e-01, 4.498703735489978928e-01, 8.522964352230316676e-01, 6.142462028167138266e-01, 5.041354818915723124e-01, 3.963520042448399616e-01, 8.636788596736905133e-01, 3.801864690948622005e-01, 1.374024222879344448e+00
1.858000000000000000e+03, 4.542908189821373011e-01, 1.220718873065955279e+00, 3.670599022726759308e-01, 3.977848592825349305e-01, 9.158264259227912873e-01, 5.727839810723668323e-01, 4.476587294110453419e-01, 8.409432639948014598e-01, 6.027351373756393293e-01, 4.608697709033559575e-01, 3.958230433010676563e-01, 8.252268450335445982e-01, 3.710358540147570827e-01, 1.558272653033498267e+00
1.859000000000000000e+03, 4.915116300345162559e-01, 1.229235990497930864e+00, 3.493711826193974801e-01, 4.287040755680584514e-01, 8.460323046248786616e-01, 6.262765749579812802e-01, 4.699605268991733364e-01, 8.236921410341782046e-01, 6.050552454317511542e-01, 4.600215140606757069e-01, 3.907267408527608232e-01, 8.075768856772347348e-01, 3.575233951230796792e-01, 1.490546291927681732e+00
1.860000000000000000e+03, 4.746230357489977236e-01, 1.228182868165978547e+00, 3.212764982292887206e-01, 3.970809982966110874e-01, 8.635922922814814884e-01, 6.135244313608645417e-01, 4.751038600877655060e-01, 8.047085558674859085e-01, 6.068239478415320409e-01, 4.653586971146077556e-01, 3.815396827305185812e-01, 7.411510226464933515e-01, 3.788763838112405580e-01, 1.422450504317729791e+00
1.861000000000000000e+03, 4.878316135190254310e-01, 1.211791523711222673e+00, 3.314295353899043839e-01, 3.711635291884812782e-01, 1.038406073704585486e+00, 5.568094036015143189e-01, 4.625488440245255628e-01, 8.077362480067447059e-01, 5.970575658937363750e-01, 4.533447077553901527e-01, 3.872817303601461814e-01, 7.729703327298230731e-01, 3.217931012817493164e-01, 1.511349964639722154e+00
1.862000000000000000e+03, 4.673330136969449100e-01, 1.287435733208039057e+00, 3.845464234327731212e-01, 4.200252449666345145e-01, 9.811920489111463084e-01, 5.629906872265141304e-01, 4.509826016612185628e-01, 7.840020959127931288e-01, 5.937922857108265395e-01, 4.302376829930139590e-01, 3.740135045890540244e-01, 8.632862102044918107e-01, 3.633626679169268958e-01, 1.459045482916810466e+00
