year, MPI-ESM1-2-LR, UKESM1-0-LL, IPSL-CM6A-LR, EC-Earth3-Veg, NorESM2-LM, CESM2-WACCM, TaiESM1, NorESM2-MM
1.850000000000000000e+03, 5.591309480764405394e-11, 6.728690201685466077e-11, 1.576812059981001762e-10, 1.268903683263827674e-10, 1.179766746018998939e-11, 4.047627764696768060e-12, 1.877234665503163562e-12, 1.040742735107000891e-11
1.851000000000000000e+03, 5.862873148576649963e-11, 7.017491767430917282e-11, 1.702827066193710812e-10, 1.148698583840730595e-10, 1.119375880301637617e-11, 9.783250767348476727e-12, 1.639266213956292844e-12, 9.327286303856764157e-12
1.852000000000000000e+03, 6.311740581796050089e-11, 7.423795469498160410e-11, 1.560636900742152902e-10, 1.362931558280002136e-10, 1.015584771498361027e-11, 9.124452565513355384e-12, 1.600568768506859802e-12, 9.143981571838516183e-12
1.853000000000000000e+03, 6.991861115999153779e-11, 7.457162683825096688e-11, 1.510127291786757128e-10, 1.385163542040529515e-10, 9.012191011770122132e-12, 1.202973826763968653e-11, 1.509612762548894781e-12, 8.222753833892494571e-12
1.854000000000000000e+03, 7.079317055337801666e-11, 7.343207985204881871e-11, 1.750345014939767740e-10, 1.196689451068744401e-10, 7.689696451271703567e-12, 1.091038871179352514e-11, 1.446490003145801018e-12, 7.913310052303303360e-12
1.855000000000000000e+03, 6.870240837271976451e-11, 6.987115084949217299e-11, 1.581470264818622723e-10, 1.126181549975177949e-10, 7.306882389698388207e-12, 1.041285008071030166e-11, 1.393107057255370811e-12, 7.530192903147252901e-12
1.856000000000000000e+03, 6.520081920657660245e-11, 8.258112407237873345e-11, 1.480701634658066085e-10, 1.338939653916074875e-10, 6.890166368130561312e-12, 9.196262709383980123e-12, 1.350316313975099653e-12, 7.313855619017360075e-12
1.857000000000000000e+03, 6.731856140350596289e-11, 7.864254544160620429e-11, 1.574544738343338897e-10, 1.301208148638013235e-10, 6.569302445388809871e-12, 1.148528278313019234e-11, 1.320568541794428168e-12, 6.806011796526896633e-12
1.858000000000000000e+03, 7.157495828134186936e-11, 6.743175891123529458e-11, 1.656447580303080038e-10, 1.382107500914615802e-10, 6.544388305357948493e-12, 1.069658715441153206e-11, 1.292940660900944281e-12, 6.386715912275616491e-12
1.859000000000000000e+03, 6.266005258956659448e-11, 5.589061006701425410e-11, 1.714911854246404049e-10, 1.347909716088143454e-10, 6.514751421214065319e-12, 9.200215209816347215e-12, 1.263486679088858175e-12, 6.322228510694677264e-12
1.860000000000000000e+03, 5.636467260284350027e-11, 5.358667610871707789e-11, 1.574186687402855132e-10, 1.279944162084349663e-10, 6.465484582493781213e-12, 9.744074467394388356e-12, 1.238032701846141990e-12, 5.874881863716789920e-12
1.861000000000000000e+03, 6.170735960926163141e-11, 5.442219472779403261e-11, 1.713873996535313555e-10, 1.264491678410794997e-10, 6.816479602047227408e-12, 1.049468826960407973e-11, 1.313191624010216712e-12, 5.980846418798592074e-12
1.862000000000000000e+03, 7.418275548127509983e-11, 6.781892993504570146e-11, 1.561260359108647434e-10, 1.301634098038602355e-10, 6.961831395750400026e-12, 1.149846004695565090e-11, 1.447833014691532258e-12, 6.096035687605710974e-12
1.863000000000000000e+03, 7.079412706350798672e-11, 8.209419564307476114e-11, 1.738034274915834902e-10, 1.368969189896302301e-10, 6.896105251365043366e-12, 1.201654422499108400e-11, 1.428247327133394492e-12, 6.073865641719631425e-12
1.864000000000000000e+03, 7.250411228300523246e-11, 9.320666936178283759e-11, 1.743809275450902796e-10, 1.299602789124026029e-10, 6.634457636958934855e-12, 1.127086016585650545e-11, 1.408742597525296336e-12, 5.973838449285104948e-12
1.865000000000000000e+03, 7.255728076401406326e-11, 8.123526183190071829e-11, 1.550991645378325967e-10, 1.353842827911787706e-10, 6.535718042211294846e-12, 1.312970231370913430e-11, 1.392385697938835175e-12, 5.949792341427927291e-12
1.866000000000000000e+03, 7.151088978421468975e-11, 7.018795932939925281e-11, 1.779531757948366300e-10, 1.321677810735599823e-10, 6.462490637080728306e-12, 1.334798652716272790e-11, 1.377320050777391105e-12, 5.768628386634982444e-12
1.867000000000000000e+03, 7.054688723939546310e-11, 6.263635457746997705e-11, 1.814264134603108158e-10, 1.340231284005461227e-10, 6.485947051339701961e-12, 1.277952245881179094e-11, 1.366109858774333732e-12, 5.599122295197849999e-12
1.868000000000000000e+03, 6.922375116832795394e-11, 5.576647027995290924e-11, 1.815134515545289163e-10, 1.376685514195550007e-10, 6.475546507140425206e-12, 1.212138718412581952e-11, 1.349578044475880545e-12, 5.193428413848465864e-12
1.869000000000000000e+03, 6.285379278356915584e-11, 6.642873150542473273e-11, 2.024839803360048798e-10, 1.410737903180953685e-10, 6.488283287702322981e-12, 1.088548272507802290e-11, 1.333728195305004010e-12, 5.070152532998141016e-12
1.870000000000000000e+03, 6.209243972743684275e-11, 5.354638050509668604e-11, 1.729142973490010903e-10, 1.399733367653224913e-10, 6.187258764358164033e-12, 1.763691089407602037e-11, 1.319933693001183969e-12, 5.044781945560810592e-12
