year, GFDL-ESM4, MPI-ESM1-2-LR, CNRM-ESM2-1, MIROC-ES2L, TaiESM1, ACCESS-ESM1-5, INM-CM5-0, CanESM5, NorESM2-MM, EC-Earth3-Veg, UKESM1-0-LL, NorESM2-LM, IPSL-CM6A-LR, CMCC-CM2-SR5, INM-CM4-8, CESM2-WACCM
1.860000000000000000e+03, 2.879218811841960814e+02, 2.883962824031124228e+02, 2.880868389081699092e+02, 2.912318480718430465e+02, 2.905373871985923984e+02, 2.876962456198090763e+02, 2.879070591232357970e+02, 2.859624801810305712e+02, 2.886783596818374917e+02, 2.858581965918231163e+02, 2.880631278575886540e+02, 2.891631795329157057e+02, 2.853282779527068556e+02, 2.887118124375076604e+02, 2.877583923341785521e+02, 2.894063459821924766e+02
1.861000000000000000e+03, 2.871535341862303881e+02, 2.879377000340182917e+02, 2.871874905552579094e+02, 2.908866381232098206e+02, 2.899201077695713593e+02, 2.881099135652942209e+02, 2.877476502943002288e+02, 2.867419177581124359e+02, 2.892257267449355140e+02, 2.872475109829230178e+02, 2.878814513140635540e+02, 2.894455646402169577e+02, 2.861162029083348557e+02, 2.886297944267759021e+02, 2.872265205021311658e+02, 2.889320929214824218e+02
1.862000000000000000e+03, 2.875872902844222381e+02, 2.883694613430036497e+02, 2.876851899931298817e+02, 2.916331026121515606e+02, 2.894964883738645653e+02, 2.874600629794410906e+02, 2.877744413461387012e+02, 2.864168553021256116e+02, 2.887225161820971380e+02, 2.867186361994233152e+02, 2.879769695308635846e+02, 2.890759694111056888e+02, 2.852999894123326499e+02, 2.885282583757951897e+02, 2.880423305968694763e+02, 2.889917723052710699e+02
1.863000000000000000e+03, 2.875350666801666080e+02, 2.886216836610750534e+02, 2.875872711358805986e+02, 2.913441406221978127e+02, 2.898488881651556426e+02, 2.878253151228663000e+02, 2.872691458015657417e+02, 2.867216557213408805e+02, 2.884386241886908238e+02, 2.866050338187602051e+02, 2.880637025549650048e+02, 2.895180306547650844e+02, 2.852823409039993976e+02, 2.882090432912791016e+02, 2.879173291766786633e+02, 2.890611957336979003e+02
1.864000000000000000e+03, 2.879111045023715292e+02, 2.891954959025317748e+02, 2.878487107128888169e+02, 2.913079905196121331e+02, 2.899000398092925366e+02, 2.874799363470690423e+02, 2.879426781244948188e+02, 2.865640246614842681e+02, 2.886523439982512400e+02, 2.869982121550528973e+02, 2.883772886431581242e+02, 2.893737507865355383e+02, 2.853703175741185305e+02, 2.879215122890912539e+02, 2.878391573007592683e+02, 2.888013011762058682e+02
1.865000000000000000e+03, 2.880745036284211551e+02, 2.894011577187192756e+02, 2.883163865079731067e+02, 2.918023136902962733e+02, 2.902899943999319134e+02, 2.879911571398591263e+02, 2.880105376437746258e+02, 2.857343297799986885e+02, 2.887444159086292075e+02, 2.862968532007218982e+02, 2.880195835573619547e+02, 2.897463311634697902e+02, 2.856218240390998062e+02, 2.882536527551459926e+02, 2.875266316820082011e+02, 2.889689471178272697e+02
1.866000000000000000e+03, 2.878409061408429466e+02, 2.888630929414447337e+02, 2.879999900346581967e+02, 2.915223797880135521e+02, 2.902484334734085110e+02, 2.875653850378697030e+02, 2.876374352792649347e+02, 2.865403480878395044e+02, 2.887383668825199265e+02, 2.865839738938040568e+02, 2.880960290564792103e+02, 2.894046426221826209e+02, 2.858737288942435839e+02, 2.878746471730847247e+02, 2.876695449954197557e+02, 2.890207630214404730e+02
1.867000000000000000e+03, 2.876881037263955818e+02, 2.890980967308163940e+02, 2.882338410544701901e+02, 2.911674379178246568e+02, 2.896324886136641794e+02, 2.874639483189523048e+02, 2.869930249813953083e+02, 2.870664821291908311e+02, 2.897107019133181325e+02, 2.869090920688870483e+02, 2.882483989332863530e+02, 2.895678678765176528e+02, 2.858532060949680726e+02, 2.884637360788506726e+02, 2.880519691326022098e+02, 2.898656057809231470e+02
1.868000000000000000e+03, 2.872577746900940383e+02, 2.886186897667612357e+02, 2.884093749100136961e+02, 2.904271358047944886e+02, 2.901011960973459622e+02, 2.877763803451728677e+02, 2.870883849537125343e+02, 2.864422443422429865e+02, 2.884211120669851880e+02, 2.868334347678463701e+02, 2.882282142368446785e+02, 2.898506719545337091e+02, 2.862004006425441958e+02, 2.890010559712616214e+02, 2.875772190172612000e+02, 2.894605634414509154e+02
1.869000000000000000e+03, 2.875720831903766452e+02, 2.884392753473564994e+02, 2.877125159113759310e+02, 2.912107613693170265e+02, 2.897191885794335917e+02, 2.876620611980242188e+02, 2.874889871879104248e+02, 2.869914508428952900e+02, 2.885469630571322455e+02, 2.860303055066754041e+02, 2.875307607909365970e+02, 2.892636967829511718e+02, 2.853636314371203184e+02, 2.890130513991347243e+02, 2.879115311822209264e+02, 2.889777184259904743e+02
