year, GFDL-ESM4, CNRM-ESM2-1, NorESM2-LM, NorESM2-MM, TaiESM1
1.870000000000000000e+03, 7.846951675908614160e-11, 8.539402532721827053e-11, 9.198324811894047105e-11, 8.467719014878367643e-11, 3.357104641532909458e-11
1.871000000000000000e+03, 5.682733140021915435e-11, 9.210281846356271247e-11, 1.025001698352822607e-10, 7.924425019407359365e-11, 2.458026470672388463e-11
1.872000000000000000e+03, 8.574116655809849472e-11, 1.018111345222501382e-10, 6.940117617493106487e-11, 7.145172047905531260e-11, 3.036847219076703363e-11
1.873000000000000000e+03, 7.750006084907754351e-11, 1.060143783234317147e-10, 1.172038899471387157e-10, 1.034182140986514401e-10, 2.785080210295363299e-11
1.874000000000000000e+03, 5.472040133472881785e-11, 1.099675859002077791e-10, 1.018553667510463642e-10, 5.971970164901294313e-11, 3.024768167375338628e-11
1.875000000000000000e+03, 8.630984436800148516e-11, 1.301464749979956107e-10, 9.412043059626286604e-11, 7.621591678180288401e-11, 2.453780927572973124e-11
1.876000000000000000e+03, 1.062491848414765834e-10, 1.027605949638244096e-10, 1.554886797464264243e-10, 7.639049765270821714e-11, 2.356847480886077890e-11
1.877000000000000000e+03, 8.265571394064991676e-11, 1.032430093708214454e-10, 1.642789875093231922e-10, 8.710700407254136097e-11, 2.386379630138121678e-11
1.878000000000000000e+03, 4.045616331971401483e-11, 1.131528275607219834e-10, 7.988259193134612553e-11, 9.072974651269878508e-11, 2.579148184031337872e-11
1.879000000000000000e+03, 6.590644070552750401e-11, 1.096649710187154326e-10, 8.928678001297795828e-11, 1.008531562569178058e-10, 2.491547193592628905e-11
1.880000000000000000e+03, 5.592967774378613276e-11, 8.699047872666090677e-11, 8.625940261457797793e-11, 6.024261304517363181e-11, 3.105371176958780247e-11
1.881000000000000000e+03, 7.896034813554941343e-11, 9.769757502090887553e-11, 9.548614228607173636e-11, 6.374529702590023232e-11, 2.668137902971864110e-11
1.882000000000000000e+03, 1.097436691256625181e-10, 9.540929744940478209e-11, 7.785907144390565171e-11, 5.803224734903664369e-11, 2.267562631124677884e-11
1.883000000000000000e+03, 5.555727340956064678e-11, 1.296710935145237189e-10, 1.005894165435017460e-10, 9.306558714808316589e-11, 3.063039531845337249e-11
1.884000000000000000e+03, 9.000610433683449284e-11, 1.031643355239804257e-10, 1.038906307995106371e-10, 9.273318837102019705e-11, 2.809824021971972786e-11
1.885000000000000000e+03, 6.949100409534750184e-11, 1.213518371116970613e-10, 8.259408077806435867e-11, 7.023866067600673485e-11, 2.664418721083357942e-11
1.886000000000000000e+03, 7.987351077901117272e-11, 1.080539193826131790e-10, 1.012680210807573761e-10, 6.390950528026187851e-11, 3.391279371754462625e-11
1.887000000000000000e+03, 5.836206144708096226e-11, 1.040781565799762125e-10, 9.562638791204982031e-11, 7.749746111973513544e-11, 3.018633940224741221e-11
1.888000000000000000e+03, 4.952907956542234568e-11, 1.114750733540236523e-10, 9.094095551039166051e-11, 8.583054064315725450e-11, 2.564304147588863129e-11
