year, IPSL-CM6A-LR, CESM2-WACCM, ACCESS-ESM1-5, INM-CM5-0, GFDL-ESM4, NorESM2-LM, CanESM5, TaiESM1, UKESM1-0-LL, MPI-ESM1-2-LR, CMCC-CM2-SR5, MIROC-ES2L, EC-Earth3-Veg, INM-CM4-8, NorESM2-MM, CNRM-ESM2-1
1.850000000000000000e+03, 8.961342284815623227e-01, 6.302848181126462501e-01, 8.012550389789769856e-01, 7.755175508300520271e-01, 7.704367284477136035e-01, 6.090561636729137085e-01, 7.036679930956798446e-01, 5.579682277709093752e-01, 5.410984370199860560e-01, 6.680235003117860337e-01, 7.349579112608315423e-01, 9.359356524164992308e-01, 5.636888809530631317e-01, 7.430420067757411706e-01, 5.707557457272892654e-01, 9.925378611432568166e-01
1.851000000000000000e+03, 1.049884598489331466e+00, 4.846421204618600043e-01, 8.085871294025296363e-01, 6.402065618534925617e-01, 6.826665377499285814e-01, 5.655031696003167685e-01, 6.136047759763090248e-01, 7.631880673460665898e-01, 6.150428137241497062e-01, 6.592991197554728400e-01, 6.326949676577267034e-01, 9.074610466490772298e-01, 5.086362962565281753e-01, 6.793924785475856654e-01, 5.174042080975485014e-01, 9.814484774092524511e-01
1.852000000000000000e+03, 8.744456357249461576e-01, 4.804135400225466590e-01, 9.027746650867559675e-01, 7.815352553374681488e-01, 8.311261357613537459e-01, 5.304123891230013710e-01, 6.957097474397797576e-01, 5.089888270983667917e-01, 6.476668469219410973e-01, 7.558219886846022639e-01, 5.929615515934222314e-01, 7.076497448325587136e-01, 6.442407559952383345e-01, 6.261910186473667039e-01, 5.162997048672041123e-01, 1.015307329998144548e+00
1.853000000000000000e+03, 9.519808571383375773e-01, 6.640856307376850065e-01, 8.619551722470500943e-01, 7.331734715622800769e-01, 9.384343409341820985e-01, 5.148391511003772569e-01, 7.195059051061845068e-01, 6.597942177242470674e-01, 6.409985974006957576e-01, 7.414496700058970102e-01, 6.133877747344924636e-01, 7.782200000417212049e-01, 5.064305805880372491e-01, 6.004489998537112516e-01, 4.903391694567976744e-01, 8.396807667698025224e-01
1.854000000000000000e+03, 9.931847293811825184e-01, 6.538973096184912404e-01, 1.041782294485514848e+00, 7.128235173526483726e-01, 6.278185768942947664e-01, 4.962006477258060211e-01, 6.927895918983500989e-01, 7.281045623831036151e-01, 4.541561723164184716e-01, 6.016705626361350534e-01, 6.997867580150309852e-01, 8.633123694865433295e-01, 4.533758294963962099e-01, 6.312339836503311208e-01, 6.714463829771383230e-01, 1.004246433366245750e+00
1.855000000000000000e+03, 8.862436269738600547e-01, 7.307073611178130923e-01, 8.940489609729532772e-01, 7.650054777887052015e-01, 8.508424376847214532e-01, 5.188619474281239707e-01, 5.472688262543043969e-01, 5.272021337504777527e-01, 7.157580490562368558e-01, 6.174136915897239231e-01, 5.711549656104932815e-01, 8.970616387220020638e-01, 5.574823545116028845e-01, 7.251068083672721487e-01, 5.997954059696517515e-01, 9.330484520873875143e-01
1.856000000000000000e+03, 1.042710132081747565e+00, 6.563640504318216662e-01, 8.522082364220897599e-01, 7.254357104550887003e-01, 8.534439003851507222e-01, 4.736210547895069456e-01, 4.730820653222051475e-01, 6.623137742457434474e-01, 6.512965455302602846e-01, 7.117754576584809367e-01, 6.117738151134841651e-01, 8.383647796445142797e-01, 5.727241188544623940e-01, 5.539929692564207198e-01, 4.197625237955420197e-01, 8.978719256451986874e-01
1.857000000000000000e+03, 7.935198292972192036e-01, 6.584505933432484026e-01, 8.237459330119246692e-01, 7.137719277144956020e-01, 8.414329868808030355e-01, 5.998485370099619907e-01, 5.913410207752577419e-01, 6.692164201288598457e-01, 6.415418152872579549e-01, 8.744839725892367133e-01, 7.154145856677690540e-01, 9.556099389809035172e-01, 5.440841568063818912e-01, 6.005243866151162013e-01, 5.189232691839534839e-01, 9.871752484215714496e-01
1.858000000000000000e+03, 8.483568762670363750e-01, 5.857270335270888806e-01, 8.358696655008204246e-01, 7.495642791355128232e-01, 9.012445527684959101e-01, 4.566555921475901059e-01, 5.672649793264844531e-01, 6.396575117734323301e-01, 4.964920046231895978e-01, 6.440772485429484551e-01, 5.710687129148148689e-01, 7.813945981166090515e-01, 5.616889538712429575e-01, 6.104280299774066387e-01, 5.556092106412974241e-01, 8.958906341526585715e-01
1.859000000000000000e+03, 9.734017358137158071e-01, 5.158306102267781190e-01, 8.245050455831777203e-01, 8.447141260118882222e-01, 9.336322071878899731e-01, 4.397843429018591377e-01, 5.871125541768672518e-01, 4.553932847024382835e-01, 5.147704511054255194e-01, 6.184223541758855358e-01, 6.224846893952535876e-01, 9.303611936298791241e-01, 5.654600699422891452e-01, 6.871667495995543717e-01, 5.140718910394858066e-01, 1.159500981887713777e+00
