year, CNRM-ESM2-1, INM-CM4-8, UKESM1-0-LL, MIROC-ES2L, TaiESM1, INM-CM5-0, GFDL-ESM4, CMCC-CM2-SR5, ACCESS-ESM1-5, NorESM2-MM, MPI-ESM1-2-LR, CESM2-WACCM, IPSL-CM6A-LR, EC-Earth3-Veg, CanESM5, NorESM2-LM
1.850000000000000000e+03, 1.522436913501299706e-02, 1.320502844304168588e-01, -2.219129608978608753e-02, -1.175318945076902766e-01, -6.119398386026047437e-02, -2.432221780730956483e-03, -5.006947325855457681e-02, 7.853677529600711082e-02, -1.653997496928235472e-02, -3.985205866614237313e-02, -7.364896474016754957e-02, 2.632590759805447048e-03, 5.344330888033677757e-02, 8.428040353300300658e-02, -3.192106324818923258e-02, 6.565523781441931495e-02
1.851000000000000000e+03, 7.966698167776236836e-03, 5.011954793528172747e-02, -1.419923710901381617e-03, 7.658981929793166887e-02, 3.964907430188741727e-02, -2.101149819181918621e-01, -1.316381388555011578e-01, -6.981115610522640666e-03, -1.031650902809353731e-01, -1.384977401390539292e-02, 5.912028170078519052e-02, -3.058617277790590117e-02, -5.386684759924505357e-03, 2.859244755195344267e-01, 1.474802595813039241e-02, 2.912868079844940089e-02
1.852000000000000000e+03, 2.042508064990155095e-02, -3.296057956474985479e-02, 4.279793423282177850e-02, 3.966354210012977555e-02, 4.479311128431068441e-03, -1.079675299337521342e-02, -2.240969495985620230e-02, -5.899455166087668595e-02, -3.625081812510318191e-02, 3.983811255242258181e-02, 2.411710990207285160e-03, -3.408691934632708531e-02, -2.806559803072313647e-02, 3.448584715212202889e-01, -5.928301341401984170e-02, -1.869982821753719132e-02
1.853000000000000000e+03, -6.246983401185057100e-02, -9.536645133099258542e-02, 3.541463164643898071e-02, -6.397137592566444486e-02, -4.939377254960695962e-02, -8.053012402395383351e-02, 7.577544839238049834e-02, -5.956437947908807540e-02, 5.922362126353537815e-02, 5.724255413827288551e-03, 1.096481466230784241e-01, 2.002585419164729791e-02, -1.749577806061579366e-02, -2.801846271678951616e-01, -2.419913948645749033e-02, -1.764195978388898717e-02
1.854000000000000000e+03, 5.719893858894754823e-02, -3.777801276298221878e-02, -3.727347237049410261e-02, -2.051028138764861286e-02, 4.202767260097083762e-02, -8.972186766379627865e-02, -5.108669407487776565e-02, -1.936063653558660607e-04, 1.229262542898832827e-01, 7.507186159305964147e-03, -8.214255424658566118e-02, -8.155723578261893369e-03, 5.611060750906796818e-02, -7.481998463233461294e-01, 1.002227520115575587e-02, -3.697825029493181231e-02
1.855000000000000000e+03, -1.347002664154654458e-02, 1.479279591241955683e-01, 5.028673367699872804e-02, 5.440020193316642827e-02, -1.805156854460674559e-02, -9.773069727064111201e-02, -4.018717258325562453e-02, -5.194761374336551163e-02, 7.099580378658641722e-02, 3.316542245591947574e-02, -3.781204486478600968e-02, 4.012087819785097736e-02, -1.233873415268156928e-02, -3.939560715636401117e-02, 7.517968518391476319e-03, 5.108094744431653650e-02
1.856000000000000000e+03, 1.970046180510510656e-02, -8.334925535692422338e-02, 3.107532755790447937e-02, -2.619526652528017877e-02, 2.990957749937420140e-02, -1.738287019513542753e-01, -1.969642597922724100e-03, -1.008824955592009381e-01, 4.376770778101507151e-03, -2.937052606508691599e-02, -1.729082757043735874e-02, 6.714410189087680926e-03, -2.572701490738935406e-02, 5.548161911144181557e-01, 4.403715108996463651e-02, -2.525930458447389615e-02
1.857000000000000000e+03, -9.931834047803596646e-03, -1.411045977246163097e-01, 7.624053950907538901e-02, 6.788877516238879528e-02, -3.893275842735619430e-03, -1.935353453552610681e-01, 2.198076744783911129e-02, 6.291327369233655487e-02, -1.167921776863574124e-01, -1.000350826426996270e-01, -3.554315922047856374e-02, 5.442908035166924008e-02, -1.124672058714377976e-02, 8.550704349024815243e-02, -5.437841878763458731e-02, 5.440879401369555501e-02
1.858000000000000000e+03, -4.196928869079095958e-02, -1.580357147920133931e-01, -4.876534686432961591e-02, -2.809514161314434835e-02, 1.117912775805108075e-02, 4.029402532442539348e-03, -1.081590968582118138e-02, -2.010276050777166576e-02, -8.335452622042195669e-02, 4.098101365313652766e-02, 8.039688513854668928e-02, -9.679553095260792772e-03, 6.210705995333078069e-04, -9.853209562987197412e-02, -3.404941422805348589e-02, -9.331346182108313236e-02
1.859000000000000000e+03, 2.908159606460210961e-02, 1.409887847458929921e-01, -4.436441070997342723e-02, 3.921954597731831110e-02, -9.378706196861716360e-02, 8.666796656859560022e-02, 9.559575589668545259e-02, -6.232310576307278221e-02, -1.098418205626064126e-01, -2.157420168319143169e-02, -1.095684852698784462e-01, -1.230726943369325199e-01, -3.386418417500299677e-02, 3.330498065467506902e-02, -1.876450887822098471e-02, -9.202958386417294662e-03
1.860000000000000000e+03, -5.329950848183279003e-04, -1.696613361215249804e-01, -1.224764053854156681e-01, 6.614485130874865615e-02, 4.848287365391486942e-02, 7.186190283056843875e-02, 2.555034333940495520e-02, 1.419155685981505696e-02, -6.714425715031224762e-02, -2.880283331676626243e-02, -5.843323267845462743e-02, -2.390864699635090670e-02, -1.642994432605625679e-02, 1.734887560766376277e-02, -4.675937771380193897e-02, -8.178305473422817218e-02
1.861000000000000000e+03, 6.065067149594180950e-04, 8.430372944416696102e-02, -2.734051992008662210e-02, 6.526811308703132919e-02, 9.979143820294418543e-02, -1.251046395416050283e-01, -1.491867750934057664e-02, 8.196310242649595956e-02, -6.967482578208392119e-02, -8.390219411659150320e-03, 1.082924393058507240e-01, -1.829398159421205539e-02, 4.101813930462393926e-03, -2.390185910587640239e-01, 4.331431208034885322e-02, -4.595009634492235040e-02
1.862000000000000000e+03, 3.019175891248391738e-02, -1.142816286393935447e-02, 4.831282726502825892e-02, -1.540543603434332484e-02, -5.087122924209582647e-02, 1.629482202459099638e-02, -6.254592897153472830e-02, 1.797801137561313642e-02, -1.770030041083339332e-03, -2.921696670264563658e-02, 3.805248957734597842e-02, -1.017639493681276631e-02, -3.591189698928868440e-02, 7.024773649396584552e-02, -4.520989432769475375e-02, 7.561511401185913583e-02
1.863000000000000000e+03, -6.688319504612699751e-02, 1.483100752690712926e-02, 6.385631335297124733e-02, -9.744731470791016814e-03, -4.811123790328274141e-02, -5.823641177677105207e-02, -3.184338204540472506e-02, -5.542834756353194614e-02, 6.886549466639896311e-02, 5.554052314880691260e-03, 4.503421044880485252e-02, -7.376008963283728348e-02, 4.994544356833438559e-02, 2.738794444450000642e-01, -6.472265955086743683e-02, 5.323355576969185377e-02
1.864000000000000000e+03, -1.263113692533882580e-02, 1.070786997121939976e-01, 6.088896715588031777e-02, 5.546707313203440293e-03, -7.782360830285905452e-03, -1.027603073748302037e-01, -6.551832917189394151e-04, -5.666703410098023613e-02, 5.475652036502472175e-02, 7.311647061974849149e-02, 3.128428652990366404e-02, -2.716306627251657835e-02, 1.247889154915615868e-02, -1.626202655311040357e-01, 5.019992302313199678e-02, 5.060511719648240481e-02
1.865000000000000000e+03, -1.202718963883346159e-03, 2.537037516007805901e-02, 5.725794358272505609e-03, 7.084764082011139885e-02, 4.512542320255172323e-02, 1.363259103727196275e-01, -1.681208627847403936e-02, -1.174188720842175501e-03, 5.071671254603783707e-02, 3.494575536108504576e-02, -1.427960963862539429e-02, -1.231095254470400933e-02, -6.390617646153808062e-02, 4.115258423382802885e-03, 6.767162374754862042e-02, -3.027828792257131543e-02
1.866000000000000000e+03, 5.273926201096482136e-02, -7.423083549447931362e-02, -1.231458341751692082e-02, 6.064759818753627518e-02, -2.202827059548062918e-02, 6.134118457815800063e-02, -4.563009861719274918e-02, -1.701197843399328974e-02, 5.617977435351413640e-02, -1.389654904701356081e-02, -5.284552508526557668e-02, 4.854914466953818425e-02, 3.119914759694390055e-02, 1.084212066946971392e-01, -4.883856245980987276e-02, -2.763648794734880482e-02
1.867000000000000000e+03, 4.179191339414672912e-02, 2.377319609284288086e-03, -3.710451969255221943e-02, -7.226433229598894226e-02, 4.096894570650667575e-03, 1.478634673919409503e-01, -5.143423026608447135e-02, -4.765624729613979899e-03, 9.134278013239274796e-02, -6.830638690630409619e-03, -1.913594578221883974e-02, 4.183834365040056680e-02, 2.564880626169763547e-02, -2.161279950131756167e-01, -3.941436675980364290e-02, -1.559862925129645340e-02
1.868000000000000000e+03, 1.196609534755030749e-02, -1.129958992608404295e-01, -3.703785887609303829e-02, -1.835794717755026909e-02, 1.570670944184177076e-02, -1.316353280788559732e-02, -3.594036686280130399e-02, -8.722418089791152129e-02, 6.153197589651830668e-02, -2.243298049631715311e-03, -1.097354499348974360e-01, 4.024807208555245680e-02, -3.346030404993283105e-03, -1.392433265616665194e-01, -4.708898999901729721e-02, -1.466975373854536614e-02
1.869000000000000000e+03, -1.141102326261629000e-03, -8.060923042185448931e-03, 1.498933489317306328e-02, -5.597523532131837981e-02, -3.797976947820216193e-02, 2.978431045554261539e-02, -6.231327186406936808e-03, -8.246354840909887740e-02, -2.030737897976483269e-02, -8.756050770908177516e-02, -8.947841308207140146e-03, -1.175253409577943497e-02, -7.871874565707854751e-03, 2.540160917888610870e-01, 5.608234396780087394e-02, -3.016107937162089414e-02
1.870000000000000000e+03, 3.248154129506425347e-02, -8.135400429161590563e-02, -7.224680291570657886e-02, -2.040210777938752246e-02, -8.119653169383832247e-02, -3.811752193023763835e-02, -3.196360185201324589e-02, -7.612933022336137827e-03, 1.574583748333560282e-02, -1.128051802196584560e-02, 7.445185859215715241e-02, -1.147908197914394510e-02, -2.277124118498694005e-02, 4.888297776449202631e-02, -1.323556999558526785e-02, 1.927638926366008476e-02
1.871000000000000000e+03, 2.318033190715108188e-02, 1.041447291463108993e-01, -2.851363758989249736e-02, 9.875036243740617503e-02, 6.143548643106881701e-02, 1.580786277431939502e-01, 6.288653489925662273e-04, -1.488122867673082571e-02, -6.697787914347956562e-02, -1.786749449339946130e-02, 4.858070853029064842e-03, 4.390361286127721779e-02, -6.075513103998562287e-02, -2.579374697689686413e-01, -6.041381441450340006e-03, 1.715885970327726481e-02
1.872000000000000000e+03, -3.715243590966317566e-02, -5.515794762238924315e-02, 1.374741146291871483e-03, 1.454409296484578396e-01, 1.234045193532244677e-02, 3.257766652451229983e-02, -7.931996594895584368e-03, -6.050019480185183512e-02, -1.356329254405950514e-02, 3.055936163448075282e-02, 5.573277007664494825e-02, -5.747132503114987107e-02, 3.386484541165897533e-02, 2.913390282553826038e-01, -2.138386169514007798e-03, 3.224331196811661832e-02
1.873000000000000000e+03, -4.062356063638592591e-04, 1.904831460936897911e-02, 5.098324419849725730e-02, -7.389144041305442667e-02, 9.123900988945960822e-04, 3.394506962065670097e-02, -2.205169450266369208e-02, 3.097798987457430972e-02, 6.077421274017115460e-02, -5.655959224846675987e-02, -1.383025684751685268e-02, 1.026473729077880502e-02, 4.164475394864519675e-02, 2.225779375878022825e-01, -6.312990105813826025e-02, 2.193744589618980279e-02
