year, NorESM2-LM, IPSL-CM6A-LR, MPI-ESM1-2-LR, CESM2-WACCM, GFDL-ESM4, ACCESS-ESM1-5, EC-Earth3-Veg, NorESM2-MM, TaiESM1, CanESM5, CNRM-ESM2-1, MIROC-ES2L, CMCC-CM2-SR5
1.860000000000000000e+03, 5.286141832485982128e-01, 1.448972264166021651e+00, 7.077433494473760689e+00, 6.329446173596907643e-01, 1.003918829552545411e+00, 1.075776691218228720e+00, 1.533333033043589255e+00, 5.260940975538525022e-01, 1.595456249145502381e-01, 3.939523217899901564e+00, 6.547006965677189427e+00, 3.591693959923988988e+00, 7.257625187461496097e-01
1.861000000000000000e+03, 4.870080520915733291e-01, 1.450056408168338917e+00, 7.056379499210748918e+00, 6.226940364767855618e-01, 1.024071003174514161e+00, 1.058204116981729559e+00, 1.532223742358107321e+00, 5.233448864393427380e-01, 1.357776432437182990e-01, 3.938549684850090937e+00, 6.557835605103814025e+00, 3.593057769970977144e+00, 6.874843652993078980e-01
1.862000000000000000e+03, 4.781876115855173137e-01, 1.454071513795117010e+00, 7.095736782680552857e+00, 6.176297585961032510e-01, 1.037316035450057683e+00, 1.044889482252078450e+00, 1.489713850166032749e+00, 5.344552832318554270e-01, 1.936545293332957163e-01, 3.939769875232912000e+00, 6.566602709479529842e+00, 3.609691919254640169e+00, 7.426031785439970445e-01
1.863000000000000000e+03, 5.064354799302615007e-01, 1.448759433376642036e+00, 7.102104007387015194e+00, 6.111554410573979412e-01, 1.041321841453306085e+00, 1.052842735282129238e+00, 1.467204774055745675e+00, 4.988666626318277730e-01, 1.884476434464436578e-01, 3.863208617646452403e+00, 6.581456435087042145e+00, 3.619495858745772843e+00, 8.239115930753813100e-01
1.864000000000000000e+03, 5.048107986470172781e-01, 1.467288412236895212e+00, 7.107654870773662203e+00, 5.979000941373531219e-01, 1.046612165536558114e+00, 1.070496267943773283e+00, 1.526379781255206902e+00, 4.949838613294385015e-01, 1.663659973680114146e-01, 3.858343739494970670e+00, 6.559887634247832722e+00, 3.615086508575074298e+00, 8.294369639507340741e-01
1.865000000000000000e+03, 5.432272883618947112e-01, 1.475706356347370685e+00, 7.121634917496479034e+00, 5.754324658798458669e-01, 1.053599789204776593e+00, 1.086160674239484258e+00, 1.582305949436946690e+00, 5.338818778281990696e-01, 1.464550152701035168e-01, 3.965780379911836739e+00, 6.543452828063538895e+00, 3.591676386797262754e+00, 8.012383377561625997e-01
1.866000000000000000e+03, 5.699380088406936773e-01, 1.460282738871893748e+00, 7.128978478440222588e+00, 5.709552647843534334e-01, 1.057748262800033867e+00, 1.113347686916318358e+00, 1.517472220965032204e+00, 5.409641076304412266e-01, 1.712652543194786436e-01, 3.970779315125061881e+00, 6.541183324505742469e+00, 3.582914711775907257e+00, 7.810111018897650803e-01
1.867000000000000000e+03, 5.443377387011708590e-01, 1.480011999811715606e+00, 7.101611662293194627e+00, 5.898359465630254039e-01, 1.043758981550850784e+00, 1.143635032447948285e+00, 1.530157520272878324e+00, 5.438497692718816667e-01, 1.674930980886904786e-01, 3.945874093975473063e+00, 6.560546348471356204e+00, 3.601415420740973428e+00, 8.034745410078455441e-01
1.868000000000000000e+03, 5.168484667260739851e-01, 1.491181057240371199e+00, 7.108223983037713190e+00, 6.014672000626751780e-01, 1.031577752518388014e+00, 1.162062877809050709e+00, 1.552904806979901409e+00, 5.558986783047619173e-01, 1.722675833678317114e-01, 3.902532854964130493e+00, 6.585126509887871293e+00, 3.628447826284980859e+00, 8.315206579361099637e-01
1.869000000000000000e+03, 5.521038711451926595e-01, 1.491131392861346550e+00, 7.067873411519623339e+00, 6.449266943164382315e-01, 1.033844366196720488e+00, 1.183019560626631161e+00, 1.488029601671789548e+00, 5.436149345532574895e-01, 1.866653690431214763e-01, 3.933271155252142659e+00, 6.600879363957266044e+00, 3.649710289989771983e+00, 7.894882244162944041e-01
