year, IPSL-CM6A-LR, EC-Earth3-Veg, UKESM1-0-LL, ACCESS-ESM1-5, NorESM2-MM, NorESM2-LM, TaiESM1, MIROC-ES2L, CESM2-WACCM, CNRM-ESM2-1, MPI-ESM1-2-LR, CMCC-CM2-SR5, CanESM5, GFDL-ESM4
1.850000000000000000e+03, 8.638863237122983207e+00, 5.103372451839803148e+01, 5.707227285542364115e+01, 3.394130347451540075e+01, 1.375343729031414242e+01, 1.756500720326546983e+01, 7.184639553178975291e+00, 1.269779138702234533e+01, 1.730094735111487836e+01, 4.670648559599893446e+01, 3.021630063417038059e+01, 5.293249061548496570e+01, 4.035348532373424746e+01, 3.440561549086081694e+00
1.851000000000000000e+03, 8.642778080583152445e+00, 5.100433936820023462e+01, 5.706178285114927462e+01, 3.393885683088500116e+01, 1.375165661623437607e+01, 1.757364706769176266e+01, 7.187936957294868812e+00, 1.270638967662956631e+01, 1.730059184879950962e+01, 4.670029173807427725e+01, 3.020077474750255320e+01, 5.290035046138224573e+01, 4.035592199789121537e+01, 3.426430925098613134e+00
1.852000000000000000e+03, 8.646334830005919514e+00, 5.098338743821415875e+01, 5.703395934062874062e+01, 3.392862096511908021e+01, 1.374923421753125119e+01, 1.758227995630074503e+01, 7.163133005342852577e+00, 1.272774116716948889e+01, 1.730121330699158122e+01, 4.670030747493787970e+01, 3.022184453453040831e+01, 5.289067481666735659e+01, 4.035783117321136615e+01, 3.423396155507274496e+00
1.853000000000000000e+03, 8.644463800390765229e+00, 5.100123450032563710e+01, 5.705404988737038963e+01, 3.392050315324991772e+01, 1.376154197971085402e+01, 1.758729316216047778e+01, 7.180626409805459964e+00, 1.272782290179634046e+01, 1.730447098793976579e+01, 4.670955204267998795e+01, 3.020957463226046258e+01, 5.288944490190288406e+01, 4.037110035380537454e+01, 3.428503116697739550e+00
1.854000000000000000e+03, 8.642349047536480811e+00, 5.103876676152771097e+01, 5.707596267609713436e+01, 3.392254993571155808e+01, 1.377185841328672744e+01, 1.758890908540294973e+01, 7.177646727368929724e+00, 1.271400942308952686e+01, 1.730181611005043862e+01, 4.670748558837427566e+01, 3.022323255001972342e+01, 5.287025366563805306e+01, 4.037360165518330035e+01, 3.422600284279127880e+00
1.855000000000000000e+03, 8.647733709119201251e+00, 5.103304582338117257e+01, 5.708284544504195424e+01, 3.393597476999007512e+01, 1.377385283078226585e+01, 1.758329904815953171e+01, 7.167911758806527978e+00, 1.271051809653411269e+01, 1.729519789479823544e+01, 4.670963042766926776e+01, 3.022807152604475789e+01, 5.284940836566843103e+01, 4.036925438152770340e+01, 3.422273152510831640e+00
1.856000000000000000e+03, 8.651916183382420300e+00, 5.097992645764984587e+01, 5.708905586326361714e+01, 3.394933523767024042e+01, 1.378215171462851174e+01, 1.759047291923786105e+01, 7.170611999818891746e+00, 1.271847901833368333e+01, 1.729212145768068254e+01, 4.671641590484380657e+01, 3.023163745765956989e+01, 5.284431217062851260e+01, 4.035785892214938997e+01, 3.429121434226539922e+00
1.857000000000000000e+03, 8.652294375425716666e+00, 5.097132619652709451e+01, 5.711706960995716287e+01, 3.395661702099341994e+01, 1.379119343916569029e+01, 1.759583849263951549e+01, 7.160335956205282848e+00, 1.272232826527518412e+01, 1.729200968191607402e+01, 4.672186908720637177e+01, 3.023282670181039933e+01, 5.281733935524020040e+01, 4.035541859857003288e+01, 3.432527256722341935e+00
1.858000000000000000e+03, 8.651520875257087795e+00, 5.099669810433164230e+01, 5.714705505295545152e+01, 3.395312954046952569e+01, 1.378435728172143726e+01, 1.760201344644366017e+01, 7.162859167713223840e+00, 1.272436311505765083e+01, 1.729460670657154253e+01, 4.672209695361979698e+01, 3.023394446747237296e+01, 5.277786457170936529e+01, 4.035691458760405936e+01, 3.427761184233721004e+00
1.859000000000000000e+03, 8.650989112619914323e+00, 5.100574922778911002e+01, 5.713811066688627704e+01, 3.394149239898381865e+01, 1.378319304988742111e+01, 1.760067281088308278e+01, 7.182277047639658463e+00, 1.272366571637789256e+01, 1.730623235623674816e+01, 4.671794096800336149e+01, 3.029236329472354328e+01, 5.276974581506848239e+01, 4.036131716085654375e+01, 3.443677960735642696e+00
