year, GFDL-ESM4, MPI-ESM1-2-LR, EC-Earth3-Veg, UKESM1-0-LL, TaiESM1, NorESM2-MM, NorESM2-LM, INM-CM5-0, CNRM-ESM2-1, CESM2-WACCM, IPSL-CM6A-LR, MIROC-ES2L, CMCC-ESM2, CanESM5, INM-CM4-8, ACCESS-ESM1-5
1.860000000000000000e+03, 3.795095699129787392e-01, 5.334992047346803767e-01, 6.151798458573478623e-01, 9.047954868382548366e-01, 2.134521432205512548e-01, 1.753310946188220421e-01, 1.339155541332868737e-01, 5.859749701682362977e-01, 2.795757684940577414e-01, 2.238396658098058545e-01, 1.619567800101568700e-01, 1.758790307256434537e-01, 1.935254022359784443e-01, 1.416356401334274984e-01, 4.371272337378551698e-01, 2.190743480439779345e-01
1.861000000000000000e+03, 3.750781267612362524e-01, 5.701942106167310342e-01, 5.700560386687008041e-01, 9.255182493038122127e-01, 2.606484593428494700e-01, 1.652268580332022507e-01, 1.544225185347173623e-01, 4.989932385224094546e-01, 2.583589315362771477e-01, 2.133289209610179094e-01, 1.686597194905989361e-01, 1.758256543357517576e-01, 1.989165563738205245e-01, 1.500188542028960681e-01, 4.826169520606788943e-01, 2.181789168011544766e-01
1.862000000000000000e+03, 3.550091324357640965e-01, 5.754773609813477186e-01, 6.297734534694960917e-01, 9.584554687195033784e-01, 2.689136625839538275e-01, 1.584501726595719806e-01, 2.192496102248686629e-01, 5.444711927278859109e-01, 2.665281087171330054e-01, 2.008201852884362593e-01, 1.593767890715658830e-01, 1.753629490184830109e-01, 2.267448732989389149e-01, 1.491221910110164806e-01, 4.988165010517462417e-01, 2.266954234978255656e-01
1.863000000000000000e+03, 3.721502580709982189e-01, 5.676826829985072154e-01, 6.513314205271091284e-01, 9.698404288290570774e-01, 2.391224352837182099e-01, 2.039308807519764899e-01, 2.277733792752764108e-01, 4.735054832388346235e-01, 2.468413865215448588e-01, 1.816707209495864728e-01, 1.729325948192476647e-01, 1.725265028469964157e-01, 2.304497839025095307e-01, 1.501268774534821604e-01, 5.013439891069748633e-01, 2.439073789977708739e-01
1.864000000000000000e+03, 3.820455163213783978e-01, 5.826236311585845096e-01, 5.786167738899070656e-01, 9.889067591543795332e-01, 2.332758678865052004e-01, 2.079746466351859169e-01, 2.123491356777506556e-01, 5.258340117690255555e-01, 2.593690565177161345e-01, 2.024702914610560234e-01, 1.797681863547702652e-01, 1.731131190279842358e-01, 2.154771599109057967e-01, 1.451036985580312355e-01, 4.986583398427030245e-01, 2.529552217364138267e-01
1.865000000000000000e+03, 3.778403175684398874e-01, 5.771034431054470337e-01, 6.000697946060162824e-01, 9.711715323685966572e-01, 2.548013275628954188e-01, 2.114207492178928338e-01, 1.799480691692976198e-01, 5.968648235437684635e-01, 2.655143772006428038e-01, 2.103146897662239445e-01, 1.663200837348517147e-01, 1.805321997499078346e-01, 1.921395669889210400e-01, 1.449301810669283153e-01, 4.811665869726824418e-01, 2.542944684176738357e-01
1.866000000000000000e+03, 3.658554551681545974e-01, 5.543370946105580233e-01, 6.906271263429425433e-01, 9.600682617142005659e-01, 2.588053946591172272e-01, 2.174002043144664387e-01, 1.887590584497590429e-01, 5.465249978669921571e-01, 2.984100868071231649e-01, 2.559134660721210097e-01, 1.744384844746925400e-01, 1.910407152877526826e-01, 2.016344273004995746e-01, 1.478491921787831731e-01, 4.793848949941838522e-01, 2.553010359286516651e-01
1.867000000000000000e+03, 3.519451133198113757e-01, 5.706189543960821231e-01, 5.920034948669686825e-01, 9.432942796765942939e-01, 2.521613106214765643e-01, 2.006708968900326462e-01, 1.909081711364918332e-01, 5.678624802995301257e-01, 2.942245046218732174e-01, 2.594383023450966275e-01, 1.776504760828716278e-01, 1.800693929164232654e-01, 2.127078288147670471e-01, 1.464486335523091098e-01, 5.001656590253267254e-01, 2.627530070128554218e-01
1.868000000000000000e+03, 3.529049624197344581e-01, 5.373013053337325484e-01, 5.695426290292088245e-01, 9.472425168640609128e-01, 2.496205042716383993e-01, 1.887052554761083079e-01, 2.095103667079732390e-01, 4.991489088122506024e-01, 2.830464789343251075e-01, 2.653678336878680932e-01, 1.769654185848144878e-01, 1.783626747282109626e-01, 2.195784331477824702e-01, 1.410658902250106206e-01, 4.432864444649823321e-01, 2.660740507457637904e-01
1.869000000000000000e+03, 3.508885096549466676e-01, 5.481219484915079709e-01, 6.781468879871687117e-01, 9.367873389186744948e-01, 2.460325384878622734e-01, 1.484452021260396215e-01, 1.991902162917564001e-01, 5.174876639824810276e-01, 2.721170202611382649e-01, 2.692872663213581319e-01, 1.740983579151108573e-01, 1.671819936018830444e-01, 1.989947942360171529e-01, 1.527512738543725657e-01, 4.863220120387272138e-01, 2.490635204526817359e-01
