year, IPSL-CM6A-LR, UKESM1-0-LL, CNRM-ESM2-1, CESM2-WACCM
1.892000000000000000e+03, -2.264927798552151008e-10, 9.879240648547099128e-11, 1.898979790687392595e-11, 6.468624645697904533e-12
1.893000000000000000e+03, -2.210030021906471663e-10, 6.956740015431496050e-11, 1.975233814335091581e-11, 6.374971844453901521e-12
1.894000000000000000e+03, -2.076302374879195274e-10, 7.940180577583050033e-11, 2.076126317696336907e-11, 6.390030787853060351e-12
1.895000000000000000e+03, -2.231417343642961293e-10, 7.990131349851611770e-11, 1.877671395837395983e-11, 6.304161933265449163e-12
1.896000000000000000e+03, -1.839953054867815558e-10, 7.097372219100347852e-11, 1.894608839685502416e-11, 6.418746650713774447e-12
1.897000000000000000e+03, -1.777976579096056522e-10, 8.675880450539763543e-11, 1.902781985920600758e-11, 6.456695960653306999e-12
1.898000000000000000e+03, -2.164426480118923834e-10, 8.279089068013868874e-11, 1.930395168603466178e-11, 6.496580534496606633e-12
1.899000000000000000e+03, -2.142085115405329354e-10, 8.754498358309378223e-11, 1.963856864229793595e-11, 6.571018232009934215e-12
1.900000000000000000e+03, -2.328334303673622206e-10, 9.335934753319526467e-11, 2.010178533350342260e-11, 6.575066752434748290e-12
1.901000000000000000e+03, -2.198565852951757733e-10, 8.830870093580064798e-11, 2.387353021655074635e-11, 4.476590597519695657e-12
1.902000000000000000e+03, -2.019380411944885695e-10, 7.561896499023028286e-11, 2.598131651920663724e-11, 4.218241334593196019e-12
1.903000000000000000e+03, -1.959990733539333908e-10, 1.006105929477345819e-10, 2.715464464840794769e-11, 3.888013272679559647e-12
1.904000000000000000e+03, -2.109025438573939962e-10, 7.869145370349708457e-11, 2.684574894731753384e-11, 3.703684745827941856e-12
1.905000000000000000e+03, -2.270397083325939033e-10, 9.193547303371999056e-11, 2.654355522732729781e-11, 3.714655455051285085e-12
1.906000000000000000e+03, -2.379258196687694469e-10, 7.222434318007081205e-11, 2.737398061978352563e-11, 3.527433957077638740e-12
1.907000000000000000e+03, -2.208590713552000538e-10, 8.018444198930695213e-11, 2.772574805126377401e-11, 3.490115581076432779e-12
1.908000000000000000e+03, -2.213703887767690706e-10, 8.890362376565903077e-11, 2.840628988520117910e-11, 3.461277354532035390e-12
1.909000000000000000e+03, -2.102578456772960764e-10, 8.459393148306803944e-11, 2.930344636238770077e-11, 3.254589289519568091e-12
1.910000000000000000e+03, -2.249346883405388690e-10, 8.456498824331415652e-11, 2.965246903084880853e-11, 3.196892313902510825e-12
1.911000000000000000e+03, -2.695658287299581217e-10, 7.723729186466025954e-11, 3.367321899468761549e-11, 3.723871218442097427e-12
1.912000000000000000e+03, -2.567161589232614004e-10, 8.965147813134220189e-11, 3.521228664365279162e-11, 3.755314882385398964e-12
1.913000000000000000e+03, -2.722398384001550370e-10, 1.031922076534684532e-10, 3.694659824824925760e-11, 4.009628685954494815e-12
1.914000000000000000e+03, -2.361393724706599242e-10, 9.536689034564038252e-11, 3.883920462390728854e-11, 3.846683591719847733e-12
1.915000000000000000e+03, -2.333844481384521032e-10, 9.217110416512058623e-11, 3.919704679841370573e-11, 3.639863803375992645e-12
1.916000000000000000e+03, -2.628547178151185401e-10, 9.002485373650270188e-11, 4.072284546568510429e-11, 3.463062445579446831e-12
1.917000000000000000e+03, -2.365538199182208225e-10, 7.389516819636789580e-11, 4.276843230513157757e-11, 3.408046289436931535e-12
1.918000000000000000e+03, -2.682695117261459066e-10, 8.537077134161235559e-11, 4.404861894109657521e-11, 3.483529247138395098e-12
1.919000000000000000e+03, -2.526933138135074995e-10, 9.036945858159844773e-11, 4.416931532836895071e-11, 3.575885300552065244e-12
1.920000000000000000e+03, -2.767434175834858827e-10, 8.447184606298652026e-11, 4.434465571466111208e-11, 3.362999881920833218e-12
1.921000000000000000e+03, -2.926082325044072915e-10, 1.002154762724745636e-10, 4.501495831222896477e-11, 2.452203902298070736e-12
1.922000000000000000e+03, -2.708279681374826394e-10, 8.506699555656984564e-11, 4.575194230083344621e-11, 2.685973970043453381e-12
1.923000000000000000e+03, -2.581828227373188332e-10, 8.251200358584969375e-11, 4.674391193170269014e-11, 2.582969676782073452e-12
1.924000000000000000e+03, -2.639892501201522275e-10, 9.434586591988035282e-11, 4.667610334637805571e-11, 2.456202778358716755e-12
1.925000000000000000e+03, -2.797023660370269403e-10, 1.083756226460964407e-10, 4.599577461671046347e-11, 2.581506757426966050e-12
1.926000000000000000e+03, -3.105079697957439296e-10, 9.373352791340479136e-11, 4.631361916376560031e-11, 2.618568353783134034e-12
1.927000000000000000e+03, -2.757565281293892960e-10, 9.507550408193760224e-11, 4.693427240373713483e-11, 2.379207273953563169e-12
1.928000000000000000e+03, -2.824418622365353058e-10, 1.101947026346813858e-10, 4.727130128204335028e-11, 2.406745905498726818e-12
1.929000000000000000e+03, -2.911561755952259095e-10, 8.965750346519236948e-11, 4.820533518553342162e-11, 2.134057845758215261e-12
1.930000000000000000e+03, -3.093727001678186820e-10, 1.097624882426482297e-10, 4.980215336087576030e-11, 2.119919152856469157e-12
1.931000000000000000e+03, -2.898305456126693316e-10, 9.716507292910670997e-11, 1.007948082136856242e-10, 8.951539965911256114e-12
1.932000000000000000e+03, -2.950328541720327013e-10, 8.927608111746717599e-11, 1.013325062979628123e-10, 9.161574384627340891e-12
1.933000000000000000e+03, -3.196555385759204760e-10, 9.333266303202047976e-11, 1.025261457187083973e-10, 9.250356937860557069e-12
1.934000000000000000e+03, -3.579522867508528093e-10, 8.748643532559151440e-11, 1.048963677488211057e-10, 9.173365645614900731e-12
1.935000000000000000e+03, -3.325672049492608742e-10, 7.799711903887761783e-11, 1.073661824982125304e-10, 9.661220139917226105e-12
1.936000000000000000e+03, -3.252270992633532495e-10, 1.095093824184868895e-10, 1.140607698504967042e-10, 9.342941592870898943e-12
1.937000000000000000e+03, -3.545477388096480599e-10, 8.659963871508061894e-11, 1.130471904048046593e-10, 1.042340523008082280e-11
1.938000000000000000e+03, -3.534171831470015125e-10, 7.150392924720061099e-11, 1.193268666981251892e-10, 9.775020214796091626e-12
1.939000000000000000e+03, -4.023975370378577765e-10, 7.696419498560983282e-11, 1.287516666885858419e-10, 9.923396940172285883e-12
1.940000000000000000e+03, -3.415089369874636050e-10, 1.037031842522030300e-10, 1.392087666865934109e-10, 9.881261748670747054e-12
1.941000000000000000e+03, -3.681256176814252843e-10, 1.218770717799486698e-10, 8.252454719867368474e-11, 4.547159608091501709e-12
1.942000000000000000e+03, -3.750138198095055144e-10, 1.137023924258451455e-10, 8.060285786532269861e-11, 4.380223139165852375e-12
1.943000000000000000e+03, -3.705116114472504322e-10, 1.047382218278387694e-10, 7.914020412391390371e-11, 4.090192793317269591e-12
1.944000000000000000e+03, -3.760507412674196251e-10, 1.560286564824937302e-10, 7.809675181029044937e-11, 4.065422403298767233e-12
1.945000000000000000e+03, -3.950938005309928251e-10, 1.396515436311298080e-10, 7.698562756335916238e-11, 4.148174411897921371e-12
1.946000000000000000e+03, -3.533131876131944718e-10, 1.181621271552562197e-10, 7.555532407998187450e-11, 3.665319400914420332e-12
1.947000000000000000e+03, -3.825899663064502676e-10, 1.066916850537422658e-10, 7.460303757483341940e-11, 4.107250887621802345e-12
1.948000000000000000e+03, -3.657428740270650007e-10, 1.113832714336361645e-10, 7.101675538772757218e-11, 3.824938405365920979e-12
1.949000000000000000e+03, -3.655504462409448970e-10, 1.186713115341513148e-10, 6.739707097090554105e-11, 3.766807480680586861e-12
1.950000000000000000e+03, -3.248063654654504750e-10, 1.051202295246102788e-10, 6.446026922810982338e-11, 3.891974681693257839e-12
1.951000000000000000e+03, -3.628434015211820533e-10, 9.547137933214157517e-11, 1.837302151864660488e-10, 1.438931867394131864e-11
1.952000000000000000e+03, -3.610533101166228707e-10, 1.185462237025933225e-10, 1.962174496854067310e-10, 1.504750360170191675e-11
1.953000000000000000e+03, -3.768450437580518985e-10, 1.303079425454209511e-10, 2.105348009165568322e-10, 1.589323858321014141e-11
1.954000000000000000e+03, -3.837023913010371531e-10, 1.588837489515425812e-10, 2.201153995956453903e-10, 1.425718006859886372e-11
1.955000000000000000e+03, -3.930318686075446739e-10, 1.688450929176567759e-10, 2.327629101224526826e-10, 1.449604686075961403e-11
1.956000000000000000e+03, -4.009297035116484531e-10, 1.048956617059997033e-10, 2.388919717521976421e-10, 1.513365679207552383e-11
1.957000000000000000e+03, -4.143702099372476922e-10, 1.215559347736324133e-10, 2.379022879247187090e-10, 1.576412190739160231e-11
1.958000000000000000e+03, -4.405950567311006358e-10, 1.320324447158734807e-10, 2.476641079078935622e-10, 1.642681989238163548e-11
1.959000000000000000e+03, -4.177692568649673917e-10, 1.271334588227632846e-10, 2.466685287822373725e-10, 1.665056670006018660e-11
1.960000000000000000e+03, -4.598771342251250935e-10, 1.464661042234805873e-10, 2.477553286590772691e-10, 1.584786600308796349e-11
1.961000000000000000e+03, -4.942250159894066348e-10, 1.301892289705624054e-10, 1.096721793505789882e-10, 2.257153644723260197e-12
1.962000000000000000e+03, -5.224902481861242306e-10, 1.694414204159215121e-10, 1.026527377575844782e-10, 1.870852965723668193e-12
1.963000000000000000e+03, -4.683496202213188975e-10, 1.847760271591340351e-10, 9.523083297196449650e-11, 1.392392107856161285e-12
1.964000000000000000e+03, -3.957865688405657588e-10, 1.348980716858186241e-10, 8.777913320782835657e-11, 1.489748752840099060e-12
1.965000000000000000e+03, -3.986572998982909205e-10, 1.517799747784284123e-10, 7.971383286487890749e-11, 1.488001917607053708e-12
1.966000000000000000e+03, -4.038392723187918066e-10, 1.728825456285408050e-10, 7.192579369284872870e-11, 1.416807406307211389e-12
1.967000000000000000e+03, -4.339337677700755570e-10, 1.400522165276548002e-10, 6.431043538593564972e-11, 1.365428549460699587e-12
1.968000000000000000e+03, -4.873116381602597529e-10, 1.505995390245080700e-10, 5.667569592004242325e-11, 1.024243734403848046e-12
1.969000000000000000e+03, -4.992754642283733734e-10, 1.684121946949078182e-10, 4.926096015011097775e-11, 9.244009284920149585e-13
