year, TaiESM1, UKESM1-0-LL, CMCC-CM2-SR5, ACCESS-ESM1-5, IPSL-CM6A-LR, CanESM5, NorESM2-LM, CESM2-WACCM, INM-CM4-8, INM-CM5-0, NorESM2-MM, EC-Earth3-Veg, MIROC-ES2L, CNRM-ESM2-1, MPI-ESM1-2-LR, GFDL-ESM4
2.015000000000000000e+03, 1.902910749392053091e+01, 4.528293385955677053e+01, 4.290682808235862211e+01, 6.730520397804976085e+01, 2.291608375772754869e+01, 4.493792164232420561e+01, 5.022221357625453919e+01, 5.957656247431032881e+01, 7.036147930714237475e+01, 7.138288473748171725e+01, 5.454377741715131833e+01, 1.597349686212757902e+01, 4.881226947775760294e+01, 5.743653875686085541e+01, 3.211064834712975369e+01, 8.954613314231936272e+01
2.016000000000000000e+03, 1.911699293520421605e+01, 4.566768138433234725e+01, 4.290356227180045323e+01, 6.748126540229144155e+01, 2.322064123908625888e+01, 4.521760342907814589e+01, 5.036806881229306043e+01, 5.978608173597085340e+01, 7.043996837540274214e+01, 7.146339528938032970e+01, 5.440440782472253289e+01, 1.594182438983567884e+01, 4.904908731041074788e+01, 5.765865811033472710e+01, 3.220359792193566051e+01, 8.980051789264474849e+01
2.017000000000000000e+03, 1.929682483313418473e+01, 4.608739241710198797e+01, 4.318470368708324258e+01, 6.780961488410939353e+01, 2.349757741444639336e+01, 4.546067268457694155e+01, 5.058227786580875573e+01, 5.981377139749185545e+01, 7.067839229495194786e+01, 7.160733905642142361e+01, 5.440985297597156745e+01, 1.605138562299909566e+01, 4.927080015875022667e+01, 5.792961665873118449e+01, 3.231740732699033458e+01, 9.000352553096948327e+01
2.018000000000000000e+03, 1.951142550342191484e+01, 4.648718527980912540e+01, 4.317039689270890790e+01, 6.817224924528495933e+01, 2.387950306077062734e+01, 4.566252167959411423e+01, 5.077608233499886126e+01, 5.982089694215691367e+01, 7.096749523506079527e+01, 7.178713624672531068e+01, 5.461559868782656224e+01, 1.627664312903281996e+01, 4.952808851133492851e+01, 5.819830086956184800e+01, 3.235248037931191334e+01, 9.034523636265016933e+01
2.019000000000000000e+03, 1.965318284384084890e+01, 4.694712573481152162e+01, 4.306163288842466841e+01, 6.841490561405917958e+01, 2.426868464300658701e+01, 4.599642743509197373e+01, 5.097007924574077720e+01, 5.997622177192994286e+01, 7.122425657091677920e+01, 7.189881437792575980e+01, 5.497731529189082522e+01, 1.654982338875811720e+01, 4.963962458999095162e+01, 5.850568290058988197e+01, 3.251831039385655941e+01, 9.063409508262097347e+01
2.020000000000000000e+03, 1.972655030260662912e+01, 4.739022103864343194e+01, 4.309771582329503303e+01, 6.864086950192806569e+01, 2.457202305648776175e+01, 4.646106795966681346e+01, 5.129475905721698581e+01, 6.029903524420371497e+01, 7.131047802957972692e+01, 7.198061979005635180e+01, 5.524425803101556198e+01, 1.662787669549874181e+01, 4.971538956929536113e+01, 5.878407019775243469e+01, 3.259974848181732199e+01, 9.086456799055326883e+01
2.021000000000000000e+03, 1.981077861951639463e+01, 4.772926961364992593e+01, 4.300543571838031198e+01, 6.891348933530535703e+01, 2.497907292566289428e+01, 4.679322540890709092e+01, 5.145179937458829755e+01, 6.043761931595709314e+01, 7.141310052220939042e+01, 7.194814855982329505e+01, 5.527479751618594150e+01, 1.672314567274077746e+01, 4.981714028620918810e+01, 5.900267503565746807e+01, 3.275250219005769026e+01, 9.124638852161682223e+01
2.022000000000000000e+03, 1.989253634990645736e+01, 4.822052235677773524e+01, 4.319561605652543079e+01, 6.920804757194636636e+01, 2.527895920589543977e+01, 4.719623665573798377e+01, 5.144918075402209467e+01, 6.060205202313951389e+01, 7.162227614342855020e+01, 7.202807118729721481e+01, 5.538465024925483249e+01, 1.698572573295570010e+01, 5.010885805321826325e+01, 5.930744826098766964e+01, 3.288694067587622527e+01, 9.167123536802898798e+01
2.023000000000000000e+03, 1.999472934943971580e+01, 4.857169292154230078e+01, 4.323817312338140795e+01, 6.952212329269318047e+01, 2.561480664666476770e+01, 4.778087398636901639e+01, 5.157368687353371683e+01, 6.084432988828738331e+01, 7.165906475106118023e+01, 7.220147579326102516e+01, 5.563363014228702497e+01, 1.711589700355385446e+01, 5.036499985409551527e+01, 5.959696364227959009e+01, 3.307260426125153430e+01, 9.204698983084051633e+01
2.024000000000000000e+03, 2.013965231293369484e+01, 4.898880050583099433e+01, 4.299716085832849188e+01, 6.983770280493386906e+01, 2.590857233172296148e+01, 4.826578312400854287e+01, 5.167769327917449829e+01, 6.098154892967529861e+01, 7.181858456911609778e+01, 7.234144794321932181e+01, 5.559664199283999864e+01, 1.720949486788039451e+01, 5.060384857960872296e+01, 5.997141354407926173e+01, 3.326169247231450754e+01, 9.244279824891890485e+01
