year, UKESM1-0-LL, MPI-ESM1-2-LR, CMCC-CM2-SR5, CESM2-WACCM, ACCESS-ESM1-5, CNRM-ESM2-1, EC-Earth3-Veg, MIROC-ES2L, IPSL-CM6A-LR
2.015000000000000000e+03, 3.925313336681225844e-06, 7.907759918407590849e-01, 4.382726051517334409e-01, 6.871939212290957277e-01, 4.475094693924195344e-01, 6.092935546118121055e-03, 1.041779442376358040e-03, 2.871300160935110202e-01, 9.105973132474946830e-02
2.016000000000000000e+03, 3.626706063165217602e-06, 8.042924379701125170e-01, 4.395439259933678899e-01, 6.899025758249118789e-01, 5.118641617605728111e-01, 5.380353822848676394e-03, 1.034519276017347453e-03, 3.393123994884227335e-01, 1.075848083808980116e-01
2.017000000000000000e+03, 3.400579599975386287e-06, 8.224920551972788596e-01, 4.521805987689607176e-01, 7.181849418980489341e-01, 4.965011457582799159e-01, 4.667261636496366703e-03, 3.539237292102240598e-03, 3.552716961309875798e-01, 1.094097251104979712e-01
2.018000000000000000e+03, 3.201110099723623679e-06, 8.321766115545465858e-01, 4.748162023399321030e-01, 7.380824836600097250e-01, 4.865053309174628415e-01, 3.954650813717928634e-03, 4.318883709377121204e-03, 3.488335111276848477e-01, 1.083136614840286421e-01
2.019000000000000000e+03, 3.015190268133900035e-06, 8.393910626750835657e-01, 4.912981877043388623e-01, 7.470573885651561330e-01, 4.788451264267640783e-01, 2.660377858086168754e-03, 4.179534917392908541e-03, 3.488182362007128945e-01, 1.102542536545512014e-01
2.020000000000000000e+03, 2.846979592752249215e-06, 8.471859214299648499e-01, 5.034882789352005394e-01, 7.565180568203453415e-01, 4.721724611772978308e-01, 2.516612752990721961e-03, 4.044929295650320257e-03, 3.484549514474684639e-01, 1.122860475210083198e-01
2.021000000000000000e+03, 2.703870391592649385e-06, 8.548968254815295653e-01, 5.144984706977561162e-01, 7.652298542071399590e-01, 4.660528979424956586e-01, 2.383939195524883894e-03, 3.914211175329983076e-03, 3.492628188010611923e-01, 1.140674334637885867e-01
2.022000000000000000e+03, 2.568963720746068305e-06, 8.622357349023042072e-01, 5.247608857436205643e-01, 7.730096163993465108e-01, 4.604031503014085480e-01, 2.260561015681399662e-03, 3.788406470658324619e-03, 3.506093144576673537e-01, 1.158195256527999595e-01
2.023000000000000000e+03, 2.442376933085546280e-06, 8.693006797810202135e-01, 5.340804915457241231e-01, 7.795150014094093249e-01, 4.552534988129091631e-01, 2.157746558360187396e-03, 3.668648679562625404e-03, 3.528581961133731570e-01, 1.176378829176451951e-01
2.024000000000000000e+03, 2.321021090683943051e-06, 8.761164590405030594e-01, 5.422173219938573041e-01, 7.854555394249883582e-01, 4.503982897803444074e-01, 2.065822532146954684e-03, 3.553724848152588819e-03, 3.549206408793005307e-01, 1.195304425494434497e-01
2.025000000000000000e+03, 2.225695542941512544e-06, 8.828642989922781403e-01, 5.493795202733412486e-01, 7.913206110630990331e-01, 4.458390177812881494e-01, 1.976273484475044463e-03, 3.443580416149175788e-03, 3.575918730407202095e-01, 1.213951583213152552e-01
2.026000000000000000e+03, 2.160040797057407384e-06, 8.894452716784152502e-01, 5.556379688350071566e-01, 7.968106347408721035e-01, 4.414724446526059332e-01, 1.885189914753613574e-03, 3.335792644011762072e-03, 3.605291039395474018e-01, 1.231371568216484552e-01
2.027000000000000000e+03, 2.085691978866073519e-06, 8.961221340132986546e-01, 5.612682108846125395e-01, 8.022269028986444006e-01, 4.374454455731372482e-01, 1.794833004613809570e-03, 3.233043927775648089e-03, 3.630514015155627550e-01, 1.247393325535044312e-01
2.028000000000000000e+03, 2.007039136176677196e-06, 9.023065018809994786e-01, 5.664825216939963770e-01, 8.072317956457950583e-01, 4.336232785958810676e-01, 1.705604528557870102e-03, 3.134432827804863216e-03, 3.659325752133514853e-01, 1.264347470483431768e-01
2.029000000000000000e+03, 1.939556032602321520e-06, 9.079579686359896540e-01, 5.713690685814621917e-01, 8.119640406669468291e-01, 4.299970121248756216e-01, 1.617373875340763706e-03, 3.040452066029065373e-03, 3.687670581728135777e-01, 1.282452302272819866e-01
2.030000000000000000e+03, 1.872672056444383706e-06, 9.136581945914067360e-01, 5.758384750112843786e-01, 8.165346587880465412e-01, 4.266628871437848636e-01, 1.529556097037144437e-03, 2.951697771424704585e-03, 3.715327684527148233e-01, 1.301967576309361607e-01
2.031000000000000000e+03, 1.785424970488469963e-06, 9.196823291015999713e-01, 5.798748200518574203e-01, 8.204489688525012925e-01, 4.235876866434665211e-01, 1.442187648212461728e-03, 2.867027047781929312e-03, 3.751293225069167181e-01, 1.320819257288529114e-01
2.032000000000000000e+03, 1.718775309982954067e-06, 9.253040370717242613e-01, 5.837199769778235181e-01, 8.249076251209400690e-01, 4.203803545275626719e-01, 1.356249719701270277e-03, 2.786530509101210144e-03, 3.783866634092263315e-01, 1.336859278316192556e-01
2.033000000000000000e+03, 1.661047020531433504e-06, 9.309515712977670665e-01, 5.875233323173146838e-01, 8.304507748441635195e-01, 4.173168323810058644e-01, 1.272100846172187624e-03, 2.709719606111365281e-03, 3.822423324708593140e-01, 1.352910866396422607e-01
2.034000000000000000e+03, 1.614387395219213469e-06, 9.363033429566558485e-01, 5.911707091806455150e-01, 8.357468045461983186e-01, 4.143676578541929945e-01, 1.189539332036930810e-03, 2.636433453364266360e-03, 3.854197724784706458e-01, 1.366789187718444876e-01
2.035000000000000000e+03, 1.565012934265319477e-06, 9.415148603871151822e-01, 5.944941949445295970e-01, 8.397307942217329124e-01, 4.122444979191900449e-01, 1.108923095517322724e-03, 2.567138028610995576e-03, 3.888371563510044093e-01, 1.380577095161774348e-01
2.036000000000000000e+03, 1.512249701039845151e-06, 9.461632337015380978e-01, 5.973566630995349458e-01, 8.435681664824561388e-01, 4.094045715190549606e-01, 1.025882683872857528e-03, 2.501123938245104067e-03, 3.919607619120215602e-01, 1.399485633569574339e-01
2.037000000000000000e+03, 1.470395795391679077e-06, 9.511156649561622878e-01, 6.000965299220297755e-01, 8.472818820735759093e-01, 4.066225978198169111e-01, 9.446384426972377320e-04, 2.437759710263015349e-03, 3.957217136150879555e-01, 1.415659128707998371e-01
2.038000000000000000e+03, 1.428922443166215797e-06, 9.561189865375462338e-01, 6.028727291058872950e-01, 8.512573877158550184e-01, 4.039405785114864589e-01, 8.651804058266596110e-04, 2.376836296191900660e-03, 3.993590139030646635e-01, 1.431573442418740405e-01
2.039000000000000000e+03, 1.392878822257273001e-06, 9.607953229303967113e-01, 6.056649349799809734e-01, 8.544411267797323850e-01, 4.012955778959229058e-01, 7.874442915151574907e-04, 2.318674516209493722e-03, 4.026353729364916534e-01, 1.448833815030713679e-01
