year, UKESM1-0-LL, MPI-ESM1-2-LR, CMCC-CM2-SR5, CESM2-WACCM, ACCESS-ESM1-5, CNRM-ESM2-1, EC-Earth3-Veg, MIROC-ES2L, IPSL-CM6A-LR
2.040000000000000000e+03, 1.371867205238980063e-06, 9.652282252838052523e-01, 6.085528557828615570e-01, 8.568892500125766531e-01, 3.989367834181885564e-01, 7.132068205537053611e-04, 2.262903331423776580e-03, 4.053659931540661288e-01, 1.463196110689281293e-01
2.041000000000000000e+03, 1.361044929889807691e-06, 9.697995563432472155e-01, 6.113002220836804002e-01, 8.593251214284756134e-01, 3.966229746053106520e-01, 6.437350481475686030e-04, 2.209501162449786262e-03, 4.097273550912615692e-01, 1.482062023386871707e-01
2.042000000000000000e+03, 1.343699770581613434e-06, 9.744475010092268352e-01, 6.140586144152941905e-01, 8.623537915368009177e-01, 3.944545294407364455e-01, 5.738149854838932393e-04, 2.161725341665745800e-03, 4.128957361251721636e-01, 1.496871873427670641e-01
2.043000000000000000e+03, 1.329141502026532564e-06, 9.787364200435589856e-01, 6.167008653010576102e-01, 8.650157323156327793e-01, 3.923071333163440366e-01, 5.054623576884455195e-04, 2.115756412047189224e-03, 4.155925782970263938e-01, 1.509374277159042654e-01
2.044000000000000000e+03, 1.315726499437366570e-06, 9.827270653059226868e-01, 6.192285517755472535e-01, 8.674871047117976852e-01, 3.900810123604991908e-01, 4.218109458173239308e-04, 2.069635727407233197e-03, 4.133835250490456859e-01, 1.512464858436731729e-01
2.045000000000000000e+03, 1.296584400701570239e-06, 9.863450809246137041e-01, 6.223761930444724477e-01, 8.676022366430407029e-01, 3.884755631050936242e-01, 3.689378322671124405e-04, 2.020659529585765168e-03, 4.135873548378950493e-01, 1.520547508152680083e-01
2.046000000000000000e+03, 1.277879265908183789e-06, 9.898005766671497119e-01, 6.258180227970185916e-01, 8.680774969470897995e-01, 3.863349343827828242e-01, 3.126899237467324275e-04, 1.973652875752795154e-03, 4.144513291088537943e-01, 1.530941066554894203e-01
2.047000000000000000e+03, 1.269200946503643567e-06, 9.934685075115838870e-01, 6.286100336066774430e-01, 8.687420450097840252e-01, 3.842495349613204159e-01, 2.567051945940098810e-04, 1.928863871352189032e-03, 4.154522989944352540e-01, 1.542372220984979392e-01
2.048000000000000000e+03, 1.260010045078217056e-06, 9.966101572113008622e-01, 6.309469608757386494e-01, 8.694379118087007807e-01, 3.822341114003517393e-01, 2.004160120282427412e-04, 1.886233259894464203e-03, 4.157833441740479419e-01, 1.549414404458544781e-01
2.049000000000000000e+03, 1.243802885335633884e-06, 9.998558440851900153e-01, 6.329855759351333822e-01, 8.700543645646480195e-01, 3.803475489623411865e-01, 9.365197285548469003e-05, 1.845950905013410198e-03, 4.171327475197674217e-01, 1.557184230812359016e-01
2.050000000000000000e+03, 1.234727342738121966e-06, 1.000962545703217188e+00, 6.346525887151343026e-01, 8.708532142335444481e-01, 3.786810426409924490e-01, 8.622086506435846869e-05, 1.807979222023949062e-03, 4.198656101465000345e-01, 1.548187784302923198e-01
2.051000000000000000e+03, 1.243156321150139837e-06, 1.000303025417598857e+00, 6.315848435268304195e-01, 8.689376909242370051e-01, 3.766786552555415613e-01, 8.061427624045908018e-05, 1.788557529924906554e-03, 4.229192067187241277e-01, 1.557868586014046486e-01
2.052000000000000000e+03, 1.266205397022255829e-06, 9.991240789774095132e-01, 6.244421525802963391e-01, 8.672381803207167561e-01, 3.748358600855308254e-01, 7.595148866301613044e-05, 1.773004543676398072e-03, 4.257785046683699726e-01, 1.563945476485877062e-01
2.053000000000000000e+03, 1.270296427371705369e-06, 9.985459949834737392e-01, 6.174930104662941233e-01, 8.656686928532854042e-01, 3.729056809956003415e-01, 7.344060727858678025e-05, 1.754402870646481951e-03, 4.288888183100016405e-01, 1.575895386460663683e-01
2.054000000000000000e+03, 1.272118886901090134e-06, 9.979586718842419213e-01, 6.110946596043778101e-01, 8.645109978267070394e-01, 3.710371724492589895e-01, 7.209841855829151453e-05, 1.738012253306775012e-03, 4.319209991462854559e-01, 1.585925967704331918e-01
2.055000000000000000e+03, 1.279846032605278648e-06, 9.975363098803721185e-01, 6.056468344660047576e-01, 8.633576198990808859e-01, 3.692048024988727750e-01, 7.146136939276473421e-05, 1.723437883804435425e-03, 4.344568740092903947e-01, 1.596681770555332947e-01
2.056000000000000000e+03, 1.278298687116895530e-06, 9.971575655107665082e-01, 6.009938859177212933e-01, 8.621382747250078138e-01, 3.676177102638778504e-01, 7.002105371320959282e-05, 1.709704650951548131e-03, 4.347715361277175172e-01, 1.609911657760700054e-01
2.057000000000000000e+03, 1.280700272903504429e-06, 9.977600895622071864e-01, 5.972882744457079784e-01, 8.609191172923120750e-01, 3.660220516061593043e-01, 6.900575640143272096e-05, 1.695332185114229850e-03, 4.366371149865589385e-01, 1.626159890517695494e-01
2.058000000000000000e+03, 1.282351319516444152e-06, 9.983850840573561536e-01, 5.948102672590620532e-01, 8.594214008989693454e-01, 3.645341864213362815e-01, 6.773109039188091659e-05, 1.694371260924355544e-03, 4.381011291757705428e-01, 1.641037738479694530e-01
2.059000000000000000e+03, 1.287367161149389869e-06, 9.989616209575266081e-01, 5.930992838156414759e-01, 8.579164950009251500e-01, 3.630014245307780496e-01, 6.723677541737648562e-05, 1.694259732886586314e-03, 4.384920767157424737e-01, 1.659201258733523643e-01
2.060000000000000000e+03, 1.286914036279943969e-06, 1.000078217546275905e+00, 5.918433257385067314e-01, 8.564962841101586566e-01, 3.614256644123814421e-01, 6.662027888595017716e-05, 1.691673880717912970e-03, 4.390414117402534067e-01, 1.672679803645749363e-01
2.061000000000000000e+03, 1.305031832095843322e-06, 1.001292611681860345e+00, 5.908552378115975445e-01, 8.553707798076118918e-01, 3.597603227814671900e-01, 7.345566117318406713e-05, 1.690959469969425697e-03, 4.391410020772241185e-01, 1.689157239739150773e-01
2.062000000000000000e+03, 1.312504250782114746e-06, 1.002591846900927619e+00, 5.903798918799411100e-01, 8.542584311176802947e-01, 3.582238664718049304e-01, 8.017532550433176480e-05, 1.693334575684313052e-03, 4.394413327923449852e-01, 1.703658182075601657e-01
2.063000000000000000e+03, 1.314685974909666834e-06, 1.003682726106999823e+00, 5.902702573821654308e-01, 8.538134004699605706e-01, 3.564478331229398167e-01, 8.639327568861506867e-05, 1.696610288355983711e-03, 4.400785383868941469e-01, 1.716683350882344250e-01
2.064000000000000000e+03, 1.320967903202594048e-06, 1.004610387287156792e+00, 5.899082398518995518e-01, 8.534050688680888674e-01, 3.549135394987468217e-01, 9.212581022195955483e-05, 1.700404205636843686e-03, 4.415588894281260446e-01, 1.727919359808703093e-01
2.065000000000000000e+03, 1.332565075282866020e-06, 1.005439557612932022e+00, 5.895688330257290444e-01, 8.527572180875315766e-01, 3.541425900891972955e-01, 9.750089921975127081e-05, 1.703193249074155596e-03, 4.430998889878289826e-01, 1.740373655603606462e-01
2.066000000000000000e+03, 1.334645064357692158e-06, 1.006231662922105308e+00, 5.891754324543834187e-01, 8.520484386466301574e-01, 3.551789353011680639e-01, 9.717218887704393948e-05, 1.706379448566326066e-03, 4.443572231391895166e-01, 1.749723144456635515e-01
2.067000000000000000e+03, 1.341234100494364424e-06, 1.007025721714560840e+00, 5.886297775593537507e-01, 8.511485787326733554e-01, 3.557672155993397700e-01, 9.682406735407311771e-05, 1.710989914995329720e-03, 4.457814433652305119e-01, 1.759704749359373155e-01
2.068000000000000000e+03, 1.341448058104942546e-06, 1.007710877202403044e+00, 5.883503956046022276e-01, 8.512400671760688153e-01, 3.560881300568289887e-01, 9.593435465944912736e-05, 1.718086668118314541e-03, 4.472250464622326005e-01, 1.771792650980315853e-01
2.069000000000000000e+03, 1.347789492160147074e-06, 1.008351274776934536e+00, 5.879969082114494539e-01, 8.471591073661941529e-01, 3.562857548643602601e-01, 9.503306068642501127e-05, 1.723814074416722512e-03, 4.491625366100568950e-01, 1.777604892200681241e-01
2.070000000000000000e+03, 1.350059932142470437e-06, 1.008571793323020938e+00, 5.871459670322823898e-01, 8.413481847484703957e-01, 3.561338067258404405e-01, 9.371520202781319993e-05, 1.729205407201313835e-03, 4.505505526547282091e-01, 1.784790459076890934e-01
2.071000000000000000e+03, 1.330714525531543336e-06, 1.008925106412799755e+00, 5.860263499483447935e-01, 8.363244940766927371e-01, 3.559928204245134675e-01, 9.180216733763537935e-05, 1.735582418345015150e-03, 4.515443856827403568e-01, 1.790394671272579619e-01
2.072000000000000000e+03, 1.316133428815898466e-06, 1.009068499611183389e+00, 5.846210868071525235e-01, 8.355701864133699974e-01, 3.556581493205343003e-01, 9.056240429436886185e-05, 1.742395503283938928e-03, 4.515991993705932295e-01, 1.795058125675736971e-01
2.073000000000000000e+03, 1.310783041223552120e-06, 1.011103661553956590e+00, 5.831085979400386643e-01, 8.309260868798470367e-01, 3.555592012102189448e-01, 8.944775584772558092e-05, 1.749775287786613622e-03, 4.242176573499725767e-01, 1.824660020905135571e-01
2.074000000000000000e+03, 1.311359066130083731e-06, 1.011847968294512512e+00, 5.907815307940166294e-01, 8.326845868615434521e-01, 3.551630734823544300e-01, 8.892040308220331237e-05, 2.285917844425203096e-03, 4.172867911132464580e-01, 1.786522542166480987e-01
2.075000000000000000e+03, 1.306051289384475973e-06, 1.010563784764622053e+00, 6.006147115407636239e-01, 8.280763599416904874e-01, 3.548839355837744014e-01, 8.955907991146493802e-05, 2.240388606039883917e-03, 4.112077865428508949e-01, 1.778204293867562957e-01
2.076000000000000000e+03, 1.275025952379164541e-06, 1.009150467577683674e+00, 6.042145388204085421e-01, 8.235662504413615581e-01, 3.543938852873176337e-01, 8.181968765222140340e-05, 2.190161779179215003e-03, 4.056211786469965941e-01, 1.770735095850082264e-01
2.077000000000000000e+03, 1.243511356146254153e-06, 1.007899915017242298e+00, 6.065919378967048470e-01, 8.183533507626370440e-01, 3.540478465928114105e-01, 7.488439704169617527e-05, 2.140698135363433910e-03, 4.016608627505808271e-01, 1.761400223338198123e-01
2.078000000000000000e+03, 1.232019603833162656e-06, 1.006650221421040214e+00, 6.069380102921950737e-01, 8.133890806143474483e-01, 3.535462822578070985e-01, 6.844472760214233840e-05, 2.093657446832517671e-03, 4.083499448576932700e-01, 1.761394386687538394e-01
2.079000000000000000e+03, 1.223923743316501791e-06, 1.005145611481514045e+00, 6.068740369258587286e-01, 8.084835613998792025e-01, 3.530669749068981456e-01, 6.292296609596219976e-05, 2.071496261817532859e-03, 4.014829750537454167e-01, 1.749239009944449641e-01
2.080000000000000000e+03, 1.211216395127985846e-06, 1.003515055936166522e+00, 6.058943427351548561e-01, 8.037370243934878200e-01, 3.524388431417989076e-01, 5.776014175121788296e-05, 2.026176344987650618e-03, 3.977538307305941712e-01, 1.742293450981202418e-01
2.081000000000000000e+03, 1.186416369145746805e-06, 1.001916946857422941e+00, 6.038155253154683377e-01, 7.994351656847011878e-01, 3.515794137395725216e-01, 5.456810634809279071e-05, 1.982615143987579744e-03, 3.955573598344011010e-01, 1.735732592999418011e-01
2.082000000000000000e+03, 1.170717116473780373e-06, 1.000383449299417249e+00, 6.009213056595552604e-01, 7.973931414144748153e-01, 3.507210198251414779e-01, 5.168670170002203468e-05, 1.940442595976019742e-03, 3.933831108717844027e-01, 1.728609483858187246e-01
2.083000000000000000e+03, 1.157895319390348806e-06, 9.987036633337897928e-01, 5.976580253322466563e-01, 7.924853949688699384e-01, 3.498728856473990456e-01, 4.928487535380021868e-05, 1.899899417714427533e-03, 3.917205264835484924e-01, 1.719302961588526635e-01
2.084000000000000000e+03, 1.145452714216293120e-06, 9.968997156830931017e-01, 5.940966768778900287e-01, 7.879896678028089907e-01, 3.491466644486720949e-01, 4.766587567665056779e-05, 1.860748348073259844e-03, 3.898896251425852388e-01, 1.709614391386009291e-01
2.085000000000000000e+03, 2.288903597617811896e-06, 9.953246547814460499e-01, 5.907472890023951484e-01, 7.838188593845749619e-01, 3.483109697645924707e-01, 4.742756452696700076e-05, 1.823736205744358246e-03, 3.907092495773331620e-01, 1.697497713389805041e-01
2.086000000000000000e+03, 6.301650766469039065e-06, 9.937174781654419808e-01, 5.878517955829508645e-01, 7.790616876819880243e-01, 3.479835655218495583e-01, 4.823987083920627811e-05, 1.788646719044118807e-03, 3.906878196688125526e-01, 1.693916478136693327e-01
2.087000000000000000e+03, 9.711225481155247460e-06, 9.928247196791754048e-01, 5.846124779511701064e-01, 7.736037345673963950e-01, 3.476100241970286331e-01, 4.922065478634927283e-05, 1.755051596058123742e-03, 3.956388543647395561e-01, 1.690881020411882374e-01
2.088000000000000000e+03, 1.204030533878103832e-05, 9.919265364893079528e-01, 5.804754162532528294e-01, 7.686723604770232532e-01, 3.472207416709208183e-01, 4.908410824095716513e-05, 1.750810478151100091e-03, 3.950598413885422766e-01, 1.696114914523694506e-01
2.089000000000000000e+03, 1.388322039032278474e-05, 9.901938373279105532e-01, 5.767274454623448898e-01, 7.641523123080264934e-01, 3.468460523010548080e-01, 4.817820576559252437e-05, 1.778344581833526733e-03, 3.926257396651038345e-01, 1.683071122082601678e-01
2.090000000000000000e+03, 1.442027919152980326e-05, 9.874473462688307945e-01, 5.729990594139499072e-01, 7.598445685395974758e-01, 3.463570982576115176e-01, 4.807953477738509298e-05, 1.748763708490948168e-03, 3.891815883948639421e-01, 1.670306290389147741e-01
2.091000000000000000e+03, 1.205672601352671847e-05, 9.846834298419608889e-01, 5.679280829523974949e-01, 7.551035849842463454e-01, 3.453733689505280591e-01, 5.063530006516634379e-05, 1.715734327048455167e-03, 3.865868183187100571e-01, 1.649145797171911176e-01
2.092000000000000000e+03, 1.015566820487172257e-05, 9.821165739310352416e-01, 5.628349991533823093e-01, 7.503323457084097869e-01, 3.444618294830639194e-01, 5.212048233718390177e-05, 1.683709045105624778e-03, 3.842614541774414527e-01, 1.628431209660507195e-01
2.093000000000000000e+03, 8.996316168705697819e-06, 9.790616941314320698e-01, 5.578669145391913498e-01, 7.453874287782742414e-01, 3.435634723853483452e-01, 5.365515979581708862e-05, 1.653105375735707287e-03, 3.818355498727236119e-01, 1.611706650936799989e-01
2.094000000000000000e+03, 8.156569469033528178e-06, 9.757510735067628227e-01, 5.532482686280713047e-01, 7.403381620842240940e-01, 3.426571601320580474e-01, 5.462607319848867437e-05, 1.623557348598183171e-03, 3.793188134172738035e-01, 1.590431247254483482e-01
2.095000000000000000e+03, 7.584239221873932202e-06, 9.726987704440257509e-01, 5.490656281879425782e-01, 7.352338909392697186e-01, 3.417869127114467886e-01, 4.046642557143384847e-04, 1.595613959169463105e-03, 3.770457469524500227e-01, 1.572788226464522654e-01
2.096000000000000000e+03, 7.467573836424579331e-06, 9.695922296644865490e-01, 5.450965156636731201e-01, 7.295251491058644122e-01, 3.409682804080907959e-01, 6.292012987130087779e-04, 1.567347342346032350e-03, 3.743815678309178052e-01, 1.552411708121034795e-01
2.097000000000000000e+03, 7.369045194915587900e-06, 9.660316621516442659e-01, 5.411019685269722324e-01, 7.237999212092129930e-01, 3.401603754122833334e-01, 8.325602741337190726e-04, 1.539815305283636845e-03, 3.722837343562055423e-01, 1.534384299175019506e-01
2.098000000000000000e+03, 7.229562652083986531e-06, 9.625940611073682263e-01, 5.368306163021571153e-01, 7.184440328337335924e-01, 3.393735908862548500e-01, 1.013284214946855817e-03, 1.513745855688450152e-03, 3.706260641668102096e-01, 1.523563880064127130e-01
2.099000000000000000e+03, 7.044426012938938320e-06, 9.601966608729306518e-01, 5.326891877771885442e-01, 7.130651141761493728e-01, 3.385843372956416908e-01, 1.173079600287511588e-03, 1.488309704138461890e-03, 3.687429248003755156e-01, 1.517373096521598408e-01
2.100000000000000000e+03, 6.709079949253445666e-06, 9.572116903690601752e-01, 5.150820651695603436e-01, 7.100473597360500433e-01, 3.377632127400134743e-01, 1.310233536883115280e-03, 1.464463036265178627e-03, 3.673296009720352084e-01, 1.508088577921212481e-01
