year, INM-CM4-8, CMCC-CM2-SR5, TaiESM1, CESM2-WACCM, GFDL-ESM4, NorESM2-LM, INM-CM5-0, MIROC-ES2L, MPI-ESM1-2-LR, NorESM2-MM, EC-Earth3-Veg, CanESM5, CNRM-ESM2-1, UKESM1-0-LL, IPSL-CM6A-LR, ACCESS-ESM1-5
2.025000000000000000e+03, 1.014440622966102445e+01, 1.111077234378167233e+01, 6.111211401222987227e+00, 9.784691153653335860e+00, 1.242136381761803321e+01, 9.036459266819811376e+00, 1.048026935502972457e+01, 1.131479364383072550e+01, 1.080389067560067673e+01, 8.413512653903406857e+00, 7.633364054174157864e+00, 8.987181244980572359e+00, 9.738844789846845984e+00, 1.290621172005386974e+01, 8.920381064180460839e+00, 6.431219599820808597e+00
2.026000000000000000e+03, 1.022939612599796710e+01, 1.160925065936245559e+01, 6.074665067694916765e+00, 9.842101324680204044e+00, 1.273235079230157218e+01, 8.413149567070837165e+00, 1.022712220731741617e+01, 1.136738582422731447e+01, 1.149479974167349816e+01, 8.891238594614307544e+00, 6.485192435195322069e+00, 8.737713358991722856e+00, 1.012211880135637720e+01, 1.309474334723707045e+01, 9.220178229565732408e+00, 6.396499126364759036e+00
2.027000000000000000e+03, 1.030564276968726034e+01, 1.161953960692650867e+01, 6.172082215365636948e+00, 9.466975552940844807e+00, 1.278640865386056902e+01, 8.299091561329248634e+00, 1.001735267387257089e+01, 1.171859241136039920e+01, 1.124764728612571218e+01, 9.122165595938742655e+00, 7.815035533502014076e+00, 8.124786276530487683e+00, 1.051987582738773774e+01, 1.328323566277930112e+01, 9.056397937643803076e+00, 6.354719374864333581e+00
2.028000000000000000e+03, 1.028773619754626623e+01, 1.112332421425634976e+01, 6.147746125498110281e+00, 1.036497879031652758e+01, 1.254482395692402896e+01, 9.107248008707882647e+00, 1.049500047093579269e+01, 1.083077052999813539e+01, 1.154239144406354356e+01, 9.519556306161600645e+00, 7.237555795964106586e+00, 8.339467209192138242e+00, 1.079430158067791190e+01, 1.277381579101570708e+01, 8.936991913482462024e+00, 6.354690560126043053e+00
2.029000000000000000e+03, 1.033420129546641597e+01, 1.088643713589511819e+01, 6.356474794276732787e+00, 1.018120737259326880e+01, 1.308990328539179160e+01, 8.783496497171423556e+00, 1.071129604714086625e+01, 1.160652750350817364e+01, 1.150199479604303754e+01, 8.914290585599026429e+00, 8.412641358143282844e+00, 8.541454702735281401e+00, 9.694109458391210410e+00, 1.324361932017971988e+01, 9.454819919616555879e+00, 6.316377956440985209e+00
2.030000000000000000e+03, 1.059227277353810948e+01, 1.043208692701655060e+01, 6.538985470374777620e+00, 9.711004774494796266e+00, 1.280443082747497918e+01, 8.633992410590707323e+00, 1.061157012402938093e+01, 1.178893958850388124e+01, 1.110870182369559700e+01, 9.070461554312522878e+00, 7.941976064100574106e+00, 8.942202146047153022e+00, 1.051396343505467712e+01, 1.369826785615962805e+01, 9.342854889543479757e+00, 6.349122998846461918e+00
2.031000000000000000e+03, 1.049070084236415568e+01, 1.146298267336440446e+01, 6.421089058084175960e+00, 1.052749046198653460e+01, 1.308352580333775528e+01, 8.419773021721104200e+00, 1.032841915448302217e+01, 1.179713377291230891e+01, 1.111115216234616909e+01, 8.586282664132784959e+00, 8.372837287261756245e+00, 8.932760123809689645e+00, 1.091196637554804383e+01, 1.457023445231628500e+01, 9.589712556965514167e+00, 6.178386064606059769e+00
2.032000000000000000e+03, 1.000687157563381646e+01, 1.177595001494208837e+01, 6.172316018644510294e+00, 1.040442876482243584e+01, 1.278045455881433057e+01, 8.495611619461760355e+00, 1.043458741355847152e+01, 1.185951751225788975e+01, 1.118714398604576843e+01, 9.547704910321403560e+00, 9.337481760932249131e+00, 9.245920523590914542e+00, 1.039867488424223474e+01, 1.483095713990921638e+01, 9.649444878765740086e+00, 6.461661068139121333e+00
2.033000000000000000e+03, 1.018081187624025397e+01, 1.181342360485616183e+01, 6.426306305332122548e+00, 9.963882372666493126e+00, 1.269482893683181324e+01, 7.653913048698423260e+00, 1.074644933655775958e+01, 1.141629118645033358e+01, 1.167683856132005182e+01, 9.410712687192862802e+00, 8.092819137272321939e+00, 9.107658683993962612e+00, 1.076771203456699588e+01, 1.428969860411897486e+01, 9.824598974175899002e+00, 6.145464145723117610e+00
2.034000000000000000e+03, 1.008940471135442429e+01, 1.176067994397120131e+01, 6.505016778624717944e+00, 8.974267820520745786e+00, 1.263518060911955310e+01, 8.888435086686236275e+00, 1.082212728852440975e+01, 1.235063573865465614e+01, 1.179455818939249134e+01, 8.820783787707497936e+00, 8.208980573782314494e+00, 8.725600733380195706e+00, 1.122765229676661747e+01, 1.436764423080481734e+01, 9.914713028370165659e+00, 6.322119642161079689e+00
2.035000000000000000e+03, 1.037084336218850389e+01, 1.191410742648834997e+01, 6.256587767995457128e+00, 9.923481644884972752e+00, 1.348395768462791544e+01, 8.320715535704817256e+00, 1.068408840828476691e+01, 1.204043471263149279e+01, 1.088358819355536689e+01, 9.120052590174529072e+00, 7.722209087118143245e+00, 8.846566902057542592e+00, 1.067975093670508535e+01, 1.490684167609440713e+01, 1.003018138948391069e+01, 6.327200368713811862e+00
2.036000000000000000e+03, 1.071231971525591398e+01, 1.213984861410526328e+01, 6.504587705743866799e+00, 1.072595050832927832e+01, 1.315055142505853070e+01, 8.292250021747705091e+00, 1.087963545571099999e+01, 1.233355976346915739e+01, 1.154402530794440196e+01, 9.405712961442409537e+00, 7.743025447506807879e+00, 9.239650595232951957e+00, 1.098520573401731326e+01, 1.523667764737919228e+01, 9.944417825586457482e+00, 6.201523285935634178e+00
2.037000000000000000e+03, 1.036201258780567613e+01, 1.220964516577532954e+01, 6.353255729812416597e+00, 1.063737425507637724e+01, 1.368115788302822544e+01, 8.943340759471288592e+00, 1.142966774402440855e+01, 1.224530631599993136e+01, 1.255549485148903166e+01, 9.931240381176559495e+00, 8.540428315563769246e+00, 9.114440308204189378e+00, 1.094042757285873257e+01, 1.504847702322253156e+01, 1.048802574945823096e+01, 6.543924272111380169e+00
2.038000000000000000e+03, 1.059118080686974750e+01, 1.215033151421087787e+01, 6.235073344792549932e+00, 1.090361368196949066e+01, 1.361037612129155505e+01, 8.837271018607633977e+00, 1.087957003701666636e+01, 1.240897515432934206e+01, 1.177829563225510334e+01, 9.071015236048371122e+00, 8.858120191784433217e+00, 8.916250412755291066e+00, 1.114610624107182701e+01, 1.490626026405293025e+01, 1.028427511414700746e+01, 6.486205345777490194e+00
2.039000000000000000e+03, 1.039665008975105920e+01, 1.183363873066594962e+01, 6.421252980129064092e+00, 1.085212875354142348e+01, 1.354736635292708335e+01, 8.269156136938487833e+00, 1.117826599790028119e+01, 1.189562626596090311e+01, 1.198017017231669179e+01, 9.433307803169451944e+00, 8.778193995241233338e+00, 9.571199340784163567e+00, 1.150277281110103722e+01, 1.470200575481796790e+01, 1.049184521076648657e+01, 6.411456634575634972e+00
2.040000000000000000e+03, 1.017321198087974388e+01, 1.164291571718221618e+01, 6.407098284834982671e+00, 1.208669210015681905e+01, 1.346241824608752857e+01, 8.547437048531918435e+00, 1.097840611586200410e+01, 1.271199559503155285e+01, 1.233531213917393110e+01, 9.576064674284982203e+00, 8.520776254311190456e+00, 9.316957292601834695e+00, 1.096286936455776839e+01, 1.552056180788568440e+01, 1.117108040993784179e+01, 6.340667793101631311e+00
