year, EC-Earth3-Veg, MIROC-ES2L, IPSL-CM6A-LR, CNRM-ESM2-1, CESM2-WACCM, CMCC-CM2-SR5, CanESM5, MPI-ESM1-2-LR, GFDL-ESM4, NorESM2-LM, NorESM2-MM, TaiESM1, ACCESS-ESM1-5
2.025000000000000000e+03, 1.878399267816041274e+01, 6.616338622290881233e+01, 1.512684010142551294e+01, 6.952519281099388593e+01, 8.571754190715877186e+00, 1.030885649377705882e+01, 1.113520732707725180e+01, 6.169855553239890611e+01, 8.050025434242610345e+01, 6.645444570890222558e+00, 8.773372174370319243e+00, 1.408150041813061248e+00, 1.042553329387810379e+01
2.026000000000000000e+03, 1.865584346034732022e+01, 6.631330411593719987e+01, 1.524565018108532044e+01, 6.969917972094418701e+01, 8.437300724502735605e+00, 1.023904122160390529e+01, 1.122172551296495691e+01, 6.171092471041252736e+01, 8.056605867084252282e+01, 6.825736019318855874e+00, 8.671133830183894275e+00, 1.401253985114933265e+00, 1.045757194340665031e+01
2.027000000000000000e+03, 1.885562322151723791e+01, 6.648464021883916075e+01, 1.530243299474900809e+01, 6.990079256936002139e+01, 8.525326005751317382e+00, 1.022201451125616067e+01, 1.138776440663082212e+01, 6.181440212188982741e+01, 8.079590861279798730e+01, 6.974620202361927035e+00, 8.567843555770034314e+00, 1.389870731236085399e+00, 1.050714896726000802e+01
2.028000000000000000e+03, 1.842614821269835446e+01, 6.675246867730756151e+01, 1.539266518807608364e+01, 7.018785940995624628e+01, 8.557387501229229088e+00, 1.038675558349769190e+01, 1.146806996796286526e+01, 6.189278044785984179e+01, 8.104412773359948119e+01, 6.914298808387263406e+00, 8.620772956971510581e+00, 1.409074567801822164e+00, 1.052920352731518960e+01
2.029000000000000000e+03, 1.837535321554770107e+01, 6.690541430575430581e+01, 1.546240162328212975e+01, 7.059017186893220241e+01, 8.512460568515951564e+00, 1.057914031476981442e+01, 1.146915378522630213e+01, 6.193911892192667068e+01, 8.122659945696656791e+01, 7.004482472295212148e+00, 8.720718157627986855e+00, 1.411980153577763186e+00, 1.054794954410942154e+01
2.030000000000000000e+03, 1.834179508247672885e+01, 6.696006124629533929e+01, 1.559013167809459510e+01, 7.068541356645043550e+01, 8.583429550981760414e+00, 1.051733387128918018e+01, 1.153113406804435570e+01, 6.202457386758331381e+01, 8.145828701791521098e+01, 7.177089997291303369e+00, 8.683847616536400693e+00, 1.386846906198218932e+00, 1.057871308374563135e+01
2.031000000000000000e+03, 1.852432100780370661e+01, 6.711643217891752045e+01, 1.571272618929378240e+01, 7.090076997059361474e+01, 8.641600116275808929e+00, 1.032187959521186649e+01, 1.150101738523483519e+01, 6.211625226283719314e+01, 8.153895773977389183e+01, 7.191580476505031960e+00, 8.683636382782397689e+00, 1.407368230223684291e+00, 1.059678615485561437e+01
2.032000000000000000e+03, 1.830254154905444608e+01, 6.726891974948676989e+01, 1.582325578533911603e+01, 7.123904602705279387e+01, 8.699882140279814990e+00, 1.020660653774302951e+01, 1.153381393821198486e+01, 6.220704472299667742e+01, 8.163774617793282573e+01, 7.120975430199543155e+00, 8.627405788552485078e+00, 1.457873942153430136e+00, 1.058486114677727485e+01
2.033000000000000000e+03, 1.820369580971936330e+01, 6.751602596156379832e+01, 1.589498843305451992e+01, 7.139028876598415252e+01, 8.752514062086968138e+00, 1.018178249936695323e+01, 1.162937462477576389e+01, 6.232632518776954811e+01, 8.183663074794883130e+01, 7.074351120146411098e+00, 8.702600651397817799e+00, 1.446992345139596958e+00, 1.059990048495435921e+01
2.034000000000000000e+03, 1.891847128821505564e+01, 6.772578706042121155e+01, 1.603293176481641424e+01, 7.158889393171909887e+01, 8.840472544430966195e+00, 1.018160559087259465e+01, 1.175633106279820161e+01, 6.246811580255140939e+01, 8.198239687039892942e+01, 6.895862760607378128e+00, 8.895867639414074546e+00, 1.417565422137043729e+00, 1.056272743050389451e+01
2.035000000000000000e+03, 1.925031635993174817e+01, 6.785263023085201439e+01, 1.611408477090341762e+01, 7.192774374481108168e+01, 8.769722843648812827e+00, 1.017607199347688862e+01, 1.183332018634120431e+01, 6.250329055780137821e+01, 8.211650143160144921e+01, 6.915943789644127371e+00, 8.883382843783344640e+00, 1.471649518001197920e+00, 1.054855834007497783e+01
2.036000000000000000e+03, 1.960696740402331884e+01, 6.802600979232856560e+01, 1.624702803816221675e+01, 7.218065974522835404e+01, 8.675707734225703405e+00, 1.015236875275828865e+01, 1.183318894551418055e+01, 6.250386786937345818e+01, 8.233107295682550841e+01, 6.847765801465810043e+00, 8.881280292082170291e+00, 1.500821458806554487e+00, 1.053548312296104505e+01
2.037000000000000000e+03, 1.934359077507444269e+01, 6.829114977928588814e+01, 1.631098061909924368e+01, 7.248165903182788838e+01, 8.609061775712442355e+00, 1.007874102421033768e+01, 1.181123730397694160e+01, 6.263149318333126558e+01, 8.246865005200683640e+01, 6.894690004075219036e+00, 8.783304123657229567e+00, 1.480705200124547094e+00, 1.049169431521164597e+01
2.038000000000000000e+03, 1.893176819563625202e+01, 6.856424852515945645e+01, 1.638937649254799211e+01, 7.284476393846217945e+01, 8.672212041672048954e+00, 1.010273794203061115e+01, 1.197036614127599741e+01, 6.277674841885862378e+01, 8.263433539338002731e+01, 7.091565823900428001e+00, 8.879803303252961300e+00, 1.498690754652570067e+00, 1.048512680074886916e+01
2.039000000000000000e+03, 1.887121278145792758e+01, 6.893932572937767134e+01, 1.644834296036751553e+01, 7.312732137732632509e+01, 8.750375664770055906e+00, 1.025539852862805823e+01, 1.199417064637240848e+01, 6.294053868765277571e+01, 8.284172490218590212e+01, 7.227032504333481100e+00, 9.025375002373856148e+00, 1.470443016865591090e+00, 1.049587305797069448e+01
2.040000000000000000e+03, 1.906374449678100191e+01, 6.924800968315692273e+01, 1.648875900374106607e+01, 7.355519621476994985e+01, 8.845664017398743084e+00, 1.036533796450669875e+01, 1.198350386916257726e+01, 6.308129176696461116e+01, 8.305557862651561152e+01, 7.172787427635411106e+00, 9.020429831671478382e+00, 1.416798676713318050e+00, 1.052774755188015732e+01
