year, NorESM2-LM, ACCESS-ESM1-5, CESM2-WACCM, NorESM2-MM, TaiESM1, CanESM5, CMCC-CM2-SR5, EC-Earth3-Veg, GFDL-ESM4, UKESM1-0-LL, IPSL-CM6A-LR, INM-CM5-0, INM-CM4-8, MPI-ESM1-2-LR, MIROC-ES2L, CNRM-ESM2-1
2.015000000000000000e+03, 2.685448802854331802e+02, 2.683529755599089412e+02, 2.683988353210804689e+02, 2.668805428508483146e+02, 2.661352030318730613e+02, 2.687051411293427918e+02, 2.685151613747922852e+02, 2.661644013292497561e+02, 2.672269857327661384e+02, 2.652355792783116613e+02, 2.675235495036525322e+02, 2.673035957173165116e+02, 2.660115997146440918e+02, 2.662154813465999155e+02, 2.691046783915912215e+02, 2.676532778954430114e+02
2.016000000000000000e+03, 2.682742707694813475e+02, 2.693644312928298632e+02, 2.675768804674965509e+02, 2.660317569243148341e+02, 2.661689580001290665e+02, 2.679592402737589509e+02, 2.680901300777753136e+02, 2.667302709257129436e+02, 2.674040011604029701e+02, 2.648356481691005229e+02, 2.675454319452249479e+02, 2.671688871663211557e+02, 2.664950723054883497e+02, 2.672112408229102698e+02, 2.686363663762165288e+02, 2.683162449824978921e+02
2.017000000000000000e+03, 2.692604291023600354e+02, 2.686214808343144682e+02, 2.675419565592411004e+02, 2.661814085220778452e+02, 2.658024105418892873e+02, 2.681912531580985615e+02, 2.688408978337420763e+02, 2.670131631793736915e+02, 2.672749598541797127e+02, 2.651962726601190070e+02, 2.676500272198092603e+02, 2.676707329320846611e+02, 2.668375756539520580e+02, 2.674182042765704637e+02, 2.690353008919120725e+02, 2.685016259925420172e+02
2.018000000000000000e+03, 2.694474224384674130e+02, 2.692783771373772765e+02, 2.679006206584081156e+02, 2.660829883114017207e+02, 2.655390809792873483e+02, 2.689483249867128052e+02, 2.681872731590276544e+02, 2.675115528639796025e+02, 2.675288310304113111e+02, 2.651192177425376713e+02, 2.685456682280681662e+02, 2.677418284619883480e+02, 2.669068008516928785e+02, 2.672445193951429019e+02, 2.690471474530863816e+02, 2.682895235027604031e+02
2.019000000000000000e+03, 2.692923688592062490e+02, 2.683896608922425457e+02, 2.685111887369788519e+02, 2.659757338709747501e+02, 2.661822037697046994e+02, 2.688537397117856358e+02, 2.677034270122206294e+02, 2.667619292314297468e+02, 2.673502484221543796e+02, 2.658322613976226307e+02, 2.677154724776546004e+02, 2.678663288412898851e+02, 2.671032644286065647e+02, 2.667853385328085096e+02, 2.686801297918636919e+02, 2.692970418997784350e+02
2.020000000000000000e+03, 2.694154887979286741e+02, 2.681524144735525965e+02, 2.676979975501555487e+02, 2.656999402763802323e+02, 2.655207722911007409e+02, 2.693277510160326074e+02, 2.680218388796008639e+02, 2.657189843127948734e+02, 2.674854049969057996e+02, 2.656370224439091317e+02, 2.672521301154586695e+02, 2.673914506297297180e+02, 2.663856379154890419e+02, 2.677295642600735732e+02, 2.690774551018444640e+02, 2.690116919643502911e+02
2.021000000000000000e+03, 2.688685629077185695e+02, 2.689311586312483655e+02, 2.674227907337698866e+02, 2.657298133724065110e+02, 2.655587920654612617e+02, 2.680831434788978527e+02, 2.686806211606561305e+02, 2.667680633973769204e+02, 2.678774156645368407e+02, 2.658862615302554104e+02, 2.693152914992398337e+02, 2.667548896481154088e+02, 2.665740415674733299e+02, 2.673042490989079738e+02, 2.698304306707277078e+02, 2.684430363696786799e+02
2.022000000000000000e+03, 2.683522313931501344e+02, 2.689482242885688947e+02, 2.680356653637256841e+02, 2.663639598682506175e+02, 2.657692096150232146e+02, 2.699688009673154170e+02, 2.690045255779075433e+02, 2.666857024146030994e+02, 2.682596060440794190e+02, 2.657614521996519557e+02, 2.674698369386438799e+02, 2.677182491560722042e+02, 2.665154531490726413e+02, 2.670371846737038481e+02, 2.694688449686404965e+02, 2.686932591586025296e+02
2.023000000000000000e+03, 2.679110853593413708e+02, 2.688187367344456220e+02, 2.682114092498106288e+02, 2.663282662504156519e+02, 2.654043990116027203e+02, 2.698250358851921646e+02, 2.675248741220979696e+02, 2.666947365140193256e+02, 2.675452643899303666e+02, 2.651689725502544093e+02, 2.680844246536336755e+02, 2.675471072126727563e+02, 2.667561240347132525e+02, 2.675008570939614856e+02, 2.697694028442924150e+02, 2.692310062248524218e+02
2.024000000000000000e+03, 2.681371456939922382e+02, 2.692131499362038767e+02, 2.687867094145298097e+02, 2.657789416516839651e+02, 2.658786536746308684e+02, 2.698869922530791428e+02, 2.680538432238863606e+02, 2.664206276572822389e+02, 2.676454832352146127e+02, 2.666589614633687120e+02, 2.679487187976234281e+02, 2.671398037559981162e+02, 2.671389544609264703e+02, 2.684944882840662217e+02, 2.692892166907848264e+02, 2.684615836627584144e+02
2.025000000000000000e+03, 2.687167138319642277e+02, 2.693001613415726183e+02, 2.686222538822804609e+02, 2.660147218864674983e+02, 2.660047773638583521e+02, 2.701214234107773677e+02, 2.682184730317071626e+02, 2.670085026531135100e+02, 2.675608282011856431e+02, 2.665291877639591007e+02, 2.678317663755750573e+02, 2.679256425118712173e+02, 2.664487702811251211e+02, 2.679852979795475107e+02, 2.696866041598962624e+02, 2.678891476768920938e+02
2.026000000000000000e+03, 2.684944238876356621e+02, 2.688361778593035751e+02, 2.682252949914051783e+02, 2.664804503603286321e+02, 2.656559696738767684e+02, 2.700212658667382470e+02, 2.685956141552106260e+02, 2.662374086532616957e+02, 2.674262288220626829e+02, 2.668205522806384238e+02, 2.685987521067739294e+02, 2.673892307485547803e+02, 2.671348572496369798e+02, 2.680598624874657503e+02, 2.697112645023670439e+02, 2.686275688775894537e+02
2.027000000000000000e+03, 2.687726083436680824e+02, 2.689782791394815717e+02, 2.681304399912665417e+02, 2.662791836348478114e+02, 2.657014757890772785e+02, 2.694389362195784088e+02, 2.684321981251474085e+02, 2.668594833815336642e+02, 2.670005012672154976e+02, 2.665268075884215477e+02, 2.684735119788867337e+02, 2.673633919500264824e+02, 2.669876215621904407e+02, 2.677884965908220920e+02, 2.697868374196322065e+02, 2.695118030082182372e+02
2.028000000000000000e+03, 2.693605419134971726e+02, 2.692957784019154133e+02, 2.687669056618361765e+02, 2.660770747119062207e+02, 2.660185205562793271e+02, 2.700439290906788870e+02, 2.680204161370309066e+02, 2.664899652312788021e+02, 2.670653036223259846e+02, 2.668076314391392430e+02, 2.680655129600430655e+02, 2.674533996500107378e+02, 2.672797825458937382e+02, 2.679660725902791683e+02, 2.693907404616585382e+02, 2.693805825597873422e+02
2.029000000000000000e+03, 2.692501671121469258e+02, 2.691085160179052309e+02, 2.690124288853044732e+02, 2.665859035898539560e+02, 2.676594786007520383e+02, 2.695535694895332881e+02, 2.680869688271031919e+02, 2.674492909242712244e+02, 2.672750043474183030e+02, 2.667872031075594350e+02, 2.688394474216428307e+02, 2.683428319750414062e+02, 2.672553614308213810e+02, 2.676031319498542302e+02, 2.702818745995100471e+02, 2.681055974368144916e+02
2.030000000000000000e+03, 2.689331167939421334e+02, 2.686775152021145914e+02, 2.686782368280742617e+02, 2.666596158065077020e+02, 2.675297985184091090e+02, 2.701540276972430092e+02, 2.675366354830344449e+02, 2.668169997923193364e+02, 2.676429648586064332e+02, 2.671283987893792755e+02, 2.679429875627707816e+02, 2.680779974206712382e+02, 2.670357706978712145e+02, 2.674936795442728226e+02, 2.698860866189697276e+02, 2.693117506539493320e+02
2.031000000000000000e+03, 2.693477045505050569e+02, 2.688586159485200255e+02, 2.689967887629470056e+02, 2.662356089019239107e+02, 2.669804854825264329e+02, 2.703758103777927886e+02, 2.679584385764533181e+02, 2.665357616073093823e+02, 2.680403170479864343e+02, 2.674219891234260444e+02, 2.679820154601901550e+02, 2.681868597102135254e+02, 2.673461808446825216e+02, 2.669482271164823146e+02, 2.701575862582385525e+02, 2.691290391954842676e+02
2.032000000000000000e+03, 2.692612899670422166e+02, 2.692742851176054160e+02, 2.688683490186421636e+02, 2.665004351981077093e+02, 2.667168210880767560e+02, 2.702984984320994499e+02, 2.690701275462748185e+02, 2.675229293683134983e+02, 2.674490380258757796e+02, 2.684341676613867662e+02, 2.687528687642304703e+02, 2.680956828992560759e+02, 2.667708838518267385e+02, 2.674271991532558559e+02, 2.704034015391513890e+02, 2.686661553945281753e+02
2.033000000000000000e+03, 2.688825506414514734e+02, 2.684457475192020297e+02, 2.683863198611541065e+02, 2.667377692744799447e+02, 2.667918583620643744e+02, 2.705556422810749382e+02, 2.696723755709382431e+02, 2.668484453320966168e+02, 2.671182116371000461e+02, 2.669051119215400831e+02, 2.688874898974320331e+02, 2.682332563638963734e+02, 2.675522244163312280e+02, 2.674081698778441591e+02, 2.699464853958570529e+02, 2.689465473993881801e+02
2.034000000000000000e+03, 2.688928302194240132e+02, 2.694746798707197968e+02, 2.673324999007922429e+02, 2.662238402893918874e+02, 2.669931017061414309e+02, 2.703629193431636963e+02, 2.691159422110354171e+02, 2.664926148937531707e+02, 2.675992875444592869e+02, 2.672906192411541610e+02, 2.687746473738129112e+02, 2.680327712835236866e+02, 2.665697579530040002e+02, 2.678787192169944547e+02, 2.701225588971612979e+02, 2.694186598162183373e+02
2.035000000000000000e+03, 2.692573519356163274e+02, 2.689918125997866696e+02, 2.680944259376146874e+02, 2.665799838630699696e+02, 2.670073035293049202e+02, 2.697243793265914746e+02, 2.695016702506567299e+02, 2.668428400169254928e+02, 2.676458434529658916e+02, 2.686453228927916825e+02, 2.692766123935932114e+02, 2.690217116441426697e+02, 2.679003606416763432e+02, 2.677440952031802226e+02, 2.703070081447852431e+02, 2.685208496695425424e+02
2.036000000000000000e+03, 2.686450823375613481e+02, 2.690909447206847744e+02, 2.693171667504956872e+02, 2.664711861204948491e+02, 2.682422988692280228e+02, 2.704915447260106589e+02, 2.696026463488166769e+02, 2.669700204796987464e+02, 2.676361592934040345e+02, 2.687127965976163750e+02, 2.687883869465474049e+02, 2.683926787214223850e+02, 2.679440906780658906e+02, 2.670456013503097665e+02, 2.705527658167779919e+02, 2.692338857528268363e+02
2.037000000000000000e+03, 2.688863602269733519e+02, 2.697257505406844871e+02, 2.689966434498957142e+02, 2.677372461537696609e+02, 2.665186915529627072e+02, 2.704405530774332078e+02, 2.695783081316052971e+02, 2.676888442569433550e+02, 2.684968559284917546e+02, 2.681023079237423872e+02, 2.693893027260960480e+02, 2.687606008692181376e+02, 2.674571062929584855e+02, 2.683342261444549308e+02, 2.704602097106985639e+02, 2.686466835509168618e+02
2.038000000000000000e+03, 2.691945001691486823e+02, 2.696736315007323697e+02, 2.701567594597525499e+02, 2.663303423360607098e+02, 2.659278124119526865e+02, 2.699724991877687899e+02, 2.694600931026657236e+02, 2.680875619223604645e+02, 2.678383628980597564e+02, 2.678051700616394442e+02, 2.698677893640306706e+02, 2.685554214882880615e+02, 2.676131785724961674e+02, 2.678393818183994313e+02, 2.706590194111292362e+02, 2.687187363005082830e+02
2.039000000000000000e+03, 2.689037750616011522e+02, 2.694746079110299206e+02, 2.693268234366483398e+02, 2.666416376298316209e+02, 2.671840535181406153e+02, 2.709920381063315631e+02, 2.690064429996589865e+02, 2.681139250704318329e+02, 2.676343531497839194e+02, 2.683778925507092481e+02, 2.701484841283555056e+02, 2.689917463599666689e+02, 2.677026467721817085e+02, 2.678859241025941742e+02, 2.705083102637402703e+02, 2.695863980971786873e+02
2.040000000000000000e+03, 2.685784362046677529e+02, 2.690850628265715727e+02, 2.697324613482670088e+02, 2.678968354995357686e+02, 2.668387414401911997e+02, 2.705887402647047111e+02, 2.692110754214457984e+02, 2.679651314484372051e+02, 2.681363085945712896e+02, 2.687180125938718902e+02, 2.703475153403426248e+02, 2.682271898188737964e+02, 2.674637439388793041e+02, 2.680400674331299342e+02, 2.706771604705604091e+02, 2.687600728795126770e+02
2.041000000000000000e+03, 2.696111866447243983e+02, 2.693720258429591468e+02, 2.692104956099960305e+02, 2.671087669294345801e+02, 2.675959459638794442e+02, 2.714403526906976936e+02, 2.699114885340037517e+02, 2.669739936604461263e+02, 2.677287819059228582e+02, 2.682053249293690556e+02, 2.701742869158841245e+02, 2.682518789391274368e+02, 2.671703290305878795e+02, 2.681124644372860644e+02, 2.707220346884612923e+02, 2.690292527612904792e+02
2.042000000000000000e+03, 2.697407164471449619e+02, 2.695204565506808763e+02, 2.692802455369160270e+02, 2.666101565899294314e+02, 2.689203185950867123e+02, 2.710865870363422800e+02, 2.693622712197972646e+02, 2.668859876111142171e+02, 2.678370610898561495e+02, 2.679034427067097681e+02, 2.696809208582333781e+02, 2.686100183296178443e+02, 2.673476747806010394e+02, 2.685483044928175786e+02, 2.702647286680667662e+02, 2.688618554135930481e+02
2.043000000000000000e+03, 2.691448615257242523e+02, 2.690496803638478696e+02, 2.695777455713420636e+02, 2.679216311090941076e+02, 2.686525763902006361e+02, 2.705499084743357230e+02, 2.691915857787343498e+02, 2.669856071380501135e+02, 2.682993738602525582e+02, 2.684775699454638129e+02, 2.695109261213291916e+02, 2.686668336150482332e+02, 2.676773770975352704e+02, 2.686403441510367998e+02, 2.705561911244145108e+02, 2.702431594403756208e+02
2.044000000000000000e+03, 2.692969533335601113e+02, 2.698715173254749971e+02, 2.692695754274290039e+02, 2.668758214863185572e+02, 2.678459796876382484e+02, 2.705917251928876794e+02, 2.702280974031605751e+02, 2.677773126025165880e+02, 2.679326172986923211e+02, 2.686777736259810467e+02, 2.692133129326800258e+02, 2.686327419398332381e+02, 2.676247666888712615e+02, 2.685186617321000426e+02, 2.712365128320793701e+02, 2.687943669014722445e+02
2.045000000000000000e+03, 2.695368624114450427e+02, 2.692748192924818795e+02, 2.696377420733517738e+02, 2.666378652121030086e+02, 2.684086686374820943e+02, 2.716065565130685400e+02, 2.702282910896260546e+02, 2.680641948248233462e+02, 2.674244364861827421e+02, 2.683574506325541051e+02, 2.700574779777873573e+02, 2.690124665107810529e+02, 2.681037442697470397e+02, 2.691000856538016137e+02, 2.711498676219400181e+02, 2.696828946197996970e+02
