year, CanESM5, TaiESM1, NorESM2-MM, INM-CM4-8, UKESM1-0-LL, INM-CM5-0, IPSL-CM6A-LR, ACCESS-ESM1-5, NorESM2-LM, CNRM-ESM2-1, EC-Earth3-Veg, CESM2-WACCM, GFDL-ESM4, MIROC-ES2L, CMCC-CM2-SR5, MPI-ESM1-2-LR
2.015000000000000000e+03, 3.091474326028634811e-01, 1.142817923214207027e-01, 1.285859066360953429e-01, 4.511968878166075503e-01, 6.998927802049155211e-01, 4.697435817865537322e-01, 6.706828621235898513e-01, 3.080684967165137067e-01, 7.627172277782748311e-02, 5.574121383053933787e-01, -8.108079054025578436e-02, 1.014791661001460121e-01, 2.070299670092764499e-01, 6.650258506656483437e-01, -1.008455466127085864e-01, 3.124531958760580208e-01
2.016000000000000000e+03, 2.461267392980258928e-01, 2.292974662570441274e-02, -6.942172391586209912e-02, 4.022409401997181222e-01, 6.905326585881832457e-01, 4.705399897163146661e-01, 5.093512888859662580e-01, 3.292646051669137486e-01, 3.069558279631354747e-01, 4.382272381775466630e-01, -5.488395869011350806e-03, 2.220281797944549662e-01, 3.410988480311113458e-01, 4.961813262495093912e-01, -5.567162029459275102e-02, 3.594416097812332955e-01
2.017000000000000000e+03, 2.348787953621750968e-01, 1.282027198950683178e-01, 1.641641655929324539e-01, 6.801853871605676449e-01, 6.136903302204196331e-01, 4.568103753133225808e-01, 5.053407260094188169e-01, 4.377082858800164789e-01, 1.220136737340268146e-01, 6.325500167766403559e-01, -1.685955844590159014e-01, 7.295822823407625835e-02, 3.082826792035700536e-01, 6.218609187585871778e-01, 5.663265147424435125e-02, 2.986647712625492557e-01
2.018000000000000000e+03, 2.372044247721697419e-01, 1.504838840948201639e-01, 1.290213232374774477e-01, 6.555403380137737601e-01, 6.719565781564500462e-01, 4.112340983532297711e-01, 6.106444452530501721e-01, 3.881816429173145511e-01, 5.268224001501257275e-02, 6.460198443583035077e-01, 3.295802147650687131e-01, 1.205818931936612493e-01, 3.294541425017947778e-01, 5.674585178054758483e-01, -1.599373827147645977e-01, 1.011339367025215208e-01
2.019000000000000000e+03, 3.565058830250428801e-01, 5.635874607560772270e-02, 3.585419852000151786e-01, 5.387440407465813319e-01, 7.937038800639130143e-01, 4.496601740360020583e-01, 6.088641353607435747e-01, 3.316711610320853265e-01, -1.540423553999421546e-01, 6.421837758880427627e-01, 2.172280176171957344e-01, 1.820344095403489126e-01, 2.802198939309809567e-01, 4.855528045501077417e-01, 5.594781025884284359e-02, 4.648380948769441634e-01
2.020000000000000000e+03, 4.355259846549643932e-01, 7.263423870622073841e-02, 3.724494969410229173e-01, 3.676037304546520001e-01, 7.770256499253613836e-01, 3.959996112576089078e-01, 6.271413850365702425e-01, 3.812473863924431550e-01, 3.761369183463735277e-01, 6.398301082191563127e-01, 3.752890774639486282e-01, 4.371823471691076435e-01, 3.810451683085060992e-01, 3.517086702665747078e-01, -6.322588697606919272e-02, 2.582465381537554228e-01
2.021000000000000000e+03, 1.490402966144193930e-01, 7.243951941624368618e-02, 2.833711116089582815e-01, 6.458945698934837054e-01, 7.749051720121098441e-01, 2.635518682609622187e-01, 5.706554154149444669e-01, 3.758493913632861005e-01, -1.513985132408175727e-02, 5.416599462308160362e-01, 1.810795645852964209e-01, 1.856617767216938719e-01, 4.013748378302323672e-01, 4.447206341265764196e-01, -2.176981334326896222e-01, 2.019594244160898833e-01
2.022000000000000000e+03, 5.097693613745922780e-01, 6.644024341307541714e-02, 3.064553052611491135e-01, 5.054341049753331427e-01, 8.534838521637118092e-01, 4.718902951449248095e-01, 5.673166372913083233e-01, 4.802695314350901024e-01, -1.775220655354201732e-02, 5.716379545020688902e-01, 3.341638354782103804e-01, 2.438824101658480792e-01, 4.370498151607757897e-01, 7.180683952110165080e-01, 1.464054441648608984e-01, 2.604532976467154315e-01
2.023000000000000000e+03, 4.166182103238067480e-01, 1.362334043358789104e-01, 3.266173180330461112e-01, 3.559198629508679712e-01, 6.350450105040931215e-01, 4.215886626686401462e-01, 5.342624292389341889e-01, 4.448249754346281226e-01, 2.413420992740392956e-01, 4.214830732212342945e-01, 5.637931799436621816e-01, 2.022372850241981046e-01, 4.217679407824806437e-01, 3.256401297058300059e-01, -1.543243929842672557e-01, 2.012446270043854457e-01
2.024000000000000000e+03, 3.697496000046414100e-01, 7.242816549897518330e-02, -1.025653721893473591e-01, 6.704658086112424975e-01, 7.888884201493192583e-01, 4.965609941193553922e-01, 5.410982625216733677e-01, 4.419337449520079342e-01, -2.177401379610887158e-02, 9.742913967488860960e-01, 3.285381054887813734e-01, 7.878884489874275754e-02, 5.845847868077785892e-01, 7.620771590897731373e-01, -3.495374363276757546e-01, 2.615193246417949480e-01
